site_id,site_TEXT,name_original,"TRAIT: Growth Form CATEGORICAL: EP epiphyte (mistletoe) F fern G grass H herb S shrub T tree V vine",TRAIT: SLA UNITS: mm2/g,TRAIT: Leaf Size UNITS: mm2,TRAIT: Leaf Dry Mass UNITS: g,TRAIT: LeafWidth UNITS: mm,TRAIT: Height UNITS: m
7,Kuringai-Chase NP,Lomandra glauca,G,3.0,49.0,0.016,1.3,0.15
7,Kuringai-Chase NP,Lomandra sp,G,1.5,139.1,0.092,1.4,0.13
7,Kuringai-Chase NP,Micrantheum ericoides,S,5.8,4.5,0.001,1.4,0.15
7,Kuringai-Chase NP,Oplismenus imbecillis,G,4.7,51.5,0.011,1.6,0.15
7,Kuringai-Chase NP,Patersonia glabrata,,3.6,263.1,0.073,2.7,0.20
7,Kuringai-Chase NP,Patersonia sericea,,2.3,546.8,0.239,3.7,0.30
7,Kuringai-Chase NP,Phyllota phylicoides,S,7.3,10.5,0.001,1.2,0.50
7,Kuringai-Chase NP,Platysace linearifolia,S,5.8,8.6,0.001,0.7,0.75
7,Kuringai-Chase NP,Poaceae sp,G,4.8,36.5,0.008,0.8,
7,Kuringai-Chase NP,Ptilanthelium deusteum,,2.5,28.8,0.012,0.8,0.20
7,Kuringai-Chase NP,Pultenaea elliptica,S,10.0,12.4,0.001,2.9,0.50
7,Kuringai-Chase NP,Schoenus imberbis,,3.0,27.1,0.009,0.6,0.15
7,Kuringai-Chase NP,Tetratheca ericifolia,S,4.1,2.8,0.001,0.8,0.15
7,Kuringai-Chase NP,unk7_11 sp,,8.3,114.5,0.014,7.6,0.50
7,Kuringai-Chase NP,Woollsia pungens,S,9.6,22.1,0.002,4.5,1.50
7,Kuringai-Chase NP,Xanthorrhoea media,S,2.0,359.4,0.183,2.6,0.50
7,Kuringai-Chase NP,Zieria laevigata,S,2.8,16.6,0.006,1.4,0.50
8,Mt Keira,Brachychiton acerifolius,T,29.2,1811.0,0.062,32.5,4.00
8,Mt Keira,Cephalaria cephalobotrys,,38.8,448.1,0.012,19.6,0.05
8,Mt Keira,Ceratopetalum apetalum,T,10.2,4551.2,0.445,45.9,10.00
8,Mt Keira,Citriobatus pauciflorus,S,16.2,49.5,0.003,7.1,1.00
8,Mt Keira,Claoxylon australe,,20.2,3409.9,0.169,43.8,1.50
8,Mt Keira,Cryptocarya microneura/glaucescens,S,10.6,3989.6,0.375,49.9,1.80
8,Mt Keira,Doryphora sassafras,T,9.5,4613.0,0.487,52.1,12.50
8,Mt Keira,Eupomatia laurina,T,12.7,4243.7,0.334,47.6,15.00
8,Mt Keira,Gymnostachys anceps,,4.2,2271.4,0.547,11.5,1.00
8,Mt Keira,Morinda jasminoides,V,31.3,471.7,0.015,12.9,0.11
8,Mt Keira,Palmeria scandens,,20.2,3811.1,0.188,52.2,1.50
8,Mt Keira,Parsonsia straminea,V,37.3,512.6,0.014,16.4,1.50
8,Mt Keira,Piper novae-hollandiae,V,26.3,4386.0,0.167,57.5,10.10
8,Mt Keira,Smilax australis,V,12.7,3852.5,0.303,57.2,0.50
8,Mt Keira,Synoum glandulosum,S,14.7,2869.5,0.196,42.7,1.50
8,Mt Keira,unk8_1 sp,,13.3,2797.4,0.211,41.9,5.75
8,Mt Keira,Wilkiea huegeliana,S,12.0,4052.7,0.338,52.2,1.00
9,Mungo NP 1,Atriplex eardleyae,H,11.1,87.6,0.008,9.0,0.15
9,Mungo NP 1,Atriplex lindleyi,H,7.9,20.4,0.003,3.5,0.15
9,Mungo NP 1,Atriplex vesicaria,S,4.5,22.6,0.005,3.5,0.60
9,Mungo NP 1,Bulbine sp,H,5.5,39.9,0.007,1.7,0.05
9,Mungo NP 1,Chamaesyce drummondii,H,2.6,7.0,0.003,3.7,0.94
9,Mungo NP 1,Dissocarpus biflorus,H,5.3,7.8,0.001,1.4,0.30
9,Mungo NP 1,Dissocarpus paradoxa,H,5.5,8.0,0.001,1.5,0.25
9,Mungo NP 1,Fabaceae sp,S,11.4,8.0,0.001,2.3,0.05
9,Mungo NP 1,Maireana pyramidata,S,2.8,2.6,0.001,1.3,1.00
9,Mungo NP 1,Maireana sp,S,3.3,3.9,0.001,1.4,0.15
9,Mungo NP 1,Malacocera tricornis,H,2.8,9.8,0.003,1.6,0.30
9,Mungo NP 1,Nitraria billardierei,S,4.7,16.2,0.003,2.3,0.60
9,Mungo NP 1,Sclerolaena divaricata,S,4.4,5.2,0.001,1.0,0.20
9,Mungo NP 1,Sclerolaena patenticuspis,S,6.5,6.5,0.001,1.3,0.15
9,Mungo NP 1,Sida intricata,H,9.6,31.5,0.003,5.7,0.15
