Species_reconciled with updates and additions,growth form,seed size categorical: <10mm,seed size categorical: >10mm,leaf type,leaves lobed,leaf longevity,wood density species,wood density genus,wood density family,Height (m),leaf length minimum (mm),leaf length maximum (mm),leaf width minimum (mm),leaf width maximum (mm),seed length minimum (mm),seed length maximum (mm),seed width minimum (mm),seed width maximum (mm),seed breadth (mm)
Acanthus ilicifolius,shrub,0,1,simple,yes,evergreen,,,,3,50,210,20,80,6,12,4,6,3
Miliusa horsfieldii,tree,0,1,simple,no,deciduous,,,435,33,40,220,25,60,9,10,5,6,3
Miliusa traceyi,tree,1,0,simple,no,deciduous,,,435,12,40,130,20,65,7,7,6,6,3
Cryptocarya bellendenkerana,tree,1,1,simple,no,evergreen,,571,533,25,20,55,15,35,7,9,9,10,
Randia Gordon-Creek,shrub,1,0,simple,no,evergreen,,,608,5,25,45,15,20,4,5,3,4,2
Geissois benthamii,tree,1,0,compound,no,evergreen,576.2,,,45,60,170,20,50,4,4,2,2,2
Acronychia acidula,tree,1,0,simple,no,evergreen,520,555,659,27,70,290,45,135,3,5,3,4,
Cassinia (Ozothamnus) telfordii,shrub,1,0,simple,no,evergreen,,,,5,20,60,2.5,8,0.5,1,0.5,1,
Hypsophila halleyana,tree,1,0,simple,no,evergreen,,,685,6,40,110,15,30,7,8,5,6,
Callicoma serratifolia,tree,1,0,simple,no,evergreen,494.5,,,35,40,120,30,50,1,1,1,1,
Cryptocarya pleurosperma,tree,0,1,simple,no,evergreen,562,571,533,30,70,160,35,70,25,35,16,24,
Randia moorei,tree,1,0,simple,no,evergreen,,,,12,20,60,10,30,2,3,1,2,
Flindersia schottiana,tree,0,1,compound,no,evergreen,580,598,659,45,50,260,15,88,15,18,5,7,2
Psychotria submontana,shrub,1,0,simple,no,evergreen,,,608,4,40,180,12,35,4,8,3,4,1.5
Psydrax johnsonii,shrub,1,0,simple,no,evergreen,,,,8,20,50,6,15,2,3,2,3,
Hedraianthera Mossman,tree,1,0,simple,no,evergreen,,,685,6,40,100,15,45,7,12,4,5,
Eucryphia moorei,tree,1,1,compound,no,evergreen,645,,,30,10,70,5,15,2,3,1,2,1.5
Gillbeea adenopetala,tree,1,0,compound,no,evergreen,440,440,553,35,60,170,25,110,5,7,2,2,
Geissois biagiana,tree,1,0,compound,no,evergreen,500,500,553,33,60,280,35,80,1,1,1,1,
Goniothalamus australis,tree,0,1,simple,no,evergreen,,,435,30,50,120,30,50,15,20,12,15,6
Galbulimima baccata,tree,1,1,simple,no,evergreen,463,492,492,40,50,160,25,35,10,11,5,6,3
Endiandra acuminata,tree,0,1,simple,no,evergreen,590,622,533,30,60,105,20,40,23,26,11,22,
Phebalium distans,tree,1,0,simple,no,evergreen,,,,7,15,60,4,8,2,3,2,3,
Alectryon subcinereus,tree,1,1,compound,no,evergreen,632.1,,,30,60,150,20,50,5,6,4,5,
Cryptocarya corrugata,tree,0,1,simple,no,evergreen,640,571,533,40,30,110,15,60,15,23,20,35,
Cryptocarya oblata,tree,0,1,simple,no,evergreen,452,571,533,35,75,140,29,60,19,34,27,43,20
Rhodamnia maideniana,shrub,1,0,simple,no,evergreen,,,,6,50,100,20,45,3,3,2,2,
Alangium villosum-tomentosum,tree,0,1,simple,no,evergreen,570,570,570,9,35,200,10,90,15,15,6,7,
Meiogyne hirsuta,shrub,1,0,simple,no,evergreen,,,435,3,50,140,15,50,7,9,6,8,3
Citrus garrawayi,tree,1,0,simple,no,evergreen,,,659,12,7,60,4,40,6,7,4,5,3
Cryptocarya saccharata,tree,0,1,simple,no,evergreen,,571,533,35,55,120,20,50,13,22,9,13,
Cryptocarya claudiana,tree,1,1,simple,no,evergreen,,571,533,10,85,190,30,70,11,12,8,11,
Lophopetalum arnhemicum,tree,0,1,simple,no,evergreen,,,,20,50,170,15,35,5,7,3,4,
Endiandra hayesii,tree,1,1,simple,no,evergreen,662.2,,,40,60,120,30,60,15,20,7,10,
Medicosma cunninghamii,shrub,1,0,simple,no,evergreen,,,,10,80,150,15,50,2,3,1,2,
Polyalthia michaelii,tree,0,1,simple,no,evergreen,510,480,435,25,60,200,35,75,25,40,18,28,
Cryptocarya erythroxylon,tree,1,1,simple,no,evergreen,619.2,,,45,60,130,20,40,9,12,5,8,
Cryptocarya smaragdina,tree,1,0,simple,no,evergreen,,571,533,25,50,85,15,25,7,8,8,9,
Clerodendrum grayi,shrub,1,1,simple,no,evergreen,,,519,6,80,210,40,88,4,4,3,4,
Schefflera actinophylla,tree,1,0,compound,no,evergreen,400,400,390,24,80,300,50,140,5,6,1,2,
Schefflera bractescens,tree,1,0,compound,no,evergreen,,400,390,4,100,380,80,120,3,4,1,2,
Arytera dictyoneura,tree,1,1,compound,no,evergreen,,,,8,35,110,18,50,6,8,4,5,
Cryptocarya grandis,tree,1,1,simple,no,evergreen,,571,533,35,65,155,30,75,9,13,11,15,
Sloanea australis,tree,1,1,simple,no,evergreen,516,,,45,70,300,30,100,7,9,4,5,
Cossinia australiana,tree,1,1,compound,no,evergreen,,,,8,20,75,8,22,6,8,4,5,
Cryptocarya triplinervis-pubens,tree,1,0,simple,no,evergreen,649.3,,,30,50,100,20,40,5,8,5,7,
Ceratopetalum iugumensis,tree,1,0,compound,no,evergreen,,576,563,10,100,150,14,55,2,2,2,2,
Trema tomentosa-tomentosa,tree,1,0,simple,no,evergreen,,,,6,50,180,20,70,2,2,2,2,
Davidsonia jerseyana,tree,0,1,compound,no,evergreen,752.5,,,10,60,200,30,80,15,20,12,15,8
Atalaya calcicola,tree,1,1,compound,no,evergreen,,680,661,10,60,140,30,60,6,8,4,6,
Atalaya rigida,tree,1,1,compound,no,evergreen,,,,8,100,145,55,75,5,6,3,5,
Fontainea fugax,shrub,0,1,simple,no,evergreen,,,,5,15,90,6,40,4,5,3,4,
Arytera microphylla,tree,1,0,compound,no,evergreen,,,,9,20,50,12,28,6,7,4,5,
Baileyoxylon lanceolatum,tree,0,1,simple,no,evergreen,,,622,30,100,160,40,50,15,18,15,18,
Cryptocarya bidwillii,tree,0,1,simple,no,evergreen,645,,,20,50,120,20,40,9,13,7,12,
Davidsonia johnsonii,tree,0,1,compound,no,evergreen,752.5,,,18,20,150,15,60,15,20,12,15,8
Davidsonia pruriens,tree,0,1,compound,no,evergreen,,,,18,50,460,25,160,10,12,6,8,
Cryptocarya glaucescens,tree,1,1,simple,no,evergreen,541.8,,,45,60,130,20,40,10,12,8,9,
Archeria hirtella,shrub,1,0,simple,no,evergreen,,,,6,6,10,3,5,0.3,0.5,0.2,0.3,
Diselma archeri,tree,1,0,simple,no,evergreen,,,,6,1,2,1,1.5,1,2,1,2,1
Macadamia tetraphylla,tree,0,1,simple,no,evergreen,,,,18,70,250,22,45,12,15,12,15,
Nematolepis squamea,tree,1,0,simple,no,evergreen,597.7,,,6,50,100,10,22,1,2,1,2,
Dinosperma erythrococcum,tree,1,0,compound,no,evergreen,,,659,25,23,130,10,50,4,6,3,4,
Atalaya hemiglauca,tree,1,1,compound,no,evergreen,,,,6,60,150,8,18,5,6,4,5,3
Atalaya multiflora,tree,1,1,compound,no,evergreen,,,,25,50,120,15,40,5,6,4,5,3
Meiogyne cylindrocarpa_cylindrocarpa,tree,1,0,simple,no,evergreen,,,435,8,20,75,15,25,7,9,6,8,3
Meiogyne verrucosa,shrub,1,0,simple,no,evergreen,,,435,3,70,100,20,30,7,7,6,6,3
Pilidiostigma tropicum,tree,1,1,simple,no,evergreen,,,653,20,40,90,20,38,5,8,2,3,
Rubiaceae Shute-Harbour,shrub,1,0,simple,no,evergreen,,,608,3,60,140,25,60,3,5,2,3,1.5
Schyphiphora hydrophyllaceae,tree,1,0,simple,no,evergreen,,,,6,23,75,13,45,2,2,1,2,
Ficus coronulata,tree,1,0,simple,no,deciduous,,394,522,15,35,170,15,60,1,1,1,1,
Beilschmiedia peninsularis,tree,0,1,simple,no,evergreen,,592,533,20,60,130,20,55,16,20,11,12,
Capparis loranthifolia,shrub,0,1,simple,no,evergreen,,,,10,40,80,15,22,6,8,5,6,3
Atalaya collina,tree,1,1,compound,no,evergreen,,,,10,50,120,12,40,5,6,4,5,3
Alstonia actinophylla,tree,0,1,simple,no,evergreen,,502,473,35,20,135,5,25,5,6,1,1,
Alstonia scholaris,tree,0,1,simple,no,evergreen,335,502,473,40,115,230,40,75,4,5,1,1,
Xylocarpus rumphii,tree,0,1,compound,no,evergreen,,,,18,35,160,20,95,35,70,10,25,15
Hicksbeachia pinnatifolia,tree,0,1,compound,yes,evergreen,580.5,,,15,60,250,20,60,20,25,10,15,
Allophylus cobbe,tree,1,0,compound,no,evergreen,,,661,6,15,190,10,75,4,8,3,6,
Atalaya angustifolia,tree,1,0,compound,no,evergreen,,680,661,5,15,70,2,5,5,7,4,5,
Tarenna dallachiana_expandens,tree,1,0,simple,no,evergreen,,,,8,120,220,60,95,2,3,1,2,
Zieria verrucosa,shrub,1,0,compound,no,evergreen,,,,2,10,50,1,5,1,2,1,1,
Cryptocarya nova-anglica,tree,1,1,simple,no,evergreen,,,,20,30,70,16,35,7,8,5,6,
Halfordia scleroxyla,tree,1,0,simple,no,evergreen,840,840,659,30,50,175,15,65,5,6,5,6,
Lophostemon lactifluus,tree,1,0,simple,no,evergreen,,,,15,100,140,27,60,1,1.5,1,1.5,
Cryptocarya williwilliana,tree,1,0,simple,no,evergreen,,,,10,15,40,5,20,6,8,5,6,
Cryptocarya vulgaris,tree,1,0,simple,no,evergreen,,571,533,30,65,140,25,60,5,9,5,9,
Xylopia maccreae,tree,0,1,simple,no,evergreen,,,435,25,40,150,20,40,10,14,6,7,
Tarenna monticola,tree,1,0,simple,no,evergreen,,,,7,120,270,30,110,2,3,2,2,
Melicope bonwickii,tree,1,0,compound,no,evergreen,390,534,659,32,100,300,40,150,3,6,2,3,
Alectryon subdentatus,tree,1,1,compound,no,evergreen,,,,12,30,80,10,40,5,6,4,5,
Arytera divaricata,tree,1,1,compound,no,evergreen,590,580,661,30,50,195,20,70,10,15,5,7,
Atalaya salicifolia,tree,1,0,compound,no,evergreen,690,680,661,12,45,180,5,30,6,7,5,6,
Lophostemon confertus,tree,1,0,simple,no,evergreen,690,690,653,40,70,175,25,60,2,3,2,2,
Zieria tuberculata,shrub,1,0,compound,no,evergreen,,,,3.5,20,50,2,3.5,1,2,1,1,
Maytenus Windsor-Tableland,tree,1,1,simple,no,evergreen,,740,685,7,40,110,15,40,3,4,3,3,
Arytera pauciflora,tree,1,1,compound,no,evergreen,,580,661,20,55,175,10,55,13,15,7,8,
Halfordia kendack,tree,1,0,simple,no,evergreen,840,840,659,30,35,180,10,55,5,6,5,6,
Cleistanthus cunninghamii,tree,1,0,simple,no,evergreen,786.9,,,25,30,90,20,40,3,4,2,3,
Hicksbeachia pilosa,tree,0,1,compound,no,evergreen,550,550,573,15,100,400,25,85,25,30,17,22,
Leionema ellipticum,shrub,0,0,simple,no,evergreen,,,659,10,30,80,12,36,3,3,1,1,0.5
Tetrameles nudiflora,tree,1,0,simple,yes,deciduous,,,,45,80,260,60,220,1,1,1,1,
Leptospermum polygalifolium,tree,1,0,simple,no,evergreen,,,,10,10,15,4,6,1,2,1,1,
Osbornia octodonta,tree,1,0,simple,no,evergreen,,,,9,17,52,8,20,4,5,2,2,
Arytera foveolata,tree,1,0,compound,no,evergreen,,,,9,60,120,18,35,6,8,4,5,
Haplostichanthus submontanus_sessiliflorus,shrub,1,0,simple,no,evergreen,,,435,5,60,200,15,45,7,9,7,9,
Diospyros hebecarpa,tree,0,1,simple,no,evergreen,,616,616,20,60,135,23,60,15,17,5,6,
Lophostemon suaveolens,tree,1,0,simple,no,evergreen,,690,653,20,55,170,25,65,2,2,1,2,
Aceratium doggrellii,tree,1,1,simple,no,evergreen,500,570,513,35,45,90,15,25,15,20,8,10,
Aceratium ferrugineum,tree,0,1,simple,no,evergreen,,570,513,30,75,160,35,75,15,18,8,8,
Randia tuberculosa,shrub,1,0,simple,no,evergreen,,,608,2,25,105,12,50,3,5,2,3,
Psydrax odorata-arnhemica,tree,1,0,simple,no,evergreen,780,780,608,15,55,90,23,50,5,6,3,4,
Leptospermum petersonii,tree,1,0,simple,no,evergreen,,,,10,10,15,3,5,1,2,1,1,
Carnarvonia araliifolia-montana,tree,0,1,compound,no,evergreen,560,560,573,30,70,200,40,80,10,14,8,11,4
Callitris rhomboidea,tree,1,1,simple,no,evergreen,,,,20,2,3,1,2,4,5,3,3,2
Bosistoa selwynii,tree,1,0,simple,no,evergreen,,,,22,40,125,25,70,8,10,6,8,5
Cryptocarya floydii,tree,1,1,simple,no,evergreen,,,,15,30,60,8,20,7,10,6,8,
Cryptocarya foveolata,tree,1,1,simple,no,evergreen,455.8,,,45,50,120,20,60,6,10,6,8,
Cryptocarya sclerophylla,tree,1,1,simple,no,evergreen,,,,15,40,120,15,35,8,10,6,8,
Grevillea heliosperma,tree,0,1,compound,no,evergreen,,,,7,50,125,4,15,8,11,5,7,2
Cryptocarya rhodosperma,tree,0,1,simple,no,evergreen,,571,533,25,80,145,30,80,12,22,8,13,
Lenwebbia prominens,tree,1,0,simple,no,evergreen,619.2,,,10,30,100,20,35,3,4,2,2,
Psydrax odorata-australiana,tree,1,0,simple,no,evergreen,780,780,608,15,30,110,10,50,4,5,3,4,
Terminalia oblongata-volucris,tree,1,1,simple,no,deciduous,,550,550,15,15,100,25,65,10,12,5,6,
Mitrantia bilocularis,tree,1,0,simple,no,evergreen,,,653,25,60,160,22,65,6,8,4,5,
Diospyros geminata,tree,1,0,simple,no,evergreen,,616,616,10,40,95,20,50,7,8,3,4,
Alectryon tomentosus,tree,1,0,compound,no,evergreen,,,661,20,30,150,10,65,5,8,4,7,
Eucryphia lucida,tree,1,1,simple,no,evergreen,,,,30,25,45,15,20,2,3,1,2,1.5
Atalaya australiana,tree,1,1,compound,no,evergreen,,,,20,60,210,20,120,6,9,4,6,
Avicennia marina,tree,0,1,simple,no,evergreen,,,,16,30,115,12,40,18,28,12,18,12
Eucryphia milliganii,shrub,1,1,simple,no,evergreen,,,,3,15,35,7,10,2,3,1,2,1.5
Leptospermum grandifolium,tree,1,0,simple,no,evergreen,,,,12,10,15,4,6,1,2,1,1,
Arytera bifoliolata,tree,1,0,simple,no,evergreen,,580,661,10,60,195,18,70,8,10,4,6,
Cryptocarya triplinervis-riparia,tree,1,0,simple,no,evergreen,600,571,533,20,45,135,15,50,6,9,5,9,
Cryptocarya foetida,tree,1,1,simple,no,evergreen,,,,20,50,120,20,60,5,9,6,7,
Lophostemon grandiflorus,tree,1,0,simple,no,evergreen,,690,653,11,30,120,10,65,1,2,1,2,
Rhodamnia rubescens,tree,1,0,simple,no,evergreen,662.2,,,30,50,100,20,45,2,2,1,1,
Hibiscus meraukensis,shrub,1,0,simple,yes,evergreen,,,,3,30,180,30,180,3,4,2,3,
Callitris macleayana,tree,1,1,simple,no,evergreen,470,470,470,40,1,3,1,2,5,6,3,3.5,
Brachychiton albidus,tree,1,1,simple,yes,deciduous,,340,426,8,45,150,55,190,8,12,4,6,
Sterculia holtzei,tree,0,1,simple,no,evergreen,,,,20,60,150,40,80,10,12,6,8,
Rhodamnia pauciovulata,tree,1,0,simple,no,evergreen,,,,10,25,53,20,40,2,3,1,2,
Pternandra coerulescens,tree,1,0,simple,no,evergreen,,,,15,70,100,35,50,1,1,1,1,
Cryptocarya endiandrifolia,tree,1,1,simple,no,evergreen,,571,533,15,60,210,20,65,7,8,7,9,
Abutilon hannii,shrub,1,0,simple,no,evergreen,,,,1.5,20,150,8,110,2,3,1,2,
Rhodamnia sharpeana,tree,1,0,simple,no,evergreen,,661,653,25,35,80,10,30,3,3,3,3,
Thunbergia arnhemica,vine,1,0,simple,yes,evergreen,,,,,30,90,10,80,5,6,5,6,
Deeringia amaranthoides,vine,1,0,simple,no,evergreen,,,,,25,250,10,80,1,1,1,1,
Deeringia arborescens,vine,1,0,simple,no,evergreen,,,,,50,200,15,100,1,1,1,1,
Artabotrys carnosipetalus,vine,0,1,simple,no,evergreen,,,,,70,160,30,75,15,17,7,9,
Cyathostemma micranthum,vine,1,0,simple,no,evergreen,,,,,40,110,15,45,8,10,6,6,2
Cyathostemma glabrum,vine,1,1,simple,no,evergreen,,,,,50,120,30,60,7,10,5,9,2
Desmos goezeanus,vine,1,1,simple,no,evergreen,,,,,50,150,25,60,9,11,6,7,
Desmos polycarpus,vine,1,1,simple,no,evergreen,,,,,100,170,30,55,7,8,5,6,
Desmos wardianus,vine,1,1,simple,no,evergreen,,,,,25,85,10,25,6,7,3,4,
Melodorum leichhardtii,vine,1,0,simple,no,evergreen,,,,,70,140,15,45,6,8,4,5,
Melodorum scabridulum,vine,1,1,simple,no,evergreen,,,,,50,140,25,60,8,10,5,6,
Melodorum crassipetalum,vine,1,1,simple,no,evergreen,,,,,30,150,20,40,9,11,6,7,
Melodorum unguiculatum,vine,1,0,simple,no,evergreen,,,,,30,110,20,40,5,6,,,
Melodorum topazensis,vine,1,0,simple,no,evergreen,,,,,40,220,35,80,8,8,6,8,
Melodorum uhrii,vine,1,0,simple,no,evergreen,,,,,30,300,20,95,8,10,6,6,
Uvaria concava,vine,1,1,simple,no,evergreen,,,,,30,250,30,90,12,12,6,6,
Uvaria holtzei,vine,1,1,simple,no,evergreen,,,,,40,180,30,80,6,8,4,5,2
Uvaria rufa,vine,1,1,simple,no,evergreen,,,,,70,240,50,90,9,13,5,6,2
Aphanopetalum resinosum,vine,1,0,simple,no,evergreen,,,,,40,80,18,35,2,3,2,3,
Alyxia grandis,vine,1,1,simple,no,evergreen,,,,,30,110,10,40,12,14,10,10,
Alyxia stellata,vine,1,0,simple,no,evergreen,,,,,10,70,5,28,5,6,5,6,
Carissa laxiflora,vine,1,1,simple,no,evergreen,,,,,30,90,10,50,4,5,3,4,3
Ceropegia cumingiana,vine,0,1,simple,no,deciduous,,,,,20,130,15,75,10,14,2,3,
Phyllanthera grayi,vine,0,1,simple,no,evergreen,,,,,80,150,25,80,12,13,4,5,
Cynanchum bowmanii,vine,0,1,simple,no,evergreen,,,,,30,85,10,30,5,7,2,3,
Cynanchum carnosum,vine,0,1,simple,no,evergreen,,,,,20,75,4,35,5,7,2,3,
Cynanchum elegans,vine,0,1,simple,no,evergreen,,,,,15,55,9,50,3,4,1,2,1
Cynanchum leptolepis,vine,0,1,simple,no,evergreen,,,,,45,180,27,140,7,8,2,3,
Cynanchum ovalifolium,vine,0,1,simple,no,evergreen,,,,,70,120,35,70,10,11,6,7,
Cynanchum pedunculatum,vine,1,0,simple,no,evergreen,,,,,35,95,20,50,6,13,3,3,
Dischidia litoralis,vine,0,1,simple,no,evergreen,,,,,18,32,8,17,2,3,1,2,
Dischidia major,vine,0,1,simple,no,evergreen,,,,,35,90,15,35,3,3,1,2,
Dischidia nummularia,vine,0,1,simple,no,evergreen,,,,,6,15,4,13,3,3,1,2,
Dischidia ovata,vine,1,0,simple,no,evergreen,,,,,20,50,5,35,2,2,1,1,
Finlaysonia obovata,vine,0,1,simple,no,evergreen,,,,,40,125,16,60,3,4,2,2,1
Gunnessia pepo,vine,0,1,simple,no,evergreen,,,,,50,150,25,100,6,9,2,3,
Gymnanthera oblonga,vine,0,1,simple,no,evergreen,,,,,40,120,15,80,6,7,1,2,
Heterostemma acuminatum,vine,0,1,simple,no,evergreen,,,,,55,160,35,130,13,15,4,5,
Hoya anulata,vine,0,1,simple,no,evergreen,,,,,30,95,20,50,4,5,1,1.5,
Hoya australis-australis,vine,0,1,simple,no,evergreen,,,,,25,150,15,120,3,5,1,1.5,
Hoya australis-sanae,vine,0,1,simple,no,evergreen,,,,,40,60,15,25,,,,,
Hoya australis-tenuipes,vine,0,1,simple,no,evergreen,,,,,50,100,30,60,4,5,2,2,
Hoya macgillivrayi,vine,0,1,simple,no,evergreen,,,,,85,200,40,80,6,7,1,1.5,
Hoya pottsii,vine,0,1,simple,no,evergreen,,,,,80,210,35,100,5,6,1,1.5,
Hoya revoluta,vine,0,1,simple,no,evergreen,,,,,30,100,15,30,3,5,1,2,1
Hoya sussuela,vine,0,1,simple,no,evergreen,,,,,55,130,25,75,7,8,1,1.5,
Ichnocarpus frutescens,vine,0,1,simple,no,evergreen,,,,,25,105,20,65,7,20,,,
Ichnocarpus rhombifolius,vine,0,1,simple,no,evergreen,,,,,10,110,5,50,15,22,,,
Marsdenia connivens,vine,0,1,simple,no,evergreen,,,,,12,37,6,19,5,6,2,3,
Marsdenia cymulosa,vine,1,1,simple,no,evergreen,,,,,45,115,18,45,5,12,2,3,
Marsdenia flavescens,vine,0,1,simple,no,evergreen,,,,,30,120,15,40,3,4,1,1,
Marsdenia fraseri,vine,0,1,simple,no,evergreen,,,,,20,80,6,20,3,4,2,2,
Marsdenia geminata,vine,0,1,simple,no,evergreen,,,,,22,90,12,55,5,8,3,3,
Marsdenia glandulifera,vine,0,1,simple,no,evergreen,,,,,50,140,30,90,4,5,2,3,
Marsdenia hemiptera,vine,0,1,simple,no,evergreen,,,,,70,190,25,110,7,8,3,3,
Marsdenia jensenii,vine,0,1,simple,no,evergreen,,,,,95,210,45,110,4,5,2,3,
Marsdenia llisae,vine,0,1,simple,no,evergreen,,,,,40,180,21,80,2,3,1,2,
Marsdenia lloydii,vine,0,1,simple,no,evergreen,,,,,40,110,15,60,2,3,1,2,
Marsdenia longiloba,vine,0,1,simple,no,evergreen,,,,,30,120,14,55,3,4,1,2,
Marsdenia longipedicellata,vine,0,1,simple,no,evergreen,,,,,60,150,20,100,12,13,3,4,
Marsdenia micradenia,vine,1,1,simple,no,evergreen,,,,,25,70,10,38,5,6,2,3,
Marsdenia microlepis,vine,1,1,simple,no,evergreen,,,,,20,85,15,95,6,8,2,3,
Marsdenia paludicola,vine,0,1,simple,no,evergreen,,,,,55,190,30,82,10,10,3,4,
Marsdenia pleiadenia,vine,0,1,simple,no,evergreen,,,,,18,140,10,105,7,8,2,2,
Marsdenia rostrata,vine,0,1,simple,no,evergreen,,,,,35,140,20,110,7,10,4,5,
Marsdenia straminea,vine,0,1,simple,no,evergreen,,,,,65,140,40,85,10,12,2,2,
Marsdenia suaveolens,vine,0,1,simple,no,evergreen,,,,,20,90,7,30,3,4,1,2,
Marsdenia suborbicularis,vine,0,1,simple,no,evergreen,,,,,42,140,25,90,3,4,1,2,
Marsdenia tricholepis,vine,0,1,simple,no,evergreen,,,,,28,80,12,65,5,6,2,3,
Marsdenia velutina,vine,0,1,simple,no,evergreen,,,,,70,190,40,150,7,9,3,4,
Marsdenia viridiflora-tropica,vine,0,1,simple,no,evergreen,,,,,30,100,4,50,5,7,2,3,
Marsdenia viridiflora-viridiflora,vine,0,1,simple,no,evergreen,,,,,20,120,5,20,3,4,2,2,
Melodinus acutiflorus,vine,1,1,simple,no,evergreen,,,,,40,190,25,75,5,10,3,5,
Melodinus acutifolius,vine,0,1,simple,no,evergreen,,,,,30,130,8,50,5,7,3,3.5,
Melodinus australis,vine,1,0,simple,no,evergreen,,,,,80,190,35,70,5,7,3,5,
Melodinus bacellianus,vine,1,1,simple,no,evergreen,,,,,40,160,30,70,7,11,3,6,3
Melodinus forbesii,vine,1,1,simple,no,evergreen,,,,,45,210,20,80,5,7,3,5,3
Parsonsia alboflavescens,vine,0,1,simple,no,evergreen,,,,,85,145,45,85,5,7,3,5,3
Parsonsia bartlensis,vine,0,1,simple,no,evergreen,,,,,30,60,10,23,,,,,
Parsonsia blakeana,vine,0,1,simple,no,evergreen,,,,,60,140,25,66,7,8,3,4,
Parsonsia brownii,vine,0,1,simple,no,evergreen,,,,,35,130,11,40,5,6,2,3,
Parsonsia densivestita,vine,0,1,simple,no,evergreen,,,,,90,230,40,130,5,6,2,3,
Parsonsia dorrigoensis,vine,0,1,simple,no,evergreen,,,,,30,120,5,50,5,7,1,2,
Parsonsia eucalyptophylla,vine,0,1,simple,no,evergreen,,,,,80,240,5,20,5,6,1,2,
Parsonsia ferruginea,vine,0,1,simple,no,evergreen,,,,,65,170,30,110,5,6,1,2,
Parsonsia fulva,vine,0,1,simple,no,evergreen,,,,,80,200,50,130,5,6,1,2,
Parsonsia grayana,vine,0,1,simple,no,evergreen,,,,,45,120,20,50,5,6,1,2,
Parsonsia induplicata,vine,0,1,simple,no,evergreen,,,,,30,150,8,30,4,5,1,2,
Parsonsia lanceolata,vine,0,1,simple,no,evergreen,,,,,30,100,5,50,4,5,1,2,
Parsonsia langiana,vine,0,1,simple,no,evergreen,,,,,20,120,3,75,4,5,1,2,
Parsonsia larcomensis,vine,0,1,simple,no,evergreen,,,,,10,45,4,22,4,5,1,2,
Parsonsia largiflorens,vine,0,1,simple,no,evergreen,,,,,65,160,40,90,4,5,1,2,
Parsonsia latifolia,vine,0,1,simple,yes,evergreen,,,,,70,190,35,90,10,15,4.5,5.3,
Parsonsia leichhardtii,vine,0,1,simple,no,evergreen,,,,,40,130,20,50,5,6,3,4,
Parsonsia lenticellata,vine,0,1,simple,no,evergreen,,,,,40,100,5,30,5,7,3,4,
Parsonsia lilacina,vine,0,1,simple,no,evergreen,,,,,15,60,6,30,4,5,1,2,
Parsonsia longipetiolata,vine,0,1,simple,no,evergreen,,,,,35,105,25,60,5,7,2,2,
Parsonsia paulforsteri,vine,0,1,simple,no,evergreen,,,,,40,100,3,25,5,6,1,2,
Parsonsia plaesiophylla,vine,0,1,simple,no,evergreen,,,,,40,130,15,65,7,8,2,3,
Parsonsia purparescens,vine,0,1,simple,no,evergreen,,,,,40,100,15,40,3,4,1,2,
Parsonsia rotata,vine,0,1,simple,no,evergreen,,,,,50,150,15,60,4,5,1,2,
Parsonsia sankowskyana,vine,0,1,simple,no,evergreen,,,,,80,200,30,115,5,7,2,2,
Parsonsia straminea,vine,0,1,simple,no,evergreen,,,,,40,240,15,85,8,10,2,2,
Parsonsia tenuis,vine,0,1,simple,no,evergreen,,,,,35,110,10,25,3,4,1,2,
Parsonsia velutina,vine,0,1,simple,no,evergreen,,,,,30,190,20,90,6,8,1,2,
Parsonsia ventricosa,vine,0,1,simple,no,evergreen,,,,,40,150,15,50,6,7,2,3,
Parsonsia wildensis,vine,0,1,simple,no,evergreen,,,,,20,75,4,28,5,6,2,2,
Parsonsia wongabelensis,vine,0,1,simple,no,evergreen,,,,,65,190,45,130,12,15,2,3,
Sarcolobus hullsii,vine,0,0,simple,no,evergreen,,,,,50,90,20,70,8,9,2,3,
Sarcolobus vittatus,vine,0,0,simple,no,evergreen,,,,,25,85,15,38,8,9,2,3,
Sarcostemma viminale-brunonianum,vine,0,1,simple,no,evergreen,,,,,2,3,2,2,5,5,1,2,
Secamone auriculata,vine,0,1,simple,no,evergreen,,,,,90,150,45,100,7,10,2,2,
Secamone elliptica,vine,0,1,simple,no,evergreen,,,,,20,60,6,35,7,10,2,2,
Secamone lineata,vine,0,0,simple,no,evergreen,,,,,55,125,20,50,7,10,2,2,
Secamone timoriensis,vine,0,1,simple,no,evergreen,,,,,50,100,20,55,7,10,2,2,
Tylophora barbata,vine,0,1,simple,no,evergreen,,,,,25,70,12,40,5,6,1,2,
Tylophora benthamii,vine,0,1,simple,no,evergreen,,,,,60,120,30,80,9,10,2,2,
Tylophora cinerascens,vine,0,1,simple,no,evergreen,,,,,60,90,30,60,5,7,2,2,
Tylophora colorata,vine,0,1,simple,no,evergreen,,,,,40,120,13,58,5,7,2,2,
Tylophora flexuosa,vine,0,1,simple,no,evergreen,,,,,25,100,10,55,7,8,2,2,
Tylophora grandiflora,vine,0,1,simple,no,evergreen,,,,,10,65,6,45,6,8,2,2,
Tylophora paniculata,vine,0,1,simple,no,evergreen,,,,,30,90,20,65,3,4,1,2,
Tylophora williamsii,vine,0,1,simple,no,evergreen,,,,,15,80,12,40,5,7,2,2,
Tylophora woollsii,vine,0,1,simple,no,evergreen,,,,,35,80,18,45,3,3,1,2,
