Current Scientific Name,Species Code,Legal Status,Exotic,2010 Update,Notes on Name / Synonym as used in source reference,Family,Group,Life form,Fireresponse,Comments on regeneration,Resprout location,Seed storage,Seed dispersal mechanism,Seed dispersal distance,Seed weight / size,Seed viability,Dormancy,Germination cue,Fecundity,Seed predation,Post-fire recruitment,Establishment,Post-fire flowering,Flowering time,flowering_time_edited,fruiting_time_edited,Primary juvenile period,Secondary juvenile period,Seed set,Seed-bank developed,Fire tolerance,Life span,Seed-bank longevity,"""Maturity"" (from source)","""Extinction"" (from source)","""Rec. min fire interval"" (from source)","""Rec. max fire interval"" (from source)",NC,CC,SC,NT,CT,ST,NWS,CWS,SWS,NWP,SWP,NFWP,SFWP,Distribution: extra NSW,Vegetation,Rainforest,Wet Sclerophyll Forest (Shrubby),Wet Sclerophyll Forest (Grassy),Grassy Woodland,Grassland,Dry Sclerophyll Forest (Shrub/Grass),Dry Sclerophyll Forest (Shrubby),Heathland,Alpine Complex,Freshwater Wetland,Forested Wetlands,Saline Wetland,Semi-arid Woodland,Arid & Semi-arid Shrubland,NFRR data,Additional fire response data,Other data,VA group,Sensitivity: frequent,Sensitivity: infrequent,Minimum maturity,Maximum maturity,Lifespan > than,Lifespan < than,Lifespan + seed-bank,VA Data,Establishment Data,Maturity Data,Lifespan Data,Lifespan 2 Data,Seedbank Data
Paspalum quadrifarium,5092,,*,n,,Poaceae,M,H,R,,,,,,,,,,,,,,,mostly spring to autumn but inflorescences present most of the year,Sep-May,,,<1,,,,,,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,,exotic,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,138,E,5,5,1,,,,,5,5,5,5,5,5
Paspalum urvillei,5093,,*,n,,Poaceae,M,H,R,,,,,,,,,,,,,,,summer,Dec-Feb,,,<1,,,,,,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,Q V,exotic,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,127,E,5,5,1,,,,,5,5,5,5,5,5
Passiflora cinnabarina,4642,,,,,Passifloraceae,D,C,S/R,,,persistent soil,,,,,,,,,,,,,,,,,,,,,,,,,,-,1,1,1,1,1,-,1,1,-,-,-,-,V,OF,,,,,,,1,1,,,,,,,9M,II-105,,G,1,4,,,,,,3,4,4,4,5,4
Passiflora herbertiana subsp. herbertiana,8886,,,,,Passifloraceae,D,V,R,,,,,,,,,,,,,,,,,,,<2.5,,,,short (a few years),,,,,,1,1,1,-,1,-,-,1,-,-,-,-,-,Q,moist-F,,,1,,,,,,,,,,,,,IX-1?,1,V,4,4,2,,S,,10,1,4,2,2,4,2
Patersonia fragilis,3300,,,,,Iridaceae,M,H,R,,rhizome,persistent soil,,,,,,,,,no,,,Aug-Dec,Aug-Dec,,,1,,,,,,,,,,1,1,1,1,1,1,-,-,-,-,-,-,-,Q V T SA,H,,,,,,,,1,,,,,,,9I 11M 9BW 9KE 4W,IXb-6; V-38c; IX-39; IXb-49; IX-59,6; 9; 10,UGR,2,3,1,,,,,1,2,1,4,5,4
Patersonia glabrata,3301,,,,,Iridaceae,M,S,R,,"rhizome, basal",persistent soil,a-ant,,"capsule 15-25mm long, seeds 3mm long",84%,,smoke,,,few seedlings,,facultative,Aug-Nov,Aug-Nov,,,60-85% flowering at 4 months at 1 site,,,,indefinite,,,,,,1,1,1,1,1,1,-,1,-,-,-,-,-,Q,W DSF H,,,,,,,1,1,,,,,,,5F 9BW 9I 9B,IXb-4; IXb-6; V-38b; IX-39; IXb-49; IV-52; IV-105,6; 9; 55; 88; 93b; 105,UG,4,4,1,,I,,110,1,4,1,2,1,2
Patersonia longifolia,3302,,,,Patersonia sericea var. longifolia,Iridaceae,M,H,R,,basal,persistent soil,a-ant,,"capsule 15-30mm long, seeds 3mm long, seed 5mg",,,,,,,I,facultative,Oct-Dec,Oct-Dec,,,1,1,,,,,,,,,1,1,1,-,1,1,-,-,-,-,-,-,-,V,DSF H,,,,,,1,1,1,,,,,,,9I,IXb-3; IX-8,9; 55,UGI,2,1,2,,,,,1,1,2,4,5,4
Patersonia sericea,3303,,,c,Patersonia sericea var. sericea,Iridaceae,M,H,R,Mortality 25-40% (57); Post-fire abundance increase after autumn burn(57),"rhizome, basal",persistent soil,a-ant,,,,,heat,,,"moderate after spring burn, high after autumn burn",I,facultative,Jun-Dec,Jun-Dec,,,0.5; 1 (138),,,,indefinite,,,,,,-,1,-,1,1,1,-,-,-,-,-,-,-,Q V,DSF W H,,,,,,1,1,1,,,,,,,9BW 5K 9T 9KE 9BG 9I,IXb-2; IXb-3; IXb-4; IX-5; IXb-6; IXd-7; IX-39; IXb-49; IV-52; IX-57; IV-105,6; 7; 9; 52; 55; 57; 88; 105; 138,UGI,2,1,1,,I,,110,1,1,1,2,1,2
Pavonia hastata,7267,,*,,,Malvaceae,D,S,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8BD,,,E,5,5,,,,,,5,4,4,4,5,4
Pelargonium australe,3157,,,,,Geraniaceae,D,H,Rs,Variable (39),rhizome,,wind,,,,,,,,yes,,,Oct-Mar,Oct-Mar,,1,1,,,,<5,,,,,,1,1,1,-,1,1,1,1,1,-,-,-,1,Q V T SA WA,S,,,,,,,,1,,,,,,1,9W 9WO 9WA,V-38c; VIII&IX-39; IX-95a,10; 48; 95a; 96,U,4,4,1,,,5,,3,4,1,4,3,4
Pelargonium capitatum,3158,,*,,,Geraniaceae,D,S,S/R,,,persistent soil,,,,,,,,,,,,,,,,,,,,,,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,9BA,II-60,,E,5,5,,,,,,5,4,4,4,5,4
Pelargonium helmsii,3160,,,,,Geraniaceae,D,H,R,,basal,persistent soil,,,,,,,,,,T,,summer,Dec-Feb,,1,,,,,10?,,,,,,-,-,-,-,-,1,-,-,-,-,-,-,-,V,alpine-H,,,,,,,,,1,,,,,,,V-58,9; 58,VGT,3,3,1,,10,,>20,1,1,1,3,3,2
Pelargonium inodorum,3161,,,,,Geraniaceae,D,H,S,,,,,,,,,,,,,I (M) / T (38),,summer,Dec-Feb,,<1,,,,,short,,,,,,1,1,1,1,1,1,1,1,-,-,1,-,-,Q V T,W F G,,,,1,1,1,,,,,,,,,8M ,VIII-38d,1; 38; M,A,5,5,,,,,,5,3,2,2,5,4
Pelargonium rodneyanum,3162,,,,,Geraniaceae,D,H,R,,,,,,,,,,,,,,,Nov-May,Nov-May,,,0.5,,,,,,,,,,-,-,1,-,1,1,-,-,-,-,-,-,-,V SA,SF,,,,,,,1,,,,,,,,,IX-11,11,U,4,4,1,,,,,1,4,1,4,5,4
Pellaea falcata,8444,,,,Pellaea falcata var. falcata,Sinopteridaceae,F,F,R,,has rhizome,transient?,wind,,,,probably no dormancy,,,,,,,,,,,,,,,indefinite,,,,,,1,1,1,1,1,1,1,1,-,-,-,-,-,Q V T,OF RF,1,,1,,,1,1,,,,,,,,,IX-39,1,VC,4,4,,,I,,100,2,4,4,2,1,2
Pennisetum clandestinum,5096,,*,n,,Poaceae,M,H,R,,rhizome,,,,,,,,,,,,,summer,Dec-Feb,,,,,,,,,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,Q V T SA WA NT,exotic,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,127,E,5,5,,,,,,5,5,5,5,5,5
Pentachondra pumila,2650,,,,,Epacridaceae,D,S,S,,,,,wide,810 sd/g,,,,,,,T,,Dec-Mar,Dec-Mar,,,,,,,25,,,,,,-,-,-,-,-,1,-,-,-,-,-,-,-,V T,H Herbfield G Feldmark,,,,,,,,,1,,,,,,8KP,VIII-61,9; 93b,DT,3,3,,,25,,>25,1,1,4,2,3,2
Pentapogon quadrifidus,5101,,,,,Poaceae,M,H,Sr,,,,,wide,,,,,,,,T,,spring-summer,Sep-Feb,,1,,,,,annual,,,,,,-,-,1,1,-,1,-,-,1,-,-,-,-,V T SA,W,,,,1,,,,,,,,,,,,VIII-38d; IX-40; III-R35,38; R35,A,5,5,,,,,,5,1,2,2,5,4
Pentaschistis airoides,5102,,*,,,Poaceae,M,H,S,,,,,,,,,,,,,T,,,,,1,,,,,annual,,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8C,VIII-38d,38,E,5,5,,,,,,5,1,2,2,5,4
Persicaria decipiens,7568,,,,,Polygonaceae,D,H,R,,,,,,,,,,,,,,,,,,,0.4,,,,3-Jan,,,,,,1,1,1,1,1,1,1,-,-,1,1,-,-,Q V T SA WA NT,Herbland,,,,,,,,,,1,,,,,,IX-1?,1,U,4,4,1,,1,3,,1,4,1,4,1,4
Persicaria lapathifolia,5282,,,,,Polygonaceae,D,H,R,,,,,,,,,,,,,I,,,,,,0.4,,,,annual / 1-2 (1),,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,Q V T SA NT,Herbland,,,,,,,,,,1,,,,,,IX-1?,1,A,5,5,,,,,,5,1,1,2,5,4
Persicaria strigosa,5286,,,,,Polygonaceae,D,H,R,,,,bird? / water?,,,,,,,,,,,,,,,0.4,,,,indefinite,,,,,,1,1,-,-,1,-,-,-,-,-,-,-,-,Q,Herbland open-Swamp,,,,,,,,,,1,,,,,,IX-1?,1,UD,4,3,1,,I,,100,2,4,1,2,1,2
Persoonia acerosa,5450,V,,,,Proteaceae,D,S,S,,,persistent soil,probably bird or mammal,,,,,,,,,,,Dec-Apr,Dec-Apr,,slow to mature,,,,,,,,,>7,,-,1,1,-,-,-,-,-,-,-,-,-,-,-,H DSF,,,,,,,1,1,,,,,,,,VIII-107,1; 107,G,1,4,9,,,,,1,4,2,4,5,4
Persoonia acuminata,8716,P,,n,,Proteaceae,D,S,R,,basal buds,,,,,,,,,,,,,,,,,,,,,,,,,,,-,-,-,1,1,1,-,-,-,-,-,-,-,,WSF to montane H,,1,1,,,,,1,,,,,,,,V-134,,VI,2,1,,,,,,2,2,4,4,5,4
Persoonia asperula,8363,P,,,,Proteaceae,D,S,S,,,persistent soil,,,,,,,,,,I,,,,,,,,,,,,,,,,-,-,-,-,-,1,-,-,-,-,-,-,-,-,montane-H WSF,,1,,,,,,1,,,,,,,,II-3,9; R35,GI,1,1,,,,,,1,1,4,4,5,4
Persoonia bargoensis,9527,E1,,,,Proteaceae,D,S,S,,,persistent soil,probably bird or mammal,,,,,,,,,,,Dec-Jan,Dec-Jan,,slow to mature,,,,,,,,,>7,,-,1,-,-,-,-,-,-,-,-,-,-,-,-,DSF W,,,,,,,1,,,,,,,,,VIII-107,1; 107,G,1,4,9,,,,,1,4,2,4,5,4
Persoonia chamaepeuce,5452,P,,c,,Proteaceae,D,S,R,,root suckers,persistent soil,vertebrate?,,,,,,,,,"I (1,46) T (136)",,Dec-Jan,Dec-Jan,,,2,,,,,,,,,,1,1,1,1,1,1,1,1,-,1,1,-,-,V,OF W,,,,,,,1,,,,,,,,4HO,IV-1b?; IXb-3; V-134,1; 9,VGT,2,1,,,,,,1,1,4,4,5,4
Persoonia chamaepitys,5453,P,,,,Proteaceae,D,S,S,,,persistent soil,vertebrate?,,,,,,,,,probably light-requiring coloniser,,Nov-Dec,Nov-Dec,,,,,,,,,,,,,-,1,-,-,1,1,-,1,-,-,-,-,-,-,OF W,,,,,,,1,,,,,,,,,II-1b,1,GI,1,1,,,,,,1,1,4,4,5,4
Persoonia confertiflora,5454,P,,,,Proteaceae,D,S,R,,epicormic,transient,,wide,,,,,,,,,,,,,,,,,,,,,,,,-,-,1,-,-,1,-,-,-,-,-,-,-,V,W WSF,,1,,,,,1,,,,,,,,6M,III-38b,38,VD,4,4,,,,,,1,4,4,4,5,4
Persoonia conjuncta,8597,P,,n,,Proteaceae,D,S,S,,basal buds,soil,,,,,,,,,,,,-,,,,,,,,,,,,,,1,-,-,-,-,-,-,-,-,-,-,-,-,-,WSF,,1,,,,,,,,,,,,,,II-134,,GI,1,1,,,,,,2,2,4,4,5,4
Persoonia cornifolia,5455,P,,c,,Proteaceae,D,S,R,,basal buds,,,,,,,,,,<1 seedling per adult,,,,,,,,,,,,,,,,,1,-,1,1,-,1,1,1,-,1,-,-,-,Q,W DSF,,,,,,1,1,,,,,,1,,,IX-69; IX-100; V-134,100,V,4,4,,,,,,1,4,4,4,5,4
Persoonia fastigiata,5457,P,,c,,Proteaceae,D,S,R,,basal buds,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,-,1,-,-,-,1,-,-,-,-,-,-,DSW DSF,,,,,,,1,,,,,,,,,IX-100; V-134,,V,4,4,,,,,,1,4,4,4,5,4
Persoonia glaucescens,7677,E1,,,,Proteaceae,D,S,S,,,persistent soil,vertebrate?,,,,,,,,,,,Jan-May,Jan-May,,slow to mature,,,,,,,,,>7,,-,1,-,-,1,-,-,-,-,-,-,-,-,-,W OF,,,,,,,1,,,,,,,,,II-1b; VIII-107,1; 107,G,1,4,9,,,,,1,4,2,4,5,4
Persoonia hirsuta,5458,E1,,,,Proteaceae,D,S,S,,,persistent soil,probably bird or mammal,,,,,,,,,,,Nov-Jan,Nov-Jan,,6,,,,,,,,,>7,,-,1,-,-,-,-,-,-,-,-,-,-,-,-,W DSF,,,,,,,1,,,,,,,,,VIII-107,1; 107,G,1,4,6,9,,,,1,4,1,4,5,4
Persoonia isophylla,8414,P,,,,Proteaceae,D,S,S,,,persistent soil,vertebrate?,,,,,,,,,appears to be coloniser of disturbed sites,,Mar,Mar,,,,,,,,,,,,,-,1,-,-,-,-,-,-,-,-,-,-,-,-,W H,,,,,,,1,1,,,,,,,,II-1b,1,GI,1,1,,,,,,1,1,4,4,5,4
Persoonia juniperina,5459,P,,,,Proteaceae,D,S,Rs,,rootstock,persistent soil,,,,,,,,,none observed (78),I,,,,,,,,,,,,6,40,,,-,-,1,-,-,-,-,-,-,-,-,-,-,V T SA,H SF,,,,,,,1,1,,,,,,,8C 8WO 9E,V-37; V-38c; II-59; IX-78,9; 38; 78,VGI,2,1,,6,,,40,3,1,1,4,2,3
Persoonia lanceolata,5460,P,,,,Proteaceae,D,S,S,,,persistent soil,a-vertebrate,wide,fleshy fruit 1300mg,,,,,,,I,,Jan-May,Jan-May,,"3, >6 (1b) / 7 (9)",,,,,25-60,,,,,,1,1,1,-,1,1,-,-,-,-,-,-,-,-,OF W H S,,,,,,,1,1,,,,,,,2F 2S 2K 8KE,II-2; II-4; II-8; VIII-39;  II-46,1; 9; 55,DI,2,2,3,7,25,60,70,2,1,1,2,1,2
Persoonia laurina,5461,P,,c,subsp. unspecified,Proteaceae,D,S,R,,basal,a-persistent soil,,,,,,,,,,,,,,,,3-Feb,,,,,,,,,,1,1,1,1,1,1,1,1,-,-,-,-,-,-,H DSF,,,,,,,1,1,,,,,,,5S 9BN 9BG,IX-39,138,VG,4,4,,,,,,2,4,4,4,5,4
Persoonia laurina subsp. intermedia,9824,P,,,,Proteaceae,D,S,R,,lignotuber,persistent soil,a-vertebrate,,fleshy fruit 1100-1550mg,,,,,,,,,Dec,Dec,,,,,,,,,,,,,-,1,-,-,1,-,-,-,-,-,-,-,-,-,OF,,,,,,,1,1,,,,,,,,Vb-1a,1; 55,VG,4,4,,,,,,1,4,4,4,5,4
Persoonia laurina subsp. laurina,9823,P,,,,Proteaceae,D,S,R,,lignotuber,persistent soil,a-vertebrate,,,,,,,,,,,Dec,Dec,,,3,,,,50-100,,,,,,1,1,-,-,1,-,-,-,-,-,-,-,-,-,W H,,,,,,,1,1,,,,,,,,Vb-1b,1; 55,VG,4,4,3,,50,100,110,1,4,1,2,1,2
Persoonia laurina subsp. leiogyna,9081,P,,,,Proteaceae,D,S,R,,lignotuber,persistent soil,a-vertebrate,,,,,,,,,,,Sep-Dec,Sep-Dec,,,,,,,,,,,,,-,-,1,-,1,1,-,-,-,-,-,-,-,-,OF,,,,,,,1,,,,,,,,,Vb-1b,1; 55,VG,4,4,,,,,,1,4,4,4,5,4
Persoonia levis,5462,P,,,,Proteaceae,D,S,R,,epicormic & lignotuber,persistent soil,a-vertebrate,,fleshy fruit 1700mg,,very poor,,,,yes,I,,Dec-Jan,Dec-Jan,,,4-Jan,,,,40-80,,,,,,1,1,1,-,1,1,-,-,-,-,-,-,-,V,OF W,,,,,,,1,,,,,,,,6G 6F 6S 6CL 9I 6K 9KE 9BG,VIb-1a; IXb-2; IX-39; V&VI-52; V&VI-105,1; 9; 52; 55; 93a,VGI,2,1,1,4,40,80,90,1,1,1,2,1,2
Persoonia linearis,5463,P,,c,,Proteaceae,D,S,R,"Epicormic shoots from stems >2cm diam (1); Plant mortality 0%; Stem mortality 72% after high intensity fire, 44% after low intensity (103)",epicormic & lignotuber,persistent soil,a-vertebrate,,fleshy fruit 1900mg,,,,,,,a few seedlings present at 4 yo site,,Jan-Feb,Jan-Feb,,,,,,minimum stem circumference for stem survival is 6cm (low intensity fire) or 16cm (high intensity),,,,,,,-,-,-,1,1,1,-,-,-,-,-,-,-,V,W OF WSF,,1,1,,,1,1,,,,,,,,6G 6F 9CL 6M,V&VIb-1a; V-38b; IX-39; V&VI-103; V&VI-105; VI-134,1; 55; 103; 105,VG,4,4,,,,,,1,4,4,4,5,4
Persoonia marginata,5464,V,,,,Proteaceae,D,S,S/R,,,persistent soil,vertebrate?,,,,,,,,,,,Dec,Dec,,slow to mature,,,,,,,,,>7,,-,-,-,-,1,-,-,-,-,-,-,-,-,-,OF,,,,,,,1,,,,,,,,,IXb-1a; VIII-107,1; 107,G,1,4,9,,,,,3,4,2,4,5,4
Persoonia media,8684,P,,n,,Proteaceae,D,sT,S,,,soil,,,,,,,,,,,,,,,6,,,,,,,,,,,1,-,-,1,-,-,-,-,-,-,-,-,-,Q,DSF to RF,1,1,1,,,1,1,,,,,,,,,II-134,,GI,1,1,6,,,,,2,2,4,4,5,4
Persoonia mollis subsp. caleyi,8990,P,,,,Proteaceae,D,S,S,,,persistent soil,vertebrate?,,,,,,,,,,,Dec,Dec,,,,,,,present at 22 yo site,,,,,,-,-,1,-,-,-,-,-,-,-,-,-,-,-,OF,,,,,,,1,,,,,,,,,II-1c,1; 105,G,1,4,,,22,,>32,1,4,3,3,5,2
Persoonia mollis subsp. ledifolia,8991,P,,,,Proteaceae,D,S,S,,,persistent soil,vertebrate?,,,,,,,,,,,Jan-Feb,Jan-Feb,,,,,,,,,,,,,-,1,-,-,1,-,-,-,-,-,-,-,-,-,OF W,,,,,,,1,,,,,,,,,II-1c,1,G,1,4,,,,,,1,4,4,4,5,4
Persoonia mollis subsp. leptophylla,9005,P,,,,Proteaceae,D,S,S,,,persistent soil,vertebrate?,,,,,,,,,"possibly colonises bared sites (1), a few seedlings present at 30 yo site (105)",,Jan-Mar,Jan-Mar,,,,,,,present at 20-30 yo site,,,,,,-,1,1,-,-,1,-,-,-,-,-,-,-,-,W S,,,,,,,1,1,,,,,,,,II-1c,1; 105,GT,1,3,,,30,,>40,1,3,3,3,5,2
Persoonia mollis subsp. livens,9003,P,,,,Proteaceae,D,S,S,,,persistent soil,vertebrate?,,,,,,,,,,,Jan,Jan,,,,,,,,,,,,,-,-,-,-,1,1,-,-,-,-,-,-,-,-,OF W,,,,,,,1,,,,,,,,,II-1c,1,G,1,4,,,,,,1,4,4,4,5,4
Persoonia mollis subsp. maxima,8995,E1,,,,Proteaceae,D,S,S,,,persistent soil,bird / a-vertebrate,,,,,,,,yes,juveniles present that have germinated in absence of fire,,Dec-Mar,Dec-Mar,,15-Oct,,,,,30-Oct,,,,15-Dec,,-,1,-,-,-,-,-,-,-,-,-,-,-,-,OF S,,,,,,,,1,,,1,,,,,II-1c; II-R2,1; R2,DT,3,3,10,15,10,30,40,1,1,1,1,1,2
Persoonia mollis subsp. mollis,9000,P,,,,Proteaceae,D,S,S,,,persistent soil,vertebrate?,,,,,,,,,,,Dec-Apr,Dec-Apr,,,,,,,,,,,,,-,1,-,-,1,-,-,-,-,-,-,-,-,-,OF,,,,,,,1,,,,,,,,,II-1c; II-49,1,G,1,4,,,,,,1,4,4,4,5,4
Persoonia mollis subsp. nectens,8996,P,,,,Proteaceae,D,S,S,,,persistent soil,vertebrate?,,,,,,,,,,,Jan-Apr,Jan-Apr,,,,,,,,,,,,,-,1,-,-,1,-,-,-,-,-,-,-,-,-,OF,,,,,,,1,,,,,,,,,II-1c,1,G,1,4,,,,,,1,4,4,4,5,4
Persoonia mollis subsp. revoluta,8997,P,,,,Proteaceae,D,S,S,,,persistent soil,vertebrate?,,,,,,,,,,,Jan,Jan,,,,,,,,,,,,,-,-,-,-,1,-,-,-,-,-,-,-,-,-,OF,,,,,,,1,,,,,,,,,II-1c,1,G,1,4,,,,,,1,4,4,4,5,4
Persoonia nutans,5467,E1,,,,Proteaceae,D,S,S,,,persistent soil,vertebrate?,,,,,,,,,I,,Dec-Jan,Dec-Jan,,slow to mature,,,,,,,,,>7,,-,1,-,-,-,-,-,-,-,-,-,-,-,-,W OW,,,,,,,1,,,,,,,,8BN,II-1c; VIII-107; VII-R33,1; 107,GI,1,1,9,,,,,1,1,2,4,5,4
Persoonia oblongata,5468,P,,,,Proteaceae,D,S,S,,,persistent soil,vertebrate?,,,,,,,,,,,Jan-Jun,Jan-Jun,,,,,,,,,,,,,-,1,-,-,1,-,-,1,-,-,-,-,-,-,OF W,,,,,,,1,,,,,,,,,II-1a?; II-49,1,G,1,4,,,,,,1,4,4,4,5,4
Persoonia oleoides,8698,P,,n,,Proteaceae,D,S,R,,basal buds,,,,,,,,,,,,,,,,,,,,,,,,,,,1,-,-,1,-,-,-,-,-,-,-,-,-,,DSF WSF,,1,,,,1,1,,,,,,,,,V-134,,VI,2,1,,,,,,2,2,4,4,5,4
Persoonia oxycoccoides,7428,P,,,,Proteaceae,D,S,R,,lignotuber,persistent soil,vertebrate?,,,,,,,,,,,Dec-Apr,Dec-Apr,,,,,,,,,,,,,-,-,-,-,1,-,-,-,-,-,-,-,-,-,montane H OF,,,,,,,1,1,,,,,,,,Vb-1b,1,VG,4,4,,,,,,1,4,4,4,5,4
Persoonia pauciflora,10723,E4A,,,,Proteaceae,D,S,S,,,,,,,,,,,,,,,,,,slow to mature,,,,,,,,,>7,,1,-,-,-,-,-,-,-,-,-,-,-,-,-,DSF W,,,,,,,1,,,,,,,,,VIII-107,107,G,1,4,9,,,,,1,4,2,4,5,4
Persoonia pinifolia,5469,P,,,,Proteaceae,D,S,Sr,,,persistent soil,vertebrate,,fleshy fruit 1270mg,85%,100%,,,,,I,,Jan,Jan,,>5,,,,,25-60,,,,,,-,1,-,-,-,-,-,-,-,-,-,-,-,-,OF W H,,,,,,,1,1,,,,,,,2S 2K 8KE 9BG,II-1a; II-2; II-49,1; 9; 55; 86,GI,1,1,7,,25,60,70,3,1,2,2,1,2
Persoonia procumbens,8699,P,,n,,Proteaceae,D,S,R,,basal buds,,,,,,,,,,,,,,,,,,,,,,,,,,,-,-,-,1,-,-,-,-,-,-,-,-,-,,DSF W,,,,1,,1,1,1,,,,,,,,V-134,,VI,2,1,,,,,,2,2,4,4,5,4
Persoonia rigida,5471,P,,,,Proteaceae,D,S,S,,,persistent soil,vertebrate?,,,,,,,,,,,Dec-Jan,Dec-Jan,,,,,,,,,,,,,-,1,-,1,1,1,-,1,1,-,-,-,-,V,OF,,,,,,,1,,,,,,,,8E,,1,G,1,4,,,,,,1,4,4,4,5,4
Persoonia rufa,8624,P,,c,,Proteaceae,D,S,S,,,persistent soil,,,,,,,,,,I,,,,,,,,,,,,,,,,-,-,-,1,-,-,1,-,-,1,-,-,-,-,H DSF,,,,,,,1,1,,,,,,,,II-5; VIII-74?; II-100; II-134,9,GI,1,1,,,,,,1,1,4,4,5,4
Persoonia sericea,5472,P,,n,,Proteaceae,D,S,R,,basal buds,,,,,,,,,,,,,,,,,,,,,,,,,,,1,-,-,1,-,-,1,1,-,1,-,-,-,Q,DSF W,,1,,1,,1,1,,,,,,,,,V-134,,VI,2,1,,,,,,2,2,4,4,5,4
Persoonia silvatica,5473,P,,,,Proteaceae,D,S,S/R,,basal,persistent soil,,,,,,,,,,I,,,,,,,,,,,,,,,,-,-,1,-,-,1,-,-,-,-,-,-,-,V,W WSF,,1,,,,,1,,,,,,,,5G,II-3,9,GI,1,1,,,,,,3,1,4,4,5,4
Persoonia subvelutina,5474,P,,,,Proteaceae,D,S,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,-,-,-,-,1,-,-,-,-,-,-,-,V T SA,H SF,,,1,,,,1,1,,,,,,,9CE,,,V,4,4,,,,,,1,4,4,4,5,4
Persoonia tenuifolia,5475,P,,c,,Proteaceae,D,S,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,-,-,1,-,-,1,-,-,-,-,-,-,Q,H DSF,,,,,,,1,1,,,,,1,1,9B,IX-69; IX-100; V-134,,V,4,4,,,,,,1,4,4,4,5,4
Persoonia terminalis subsp. terminalis,9048,P,,c,,Proteaceae,D,S,S,,,persistent soil,,,,,,,,,none observed (69) / <1 seedlingper adult (100),,,spring-summer,Sep-Feb,,,,,,,,,,,5,20,1,1,1,-,1,1,-,-,-,-,-,-,-,-,DSF,,,,,,,1,,,,,,,,,II-69; II-100; II-134,69; 100,G,1,4,,5,,,20,1,4,2,4,2,3
Persoonia virgata,5476,P,,,,Proteaceae,D,S,S,,,persistent soil,,,,,,,,,,I,,,,,,,,,,,,,,,,1,-,-,-,-,-,-,-,-,-,-,-,-,Q,DSF H,,,,,,,1,1,,,,,,,8B 2BW,,9,GI,1,1,,,,,,1,1,4,4,5,4
Petalostigma pubescens,6396,,,,,Euphorbiaceae,D,S,R,,,,,wide,,32-51%,,after ripening / smoke,,,,,,fruit ripe Apr-Nov,,Apr-Nov,,,,,,,,,,,,1,-,-,-,-,-,1,-,-,1,-,-,-,Q NT WA,RF (dry) OF,1,,,,,,1,,,,,,1,,9RS,IX-63,"9; 93a,b",VDI,2,2,,,,,,1,2,4,4,5,4
Petrophile canescens,5477,P,,c,,Proteaceae,D,S,R,,basal,canopy,gravity,local,2-5mm nut,60%,,,,,<1 seedling per adult,I,,Jan,Jan,,,,,,,,,,,,,1,1,1,1,1,1,-,1,-,-,-,-,-,Q,W,,,,,,,1,1,,,,,,,9BW,Va-1a; IXa-5; IXa-6; IX-69; IX-100; V-105; V-134,1; 6; 9; 93b; 100,VCI,2,1,,,,,,1,1,4,4,5,4
Petrophile pedunculata,5478,P,,,,Proteaceae,D,S,Rs,Mortality 60-85% (105),,canopy,gravity,local,4mm nut,,,,,,,,,Nov-Dec,Nov-Dec,,,,,,,,,,,,,-,1,1,-,1,-,-,-,-,-,-,-,-,-,OF,,,,,,,1,,,,,,,,9I,IXa-1a; I-105,1,VC,4,4,,,,,,3,4,4,4,5,4
Petrophile pulchella,5479,P,,,,Proteaceae,D,S,Sr,,,serotinous canopy,none developed,,179-385 sd/g,,,,,,,I,,Dec-Jan,Dec-Jan,,"4 to first flowering (30) / 6 (9) / 6-9 to first flowerng, 9 for 50% of population flowering (BE)",,5,,,25-60,,,,intervals of 13 years could occur regardless of season or intensity without risk of population decline; intervals of 8-10 years with optimal season and intensity unlikely to result in persistent population decline; intervals of 6-8 years would be hazardou,,1,1,1,-,1,-,-,-,-,-,-,-,-,Q,OF W H,,,,,,,1,1,,,,,,,1S 9BW 8BE 1K 8BN 8KE 9BG,I-2; I-4; 8; I-4; I-30; VIII-39; I-52; I-66; I-91,1; 9; 30; 55; 93b; BE,CI,1,1,4,13,25,60,60,3,1,1,2,1,2
