scientificName,plant_growth_form,growth_habit,parasitic,life_history,regen_strategy,growth_medium,sex_type,...9,partially_woody
Prasophyllum colemaniarum,NA,NA,NA,NA,NA,NA,NA,NA,NA
Prasophyllum correctum,NA,NA,NA,NA,NA,NA,NA,NA,NA
Prasophyllum diversiflorum,NA,NA,NA,NA,NA,NA,NA,NA,NA
Prasophyllum elatum,NA,NA,NA,NA,NA,NA,NA,NA,NA
Prasophyllum erythrocommum,NA,NA,NA,NA,NA,NA,NA,NA,NA
Prasophyllum flavum,NA,NA,NA,NA,NA,NA,NA,NA,NA
Prasophyllum fosteri,NA,NA,NA,NA,NA,NA,NA,NA,NA
Prasophyllum frenchii,NA,NA,NA,NA,NA,NA,NA,NA,NA
Prasophyllum gilgai,NA,NA,NA,NA,NA,NA,NA,NA,NA
Prasophyllum hygrophilum,NA,NA,NA,NA,NA,NA,NA,NA,NA
Prasophyllum lindleyanum,NA,NA,NA,NA,NA,NA,NA,NA,NA
Prasophyllum litorale,NA,NA,NA,NA,NA,NA,NA,NA,NA
Prasophyllum maccannii,NA,NA,NA,NA,NA,NA,NA,NA,NA
Prasophyllum morganii,NA,NA,NA,NA,NA,NA,NA,NA,NA
Prasophyllum niphopedium,NA,NA,NA,NA,NA,NA,NA,NA,NA
Prasophyllum nitidum,NA,NA,NA,NA,NA,NA,NA,NA,NA
Prasophyllum occidentale,NA,NA,NA,NA,NA,NA,NA,NA,NA
Prasophyllum occultans,NA,NA,NA,NA,NA,NA,NA,NA,NA
Prasophyllum odoratum,NA,NA,NA,NA,NA,NA,NA,NA,NA
Prasophyllum parviflorum,NA,NA,NA,NA,NA,NA,NA,NA,NA
Prasophyllum pyriforme,NA,NA,NA,NA,NA,NA,NA,NA,NA
Prasophyllum readii,NA,NA,NA,NA,NA,NA,NA,NA,NA
Prasophyllum retroflexum,NA,NA,NA,NA,NA,NA,NA,NA,NA
Prasophyllum roseum,NA,NA,NA,NA,NA,NA,NA,NA,NA
Prasophyllum rousei,NA,NA,NA,NA,NA,NA,NA,NA,NA
Prasophyllum sp. aff. correctum (Mortlake),NA,NA,NA,NA,NA,NA,NA,NA,NA
Prasophyllum sp. aff. diversiflorum 2,NA,NA,NA,NA,NA,NA,NA,NA,NA
Prasophyllum sp. aff. montanum,NA,NA,NA,NA,NA,NA,NA,NA,NA
Prasophyllum sp. aff. occidentale C,NA,NA,NA,NA,NA,NA,NA,NA,NA
Prasophyllum sp. aff. occidentale E,NA,NA,NA,NA,NA,NA,NA,NA,NA
Prasophyllum sp. aff. validum,NA,NA,NA,NA,NA,NA,NA,NA,NA
Prasophyllum spadiceum,NA,NA,NA,NA,NA,NA,NA,NA,NA
Prasophyllum sphacelatum,NA,NA,NA,NA,NA,NA,NA,NA,NA
Prasophyllum spicatum,NA,NA,NA,NA,NA,NA,NA,NA,NA
Prasophyllum stygium,NA,NA,NA,NA,NA,NA,NA,NA,NA
Prasophyllum suaveolens,NA,NA,NA,NA,NA,NA,NA,NA,NA
Prasophyllum subbisectum,NA,NA,NA,NA,NA,NA,NA,NA,NA
Prasophyllum suttonii,NA,NA,NA,NA,NA,NA,NA,NA,NA
Prasophyllum sylvestre,NA,NA,NA,NA,NA,NA,NA,NA,NA
Prasophyllum tadgellianum,NA,NA,NA,NA,NA,NA,NA,NA,NA
Prasophyllum uvidulum,NA,NA,NA,NA,NA,NA,NA,NA,NA
Prasophyllum viretrum,NA,NA,NA,NA,NA,NA,NA,NA,NA
Primulaceae,tree shrub herb,NA,NA,annual perennial,NA,NA,dioecious,NA,NA
Proboscidea,herb,spreading,NA,annual perennial,NA,NA,NA,NA,NA
Proboscidea louisianica,NA,NA,NA,NA,NA,NA,NA,NA,NA
Proboscidea louisianica subsp. louisianica,herb,prostrate,NA,NA,NA,NA,NA,NA,NA
Proboscidea lutea,herb,spreading,NA,NA,NA,NA,NA,NA,NA
Prosopis,tree shrub,NA,NA,NA,NA,NA,NA,NA,NA
Prosopis glandulosa,NA,NA,NA,NA,NA,NA,NA,NA,NA
Prosopis glandulosa var. glandulosa,tree shrub,NA,NA,NA,NA,NA,NA,NA,NA
Prosopis velutina,tree shrub,NA,NA,NA,NA,NA,NA,NA,NA
Prostanthera,tree subshrub shrub,NA,NA,NA,NA,NA,NA,NA,NA
Prostanthera arapilensis,shrub,NA,NA,NA,NA,NA,NA,NA,NA
Prostanthera aspalathoides,shrub,NA,NA,NA,NA,NA,NA,NA,NA
Prostanthera cuneata,shrub,compact,NA,NA,NA,NA,NA,NA,NA
Prostanthera decussata,shrub,compact,NA,NA,NA,NA,NA,NA,NA
Prostanthera denticulata,shrub,prostrate,NA,NA,NA,NA,NA,NA,NA
Prostanthera galbraithiae,subshrub shrub,erect spreading,NA,NA,NA,NA,NA,NA,NA
Prostanthera hirtula,shrub,NA,NA,NA,NA,NA,NA,NA,NA
Prostanthera incana,shrub,NA,NA,NA,NA,NA,NA,NA,NA
Prostanthera incisa,shrub,NA,NA,NA,NA,NA,NA,NA,NA
Prostanthera lasianthos,tree shrub,NA,NA,NA,NA,NA,NA,NA,NA
Prostanthera lasianthos var. lasianthos,NA,NA,NA,NA,NA,NA,NA,NA,NA
Prostanthera lasianthos var. subcoriacea,NA,NA,NA,NA,NA,NA,NA,NA,NA
Prostanthera melissifolia,shrub,NA,NA,NA,NA,NA,NA,NA,NA
Prostanthera monticola,shrub,sprawling,NA,NA,NA,NA,NA,NA,NA
Prostanthera nivea,NA,NA,NA,NA,NA,NA,NA,NA,NA
Prostanthera nivea var. nivea,shrub,NA,NA,NA,NA,NA,NA,NA,NA
Prostanthera ovalifolia,shrub,NA,NA,NA,NA,NA,NA,NA,NA
Prostanthera phylicifolia,shrub,compact,NA,NA,NA,NA,NA,NA,NA
Prostanthera rhombea,shrub,NA,NA,NA,NA,NA,NA,NA,NA
Prostanthera rotundifolia,shrub,compact,NA,NA,NA,NA,NA,NA,NA
Prostanthera saxicola,NA,NA,NA,NA,NA,NA,NA,NA,NA
Prostanthera saxicola var. bracteolata,shrub,prostrate spindly,NA,NA,NA,NA,NA,NA,NA
Prostanthera serpyllifolia,NA,NA,NA,NA,NA,NA,NA,NA,NA
Prostanthera serpyllifolia subsp. microphylla,shrub,NA,NA,NA,NA,NA,NA,NA,NA
Prostanthera spinosa,shrub,NA,NA,NA,NA,NA,NA,NA,NA
Prostanthera walteri,shrub,sprawling,NA,NA,NA,NA,NA,NA,NA
Proteaceae,tree shrub,NA,NA,NA,NA,NA,NA,NA,NA
Prunella,herb,NA,NA,perennial,NA,NA,NA,NA,NA
Prunella laciniata,herb,prostrate decumbent,NA,NA,NA,NA,NA,NA,NA
Prunella vulgaris,herb,prostrate,NA,NA,NA,NA,NA,NA,NA
Prunus,tree shrub,NA,NA,NA,NA,NA,NA,NA,NA
Prunus cerasifera,tree shrub,NA,NA,NA,NA,NA,NA,NA,NA
Prunus cerasus,tree shrub,NA,NA,NA,NA,NA,NA,NA,NA
Prunus domestica,tree shrub,NA,NA,NA,NA,NA,NA,NA,NA
Prunus dulcis,tree shrub,dense,NA,NA,NA,NA,NA,NA,NA
Prunus laurocerasus,tree shrub,spreading,NA,NA,NA,NA,NA,NA,NA
Prunus lusitanica,tree shrub,spreading,NA,NA,NA,NA,NA,NA,NA
Prunus persica,tree,NA,NA,NA,NA,NA,NA,NA,NA
Prunus persica var. nucipersica,NA,NA,NA,NA,NA,NA,NA,NA,NA
Prunus persica var. persica,NA,NA,NA,NA,NA,NA,NA,NA,NA
Prunus spinosa,shrub,dense,NA,NA,NA,NA,NA,NA,NA
Pseudanthus,shrub,NA,NA,NA,NA,NA,monoecious,NA,NA
Pseudanthus orbicularis,shrub,NA,NA,NA,NA,NA,NA,NA,NA
Pseudanthus ovalifolius,shrub,spreading,NA,NA,NA,NA,NA,NA,NA
Pseudoraphis,NA,stoloniferous,NA,perennial,rhizome stolon,NA,NA,NA,NA
Pseudoraphis paradoxa,NA,stoloniferous,NA,annual perennial,rhizome stolon,NA,NA,NA,NA
Pseudoraphis spinescens,semiaquatic aquatic,stoloniferous,NA,perennial,rhizome stolon,aquatic semiaquatic,NA,NA,NA
Pseudotsuga,tree,NA,NA,NA,NA,NA,NA,NA,NA
Pseudotsuga menziesii,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pseudotsuga menziesii var. menziesii,tree,NA,NA,NA,NA,NA,NA,NA,NA
Psilotaceae,epiphyte,NA,NA,perennial,NA,terrestrial epiphyte,NA,NA,NA
Psilotopsida,NA,NA,NA,NA,NA,NA,NA,NA,NA
Psilotum,NA,NA,NA,NA,NA,NA,NA,NA,NA
Psilotum nudum,NA,erect compact,NA,NA,NA,terrestrial,NA,NA,NA
Psilurus,NA,NA,NA,NA,NA,NA,NA,NA,NA
Psilurus incurvus,NA,NA,NA,NA,NA,NA,NA,NA,NA
Psoralea,tree shrub herb,erect spreading,NA,perennial,NA,NA,NA,NA,NA
Psoralea arborea,shrub,erect,NA,NA,NA,NA,NA,NA,NA
Psoralea pinnata,shrub,erect,NA,NA,NA,NA,NA,NA,NA
Psychrophila,herb,NA,NA,perennial,NA,NA,NA,NA,NA
Psychrophila introloba,NA,NA,NA,perennial,rhizome,NA,NA,NA,NA
Pteridaceae,fern,NA,NA,NA,NA,terrestrial,NA,NA,NA
Pteridium,NA,NA,NA,NA,rhizome,NA,NA,NA,NA
Pteridium esculentum,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pteridium esculentum subsp. esculentum,NA,NA,NA,NA,rhizome,NA,NA,NA,woody_root
Pteris,NA,erect,NA,NA,rhizome,NA,NA,NA,NA
Pteris epaleata,NA,erect,NA,NA,rhizome,NA,NA,NA,NA
Pteris multifida,NA,NA,NA,NA,rhizome,NA,NA,NA,NA
Pteris tremula,NA,erect,NA,NA,rhizome,NA,NA,NA,NA
Pteris umbrosa,NA,erect,NA,NA,rhizome,NA,NA,NA,NA
Pteris vittata,NA,NA,NA,NA,rhizome,NA,NA,NA,NA
Pterocaulon,subshrub herb,NA,NA,annual biennial perennial,NA,NA,NA,NA,NA
Pterocaulon sphacelatum,subshrub herb,NA,NA,biennial perennial,NA,NA,NA,NA,NA
Pterostylis,herb,NA,NA,NA,NA,terrestrial,NA,NA,NA
Pterostylis aciculiformis,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pterostylis acuminata,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pterostylis aestiva,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pterostylis agrestis,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pterostylis alpina,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pterostylis alveata,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pterostylis ampliata,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pterostylis aneba,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pterostylis arenicola,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pterostylis atrans,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pterostylis baptistii,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pterostylis basaltica,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pterostylis bicolor,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pterostylis biseta,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pterostylis boormanii,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pterostylis cheraphila,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pterostylis chlorogramma,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pterostylis clivicola,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pterostylis clivosa,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pterostylis coccina,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pterostylis concinna,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pterostylis conferta,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pterostylis corpulenta,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pterostylis crassa,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pterostylis crassicaulis,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pterostylis cucullata,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pterostylis cucullata subsp. cucullata,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pterostylis cucullata subsp. sylvicola,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pterostylis curta,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pterostylis cycnocephala,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pterostylis decurva,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pterostylis despectans,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pterostylis diminuta,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pterostylis dolichochila,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pterostylis falcata,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pterostylis ferruginea,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pterostylis fischii,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pterostylis foliata,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pterostylis grandiflora,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pterostylis hamata,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pterostylis incognita,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pterostylis jeanesii,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pterostylis jonesii,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pterostylis laxa,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pterostylis lingua,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pterostylis loganii,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pterostylis lustra,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pterostylis macilenta,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pterostylis maxima,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pterostylis melagramma,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pterostylis monticola,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pterostylis multiflora,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pterostylis mutica,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pterostylis nana,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pterostylis nutans,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pterostylis oreophila,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pterostylis parviflora,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pterostylis peakalliana,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pterostylis pedoglossa,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pterostylis pedunculata,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pterostylis planulata,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pterostylis plumosa,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pterostylis prasina,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pterostylis pusilla,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pterostylis reflexa,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pterostylis robusta,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pterostylis rubescens,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pterostylis rufa,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pterostylis sanguinea,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pterostylis scapula,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pterostylis setifera,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pterostylis smaragdyna,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pterostylis sp. aff. aciculiformis (Beechworth),NA,NA,NA,NA,NA,NA,NA,NA,NA
Pterostylis sp. aff. boormanii (Beechworth),NA,NA,NA,NA,NA,NA,NA,NA,NA
Pterostylis spissa,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pterostylis squamata,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pterostylis striata,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pterostylis tasmanica,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pterostylis tenuissima,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pterostylis truncata,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pterostylis tunstallii,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pterostylis uliginosa,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pterostylis unicornis,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pterostylis unicornis,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pterostylis valida,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pterostylis woollsii,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pterostylis xerophila,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pterostylis x aenigma,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pterostylis x ingens,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pterostylis x toveyana,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ptilotus,subshrub herb,NA,NA,annual perennial,NA,NA,NA,NA,NA
Ptilotus erubescens,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ptilotus exaltatus,herb,NA,NA,short_lived_perennial annual,NA,NA,NA,NA,NA
Ptilotus macrocephalus,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ptilotus nobilis,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ptilotus obovatus,NA,shrubby,NA,perennial,NA,NA,NA,NA,NA
Ptilotus polystachyus,herb,erect,NA,NA,NA,NA,NA,NA,NA
Ptilotus semilanatus,herb,NA,NA,annual perennial,NA,NA,NA,NA,NA
Ptilotus seminudus,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ptilotus sessilifolius,NA,shrubby,NA,perennial,NA,NA,NA,NA,NA
Ptilotus spathulatus,NA,NA,NA,NA,NA,NA,NA,NA,NA
Puccinellia,NA,stoloniferous tufted,NA,annual perennial,stolon,NA,NA,NA,NA
Puccinellia ciliata,NA,tufted erect,NA,perennial,NA,NA,NA,NA,NA
Puccinellia fasciculata,NA,tufted erect,NA,perennial,NA,NA,NA,NA,NA
Puccinellia perlaxa,NA,tufted erect,NA,annual perennial,NA,NA,NA,NA,NA
Puccinellia stricta,NA,tufted erect,NA,annual perennial,NA,NA,NA,NA,NA
Pultenaea,shrub,prostrate erect,NA,NA,NA,NA,NA,NA,NA
Pultenaea acerosa,shrub,NA,NA,NA,NA,NA,NA,NA,NA
Pultenaea altissima,tree shrub,NA,NA,NA,NA,NA,NA,NA,NA
Pultenaea benthamii,shrub,NA,NA,NA,NA,NA,NA,NA,NA
Pultenaea blakelyi,shrub,NA,NA,NA,NA,NA,NA,NA,NA
Pultenaea canaliculata,shrub,spreading,NA,NA,NA,NA,NA,NA,NA
Pultenaea capitellata,subshrub,prostrate,NA,NA,NA,NA,NA,NA,NA
Pultenaea costata,shrub,NA,NA,NA,NA,NA,NA,NA,NA
Pultenaea daltonii,shrub,NA,NA,NA,NA,NA,NA,NA,NA
Pultenaea daphnoides,shrub,erect,NA,NA,NA,NA,NA,NA,NA
Pultenaea dargilensis,shrub,procumbent decumbent,NA,NA,NA,NA,NA,NA,NA
Pultenaea densifolia,shrub,prostrate,NA,NA,NA,NA,NA,NA,NA
Pultenaea dentata,shrub,prostrate procumbent,NA,NA,NA,NA,NA,NA,NA
Pultenaea fasciculata,shrub,prostrate decumbent,NA,NA,NA,NA,NA,NA,NA
Pultenaea foliolosa,shrub,spreading,NA,NA,NA,NA,NA,NA,NA
Pultenaea forsythiana,shrub,NA,NA,NA,NA,NA,NA,NA,NA
Pultenaea graveolens,shrub,NA,NA,NA,NA,NA,NA,NA,NA
Pultenaea gunnii,shrub,NA,NA,NA,NA,NA,NA,NA,NA
Pultenaea gunnii subsp. gunnii,shrub,NA,NA,NA,NA,NA,NA,NA,NA
Pultenaea gunnii subsp. tuberculata,shrub,prostrate erect,NA,NA,NA,NA,NA,NA,NA
Pultenaea hispidula,shrub,NA,NA,NA,NA,NA,NA,NA,NA
Pultenaea humilis,shrub,decumbent,NA,NA,NA,NA,NA,NA,NA
Pultenaea juniperina,shrub,NA,NA,NA,NA,NA,NA,NA,NA
Pultenaea lapidosa,shrub,decumbent,NA,NA,NA,NA,NA,NA,NA
Pultenaea largiflorens,shrub,NA,NA,NA,NA,NA,NA,NA,NA
Pultenaea laxiflora,shrub,prostrate,NA,NA,NA,NA,NA,NA,NA
Pultenaea linophylla,shrub,NA,NA,NA,NA,NA,NA,NA,NA
Pultenaea luehmannii,subshrub,prostrate trailing mat_forming,NA,NA,NA,NA,NA,NA,NA
Pultenaea maidenii,shrub,NA,NA,NA,NA,NA,NA,NA,NA
Pultenaea microphylla,shrub,prostrate mat_forming,NA,NA,NA,NA,NA,NA,NA
Pultenaea mollis,shrub,prostrate,NA,NA,NA,NA,NA,NA,NA
Pultenaea muelleri,shrub,NA,NA,NA,NA,NA,NA,NA,NA
Pultenaea parrisiae,subshrub,procumbent trailing,NA,NA,NA,NA,NA,NA,NA
Pultenaea patellifolia,shrub,spreading open,NA,NA,NA,NA,NA,NA,NA
Pultenaea pedunculata,shrub,prostrate mat_forming,NA,NA,NA,NA,NA,NA,NA
Pultenaea penna,shrub,spreading,NA,NA,NA,NA,NA,NA,NA
Pultenaea platyphylla,shrub,NA,NA,NA,NA,NA,NA,NA,NA
Pultenaea polifolia,shrub,prostrate,NA,NA,NA,NA,NA,NA,NA
Pultenaea procumbens,shrub,NA,NA,NA,NA,NA,NA,NA,NA
Pultenaea prolifera,shrub,NA,NA,NA,NA,NA,NA,NA,NA
Pultenaea prostrata,shrub,erect spreading,NA,NA,NA,NA,NA,NA,NA
Pultenaea reflexifolia,shrub,NA,NA,NA,NA,NA,NA,NA,NA
Pultenaea retusa,shrub,erect,NA,NA,NA,NA,NA,NA,NA
Pultenaea scabra,shrub,NA,NA,NA,NA,NA,NA,NA,NA
Pultenaea sericea,subshrub,procumbent,NA,NA,NA,NA,NA,NA,NA
Pultenaea spinosa,shrub,NA,NA,NA,NA,NA,NA,NA,NA
Pultenaea stricta,shrub,NA,NA,NA,NA,NA,NA,NA,NA
Pultenaea subalpina,shrub,spreading,NA,NA,NA,NA,NA,NA,NA
Pultenaea subspicata,shrub,decumbent mat_forming,NA,NA,NA,NA,NA,NA,NA
Pultenaea tenella,subshrub,prostrate trailing,NA,NA,NA,NA,NA,NA,NA
Pultenaea tenuifolia,shrub,prostrate spreading procumbent mat_forming,NA,NA,NA,NA,NA,NA,NA
Pultenaea victoriensis,shrub,NA,NA,NA,NA,NA,NA,NA,NA
Pultenaea vrolandii,shrub,NA,NA,NA,NA,NA,NA,NA,NA
Pultenaea weindorferi,shrub,erect,NA,NA,NA,NA,NA,NA,NA
Pultenaea williamsoniana,shrub,NA,NA,NA,NA,NA,NA,NA,NA
Pultenaea williamsonii,shrub,prostrate trailing,NA,NA,NA,NA,NA,NA,NA
Pycnosorus,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pycnosorus chrysanthus,herb,erect,NA,annual,NA,NA,NA,NA,NA
Pycnosorus globosus,NA,erect,NA,perennial,NA,NA,NA,NA,NA
Pycnosorus pleiocephalus,NA,erect,NA,annual,NA,NA,NA,NA,NA
Pyracantha,tree shrub,NA,NA,NA,NA,NA,NA,NA,NA
Pyracantha angustifolia,tree shrub,erect,NA,NA,NA,NA,NA,NA,NA
Pyracantha crenatoserrata,shrub,sprawling,NA,NA,NA,NA,NA,NA,NA
Pyracantha crenulata,tree shrub,erect,NA,NA,NA,NA,NA,NA,NA
Pyracantha rogersiana,tree shrub,spreading,NA,NA,NA,NA,NA,NA,NA
Pyrorchis,herb,NA,NA,NA,NA,terrestrial,NA,NA,NA
Pyrorchis nigricans,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pyrrosia,NA,NA,NA,NA,rhizome,NA,NA,NA,NA
Pyrrosia rupestris,NA,NA,NA,NA,rhizome,NA,NA,NA,NA
Pyrus,tree shrub,NA,NA,NA,NA,NA,NA,NA,NA
Pyrus communis,tree,NA,NA,NA,NA,NA,NA,NA,NA
Quercus,tree shrub,NA,NA,NA,NA,NA,monoecious,NA,NA
Quercus robur,tree,spreading,NA,NA,NA,NA,NA,NA,NA
Quercus suber,tree,NA,NA,NA,NA,NA,NA,NA,NA
Quinetia,herb,NA,NA,annual,NA,NA,NA,NA,NA
Quinetia urvillei,NA,erect,NA,annual,NA,NA,NA,NA,NA
Radyera,shrub,NA,NA,perennial,NA,NA,NA,NA,NA
Radyera farragei,NA,NA,NA,short_lived_perennial perennial,NA,NA,NA,NA,NA
Ranunculaceae,herb,stoloniferous tufted rosette,NA,annual perennial,rhizome stolon,NA,NA,NA,NA
Ranunculus,herb,stoloniferous tufted,NA,annual perennial,rhizome stolon,NA,NA,NA,NA
Ranunculus acris,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ranunculus acris subsp. acris,NA,NA,NA,perennial,rhizome,NA,NA,NA,NA
Ranunculus amphitrichus,aquatic_submerged,stoloniferous,NA,perennial,stolon,NA,NA,NA,NA
Ranunculus amplus,semiaquatic aquatic,stoloniferous,NA,perennial,stolon,aquatic semiaquatic,NA,NA,NA
Ranunculus collinus,NA,stoloniferous,NA,perennial,stolon,NA,NA,NA,NA
Ranunculus diminutus,NA,stoloniferous,NA,perennial,stolon,NA,NA,NA,NA
Ranunculus eichlerianus,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ranunculus flammula,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ranunculus flammula subsp. flammula,NA,stoloniferous,NA,perennial,rhizome stolon,NA,NA,NA,NA
Ranunculus glabrifolius,NA,stoloniferous,NA,perennial,stolon,NA,NA,NA,NA
Ranunculus graniticola,NA,NA,NA,perennial,NA,NA,NA,NA,NA
Ranunculus gunnianus,NA,NA,NA,perennial,rhizome,NA,NA,NA,NA
Ranunculus inundatus,semiaquatic aquatic,stoloniferous,NA,perennial,stolon,aquatic semiaquatic,NA,NA,NA
Ranunculus lappaceus,NA,NA,NA,perennial,NA,NA,NA,NA,NA
Ranunculus millanii,NA,stoloniferous tufted,NA,perennial,stolon,NA,NA,NA,NA
Ranunculus muelleri,NA,NA,NA,perennial,NA,NA,NA,NA,NA
Ranunculus muricatus,NA,tufted,NA,annual,NA,NA,NA,NA,NA
Ranunculus ophioglossifolius,NA,NA,NA,annual,NA,NA,NA,NA,NA
Ranunculus pachycarpus,NA,NA,NA,perennial,NA,NA,NA,NA,NA
Ranunculus papulentus,NA,stoloniferous,NA,perennial,rhizome stolon,NA,NA,NA,NA
Ranunculus parviflorus,NA,NA,NA,annual,NA,NA,NA,NA,NA
Ranunculus pentandrus,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ranunculus pentandrus var. platycarpus,NA,erect spreading,NA,annual,NA,NA,NA,NA,NA
Ranunculus pimpinellifolius,NA,tufted,NA,perennial,NA,NA,NA,NA,NA
Ranunculus plebeius,NA,NA,NA,perennial,NA,NA,NA,NA,NA
Ranunculus pumilio,NA,erect,NA,annual,NA,NA,NA,NA,NA
Ranunculus pumilio var. politus,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ranunculus pumilio var. pumilio,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ranunculus repens,NA,stoloniferous,NA,perennial,stolon,NA,NA,NA,NA
Ranunculus robertsonii,NA,NA,NA,perennial,NA,NA,NA,NA,NA
Ranunculus sardous,NA,tufted,NA,annual,NA,NA,NA,NA,NA
Ranunculus scapiger,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ranunculus sceleratus,NA,NA,NA,NA,NA,NA,NA,NA,NA
