genus_root,taxon_name,text,life_history_a,life_history_f,parasitic_a,parasitic_f,plant_growth_form_a,plant_growth_form_f,plant_growth_substrate_a,plant_growth_substrate_f,sex_type_a,sex_type_f,stem_growth_habit_a,stem_growth_habit_f,woodiness_a,woodiness_f,Source
Prasophyllum,Prasophyllum exilis,"terrestrial herb, to 20 cm high.",perennial,inferred_from_family,NA,NA,herb,herb,terrestrial,terrestrial,NA,NA,NA,NA,herbaceous,NA,Text by P. Bernhardt & R. R. Rowe; Taxon concept: Flora of NSW 4 (1993)
Prasophyllum,Prasophyllum lindleyanum,"terrestrial herb, 10-35 cm high.",perennial,inferred_from_family,NA,NA,herb,herb,terrestrial,terrestrial,NA,NA,NA,NA,herbaceous,NA,Text by P. Bernhardt & R. R. Rowe; Taxon concept: Flora of NSW 4 (1993)
Prasophyllum,Prasophyllum dossenum,"terrestrial herb, to 50 cm high.",perennial,inferred_from_family,NA,NA,herb,herb,terrestrial,terrestrial,NA,NA,NA,NA,herbaceous,NA,Text by P. Bernhardt & R. R. Rowe; Taxon concept: Flora of NSW 4 (1993)
Prasophyllum,Prasophyllum alpestre,"terrestrial herb, 25-45 cm high.",perennial,inferred_from_family,NA,NA,herb,herb,terrestrial,terrestrial,NA,NA,NA,NA,herbaceous,NA,"Text by P.H. Weston; Taxon concept: Jones (1998, 2006)"
Prasophyllum,Prasophyllum striatum,"terrestrial herb, to 30 cm high.",perennial,inferred_from_family,NA,NA,herb,herb,terrestrial,terrestrial,NA,NA,NA,NA,herbaceous,NA,Text by P. Bernhardt & R. R. Rowe; Taxon concept: Flora of NSW 4 (1993)
Prasophyllum,Prasophyllum australe,"terrestrial herb, to 90 cm high.",perennial,inferred_from_family,NA,NA,herb,herb,terrestrial,terrestrial,NA,NA,NA,NA,herbaceous,NA,Text by P. Bernhardt & R. R. Rowe; Taxon concept: Flora of NSW 4 (1993)
Prasophyllum,Prasophyllum affine,"terrestrial herb, to 50 cm high.",perennial,inferred_from_family,NA,NA,herb,herb,terrestrial,terrestrial,NA,NA,NA,NA,herbaceous,NA,Text by P. Bernhardt & R. R. Rowe; Taxon concept: Flora of NSW 4 (1993)
Prasophyllum,Prasophyllum candidum,"terrestrial herb, to 50 cm high.",perennial,inferred_from_family,NA,NA,herb,herb,terrestrial,terrestrial,NA,NA,NA,NA,herbaceous,NA,Text by P. Bernhardt & R. R. Rowe; Taxon concept: Flora of NSW 4 (1993)
Prasophyllum,Prasophyllum caricetum,"terrestrial herb, 25-50 cm high.",perennial,inferred_from_family,NA,NA,herb,herb,terrestrial,terrestrial,NA,NA,NA,NA,herbaceous,NA,"Text by P.H. Weston; Taxon concept: Jones (2000, 2006)"
Prasophyllum,Prasophyllum bagoense,"terrestrial herb, 25-40 cm high.",perennial,inferred_from_family,NA,NA,herb,herb,terrestrial,terrestrial,NA,NA,NA,NA,herbaceous,NA,"Text by P.H. Weston; Taxon concept: Jones (2000, 2006)"
Prasophyllum,Prasophyllum pallens,"terrestrial herb, to 40 cm high.",perennial,inferred_from_family,NA,NA,herb,herb,terrestrial,terrestrial,NA,NA,NA,NA,herbaceous,NA,Text by P. Bernhardt & R. R. Rowe; Taxon concept: Flora of NSW 4 (1993)
Prasophyllum,Prasophyllum sp. A sensu Harden (1993),"terrestrial herb, 10-40 cm high.",perennial,inferred_from_family,NA,NA,herb,herb,terrestrial,terrestrial,NA,NA,NA,NA,herbaceous,NA,Text by P. Bernhardt & R. R. Rowe; Taxon concept: Flora of NSW 4 (1993)
Prasophyllum,Prasophyllum sphacelatum,"terrestrial herb, 20-40 cm high.",perennial,inferred_from_family,NA,NA,herb,herb,terrestrial,terrestrial,NA,NA,NA,NA,herbaceous,NA,"Text by P.H. Weston; Taxon concept: Jones (1996, 2006)"
Prasophyllum,Prasophyllum wilkinsoniorum,"terrestrial herb, 25-45 cm high.",perennial,inferred_from_family,NA,NA,herb,herb,terrestrial,terrestrial,NA,NA,NA,NA,herbaceous,NA,"Text by P.H. Weston; Taxon concept: Jones (2000, 2006)"
Prasophyllum,Prasophyllum patens,"terrestrial herb, 10-30 cm high, colony-forming.",perennial,inferred_from_family,NA,NA,herb,herb,terrestrial,terrestrial,NA,NA,NA,NA,herbaceous,NA,Text by P. Bernhardt & R. R. Rowe; Taxon concept: Flora of NSW 4 (1993)
Prasophyllum,Prasophyllum campestre,"terrestrial herb, 30-40 cm high.",perennial,inferred_from_family,NA,NA,herb,herb,terrestrial,terrestrial,NA,NA,NA,NA,herbaceous,NA,"Text by P. Bernhardt & R. R. Rowe, updated by P.H. Weston (5 Dec 2007); Taxon concept: Flora of NSW 4 (1993)"
Prasophyllum,Prasophyllum flavum,"terrestrial herb, to 90 cm high;",perennial,inferred_from_family,NA,NA,herb,herb,terrestrial,terrestrial,NA,NA,NA,NA,herbaceous,NA,Text by P. Bernhardt & R. R. Rowe; Taxon concept: Flora of NSW 4 (1993)
Prasophyllum,Prasophyllum retroflexum,"terrestrial herb, to 30 cm high.",perennial,inferred_from_family,NA,NA,herb,herb,terrestrial,terrestrial,NA,NA,NA,NA,herbaceous,NA,Text by P. Bernhardt & R. R. Rowe; Taxon concept: Flora of NSW 4 (1993) - as P. morganii
Prasophyllum,Prasophyllum canaliculatum,"terrestrial herb, 30-50 cm high.",perennial,inferred_from_family,NA,NA,herb,herb,terrestrial,terrestrial,NA,NA,NA,NA,herbaceous,NA,"Text by P.H. Weston; Taxon concept: Jones (2000, 2006)"
Prasophyllum,Prasophyllum petilum,"terrestrial herb, to 30 cm high.",perennial,inferred_from_family,NA,NA,herb,herb,terrestrial,terrestrial,NA,NA,NA,NA,herbaceous,NA,Text by P. Bernhardt & R. R. Rowe; Taxon concept: Flora of NSW 4 (1993)
Prasophyllum,Prasophyllum solstitium,"terrestrial herb, 30-45 cm high.",perennial,inferred_from_family,NA,NA,herb,herb,terrestrial,terrestrial,NA,NA,NA,NA,herbaceous,NA,"Text by P.H. Weston; Taxon concept: Jones (2000, 2006)"
Prasophyllum,Prasophyllum montanum,"terrestrial herb, to 80 cm high.",perennial,inferred_from_family,NA,NA,herb,herb,terrestrial,terrestrial,NA,NA,NA,NA,herbaceous,NA,Text by P. Bernhardt & R. R. Rowe; Taxon concept: Flora of NSW 4 (1993)
Prasophyllum,Prasophyllum brevilabre,"terrestrial herb, to 48 cm high.",perennial,inferred_from_family,NA,NA,herb,herb,terrestrial,terrestrial,NA,NA,NA,NA,herbaceous,NA,Text by P. Bernhardt & R. R. Rowe; Taxon concept: Flora of NSW 4 (1993)
Primula,Primula,"perennial or rarely annual herb, mainly rhizomatous;",annual perennial,annual perennial,NA,NA,herb,herb,NA,NA,NA,NA,rhizomatous,rhizomatous,herbaceous,NA,"Text by P.G. Kodela, March 2017; Taxon concept: Australian Plant Census (accessed March 2017)"
Primula,Primula malacoides,"herb to over 30 cm high, foliage rosette to 30 cm wide.",NA,NA,NA,NA,herb,herb,NA,NA,NA,NA,rosette,rosette,herbaceous,NA,"Text by P.G. Kodela, March 2017; Taxon concept: Australian Plant Census accepted name (accessed March 2017)"
Primulaceae,Primulaceae,"herbs, shrubs, trees or occasionally climbers; perennial or sometimes annual, sometimes stoloniferous.",annual perennial,annual perennial,NA,NA,herb shrub tree climber,herbs shrubs trees climbers,NA,NA,NA,NA,stoloniferous,stoloniferous,woody herbaceous,NA,"Text by based on R.O. Makinson, Primulaceae, and G.J. Harden, Myrsinaceae, Flora of New South Wales Vol. 1 (1990). Revised April 2017, P.G. Kodela.; Taxon concept: Australian Plant Census (accessed April 2017)"
Proboscidea,Proboscidea,"annual or perennial herbs, spreading or prostrate.",annual perennial,annual perennial,NA,NA,herb,herbs,NA,NA,NA,NA,prostrate spreading,prostrate spreading,herbaceous,NA,Text by A. K. Brooks
Proboscidea,Proboscidea louisianica,"decumbent annual herb, 50-80 cm diam.,",annual,annual,NA,NA,herb,herb,NA,NA,NA,NA,decumbent,decumbent,herbaceous,NA,Text by A. K. Brooks; Taxon concept: Flora of NSW 3 (1992)
Prosopis,Prosopis,"trees or shrubs, some species deciduous, either unarmed or with prickles or spines.",perennial,inferred_from_growth_form,NA,NA,shrub tree,shrubs trees,NA,NA,NA,NA,NA,NA,woody,NA,Text by L. Murray
Prosopis,Prosopis glandulosa,"straggling shrub or tree to 10 m high, deciduous, glabrous; spines 20-60 mm long.",perennial,inferred_from_growth_form,NA,NA,shrub tree,shrub tree,NA,NA,NA,NA,NA,NA,woody,NA,Text by L. Murray
Prosopis,Prosopis glandulosa var. glandulosa,"straggling shrub or small tree, deciduous, spiny, glabrous.",perennial,inferred_from_growth_form,NA,NA,shrub tree,shrub tree,NA,NA,NA,NA,NA,NA,woody,NA,NA
Prosopis,Prosopis pallida,tree to 10 m high;,perennial,inferred_from_growth_form,NA,NA,tree,tree,NA,NA,NA,NA,NA,NA,woody,NA,Text by L. Murray; Taxon concept: G. Perry (1998)
Prosopis,Prosopis velutina,tree to 6 m high;,perennial,inferred_from_growth_form,NA,NA,tree,tree,NA,NA,NA,NA,NA,NA,woody,NA,Text by L. Murray; Taxon concept: G. Perry (1998)
Prostanthera,Prostanthera hindii,"erect subshrub, 0.3-1 m high,  or only faintly so.",NA,NA,NA,NA,subshrub,subshrub,NA,NA,NA,NA,erect,erect,NA,NA,Text by B. J. Conn; Taxon concept: Flora of NSW 3 (1992)
Prostanthera,Prostanthera hirtula,"spreading shrub, 0.4-2 m high, to 2.5 m diam., strongly aromatic;",perennial,inferred_from_growth_form,NA,NA,shrub,shrub,NA,NA,NA,NA,spreading,spreading,woody,NA,Text by B. J. Conn; Taxon concept: Flora of NSW 3 (1992)
Prostanthera,Prostanthera saxicola,"prostrate to erect shrub, spreading to compact, 0.2-2 m high;",perennial,inferred_from_growth_form,NA,NA,shrub,shrub,NA,NA,NA,NA,erect prostrate spreading compact,erect prostrate spreading compact,woody,NA,Text by B. J. Conn
Prostanthera,Prostanthera saxicola var. bracteolata,"erect to prostrate shrub, 0.1-2 m high.",perennial,inferred_from_growth_form,NA,NA,shrub,shrub,NA,NA,NA,NA,erect prostrate,erect prostrate,woody,NA,Text by B. J. Conn; Taxon concept: Flora of NSW 3 (1992)
Prostanthera,Prostanthera teretifolia,"erect to spreading shrub, 0.3-1 m high, strongly, but pleasantly aromatic;",perennial,inferred_from_growth_form,NA,NA,shrub,shrub,NA,NA,NA,NA,erect spreading,erect spreading,woody,NA,"Text by B. J. Conn (2005); Taxon concept: J.T. Hunter, J.B. Williams & B.J. Conn, Telopea, vol. 11 (2005)"
Prostanthera,Prostanthera porcata,"erect shrub, 1.5-2 m high;",perennial,inferred_from_growth_form,NA,NA,shrub,shrub,NA,NA,NA,NA,erect,erect,woody,NA,Text by B. J. Conn; Taxon concept: Flora of NSW 3 (1992)
Prostanthera,Prostanthera cryptandroides subsp. euphrasioides,"low divaricate shrub, 0.5-2 m high, strongly aromatic, viscid;",perennial,inferred_from_growth_form,NA,NA,shrub,shrub,NA,NA,NA,NA,NA,NA,woody,NA,NA
Prostanthera,Prostanthera cuneata,"compact, dense shrub to circa 1 m high, strongly aromatic;",perennial,inferred_from_growth_form,NA,NA,shrub,shrub,NA,NA,NA,NA,dense compact,dense compact,woody,NA,Text by B. J. Conn; Taxon concept: Flora of NSW 3 (1992)
Prostanthera,Prostanthera decussata,"compact, dense shrub to circa 2 m high, strongly aromatic;",perennial,inferred_from_growth_form,NA,NA,shrub,shrub,NA,NA,NA,NA,dense compact,dense compact,woody,NA,Text by B. J. Conn; Taxon concept: Flora of NSW 3 (1992)
Prostanthera,Prostanthera densa,"erect, often compact shrub 0.5-2 m high, aromatic;",perennial,inferred_from_growth_form,NA,NA,shrub,shrub,NA,NA,NA,NA,erect compact,erect compact,woody,NA,Text by B. J. Conn (1999); Taxon concept: Flora of NSW 3 (1992)
Prostanthera,Prostanthera denticulata,"straggling to subprostrate shrub, to 1 m high and to 2 m diam., aromatic;",perennial,inferred_from_growth_form,NA,NA,shrub,shrub,NA,NA,NA,NA,NA,NA,woody,NA,Text by B. J. Conn; updated by Trevor Wilson Sep 2017.; Taxon concept: Flora of NSW 3 (1992); updated concept Benth. DC. Prod. X11. 561
Prostanthera,Prostanthera discolor,"open, erect shrub, 0.6-3 m high, strongly aromatic;",perennial,inferred_from_growth_form,NA,NA,shrub,shrub,NA,NA,NA,NA,erect open,erect open,woody,NA,Text by B. J. Conn; Taxon concept: Flora of NSW 3 (1992)
Prostanthera,Prostanthera elisabethae,"erect to spreading shrub, up to 2(-2.5) m high;",perennial,inferred_from_growth_form,NA,NA,shrub,shrub,NA,NA,NA,NA,erect spreading,erect spreading,woody,NA,Text by Barry Conn (Oct 2014)
Prostanthera,Prostanthera gilesii,"small, compact, spreading shrub, up to 1 m high.",perennial,inferred_from_growth_form,NA,NA,shrub,shrub,NA,NA,NA,NA,spreading compact,spreading compact,woody,NA,Text by Louisa Murray (January 2016); Taxon concept: Barry J. Conn and Trevor C. Wilson (2015) Two new species of Prostanthera (Lamiaceae) in New South Wales. Telopea 18 : 463-474.
Prostanthera,Prostanthera howelliae,"erect or low spreading shrub, 0.3-1 m high, diam. 0.5-1.5 m, aromatic;",perennial,inferred_from_growth_form,NA,NA,shrub,shrub,NA,NA,NA,NA,erect spreading,erect spreading,woody,NA,Text by B. J. Conn; Taxon concept: Flora of NSW 3 (1992)
Prostanthera,Prostanthera incana,"erect, moderately dense shrub, 1-2.5 m high, slightly aromatic;",perennial,inferred_from_growth_form,NA,NA,shrub,shrub,NA,NA,NA,NA,erect dense,erect dense,woody,NA,Text by B. J. Conn; Taxon concept: Flora of NSW 3 (1992)
Prostanthera,Prostanthera incisa,"erect,  branched shrub, 0.5-3 m high, 2-3 m diam., strongly and unpleasantly aromatic;",perennial,inferred_from_growth_form,NA,NA,shrub,shrub,NA,NA,NA,NA,erect,erect,woody,NA,Text by B. J. Conn; Taxon concept: Flora of NSW 3 (1992)
Prostanthera,Prostanthera nivea,"erect to spreading shrub, 1-4 m high, ;",perennial,inferred_from_growth_form,NA,NA,shrub,shrub,NA,NA,NA,NA,erect spreading,erect spreading,woody,NA,Text by B. J. Conn
Prostanthera,Prostanthera nivea var. induta,"erect shrub, often dense, 1-2 m high;",perennial,inferred_from_growth_form,NA,NA,shrub,shrub,NA,NA,NA,NA,erect dense,erect dense,woody,NA,Text by B. J. Conn; Taxon concept: Flora of NSW 3 (1992)
Prostanthera,Prostanthera nivea var. nivea,"erect shrub, often slender, 1-4 m high;",perennial,inferred_from_growth_form,NA,NA,shrub,shrub,NA,NA,NA,NA,erect,erect,woody,NA,Text by B. J. Conn; Taxon concept: Flora of NSW 3 (1992)
Prostanthera,Prostanthera serpyllifolia,"shrub, usually <0.5 m high;",perennial,inferred_from_growth_form,NA,NA,shrub,shrub,NA,NA,NA,NA,NA,NA,woody,NA,Text by B. J. Conn
Prostanthera,Prostanthera serpyllifolia subsp. microphylla,"shrub, usually < 0.5 m high;",perennial,inferred_from_growth_form,NA,NA,shrub,shrub,NA,NA,NA,NA,NA,NA,woody,NA,NA
Prostanthera,Prostanthera walteri,"sprawling shrub, 1-2 m high;",perennial,inferred_from_growth_form,NA,NA,shrub,shrub,NA,NA,NA,NA,sprawling,sprawling,woody,NA,Text by B. J. Conn; Taxon concept: Flora of NSW 3 (1992)
Prostanthera,Prostanthera,"shrubs or undershrubs, rarely trees;",NA,NA,NA,NA,subshrub shrub tree,undershrubs shrubs trees,NA,NA,NA,NA,NA,NA,woody,NA,Text by B. J. Conn (1993); updated Louisa Murray (January 2016) 
Prostanthera,Prostanthera askania,"erect,  branched shrub, to 1 m high, circa 1 m diam., strongly aromatic;",perennial,inferred_from_growth_form,NA,NA,shrub,shrub,NA,NA,NA,NA,erect,erect,woody,NA,Text by B. J. Conn; Taxon concept: Flora of NSW 3 (1992)
Prostanthera,Prostanthera aspalathoides,"small shrub, 0.3-1 m high;",perennial,inferred_from_growth_form,NA,NA,shrub,shrub,NA,NA,NA,NA,NA,NA,woody,NA,Text by B. J. Conn; Taxon concept: Flora of NSW 3 (1992)
Prostanthera,Prostanthera caerulea,"erect shrub, 0.5-3 m high, slightly aromatic;",perennial,inferred_from_growth_form,NA,NA,shrub,shrub,NA,NA,NA,NA,erect,erect,woody,NA,Text by B. J. Conn; Taxon concept: Flora of NSW 3 (1992)
Prostanthera,Prostanthera cineolifera,"erect shrub, 1-4 m high, strongly aromatic;",perennial,inferred_from_growth_form,NA,NA,shrub,shrub,NA,NA,NA,NA,erect,erect,woody,NA,Text by B. J. Conn; Taxon concept: Flora of NSW 3 (1992)
Prostanthera,Prostanthera conniana,"open, erect, woody shrub to 3.5 m tall.",perennial,inferred_from_growth_form,NA,NA,shrub,shrub,NA,NA,NA,NA,erect open,erect open,woody,NA,"Text by Louisa Murray (January 2016); Taxon concept: Trevor C.Wilson, Lesley Elkan, Murray J. Henwood, Louisa Murray, Matt A.M. Renner, and Catherine Wardrop (2015) Prostanthera conniana (LamiaceaeWestringieae), a new species from the Southern Tablelands, New South Wales, Australia. Telopea 18 : 519-526."
Prostanthera,Prostanthera cruciflora,"erect shrub 1.5-2 m high, strongly aromatic;",perennial,inferred_from_growth_form,NA,NA,shrub,shrub,NA,NA,NA,NA,erect,erect,woody,NA,Text by B. J. Conn; Taxon concept: Flora of NSW 3 (1992)
Prostanthera,Prostanthera cryptandroides,"low divaricate shrub, 0.5-2 m high, strongly aromatic, viscid;",perennial,inferred_from_growth_form,NA,NA,shrub,shrub,NA,NA,NA,NA,NA,NA,woody,NA,Text by B. J. Conn
Prostanthera,Prostanthera cryptandroides subsp. cryptandroides,"low divaricate shrub, 0.5-2 m high, strongly aromatic, viscid;",perennial,inferred_from_growth_form,NA,NA,shrub,shrub,NA,NA,NA,NA,NA,NA,woody,NA,NA
Prostanthera,Prostanthera granitica,"spreading shrub, 0.6-1 m high, to 2 m diam.,  or only faintly so;",perennial,inferred_from_growth_form,NA,NA,shrub,shrub,NA,NA,NA,NA,spreading,spreading,woody,NA,Text by B. J. Conn; Taxon concept: Flora of NSW 3 (1992)
Prostanthera,Prostanthera junonis,"low straggling shrub, to 1 m high, ;",perennial,inferred_from_growth_form,NA,NA,shrub,shrub,NA,NA,NA,NA,NA,NA,woody,NA,Text by B. J. Conn
Prostanthera,Prostanthera lanceolata,"erect shrub, 3-4 m high, aromatic;",perennial,inferred_from_growth_form,NA,NA,shrub,shrub,NA,NA,NA,NA,erect,erect,woody,NA,Text by B. J. Conn; Taxon concept: Flora of NSW 3 (1992)
Prostanthera,Prostanthera lasianthos,"shrub to small tree, usually 1-6 m high, aromatic;",perennial,inferred_from_growth_form,NA,NA,shrub tree,shrub tree,NA,NA,NA,NA,NA,NA,woody,NA,"Text by B. J. Conn; Taxon concept: B.J. Conn, in G.J. Harden (ed.) (1992)"
Prostanthera,Prostanthera linearis,"erect shrub 1-3 m high, faintly aromatic;",perennial,inferred_from_growth_form,NA,NA,shrub,shrub,NA,NA,NA,NA,erect,erect,woody,NA,Text by B. J. Conn; Taxon concept: Flora of NSW 3 (1992)
Prostanthera,Prostanthera makinsonii,"spreading shrub, up to 2 m high.",perennial,inferred_from_growth_form,NA,NA,shrub,shrub,NA,NA,NA,NA,spreading,spreading,woody,NA,Text by Louisa Murray (January 2016); Taxon concept: Barry J. Conn and Trevor C. Wilson (2015) Two new species of Prostanthera (Lamiaceae) in New South Wales. Telopea 18: 463-474.
Prostanthera,Prostanthera marifolia,"erect,  branched shrub up to circa 0.3 m high, faintly aromatic;",perennial,inferred_from_growth_form,NA,NA,shrub,shrub,NA,NA,NA,NA,erect,erect,woody,NA,Text by B.J. Conn (2004; revised 2007); Taxon concept: B.J. Conn
Prostanthera,Prostanthera melissifolia,"erect shrub 1-2 m high, aromatic;",perennial,inferred_from_growth_form,NA,NA,shrub,shrub,NA,NA,NA,NA,erect,erect,woody,NA,Text by B. J. Conn; Taxon concept: Flora of NSW 3 (1992)
Prostanthera,Prostanthera monticola,"sprawling, open shrub, 0.3-2 m high;",perennial,inferred_from_growth_form,NA,NA,shrub,shrub,NA,NA,NA,NA,sprawling open,sprawling open,woody,NA,Text by B. J. Conn; Taxon concept: Flora of NSW 3 (1992)
Prostanthera,Prostanthera ovalifolia,"erect, spreading to dense shrub, 1-4 m high,  or only slightly so;",perennial,inferred_from_growth_form,NA,NA,shrub,shrub,NA,NA,NA,NA,erect spreading dense,erect spreading dense,woody,NA,Text by B. J. Conn; Taxon concept: Flora of NSW 3 (1992)
Prostanthera,Prostanthera palustris,"low spreading, weak subshrub, 0.2-0.3 m high.",NA,NA,NA,NA,subshrub,subshrub,NA,NA,NA,NA,spreading,spreading,NA,NA,Text by B. J. Conn (1997); Taxon concept: B.J. Conn (1997) Four rare and/or threatened new species of Prostanthera section Prostanthera  (Labiatae) from New South Wales. Telopea 7(3); 231-244
Prostanthera,Prostanthera petraea,"large shrub, 2-8 m high, aromatic;",perennial,inferred_from_growth_form,NA,NA,shrub,shrub,NA,NA,NA,NA,NA,NA,woody,NA,Text by B.J. Conn (2004); Taxon concept: B.J. Conn (1992)
Prostanthera,Prostanthera phylicifolia,"erect, ± compact to spreading shrub, 0.5-2 m high, slightly aromatic;",perennial,inferred_from_growth_form,NA,NA,shrub,shrub,NA,NA,NA,NA,erect spreading compact,erect spreading compact,woody,NA,Text by B. J. Conn; Taxon concept: Flora of NSW 3 (1992)
Prostanthera,Prostanthera prunelloides,"erect to spreading shrub 1.5-2 m high, slightly aromatic;",perennial,inferred_from_growth_form,NA,NA,shrub,shrub,NA,NA,NA,NA,erect spreading,erect spreading,woody,NA,Text by B. J. Conn; Taxon concept: Flora of NSW 3 (1992)
Prostanthera,Prostanthera rhombea,"open divaricate shrub 0.5-2 m high, strongly aromatic;",perennial,inferred_from_growth_form,NA,NA,shrub,shrub,NA,NA,NA,NA,open,open,woody,NA,Text by B. J. Conn; Taxon concept: Flora of NSW 3 (1992)
Prostanthera,Prostanthera ringens,bushy shrub to 2 m high;,perennial,inferred_from_growth_form,NA,NA,shrub,shrub,NA,NA,NA,NA,bushy,bushy,woody,NA,Text by B. J. Conn; Taxon concept: Flora of NSW 3 (1992)
Prostanthera,Prostanthera rotundifolia,"erect, compact to spreading shrub 0.5-3 m high, 1.5-2.5 m diam., aromatic;",perennial,inferred_from_growth_form,NA,NA,shrub,shrub,NA,NA,NA,NA,erect spreading compact,erect spreading compact,woody,NA,Text by B. J. Conn; Taxon concept: Flora of NSW 3 (1992)
Prostanthera,Prostanthera rugosa,"open divaricate shrub 1-1.5 m high, aromatic;",perennial,inferred_from_growth_form,NA,NA,shrub,shrub,NA,NA,NA,NA,open,open,woody,NA,Text by B. J. Conn; Taxon concept: Flora of NSW 3 (1992)
Prostanthera,Prostanthera saxicola var. major,shrub usually muchbranched with scattered to densely-arranged leaves. muchbranched shrub 0.6-1.2 m high; erect shrub;,perennial,inferred_from_growth_form,NA,NA,shrub,shrub,NA,NA,NA,NA,erect,erect,woody,NA,Text by B. J. Conn; Taxon concept: Flora of NSW 3 (1992)
Prostanthera,Prostanthera saxicola var. montana,"shrub usually muchbranched with scattered to densely-arranged leaves. low procumbent to decumbent shrub, 0.2-1 m high, 0.4-1 m diam., muchbranched, usually ;",perennial,inferred_from_growth_form,NA,NA,shrub,shrub,NA,NA,NA,NA,decumbent prostrate,decumbent procumbent,woody,NA,Text by B. J. Conn; Taxon concept: Flora of NSW 3 (1992)
Prostanthera,Prostanthera saxicola var. saxicola,"prostrate to erect shrub, 0.1-0.8 m high, shrub usually muchbranched with leaves scattered along stem.",perennial,inferred_from_growth_form,NA,NA,shrub,shrub,NA,NA,NA,NA,erect prostrate,erect prostrate,woody,NA,Text by B. J. Conn; Taxon concept: Flora of NSW 3 (1992)
Prostanthera,Prostanthera scutellarioides,"erect or decumbent shrub, 0.3-2.5 m high, faintly aromatic;",perennial,inferred_from_growth_form,NA,NA,shrub,shrub,NA,NA,NA,NA,erect decumbent,erect decumbent,woody,NA,Text by B. J. Conn; Taxon concept: Flora of NSW 3 (1992)
Prostanthera,Prostanthera sejuncta,"scrambling, ± prostrate shrub, to 0.5 m high, aromatic;",perennial,inferred_from_growth_form,NA,NA,shrub,shrub,NA,NA,NA,NA,prostrate,prostrate,woody,NA,Text by B. J. Conn (2007); Taxon concept: M.L. Williams et al. (2006)
Prostanthera,Prostanthera staurophylla,"erect to spreading shrub, 1-1.8 m high, strongly, but pleasantly aromatic;",perennial,inferred_from_growth_form,NA,NA,shrub,shrub,NA,NA,NA,NA,erect spreading,erect spreading,woody,NA,"Text by B. J. Conn (2005); Taxon concept: J.T. Hunter, J.B. Williams & B.J. Conn, Telopea, vol. 11 (2005)"
Prostanthera,Prostanthera stenophylla,"erect slender shrub 1.5-2.5 m high, aromatic;",perennial,inferred_from_growth_form,NA,NA,shrub,shrub,NA,NA,NA,NA,erect,erect,woody,NA,Text by B.J. Conn (2006); Taxon concept: B.J. Conn (2006)
Prostanthera,Prostanthera striatiflora,"erect shrub 0.5-2 m high, aromatic;",perennial,inferred_from_growth_form,NA,NA,shrub,shrub,NA,NA,NA,NA,erect,erect,woody,NA,Text by B. J. Conn; Taxon concept: Flora of NSW 3 (1992)
Prostanthera,Prostanthera stricta,"erect, ± shrub, to 2 m high and to 3 m diam., aromatic;",perennial,inferred_from_growth_form,NA,NA,shrub,shrub,NA,NA,NA,NA,erect,erect,woody,NA,Text by B. J. Conn; Taxon concept: Flora of NSW 3 (1992)
Prostanthera,Prostanthera tallowa,"erect shrub 1.5-2 m high, aromatic;",perennial,inferred_from_growth_form,NA,NA,shrub,shrub,NA,NA,NA,NA,erect,erect,woody,NA,Text by B.J. Conn (2013); Taxon concept: B.J. Conn & T.C. Wilson (2013)
Prostanthera,Prostanthera violacea,"slender shrub 0.5-2 m high, strongly aromatic;",perennial,inferred_from_growth_form,NA,NA,shrub,shrub,NA,NA,NA,NA,NA,NA,woody,NA,Text by B. J. Conn; Taxon concept: Flora of NSW 3 (1992)
Proteaceae,Proteaceae,"shrubs or trees,",perennial,inferred_from_growth_form,NA,NA,shrub tree,shrubs trees,NA,NA,NA,NA,NA,NA,woody,NA,NA
Prunella,Prunella,perennial herb;,perennial,perennial,NA,NA,herb,herb,NA,NA,NA,NA,NA,NA,herbaceous,NA,Text by B. J. Conn
Prunella,Prunella laciniata,"perennial herb with branches decumbent to 30 cm long,",perennial,perennial,NA,NA,herb,herb,NA,NA,NA,NA,decumbent,decumbent,herbaceous,NA,Text by B. J. Conn; Taxon concept: Flora of NSW 3 (1992)
Prunella,Prunella vulgaris,"perennial herb with branches decumbent to 50 cm long,",perennial,perennial,NA,NA,herb,herb,NA,NA,NA,NA,decumbent,decumbent,herbaceous,NA,Text by B. J. Conn; Taxon concept: Flora of NSW 3 (1992)
Prunus,Prunus,trees or shrubs.,perennial,inferred_from_growth_form,NA,NA,shrub tree,shrubs trees,NA,NA,NA,NA,NA,NA,woody,NA,"Text by G.J. Harden & A.N. Rodd, Flora of New South Wales Vol. 1 (1990); last revised May 2017 (PGK); Taxon concept: Australian Plant Census (accessed May 2017)"
Prunus,Prunus armeniaca,"deciduous tree,",perennial,inferred_from_growth_form,NA,NA,tree,tree,NA,NA,NA,NA,NA,NA,woody,NA,Text by G.J. Harden & A.N. Rodd; Taxon concept: Flora of NSW 1 (1990)
Prunus,Prunus cerasifera,slender twiggy deciduous tree with young shoots glabrous or soon becoming so;,perennial,inferred_from_growth_form,NA,NA,tree,tree,NA,NA,NA,NA,NA,NA,woody,NA,Text by G. J. Harden & A. N. Rodd; Taxon concept: Flora of NSW 1 (1990)
Prunus,Prunus cerasus,"small deciduous tree with glabrous branches,",perennial,inferred_from_growth_form,NA,NA,tree,tree,NA,NA,NA,NA,NA,NA,woody,NA,Text by G. J. Harden & A. N. Rodd; Taxon concept: Flora of NSW 1 (1990)
