genus,species,form,height,stem diameter,fruits,dispersers,dispersers_simple,min fruit length,max fruit length,min fruit width,max fruti width,min seed length,max seed length,species_name,flowering_span,fruiting_span
Atalaya,variifolia,tree,10,NA,samara,NA,NA,40,55,15,18,7,12,Atalaya variifolia,NNNNNNNN111N,NNNNNNNNNNN1
Cardiospermum,grandiflorum,vine,NA,NA,capsule,NA,NA,40,80,30,40,7,7,Cardiospermum grandiflorum,NNNNNN11NNNN,NN111111NNNN
Cardiospermum,halicacabum,vine,NA,NA,capsule,NA,NA,10,40,11,40,3,5,Cardiospermum halicacabum,NNN111111NNN,NNNN11111111
Castanospora,alphandii,tree,45,1.2,berry,Cassowary & Musky Rat-kangaroo,cassowary mammals,25,30,30,60,20,30,Castanospora alphandii,NNNN1111NNNN,111NNNNNN111
Cnesmocarpon,dasyantha,tree,25,NA,capsule,"Spotted Catbird, Wompoo Fruit-dove, Superb Fruit-dove & Lumholtz Tree-Kangaroo",birds mammals,12,18,12,16,NA,NA,Cnesmocarpon dasyantha,NNNN11111111,11NNNNNNNN11
Cossinia,australiana,tree,NA,NA,capsule,NA,NA,NA,NA,NA,NA,NA,NA,Cossinia australiana,NA,NA
Cupaniopsis,(Tully Falls),tree,6,NA,capsule,NA,NA,32,35,23,30,22,22,Cupaniopsis (Tully Falls),NN1NNNNNNNNN,NNNNNNNNN1NN
Cupaniopsis,anacardioides,tree,15,NA,capsule,many bird species,birds,15,30,15,22,12,12,Cupaniopsis anacardioides,NNNN1111NNNN,1NNNNNNN1111
Cupaniopsis,cooperorum,tree,10,NA,capsule,Victoria's Riflebird,birds,15,30,15,40,12,14,Cupaniopsis cooperorum,1NNNNNNN1111,111NNNNNNNN1
Cupaniopsis,dallachyi,tree,25,NA,capsule,Victoria's Riflebird,birds,20,35,20,30,NA,25,Cupaniopsis dallachyi,1111NNNNNN11,NNNNN111111N
Cupaniopsis,diploglottoides,tree,6,NA,capsule,NA,NA,16,18,22,22,15,15,Cupaniopsis diploglottoides,NNNNN111NNNN,NNNNNNNN11NN
Cupaniopsis,flagelliformis australia,tree,25,0.3,capsule,NA,NA,14,22,15,26,NA,NA,Cupaniopsis flagelliformis australia,1NNNNN111111,1111111N1111
Cupaniopsis,fleckeri,tree,9,NA,capsule,NA,NA,15,15,NA,NA,8,9,Cupaniopsis fleckeri,NNNNNN11NNNN,NNNNNN1111NN
Cupaniopsis,foveolata,tree,25,NA,capsule,"Figbird, Spotted Catbird & Graceful Honeyeater",birds,10,25,10,25,NA,10,Cupaniopsis foveolata,NNNN11111NNN,1NNNNNNNNNN1
Cupaniopsis,newmanii,tree,6,0.05,capsule,NA,NA,15,20,15,20,15,20,Cupaniopsis newmanii,NNNNNN1111NN,NNNNNNNNN11N
Cupaniopsis,parvifolia,tree,25,0.5,capsule,Figbird,birds,8,12,8,12,6,9,Cupaniopsis parvifolia,NNNNNNN111NN,11111NNNNN11
Cupaniopsis,serrata,tree,9,0.08,capsule,NA,NA,15,20,15,20,10,12,Cupaniopsis serrata,NNNNNNN11NNN,NNNNNNNNNN11
Cupaniopsis,serrata tomentella,tree,10,NA,capsule,NA,NA,20,25,30,40,NA,NA,Cupaniopsis serrata tomentella,NA,NA
Cupaniopsis,shirleyana,tree,10,NA,capsule,NA,NA,15,17,NA,NA,NA,NA,Cupaniopsis shirleyana,NA,NA
Cupaniopsis,simulatus,tree,25,NA,capsule,NA,NA,17,28,14,27,NA,NA,Cupaniopsis simulatus,NNNN11NNNNNN,NNNNNNNNNNN1
Cupaniopsis,wadsworthii,tree,12,NA,capsule,NA,NA,11,15,10,20,10,13,Cupaniopsis wadsworthii,111111NNNNNN,1NNNNN111111
Dictyoneura,obtusa,tree,13,NA,capsule,NA,NA,7,11,NA,NA,7,7,Dictyoneura obtusa,1NNNNNNNNNNN,N111NNNNNNNN
Dimocarpus,australianus,tree,20,NA,berry,NA,NA,13,15,11,15,10,10,Dimocarpus australianus,NNNNNNN111NN,1NNNNNNNNNN1
Dimocarpus,longan,tree,10,NA,berry,NA,NA,15,25,NA,NA,NA,NA,Dimocarpus longan,NNNNNNNNN1NN,111NNNNNN111
Diploglottis,australis,tree,36,0.75,capsule,NA,NA,10,25,10,25,NA,NA,Diploglottis australis,NNNNNNNN111N,1NNNNNNNN111
Diploglottis,bernieana,tree,20,NA,capsule,NA,NA,30,35,32,42,15,22,Diploglottis bernieana,NNNNNNNN111N,NNNNNNNNNN11
Diploglottis,bracteata,tree,23,NA,capsule,"Cassowary, Musky Rat-kagaroo & Spotted Catbird",birds mammals cassowary,30,60,30,75,25,30,Diploglottis bracteata,NNNNNNNN1NNN,1NNNNNNNNNN1
Diploglottis,campbellii,tree,24,0.9,capsule,NA,NA,40,40,40,40,10,10,Diploglottis campbellii,111NNNNNNN11,N11NNNNNNNNN
Diploglottis,diphyllostegia,tree,30,NA,capsule,"Cassowary, Orange-footed Scrubfowl, Metallic Starling & Bush Rat",birds mammals cassowary,8,17,15,28,10,10,Diploglottis diphyllostegia,NNNNN111111N,NNNNNN111111
Diploglottis,harpullioides,tree,8,NA,capsule,NA,NA,30,60,35,65,20,28,Diploglottis harpullioides,NNNNNNNNNN11,11NNNNNNNN11
Diploglottis,macrantha,tree,6,NA,capsule,NA,NA,15,20,20,40,14,18,Diploglottis macrantha,NNNNN1111NNN,NNNNNNNN1111
Diploglottis,obovata,tree,8,NA,capsule,NA,NA,14,16,14,30,NA,NA,Diploglottis obovata,NNNNNNNNN11N,NNNNNNNNNNN1
Diploglottis,pedleyi,tree,9,NA,capsule,Cassowary,cassowary,30,65,40,85,30,40,Diploglottis pedleyi,NNNNNNNNN1NN,NNNN11111NNN
Diploglottis,smithii,tree,15,NA,capsule,NA,NA,15,45,20,55,13,13,Diploglottis smithii,NNNNNNNN111N,NNNNNNNNNN11
Dodonaea,lanceolata lanceolata,shrub,3,NA,capsule,NA,NA,13,19,14,19,3,3,Dodonaea lanceolata lanceolata,1111NNNN1111,1.11111E+11
Dodonaea,lanceolata subscessilifolia,shrub,3,NA,capsule or samara,Eclectus Parrot,birds,13,19,14,19,3,3,Dodonaea lanceolata subscessilifolia,1111NNNN1111,1.11111E+11
Dodonaea,platyptera,tree,10,NA,capsule or samara,NA,NA,7,15,13,30,1,3,Dodonaea platyptera,1NNNNNNNNNNN,NN111NNNNNNN
Dodonaea,polyandra,tree,8,NA,capsule or samara,NA,NA,16,28,15,30,1,3,Dodonaea polyandra,1.11111E+11,NNNN1111111N
Dodonaea,triquetra,shrub,3,NA,capsule,Crimson Rosella,birds,9,18,10,15,2,3,Dodonaea triquetra,1NNNNNNNNNNN,NNNNNNNNN1NN
Dodonaea,viscosa,shrub,2,NA,capsule or samara,NA,NA,15,23,20,25,2,3,Dodonaea viscosa,1.11111E+11,11NNN1111111
Elatostachys,megalantha,tree,10,NA,capsule,NA,NA,17,22,15,20,9,9,Elatostachys megalantha,NNNNNNNNNN11,NNN111111NNN
Elatostachys,microcarpa,tree,10,NA,capsule,Eclectus Parrot,birds,8,12,8,12,NA,NA,Elatostachys microcarpa,NNNNNNNN1111,NN111111111N
Elatostachys,xylocarpa,tree,25,0.35,capsule,"Regent Bowerbird, Satin Bowerbird, Crimson Rosella, King Parrot, Silvereye, Golden Whistler & Lewin's Honeyeater",birds,15,20,15,22,6,8,Elatostachys xylocarpa,111111NNNN11,1NNN11111111
Elattostachys,nervosa,tree,29,0.5,woody capsule,NA,NA,12,18,12,18,NA,NA,Elattostachys nervosa,NN111NNNNNNN,1.11111E+11
Ganophyllum,flacatum,tree,32,NA,berry,many bird species,birds,10,15,6,13,8,8,Ganophyllum flacatum,NNNNNNNNNN11,11NNNNNNNNN1
Gen nov (Sapindaceae),(Noah Creek),tree,8,NA,capsule,NA,NA,25,35,25,35,27,30,Gen nov (Sapindaceae) (Noah Creek),NN1NNNNNNNNN,NNNNNNNNN1NN
Guioa,acutifolia,tree,20,NA,capsule,"Yellow Oriole, Victoria's Riflebird & Silvereye",birds,10,12,10,22,5,5,Guioa acutifolia,NN111111NNNN,11NNNNN11111
Guioa,lasioneura,tree,15,NA,capsule,Spectacled Flying-fox & many bird species,birds bats,8,14,10,22,7,8,Guioa lasioneura,NNNNNNN111NN,111NNNNNNN11
Guioa,montana,tree,20,NA,capsule,Golden Bowerbird & Spotted Catbird,birds,12,16,20,25,NA,NA,Guioa montana,NNNNNNNN111N,1NNNNNNNNN11
Guioa,sarcopterifructa,tree,6,NA,capsule,NA,NA,25,25,20,27,7,8,Guioa sarcopterifructa,NNNNNNNNNNN1,11NNNNNNNNNN
Guioa,semiglauca,tree,25,0.3,capsule,many bird species,birds,6,10,10,13,6,6,Guioa semiglauca,NNNNNNNN111N,NNNNNNNNNN11
Harpullia,alata,tree,5,0.06,capsule,NA,NA,NA,NA,25,40,NA,NA,Harpullia alata,NNN11NNNNNNN,NN111111NNNN
Harpullia,arborea,tree,45,NA,capsule,NA,NA,13,25,25,50,12,15,Harpullia arborea,NNNNNNNNNN1N,1111NNNNNNNN
Harpullia,frutescens,shrub,2,NA,capsule,NA,NA,12,16,20,20,10,15,Harpullia frutescens,N111111NNNNN,NNNNNN11111N
Harpullia,hillii,tree,20,0.5,capsule,NA,NA,13,20,32,40,8,12,Harpullia hillii,NNNNNNN1111N,1NNNNNNN1111
Harpullia,pendula,tree,25,0.6,capsule,King Parrot & Eclectus Parrot,birds,13,25,15,30,NA,NA,Harpullia pendula,111111NNNNN1,1.11111E+11
Harpullia,ramiflora,tree,9,NA,capsule,NA,NA,12,18,18,18,NA,NA,Harpullia ramiflora,1111111NN111,NNN11111111N
Harpullia,rhyticarpa,tree,6,NA,capsule,NA,NA,15,33,25,42,12,14,Harpullia rhyticarpa,NN1111111NNN,NN11111111NN
Jagera,javanica,tree,20,NA,capsule,NA,NA,12,26,10,20,8,10,Jagera javanica,NNNN11NNNNNN,NNNNNNNNNN1N
Jagera,pseudorhus integerrima,tree,20,NA,capsule,NA,NA,14,20,12,18,7,8,Jagera pseudorhus integerrima,NN1NNNNNNNNN,NNNNN111111N
Jagera,pseudorhus pseudorhus,tree,30,0.5,capsule,"Regent Bowerbird, Satin Bowerbird, Koel, Crested Shrike-tit & Lewin's Honeyeater",birds,14,20,12,18,7,8,Jagera pseudorhus pseudorhus,NN111NNNNNNN,NNNNNNN1111N
Lepiderema,(Impulse Creek),tree,8,NA,capsule,NA,NA,14,17,12,13,10,10,Lepiderema (Impulse Creek),NA,NNNNNNNNN1NN
Lepiderema,hirsuta,tree,10,NA,capsule,NA,NA,18,22,15,18,7,7,Lepiderema hirsuta,NNNNNNN11NNN,NNNNNNNNN11N
Lepiderema,ixiocarpa,tree,7,NA,capsule,NA,NA,10,25,13,17,12,12,Lepiderema ixiocarpa,NN11111NNNNN,NNNNN111111N
Lepiderema,largiflorens,tree,7,NA,capsule,NA,NA,13,25,12,20,14,16,Lepiderema largiflorens,N1111NNNNNNN,NNNNNNNNN11N
Lepiderema,pulchella,tree,15,0.4,capsule,NA,NA,8,11,8,11,8,10,Lepiderema pulchella,NNNNNNNN11NN,NNNNNNNNNNN1
Lepiderema,punctulata,tree,15,NA,capsule,NA,NA,10,12,10,12,NA,NA,Lepiderema punctulata,NNNNNNN1NNNN,1111NNNN1111
Lepiderema,sericolignis,tree,10,NA,capsule,NA,NA,10,19,10,20,9,12,Lepiderema sericolignis,NN1NNNNNNNNN,NNNNNNN11111
Lepidopetalum,fructoglabrum,tree,13,NA,capsule,NA,NA,17,25,10,20,10,15,Lepidopetalum fructoglabrum,NNNNNN111NNN,1NNNNNNNN111
Lepisanthes,senegalensis,tree,5,NA,berry,NA,NA,22,30,18,30,14,19,Lepisanthes senegalensis,NNNNNNN1NNNN,NNNNNNNNNNN1
Mischarytera,lautereriana,tree,30,NA,capsule,"Spotted Catbird, Figbird & Victoria's Riflebird",birds,10,20,10,40,8,8,Mischarytera lautereriana,NNN111111NNN,NNNNNNNNNN11
Mischarytera,macrobotrys,tree,10,NA,capsule,NA,NA,20,30,NA,NA,8,11,Mischarytera macrobotrys,NNNNN11NNNNN,1NNNNNNNNN11
Mischocarpus,albescens,tree,10,NA,capsule,NA,NA,16,18,8,9,8,8,Mischocarpus albescens,NNNNNNN1NNNN,NNNNNN11NNNN
Mischocarpus,anodontus,tree,8,0.25,capsule,Regent Bowerbird & Lewin's Honeyeater,birds,20,30,8,15,NA,NA,Mischocarpus anodontus,NN11NNNNNNNN,NNNNNNNN1111
Mischocarpus,australis,tree,25,0.5,capsule,NA,NA,7,17,NA,NA,7,7,Mischocarpus australis,1NNNNNNNNN11,NNN1111NNNNN
Mischocarpus,exangulatus,tree,15,NA,capsule,Victoria's Riflebird,birds,18,40,10,15,15,20,Mischocarpus exangulatus,NN1111111NNN,NNNN111111NN
Mischocarpus,grandissimus,tree,10,NA,capsule,Bush Rat,mammals,25,40,12,15,15,20,Mischocarpus grandissimus,N111111NNNNN,NNNNNNNN111N
Mischocarpus,lachnocarpus,tree,20,NA,capsule,"Spotted Catbird, King Parrot, Lewin's Honeyeater & Victoria's Riflebird",birds,13,20,6,20,7,8,Mischocarpus lachnocarpus,111NNN111111,11111111NNN1
Mischocarpus,macrocarpus,tree,20,NA,capsule,"Rose-crowned Fruit-dove, Tooth-billed Catbird, Victoria's Riflebird & Bush Rat",mammals,20,40,8,16,10,10,Mischocarpus macrocarpus,111NNNNNNNNN,NNNNNN11111N
Mischocarpus,pyriformis pyriformis,tree,30,0.5,capsule,"Pied Currawong, Figbird & Lewin's Honeyeater",birds,16,20,6,10,9,10,Mischocarpus pyriformis pyriformis,NNNN1111NNNN,1NNNNNNNNNN1
Mischocarpus,pyriformis retusus,tree,20,NA,capsule,NA,NA,16,26,6,8,8,10,Mischocarpus pyriformis retusus,N11NNNNNNNNN,NNNNNNNNN11N
Mischocarpus,stipiatus,tree,15,NA,capsule,Metallic Starling,birds,13,35,9,15,6,10,Mischocarpus stipiatus,NNN11NNNNNNN,NNNNNNN1111N
Rhysotoechia,bifoliolata,tree,20,0.6,capsule,King Parrot,birds,15,26,10,32,NA,NA,Rhysotoechia bifoliolata,NNNNNN1NNNNN,NNNNNNNN1111
Rhysotoechia,flavescens,tree,15,NA,capsule,NA,NA,18,26,20,25,11,15,Rhysotoechia flavescens,11111NNNNNNN,NN11111111NN
Rhysotoechia,florulenta,tree,15,NA,capsule,NA,NA,18,25,NA,NA,NA,NA,Rhysotoechia florulenta,NNNNNNNNN1NN,NNNNNNNNNNN1
Rhysotoechia,mortoniana,tree,7,NA,capsule,NA,NA,12,14,20,32,10,10,Rhysotoechia mortoniana,NNNNN111NNNN,NNNNNN111NNN
Rhysotoechia,robertsonii,tree,16,NA,capsule,Cassowary,cassowary,16,28,22,35,11,14,Rhysotoechia robertsonii,11NNNNNN1111,1NNNNNNNNN11
Sarcopteryx,(McIlwraith Range),tree,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Sarcopteryx (McIlwraith Range),NNNNNNNN11NN,NA
Sarcopteryx,acuminata,tree,15,NA,capsule,NA,NA,14,23,14,25,10,10,Sarcopteryx acuminata,NNNNNNNN1NNN,1NNNNNNNNN11
Sarcopteryx,martyana,tree,20,NA,capsule,Metallic Starling,birds,10,17,10,20,8,8,Sarcopteryx martyana,NNNNNNNN11NN,1NNNNNNNNN11
Sarcopteryx,montana,tree,15,NA,capsule,NA,NA,15,27,15,27,12,13,Sarcopteryx montana,NNNNNNNNNN1N,111NNNNNNNNN
Sarcopteryx,reticulata,tree,25,NA,capsule,NA,NA,10,18,10,20,7,8,Sarcopteryx reticulata,NNNNNNN111NN,NNNNNNNNNN11
Sarcopteryx,stipata,tree,40,0.75,capsule,Green Catbird & Lewin's Honeyeater,birds,13,13,13,13,5,5,Sarcopteryx stipata,NNNNN11111NN,NNNNNNNNNN11
Sarcotoechia,(Mt Carbine),tree,12,NA,capsule,NA,NA,14,20,16,20,11,12,Sarcotoechia (Mt Carbine),NNNNNNNNNN1N,11NNNNNNNNN1
Sarcotoechia,cuneata,tree,25,NA,capsule,NA,NA,10,19,8,15,8,10,Sarcotoechia cuneata,NNNNNN111NNN,NNNNNNNNN111
Sarcotoechia,heterophylla,tree,12,NA,capsule,NA,NA,12,12,13,16,NA,NA,Sarcotoechia heterophylla,NNN11NNNNNNN,NNNNNNNNNNN1
Sarcotoechia,lanceolata,tree,30,NA,capsule,NA,NA,6,13,8,13,10,11,Sarcotoechia lanceolata,NNNN11111NNN,NNNNNN11NNNN
Sarcotoechia,protracta,tree,13,NA,capsule,"Cassowary, King Parrot & Victoria's Riflebird",birds cassowary,16,30,20,35,9,18,Sarcotoechia protracta,NNNNNNNNN111,11111NNNNN11
Sarcotoechia,serrata,tree,15,NA,capsule,NA,NA,12,23,12,25,14,17,Sarcotoechia serrata,1111NNNN1111,N1111NNNNNNN
Sarcotoechia,villosa,tree,10,NA,capsule,NA,NA,10,14,10,16,6,7,Sarcotoechia villosa,NNNNNNNNNN11,NNNNNNNNNN11
Synima,cordierorum,tree,27,NA,capsule,"Spotted Catbird, Golden Bowerbird & Victoria's Riflebird",birds,15,25,15,25,9,11,Synima cordierorum,NNNNNNNNN111,11NNNNNNNNN1
Synima,macrophylla,tree,11,NA,capsule,King Parrot & Victoria's Riflebird,birds,15,30,15,28,12,15,Synima macrophylla,NNNNNNN1111N,11111NNNNN11
Toechima,daemelianum,tree,13,NA,capsule,Metallic Starling & Eclectus Parrot,birds,18,26,15,19,8,11,Toechima daemelianum,NNNNNN1111NN,NNNNNNNN1111
Toechima,dasyrrhache,tree,8,0.23,capsule,NA,NA,20,20,20,20,7,7,Toechima dasyrrhache,NNNNNNNN11NN,NNNNNNNNNN11
Toechima,erythrocarpum,tree,20,NA,capsule,"King Parrot, Victoria's Riflebird & Lewin's Honeyeater",birds,20,35,15,39,15,15,Toechima erythrocarpum,NNNN111111NN,11NNNNNNN111
Toechima,monticolaoblatus,tree,25,NA,capsule,NA,NA,18,29,15,38,13,15,Toechima monticolaoblatus,NNNNNNNNN111,111NNNNNNNNN
Toechima,pterocarpum,tree,8,NA,capsule,NA,NA,15,25,15,30,11,11,Toechima pterocarpum,NNNNNNNNN111,11NNNNNNNNNN
Toechima,tenax,tree,18,0.3,capsule,NA,NA,15,20,NA,NA,6,6,Toechima tenax,NNNN111NNNNN,NNNNNNNNNN1N
Tristiropsis,acutangula,tree,35,NA,drupe,fruit-doves,birds,25,40,14,32,20,30,Tristiropsis acutangula,1NNNNNNNNNNN,NNNNNNNN1111
Chrysophyllum,roxburghii,tree,30,NA,drupe,NA,NA,48,60,48,60,24,24,Chrysophyllum roxburghii,1NNNNNNNNN11,1.11111E+11
Manilkara,kauki,tree,10,NA,drupe,"Spectacled Flying-fox, Dingo & pig",bats mammals,25,40,20,28,18,20,Manilkara kauki,11NNNNNNNNNN,NNNNN11111NN
Mimosops,elengi,tree,16,NA,drupe,fruit-doves,birds,12,18,12,18,11,15,Mimosops elengi,1.11111E+11,NNN111111111
Niemeyera,(Churchill Creek),tree,10,NA,drupe,NA,NA,57,57,40,40,34,40,Niemeyera (Churchill Creek),NA,1NNNNNNNNNNN
Niemeyera,(Mt Lewis),tree,20,NA,drupe,Cassowary,cassowary,40,68,35,60,35,40,Niemeyera (Mt Lewis),NNNNNNNNNN11,NNNNNNNN1111
Niemeyera,antiloga,tree,20,0.5,drupe,NA,NA,47,65,38,55,25,40,Niemeyera antiloga,NNNNNNNNN111,1NNNNNNN1111
Niemeyera,chartaceat,tree,20,NA,drupe,NA,NA,20,25,10,13,15,15,Niemeyera chartaceat,11NNNNNN1111,NNNNNNNNNNN1
Niemeyera,prunifera,tree,16,NA,drupe,"Cassowary, Musky Rat-kagaroo, Giant White-tailed Rat, Fawn-footed Melomys & Spectacled Flying-fox",cassowary bats mammals,35,50,24,50,16,38,Niemeyera prunifera,1.11111E+11,N11111111NNN
Niemeyera,whitei,tree,20,0.5,drupe,NA,NA,20,50,20,50,20,30,Niemeyera whitei,NNNNNNNN11NN,NNNNNNNN111N
Palaqium,galactoxylon,tree,30,NA,drupe,Cassowary & fruit-doves,birds cassowary,30,40,12,30,25,35,Palaqium galactoxylon,NNN111NNNNNN,1NNNNNNNNN11
Pouteria,(Barong),tree,5,NA,drupe,NA,NA,50,90,30,35,30,45,Pouteria (Barong),1NNNNNNNNNNN,11NNNNNNNNNN
Pouteria,(Mt Lewis),tree,16,NA,drupe,NA,NA,20,20,10,10,15,18,Pouteria (Mt Lewis),NNNNN11111NN,NNNNNN1NNNNN
Pouteria,asterocarpon,tree,30,NA,drupe,Topknot Pigeon,birds,16,20,18,21,11,13,Pouteria asterocarpon,1NNNNNNNNN11,NNNNNN11111N
Pouteria,australis,tree,30,1.2,drupe,Green Catbird,birds,NA,50,NA,50,20,20,Pouteria australis,1NNNNNNNN111,1NNNNNNN1111
Pouteria,brownlessiana,tree,30,NA,drupe,NA,NA,32,32,10,10,18,18,Pouteria brownlessiana,NN1111NNNNNN,11NNNNNNN111
Pouteria,castanoperma,tree,20,NA,drupe,Giant White-tailed Rat & Bush Rat,birds mammals,40,72,30,60,25,40,Pouteria castanoperma,1111111NNNN1,11NNNNNNN111
Pouteria,chartacea,tree,12,0.27,drupe,Cassowary,cassowary,15,22,5,15,9,20,Pouteria chartacea,11111NNNNNNN,NNNNNN111111
Pouteria,cotinifolia,tree,15,0.4,drupe,Figbird,birds,10,15,5,7,9,12,Pouteria cotinifolia,11111NNNNNN1,NN111NNNNNNN
Pouteria,eerwah,tree,15,NA,drupe,NA,NA,NA,5,NA,NA,NA,NA,Pouteria eerwah,NA,NA
Pouteria,euphlebia,tree,25,NA,drupe,Spotted Catbird & fruit-doves,birds,15,39,10,32,12,22,Pouteria euphlebia,NNNNNNNN11NN,NNNNNN111111
Pouteria,myrsinifolia (myrsinoides),tree,12,0.25,drupe,King Parrot,birds,10,30,6,25,8,22,Pouteria myrsinifolia (myrsinoides),N11111111111,NNN11111111N
Pouteria,myrsinodendron,tree,25,NA,drupe,"Cassowary, Figbird, Wompoo Fruit-dove, Pied Imperial-pigeon & Spectacled Flying-fox",birds bats cassowary,15,30,8,15,12,25,Pouteria myrsinodendron,111NNNNNN111,NNNN1111111N
Pouteria,obovata,tree,15,NA,drupe,"Pied Imperial-pigeon, Barred Cuckoo-shirike, Figbird & Metallic Starling",birds,10,15,10,15,8,12,Pouteria obovata,111NNNNNN111,111NNNNNNNNN
Pouteria,papyracea,tree,35,NA,drupe,NA,NA,20,20,15,25,18,18,Pouteria papyracea,111NNNNNNNNN,11111NN11111
Pouteria,personiorum,tree,25,NA,drupe,NA,NA,50,60,35,45,35,40,Pouteria personiorum,NA,1NNNNNNNN111
Pouteria,pohlmaniana,tree,44,0.55,drupe,NA,NA,15,30,12,20,10,12,Pouteria pohlmaniana,1NNNNNN11111,NNN1111NNNNN
Pouteria,queenslandica (laurifolia),tree,40,0.9,drupe,Wompoo Fruit-dove & Topknot Pigeon,birds,10,22,5,9,12,12,Pouteria queenslandica (laurifolia),1NN111111111,NNNNNNN11111
Pouteria,sericea,shrub,7,NA,drupe,NA,NA,15,25,10,15,12,18,Pouteria sericea,1111111NN111,NNNNNN1111NN
Pouteria,singuliflora,tree,8,NA,drupe,NA,NA,25,33,10,14,16,21,Pouteria singuliflora,111NNNNNNN11,NNNNNNNNNN11
Pouteria,unmackiana,tree,6,NA,drupe,NA,NA,30,70,30,90,NA,NA,Pouteria unmackiana,NNNNNN1111NN,1NNNNNN11111
Pouteria,xerocarpa,tree,15,NA,drupe,"Brown Cuckoo-dove, Wompoo Fruit-dove & King Parrot",birds,15,22,10,13,12,16,Pouteria xerocarpa,11NNNNNNNNN1,N1111111NNNN
Pouteria,xylocarpa,tree,30,NA,drupe,NA,NA,35,80,30,80,20,25,Pouteria xylocarpa,1NNNNNNNNNNN,NNNNNNNNN1NN
Artanema,fimbriatum,herb/shrub,1,NA,capsule,NA,NA,7,9,6,8,NA,NA,Artanema fimbriatum,1111111NN111,1111111NN111
Lophspermum,erubescens,vine,NA,NA,capsule,NA,NA,15,20,18,22,3,3,Lophspermum erubescens,NNN111111NNN,NNNN11111NNN
Mecardonia,procumbens,herb,0.16,NA,nut,NA,NA,NA,NA,NA,NA,NA,NA,Mecardonia procumbens,NN111111111N,NNN111111111
Scoparia,dulcis,herb,1,NA,capsule,NA,NA,2,4,NA,NA,NA,NA,Scoparia dulcis,1.11111E+11,1.11111E+11
Ailanthus,integrifolia,tree,60,NA,samara,NA,NA,100,220,25,50,NA,NA,Ailanthus integrifolia,NNNNNNN111NN,11NNNNNNNN11
Ailanthus,triphysa,tree,45,0.8,samara,NA,NA,42,80,10,25,4,6,Ailanthus triphysa,NNNNNNNN1111,1NNNNNNNNNN1
Brucea,javanica,tree,10,NA,berry,NA,NA,4,10,5,6,NA,NA,Brucea javanica,11NNNNNNN111,N111111NNNNN
Quassia,(Barong),tree,10,NA,drupe,NA,NA,30,30,15,15,NA,NA,Quassia (Barong),NNNNNN1111NN,1NNNNNNNNNNN
Quassia,(Tozer Range),shrub,4,NA,drupe,NA,NA,12,15,6,6,6,6,Quassia (Tozer Range),N111111111NN,11NN11111111
Quassia,amara,shrub,3,NA,drupe,NA,NA,12,13,8,9,10,11,Quassia amara,1NNNNNNNN111,NNNNNNNNN1NN
Quassia,baileyana,tree,10,NA,drupe,NA,NA,30,45,18,25,25,25,Quassia baileyana,1111NNNNNN11,NNNNNNN1111N
Quassia,bidwillii,tree,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Quassia bidwillii,NA,NA
Quassia,sp. aff. bidwillii,tree,5,0.1,NA,NA,NA,15,20,NA,NA,NA,NA,Quassia sp. aff. bidwillii,11NNNN111111,11NNNNNNNNN1
Quassia,sp. nov.,shrub,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Quassia sp. nov.,NA,NA
Quassia,sp. (Mt Goonaneman),NA,NA,NA,drupe?,NA,NA,NA,NA,NA,NA,NA,NA,Quassia sp. (Mt Goonaneman),NA,NA
Nicotiana,tabacum,herb/shrub,1,NA,capsule,NA,NA,18,18,9,9,NA,NA,Nicotiana tabacum,NNNNNNNN1NNN,NNNNNNNNNN11
Physalis,minima,shrub,1,NA,berry,Cassowary,cassowary,8,14,8,14,2,2,Physalis minima,1.11111E+11,N11111111111
Solanum,aviculare,shrub,4,NA,berry,"Satin Bowerbird, Brown Cuckoo-dove, Black-faced Cuckoo-shrike & Lewin's Honeyater",birds,26,28,10,18,1,1,Solanum aviculare,NNNNN111111N,NN1111111111
Solanum,brownii,shrub,2,NA,NA,NA,NA,15,20,15,20,2.5,3.5,Solanum brownii,NA,NA
Solanum,callium,shrub,5,NA,NA,NA,NA,10,15,10,15,3,4,Solanum callium,NA,NA
Solanum,corifolium,shrub,1.5,NA,berry,NA,NA,10,15,10,15,3,3,Solanum corifolium,NN11NNNNNNNN,111111NNNNN1
Solanum,densevestitum,shrub,1,NA,NA,NA,NA,6,7,6,7,2,2.5,Solanum densevestitum,NA,NA
Solanum,erianthum,tree,8,NA,berry,King Parrot & Brown Cuckoo-dove,birds,10,10,10,10,2,2,Solanum erianthum,1111111111NN,111111NNNNNN
Solanum,furfuraceum,shrub,2,NA,berry,NA,NA,15,20,15,20,1.5,2,Solanum furfuraceum,NA,NA
Solanum,inaequilaterum,shrub,2,NA,berry,NA,NA,10,18,10,18,3,3.5,Solanum inaequilaterum,NA,NA
Solanum,parvifolium,shrub,1,NA,berry,NA,NA,5,8,5,8,2,2,Solanum parvifolium,1.11111E+11,1.11111E+11
Solanum,prinophyllum,herb/shrub,0.5,NA,berry,NA,NA,15,23,15,23,2,3,Solanum prinophyllum,NA,NA
Solanum,pungetium,herb/shrub,1.5,NA,berry,NA,NA,25,30,25,30,2.5,4,Solanum pungetium,NA,NA
