"species","trait_name","trait_value","trait_name_standardised","trait_value_standardised","value_type","flowering_time_type","number_records","number_obs","percent_records","commonness","notes"
"Banksia robur","growth_response","ground resprout and trunk resprout; trunk resprout","bud_bank_location","epicormic_buds",,,31,5,16,,
"Banksia robur","growth_response","unspecified",,,,,40,,23,,""
"Banksia robur","flowering_response","occurred after fire",,,,,24,,,,""
"Banksia robur","flowering_response","median time to flowering: 13-24 months","fire_time_from_fire_to_flowering","18.5","median",,24,,,,""
"Banksia robur","flowering_response","minimum time to flowering: <1 month","fire_time_from_fire_to_flowering","1","minimum",,24,,,,""
"Banksia robur","flowering_response","not occurred after fire",,,,,8,,,,""
"Banksia robur","flowering_response","median time to no flowering: 12-13 months","fire_time_from_fire_to_no_flowering","12.5","median",,8,,,,""
"Banksia robur","flowering_response","maximum time to no flowering: 13-24 months","fire_time_from_fire_to_no_flowering","18.5","maximum",,8,,,,""
"Banksia robur","pollinator_type","no pollinator observed",,,,,110,86,,,""
"Banksia robur","pollinator_type","bees, wasps, ants","flower_visitor","bee wasp ant",,,24,8,33,"commonly",""
"Banksia robur","pollinator_type","beetles","flower_visitor","beetle",,,24,2,8,"rarely",""
"Banksia robur","pollinator_type","bird","flower_visitor","bird",,,24,13,54,"usually",""
"Banksia robur","pollinator_type","butterflies, moths","flower_visitor","lepidoptera",,,24,1,4,"rarely",""
"Banksia robur","specific_pollinator","ant","flower_visitor","ant",,,24,1,4,"rarely",""
"Banksia robur","specific_pollinator","bee (unspecified)","flower_visitor","bee",,,24,1,4,"rarely",""
"Banksia robur","specific_pollinator","jewel beetle","flower_visitor","beetle",,,24,1,4,"rarely",""
"Banksia robur","specific_pollinator","blue butterfly","flower_visitor","butterfly",,,24,1,4,"rarely",""
"Banksia robur","specific_pollinator","European honey bee","flower_visitor","honeybee",,,24,2,8,"rarely",""
"Banksia robur","specific_pollinator","honeyeater (unspecified); New Holland Honeyeater; Brown Honeyeater; Tawny-crowned Honeyeater; Lewin's Honeyeater; Little Wattlebird; friarbird (unspecified); Little Friarbird","flower_visitor","honeyeater",,,24,14,58,"usually",""
"Banksia robur","months_flowering_range","no definite season; low-level 'fully open' most months except Feb, May, Jun and Nov","flowering_time","YNYYNNYYYYNY",,"full range",,,,,"text: 'There does not appear to be a definite flowering season with flowers recorded in all months of the year except February, May, June and November. George (1981) had stated the main flowering period to be January and May' - the book itself notes a discrepancy with George's claim; hybridises readily with B. oblongifolia (20 recorded hybrid populations, Wollongong NSW to Pialba QLD)"
"Banksia robur","months_flowering_peak","Mar","flowering_time","NNYNNNNNNNNN",,"peak flowering",,,,,"tallest 'fully open' bar in chart (~25%), though levels are low and fairly flat across the year"
"Banksia robur","months_fruiting_cones_present","uncertain - not confidently isolated from chart",,,,,,,,,"LOW CONFIDENCE - flag for manual check"
"Banksia saxicola","growth_form","tree","plant_growth_form","tree",,,54,,52,"usually",""
"Banksia saxicola","growth_form","shrub","plant_growth_form","shrub",,,54,,46,"commonly",""
"Banksia saxicola","growth_form","unspecified",,,,,54,,2,"rarely",""
"Banksia saxicola","growth_response","killed, no seedlings","resprouting_capacity","fire_killed",,,2,1,50,,
"Banksia saxicola","growth_response","trunk resprout","resprouting_capacity","resprouts",,,2,1,50,,
"Banksia saxicola","growth_response","killed, no seedlings","post_fire_recruitment","post_fire_recruitment_absent",,,2,1,50,,
"Banksia saxicola","growth_response","trunk resprout","bud_bank_location","epicormic_buds",,,2,1,50,,
"Banksia saxicola","growth_response","unspecified",,,,,3,,33,,""
"Banksia saxicola","flowering_response","occurred after fire",,,,,1,,,,""
"Banksia saxicola","flowering_response","minimum time to flowering: 49-60 months","fire_time_from_fire_to_flowering","54.5","minimum",,1,,,,""
"Banksia saxicola","flowering_response","not occurred after fire",,,,,2,,,,""
"Banksia saxicola","flowering_response","median time to no flowering: 48-49 months","fire_time_from_fire_to_no_flowering","48.5","median",,2,,,,""
"Banksia saxicola","flowering_response","maximum time to no flowering: 85-96 months","fire_time_from_fire_to_no_flowering","90.5","maximum",,2,,,,""
"Banksia saxicola","pollinator_type","no pollinator observed",,,,,34,32,,,""
"Banksia saxicola","pollinator_type","bird","flower_visitor","bird",,,2,2,100,"usually",""
"Banksia saxicola","specific_pollinator","New Holland Honeyeater; Crescent Honeyeater","flower_visitor","honeyeater",,,2,2,100,"usually",""
"Banksia saxicola","months_flowering_range","Jan-Mar, plus a minor record in May","flowering_time","YYYNYNNNNNNN",,"full range",,,,,"text: 'The main flowering period of B. saxicola is January to March, though flowers were also recorded in May'"
"Banksia saxicola","months_flowering_peak","Feb","flowering_time","NYNNNNNNNNNN",,"peak flowering",,,,,"tallest 'fully open' bar in chart (~90%)"
"Banksia saxicola","months_fruiting_cones_present","uncertain - not confidently isolated from chart",,,,,,,,,"LOW CONFIDENCE - flag for manual check"
"Banksia scabrella","growth_form","shrub","plant_growth_form","shrub",,,17,,100,"usually",""
"Banksia scabrella","growth_response","unspecified",,,,,1,,100,,""
"Banksia scabrella","flowering_response","occurred after fire",,,,,1,,,,""
"Banksia scabrella","flowering_response","minimum time to flowering: 25-36 months","fire_time_from_fire_to_flowering","30.5","minimum",,1,,,,""
"Banksia scabrella","flowering_response","not occurred after fire",,,,,0,,,,""
"Banksia scabrella","pollinator_type","no pollinator observed",,,,,1,1,,,""
"Banksia scabrella","months_flowering_range","Apr, Sep","flowering_time","NNNYNNNNYNNN",,"full range",,,,,"DISCREPANCY FLAGGED: text states 'Flowering was recorded in September and also in April. However, George (1981) described the flowering period as September to January' - Atlas chart confirms 'fully open' only at Apr and Sep (both 100%, thin sample); Feb and May show 'majority in bud' rather than 'fully open' despite having the most total records (Feb=12)"
"Banksia scabrella","months_flowering_peak","Apr, Sep (tied, thin sample)","flowering_time","NNNYNNNNYNNN",,"peak flowering",,,,,"THIN SAMPLE (17 total records)"
"Banksia scabrella","months_fruiting_cones_present","not known",,,,,,,,,"THIN SAMPLE; text notes further data are needed for new shoot growth"
"Banksia sceptrum","growth_form","tree","plant_growth_form","tree",,,80,,31,"commonly",""
"Banksia sceptrum","growth_form","shrub","plant_growth_form","shrub",,,80,,69,"usually",""
"Banksia sceptrum","growth_response","killed, new seedlings","resprouting_capacity","fire_killed",,,8,8,100,,
"Banksia sceptrum","growth_response","killed, new seedlings","post_fire_recruitment","post_fire_recruitment",,,8,8,100,,
"Banksia sceptrum","growth_response","killed, new seedlings","bud_bank_location","none",,,8,8,100,,
"Banksia sceptrum","flowering_response","occurred after fire",,,,,4,,,,""
"Banksia sceptrum","flowering_response","median time to flowering: 36-37 months","fire_time_from_fire_to_flowering","36.5","median",,4,,,,""
"Banksia sceptrum","flowering_response","minimum time to flowering: 1-12 months","fire_time_from_fire_to_flowering","6.5","minimum",,4,,,,""
"Banksia sceptrum","flowering_response","not occurred after fire",,,,,3,,,,""
"Banksia sceptrum","flowering_response","median time to no flowering: 25-36 months","fire_time_from_fire_to_no_flowering","30.5","median",,3,,,,""
"Banksia sceptrum","flowering_response","maximum time to no flowering: 73-84 months","fire_time_from_fire_to_no_flowering","78.5","maximum",,3,,,,""
"Banksia sceptrum","pollinator_type","no pollinator observed",,,,,7,4,,,""
"Banksia sceptrum","pollinator_type","bees, wasps, ants","flower_visitor","bee wasp ant",,,3,2,67,"usually",""
"Banksia sceptrum","pollinator_type","bird","flower_visitor","bird",,,3,1,33,"commonly",""
"Banksia sceptrum","specific_pollinator","ant","flower_visitor","ant",,,3,2,67,"usually",""
"Banksia sceptrum","specific_pollinator","honeyeater (unspecified)","flower_visitor","honeyeater",,,3,1,33,"commonly",""
"Banksia sceptrum","months_flowering_range","Apr","flowering_time","NNNYNNNNNNNN",,"full range",,,,,"DISCREPANCY FLAGGED: text infers 'the species flowers in summer when temperatures are generally too hot for much field work to be undertaken. The lack of any records for November, December and January... bears witness to this fact' - but the chart's ONLY 'fully open' bar (vs. 'majority in bud' everywhere else) is in April, not summer"
"Banksia sceptrum","months_flowering_peak","Apr","flowering_time","NNNYNNNNNNNN",,"peak flowering",,,,,"only month with a 'fully open' bar in the chart; all other months show 'majority in bud'"
"Banksia sceptrum","months_fruiting_cones_present","uncertain - not confidently isolated from chart",,,,,,,,,"LOW CONFIDENCE - flag for manual check"
"Banksia seminuda","growth_form","tree","plant_growth_form","tree",,,190,,97,"usually",""
"Banksia seminuda","growth_form","shrub","plant_growth_form","shrub",,,190,,2,"rarely",""
"Banksia seminuda","growth_form","unspecified",,,,,190,,1,"rarely",""
"Banksia seminuda","growth_response","killed, new seedlings; killed, no seedlings","resprouting_capacity","fire_killed",,,10,6,60,,
"Banksia seminuda","growth_response","ground resprout; trunk resprout","resprouting_capacity","resprouts",,,10,4,40,,
"Banksia seminuda","growth_response","killed, new seedlings","post_fire_recruitment","post_fire_recruitment",,,10,3,30,,
"Banksia seminuda","growth_response","killed, no seedlings","post_fire_recruitment","post_fire_recruitment_absent",,,10,3,30,,
"Banksia seminuda","growth_response","ground resprout","bud_bank_location","basal_buds",,,10,1,10,,
"Banksia seminuda","growth_response","trunk resprout","bud_bank_location","epicormic_buds",,,10,3,30,,
"Banksia seminuda","growth_response","unspecified",,,,,22,,55,,""
"Banksia seminuda","flowering_response","occurred after fire",,,,,14,,,,""
"Banksia seminuda","flowering_response","median time to flowering: 24-25 months","fire_time_from_fire_to_flowering","24.5","median",,14,,,,""
"Banksia seminuda","flowering_response","minimum time to flowering: <1 month","fire_time_from_fire_to_flowering","1","minimum",,14,,,,""
"Banksia seminuda","flowering_response","not occurred after fire",,,,,4,,,,""
"Banksia seminuda","flowering_response","median time to no flowering: 13-24 months","fire_time_from_fire_to_no_flowering","18.5","median",,4,,,,""
"Banksia seminuda","flowering_response","maximum time to no flowering: 61-72 months","fire_time_from_fire_to_no_flowering","66","maximum",,4,,,,""
"Banksia seminuda","pollinator_type","no pollinator observed",,,,,63,47,,,""
"Banksia seminuda","pollinator_type","bird","flower_visitor","bird",,,16,15,94,"usually",""
"Banksia seminuda","pollinator_type","flies","flower_visitor","fly",,,16,1,6,"rarely",""
"Banksia seminuda","specific_pollinator","honeyeater (unspecified); New Holland Honeyeater; wattlebird (unspecified)","flower_visitor","honeyeater",,,16,7,44,"commonly",""
"Banksia seminuda","months_flowering_range","Mar-Aug","flowering_time","NNYYYYYYNNNN",,"full range",,,,,"text: 'B. seminuda has a flowering period from March to August'; red style-forms recorded from several scattered south-coast locations"
"Banksia seminuda","months_flowering_peak","Jun","flowering_time","NNNNNYNNNNNN",,"peak flowering",,,,,"tallest 'fully open' bar in chart (~100%)"
"Banksia seminuda","months_fruiting_cones_present","uncertain - not confidently isolated from chart",,,,,,,,,"LOW CONFIDENCE - flag for manual check"
"Banksia serrata","growth_form","tree","plant_growth_form","tree",,,1472,,82,"usually",""
"Banksia serrata","growth_form","shrub","plant_growth_form","shrub",,,1472,,16,"occasionally",""
"Banksia serrata","growth_form","unspecified",,,,,1472,,2,"rarely",""
"Banksia serrata","growth_response","ground resprout and killed, new seedlings; killed, new seedlings; killed, new seedlings and trunk resprout","resprouting_capacity","fire_killed",,,206,15,7,,
"Banksia serrata","growth_response","ground resprout; ground resprout and killed, new seedlings; ground resprout and trunk resprout; killed, new seedlings and trunk resprout; trunk resprout","resprouting_capacity","resprouts",,,206,203,99,,
"Banksia serrata","growth_response","ground resprout and killed, new seedlings; killed, new seedlings; killed, new seedlings and trunk resprout","post_fire_recruitment","post_fire_recruitment",,,206,15,7,,
"Banksia serrata","growth_response","ground resprout; ground resprout and killed, new seedlings; ground resprout and trunk resprout","bud_bank_location","basal_buds",,,206,23,11,,
"Banksia serrata","growth_response","ground resprout and trunk resprout; killed, new seedlings and trunk resprout; trunk resprout","bud_bank_location","epicormic_buds",,,206,194,94,,
"Banksia serrata","growth_response","unspecified",,,,,285,,28,,""
"Banksia serrata","flowering_response","occurred after fire",,,,,215,,,,""
"Banksia serrata","flowering_response","median time to flowering: 13-24 months","fire_time_from_fire_to_flowering","18.5","median",,215,,,,""
"Banksia serrata","flowering_response","minimum time to flowering: <1 month","fire_time_from_fire_to_flowering","1","minimum",,215,,,,""
"Banksia serrata","flowering_response","not occurred after fire",,,,,21,,,,""
"Banksia serrata","flowering_response","median time to no flowering: 25-36 months","fire_time_from_fire_to_no_flowering","30.5","median",,21,,,,""
"Banksia serrata","flowering_response","maximum time to no flowering: 85-96 months","fire_time_from_fire_to_no_flowering","90.5","maximum",,21,,,,""
"Banksia serrata","pollinator_type","no pollinator observed",,,,,1026,954,,,""
"Banksia serrata","pollinator_type","bees, wasps, ants","flower_visitor","bee wasp ant",,,74,21,28,"commonly",""
"Banksia serrata","pollinator_type","bird","flower_visitor","bird",,,74,51,69,"usually",""
"Banksia serrata","pollinator_type","mammals","flower_visitor","mammal",,,74,2,3,"rarely",""
"Banksia serrata","specific_pollinator","ant","flower_visitor","ant",,,74,8,11,"occasionally",""
"Banksia serrata","specific_pollinator","bee (unspecified); native bee","flower_visitor","bee",,,74,12,16,"occasionally",""
"Banksia serrata","specific_pollinator","Drongo; flycatchers and allies (unspecified)","flower_visitor","bird",,,74,2,3,"rarely",""
"Banksia serrata","specific_pollinator","European honey bee","flower_visitor","honeybee",,,74,2,3,"rarely",""
"Banksia serrata","specific_pollinator","honeyeater (unspecified); New Holland Honeyeater; Brown Honeyeater; White-cheeked Honeyeater; White-eared Honeyeater; Tawny-crowned Honeyeater; White-naped Honeyeater; White-plumed Honeyeater; Crescent Honeyeater; Noisy Miner; Yellow-tufted Honeyeater; wattlebird (unspecified); Red Wattlebird; Little Wattlebird; Eastern Spinebill; friarbird (unspecified); Noisy Friarbird","flower_visitor","honeyeater",,,74,69,93,"usually",""
"Banksia serrata","specific_pollinator","cockatoos and parrots (unspecified); Yellow-tailed Black-Cockatoo; Rainbow Lorikeet","flower_visitor","parrot",,,74,4,5,"rarely",""
"Banksia serrata","months_flowering_range","Dec-Apr, plus flowers recorded in Aug and Oct","flowering_time","YYYYNNNYNYNY",,"full range",,,,,"text: 'The main flowering period is conspicuous from December to April, though flowers were also recorded in August and October'"
"Banksia serrata","months_flowering_peak","Feb","flowering_time","NYNNNNNNNNNN",,"peak flowering",,,,,"tallest 'fully open' bar in chart (~65%)"
"Banksia serrata","months_fruiting_cones_present","uncertain - not confidently isolated from chart",,,,,,,,,"LOW CONFIDENCE - flag for manual check"
"Banksia solandri","growth_form","tree","plant_growth_form","tree",,,19,,16,"occasionally",""
"Banksia solandri","growth_form","shrub","plant_growth_form","shrub",,,19,,84,"usually",""
"Banksia solandri","growth_response","killed, new seedlings","resprouting_capacity","fire_killed",,,3,3,100,,
"Banksia solandri","growth_response","killed, new seedlings","post_fire_recruitment","post_fire_recruitment",,,3,3,100,,
"Banksia solandri","growth_response","killed, new seedlings","bud_bank_location","none",,,3,3,100,,
"Banksia solandri","flowering_response","occurred after fire",,,,,1,,,,""
"Banksia solandri","flowering_response","minimum time to flowering: 13-24 months","fire_time_from_fire_to_flowering","18.5","minimum",,1,,,,""
"Banksia solandri","flowering_response","not occurred after fire",,,,,2,,,,""
"Banksia solandri","flowering_response","median time to no flowering: 25-36 months","fire_time_from_fire_to_no_flowering","30.5","median",,2,,,,""
"Banksia solandri","flowering_response","maximum time to no flowering: 25-36 months","fire_time_from_fire_to_no_flowering","30.5","maximum",,2,,,,""
"Banksia solandri","pollinator_type","no pollinator observed",,,,,8,8,,,""
"Banksia solandri","months_flowering_range","Sep-Nov","flowering_time","NNNNNNNNYYYN",,"full range",,,,,"text: 'Flowering is from September to November'"
"Banksia solandri","months_flowering_peak","Sep, Nov (tied)","flowering_time","NNNNNNNNYNYN",,"peak flowering",,,,,"chart shows both Sep and Nov at 100% fully open; THIN SAMPLE (19 total records)"
"Banksia solandri","months_fruiting_cones_present","uncertain - not confidently isolated from chart",,,,,,,,,"LOW CONFIDENCE - flag for manual check"
"Banksia speciosa","growth_form","tree","plant_growth_form","tree",,,216,,41,"commonly",""
"Banksia speciosa","growth_form","shrub","plant_growth_form","shrub",,,216,,55,"usually",""
"Banksia speciosa","growth_form","unspecified",,,,,216,,4,"rarely",""
"Banksia speciosa","growth_response","killed, new seedlings","resprouting_capacity","fire_killed",,,17,17,100,,
"Banksia speciosa","growth_response","killed, new seedlings","post_fire_recruitment","post_fire_recruitment",,,17,17,100,,
"Banksia speciosa","growth_response","killed, new seedlings","bud_bank_location","none",,,17,17,100,,
"Banksia speciosa","growth_response","unspecified",,,,,24,,29,,""
"Banksia speciosa","flowering_response","occurred after fire",,,,,7,,,,""
"Banksia speciosa","flowering_response","median time to flowering: 25-36 months","fire_time_from_fire_to_flowering","30.5","median",,7,,,,""
"Banksia speciosa","flowering_response","minimum time to flowering: 1-12 months","fire_time_from_fire_to_flowering","6.5","minimum",,7,,,,""
"Banksia speciosa","flowering_response","not occurred after fire",,,,,12,,,,""
"Banksia speciosa","flowering_response","median time to no flowering: 13-24 months","fire_time_from_fire_to_no_flowering","18.5","median",,12,,,,""
"Banksia speciosa","flowering_response","maximum time to no flowering: 25-36 months","fire_time_from_fire_to_no_flowering","30.5","maximum",,12,,,,""
"Banksia speciosa","pollinator_type","no pollinator observed",,,,,143,59,,,""
"Banksia speciosa","pollinator_type","bees, wasps, ants","flower_visitor","bee wasp ant",,,83,31,37,"commonly",""
"Banksia speciosa","pollinator_type","beetles","flower_visitor","beetle",,,83,6,7,"rarely",""
"Banksia speciosa","pollinator_type","bird","flower_visitor","bird",,,83,34,41,"commonly",""
"Banksia speciosa","pollinator_type","flies","flower_visitor","fly",,,83,11,13,"occasionally",""
"Banksia speciosa","pollinator_type","butterflies, moths","flower_visitor","lepidoptera",,,83,1,1,"rarely",""
"Banksia speciosa","specific_pollinator","ant","flower_visitor","ant",,,83,22,27,"commonly",""
"Banksia speciosa","specific_pollinator","bee (unspecified)","flower_visitor","bee",,,83,11,13,"occasionally",""
"Banksia speciosa","specific_pollinator","Grey Butcherbird; flycatchers and allies (unspecified); thornbill (unspecified)","flower_visitor","bird",,,83,3,4,"rarely",""
"Banksia speciosa","specific_pollinator","blowfly","flower_visitor","carrion_fly",,,83,1,1,"rarely",""
"Banksia speciosa","specific_pollinator","aphid","flower_visitor","hemiptera",,,83,2,2,"rarely",""
"Banksia speciosa","specific_pollinator","honeyeater (unspecified); New Holland Honeyeater; Fuscous Honeyeater; wattlebird (unspecified); Little Wattlebird; Western Spinebill","flower_visitor","honeyeater",,,83,37,45,"commonly",""
"Banksia speciosa","months_flowering_range","Oct-Apr","flowering_time","YYYYNNNNNYYY",,"full range",,,,,"text: 'The main flowering period is from October to April when the large conspicuous flowers attract many honey-eating birds and insects'; often co-occurs with B. petiolaris and B. pulchella"
"Banksia speciosa","months_flowering_peak","Feb","flowering_time","NYNNNNNNNNNN",,"peak flowering",,,,,"tallest 'fully open' bar in chart (~90%)"
"Banksia speciosa","months_fruiting_cones_present","uncertain - not confidently isolated from chart",,,,,,,,,"LOW CONFIDENCE - flag for manual check"
"Banksia sphaerocarpa","growth_form","tree","plant_growth_form","tree",,,433,,13,"occasionally",""
"Banksia sphaerocarpa","growth_form","shrub","plant_growth_form","shrub",,,433,,87,"usually",""
"Banksia sphaerocarpa","growth_response","ground resprout and killed, new seedlings; killed, new seedlings","resprouting_capacity","fire_killed",,,34,9,26,,
"Banksia sphaerocarpa","growth_response","ground resprout; ground resprout and killed, new seedlings; ground resprout and trunk resprout; trunk resprout","resprouting_capacity","resprouts",,,34,28,82,,
"Banksia sphaerocarpa","growth_response","ground resprout and killed, new seedlings; killed, new seedlings","post_fire_recruitment","post_fire_recruitment",,,34,9,26,,
"Banksia sphaerocarpa","growth_response","ground resprout; ground resprout and killed, new seedlings; ground resprout and trunk resprout","bud_bank_location","basal_buds",,,34,26,76,,
"Banksia sphaerocarpa","growth_response","ground resprout and trunk resprout; trunk resprout","bud_bank_location","epicormic_buds",,,34,4,12,,
"Banksia sphaerocarpa","growth_response","unspecified",,,,,59,,42,,""
"Banksia sphaerocarpa","flowering_response","occurred after fire",,,,,45,,,,""
"Banksia sphaerocarpa","flowering_response","median time to flowering: 13-24 months","fire_time_from_fire_to_flowering","18.5","median",,45,,,,""
"Banksia sphaerocarpa","flowering_response","minimum time to flowering: <1 month","fire_time_from_fire_to_flowering","1","minimum",,45,,,,""
"Banksia sphaerocarpa","flowering_response","not occurred after fire",,,,,9,,,,""
"Banksia sphaerocarpa","flowering_response","median time to no flowering: 1-12 months","fire_time_from_fire_to_no_flowering","6.5","median",,9,,,,""
"Banksia sphaerocarpa","flowering_response","maximum time to no flowering: 25-36 months","fire_time_from_fire_to_no_flowering","30.5","maximum",,9,,,,""
"Banksia sphaerocarpa","pollinator_type","no pollinator observed",,,,,166,121,,,""
"Banksia sphaerocarpa","pollinator_type","bees, wasps, ants","flower_visitor","bee wasp ant",,,46,32,70,"usually",""
"Banksia sphaerocarpa","pollinator_type","beetles","flower_visitor","beetle",,,46,2,4,"rarely",""
"Banksia sphaerocarpa","pollinator_type","bird","flower_visitor","bird",,,46,7,15,"occasionally",""
"Banksia sphaerocarpa","pollinator_type","flies","flower_visitor","fly",,,46,5,11,"occasionally",""
"Banksia sphaerocarpa","specific_pollinator","ant","flower_visitor","ant",,,46,11,24,"occasionally",""
"Banksia sphaerocarpa","specific_pollinator","bee (unspecified)","flower_visitor","bee",,,46,21,46,"commonly",""
"Banksia sphaerocarpa","specific_pollinator","flycatchers and allies (unspecified)","flower_visitor","bird",,,46,1,2,"rarely",""
"Banksia sphaerocarpa","specific_pollinator","European honey bee","flower_visitor","honeybee",,,46,1,2,"rarely",""
"Banksia sphaerocarpa","months_flowering_range","Jan-Aug, plus Dec","flowering_time","YYYYYYYYNNNY",,"full range",,,,,"no single Discussion sentence for the species as a whole - the account focuses on the three recognised varieties (caesia, dolichostyla, sphaerocarpa), each with its own flowering-season statement; about 10% of Atlas records did not specify variety"
"Banksia sphaerocarpa","months_flowering_peak","Apr-May","flowering_time","NNNYYNNNNNNN",,"peak flowering",,,,,"chart shows Apr and May both ~65% fully open, the tallest bars"
"Banksia sphaerocarpa","months_fruiting_cones_present","uncertain - not confidently isolated from chart",,,,,,,,,"LOW CONFIDENCE - flag for manual check"
"Banksia sphaerocarpa var. caesia","growth_form","shrub","plant_growth_form","shrub",,,98,,100,"usually",""
"Banksia sphaerocarpa var. caesia","growth_response","ground resprout","resprouting_capacity","resprouts",,,2,2,100,,
"Banksia sphaerocarpa var. caesia","growth_response","ground resprout","bud_bank_location","basal_buds",,,2,2,100,,
"Banksia sphaerocarpa var. caesia","growth_response","unspecified",,,,,3,,33,,""
"Banksia sphaerocarpa var. caesia","flowering_response","occurred after fire",,,,,3,,,,""
"Banksia sphaerocarpa var. caesia","flowering_response","median time to flowering: 13-24 months","fire_time_from_fire_to_flowering","18.5","median",,3,,,,""
"Banksia sphaerocarpa var. caesia","flowering_response","minimum time to flowering: 1-12 months","fire_time_from_fire_to_flowering","6.5","minimum",,3,,,,""
"Banksia sphaerocarpa var. caesia","flowering_response","not occurred after fire",,,,,0,,,,""
"Banksia sphaerocarpa var. caesia","pollinator_type","no pollinator observed",,,,,31,26,,,""
"Banksia sphaerocarpa var. caesia","pollinator_type","bees, wasps, ants","flower_visitor","bee wasp ant",,,5,4,80,"usually",""
"Banksia sphaerocarpa var. caesia","pollinator_type","bird","flower_visitor","bird",,,5,1,20,"occasionally",""
"Banksia sphaerocarpa var. caesia","specific_pollinator","ant","flower_visitor","ant",,,5,3,60,"usually",""
"Banksia sphaerocarpa var. caesia","specific_pollinator","bee (unspecified)","flower_visitor","bee",,,5,1,20,"occasionally",""
"Banksia sphaerocarpa var. caesia","specific_pollinator","flycatchers and allies (unspecified)","flower_visitor","bird",,,5,1,20,"occasionally",""
"Banksia sphaerocarpa var. caesia","months_flowering_range","Mar-Jun","flowering_time","NNYYYYNNNNNN",,"full range",,,,,"text: 'Atlas records suggest the main flowering period is from March to July which is shorter than the January to July period stated by George (1981)' - chart's fully open bars run Mar-Jun, with Jul at 0%"
"Banksia sphaerocarpa var. caesia","months_flowering_peak","May","flowering_time","NNNNYNNNNNNN",,"peak flowering",,,,,"tallest fully open bar in chart (~100%)"
"Banksia sphaerocarpa var. caesia","months_fruiting_cones_present","uncertain - not confidently isolated from chart",,,,,,,,,"LOW CONFIDENCE - flag for manual check"
"Banksia sphaerocarpa var. dolichostyla","growth_form","tree","plant_growth_form","tree",,,5,,40,"commonly",""
"Banksia sphaerocarpa var. dolichostyla","growth_form","shrub","plant_growth_form","shrub",,,5,,60,"usually",""
"Banksia sphaerocarpa var. dolichostyla","growth_response","no fire-response records",,,,,0,,,,""
"Banksia sphaerocarpa var. dolichostyla","pollinator_type","bees, wasps, ants","flower_visitor","bee wasp ant",,,1,1,100,"usually",""
"Banksia sphaerocarpa var. dolichostyla","specific_pollinator","ant","flower_visitor","ant",,,1,1,100,"usually",""
"Banksia sphaerocarpa var. dolichostyla","months_flowering_range","Apr","flowering_time","NNNYNNNNNNNN",,"full range",,,,,"text: 'It flowers from March to May (George 1981)'; THIN SAMPLE (5 total records: Feb, Apr, Oct, Nov, Dec each =1) - chart's only fully open bar is Apr (Feb shows bud); Oct-Dec show flowers finished/fruiting cones present rather than flowering, consistent with fruiting several months after an April flowering"
"Banksia sphaerocarpa var. dolichostyla","months_flowering_peak","Apr","flowering_time","NNNYNNNNNNNN",,"peak flowering",,,,,"only month with a fully open bar; THIN SAMPLE"
"Banksia sphaerocarpa var. dolichostyla","months_fruiting_cones_present","Oct-Dec","fruiting_time","NNNNNNNNNYYY",,,,,,,"chart shows flowers finished/fruiting cones present pattern at Oct, Nov, Dec (thin sample, 1 record/month)"
"Banksia sphaerocarpa var. sphaerocarpa","growth_form","shrub","plant_growth_form","shrub",,,283,,100,"usually",""
"Banksia sphaerocarpa var. sphaerocarpa","growth_response","ground resprout and killed, new seedlings; killed, new seedlings","resprouting_capacity","fire_killed",,,27,6,22,,
"Banksia sphaerocarpa var. sphaerocarpa","growth_response","ground resprout; ground resprout and killed, new seedlings; ground resprout and trunk resprout; trunk resprout","resprouting_capacity","resprouts",,,27,23,85,,
"Banksia sphaerocarpa var. sphaerocarpa","growth_response","ground resprout and killed, new seedlings; killed, new seedlings","post_fire_recruitment","post_fire_recruitment",,,27,6,22,,
"Banksia sphaerocarpa var. sphaerocarpa","growth_response","ground resprout; ground resprout and killed, new seedlings; ground resprout and trunk resprout","bud_bank_location","basal_buds",,,27,21,78,,
"Banksia sphaerocarpa var. sphaerocarpa","growth_response","ground resprout and trunk resprout; trunk resprout","bud_bank_location","epicormic_buds",,,27,4,15,,
"Banksia sphaerocarpa var. sphaerocarpa","growth_response","unspecified",,,,,48,,44,,""
"Banksia sphaerocarpa var. sphaerocarpa","flowering_response","occurred after fire",,,,,36,,,,""
"Banksia sphaerocarpa var. sphaerocarpa","flowering_response","median time to flowering: 13-24 months","fire_time_from_fire_to_flowering","18.5","median",,36,,,,""
"Banksia sphaerocarpa var. sphaerocarpa","flowering_response","minimum time to flowering: <1 month","fire_time_from_fire_to_flowering","1","minimum",,36,,,,""
"Banksia sphaerocarpa var. sphaerocarpa","flowering_response","not occurred after fire",,,,,8,,,,""
"Banksia sphaerocarpa var. sphaerocarpa","flowering_response","median time to no flowering: 1-12 months","fire_time_from_fire_to_no_flowering","6.5","median",,8,,,,""
"Banksia sphaerocarpa var. sphaerocarpa","flowering_response","maximum time to no flowering: 25-36 months","fire_time_from_fire_to_no_flowering","30.5","maximum",,8,,,,""
"Banksia sphaerocarpa var. sphaerocarpa","pollinator_type","no pollinator observed",,,,,111,85,,,""
"Banksia sphaerocarpa var. sphaerocarpa","pollinator_type","bees, wasps, ants","flower_visitor","bee wasp ant",,,23,17,74,"usually",""
