taxon_name,original_text,text,leaf_lamina_posture_a,leaf_lamina_posture_f,checked leaf_lamina_posture,leaf_margin_posture_a,leaf_margin_posture_f,checked leaf_margin_posture,plant_photsynthetic_organ_a,plant_photsynthetic_organ_f,checked photosynthetic_organ
Lomandra cylindrica,"Description: Sparsely tufted perennial herb; shoots often with only 2-4 leaves. Leaves terete, occasionally semiterete, usually c. 25-35 mm long (rarely less), usually 1-2 mm diam., glabrous or scabrous; apex acute; sheath margins scarcely lacerated, reddish or purplish. Male inflorescence a third to half or rarely a quarter or nearly as long as leaves, unbranched or occasionally few-branched; scape approximately as long as rachis; axes smooth; flowers separate, well spaced. Female inflorescence similar but shorter, rarely branched; axes sometimes papillose. Bracts ovate, 1-2 mm long; inner bract sometimes absent. Flowers yellow, not usually blackening when dried. Male flowers globose, c. 2 mm long; outer tepals broad-elliptic to  circular, shorter and more membranous than the thick inner tepals; pedicel to 3 mm long. Female flowers more tubular, c. 3 mm long; pedicel to 1 mm long."," leaves terete, occasionally semiterete, usually circa 25-35 mm long (less), usually 1-2 mm diam., glabrous or scabrous; apex acute; sheath margins scarcely lacerated, reddish or purplish. ",,,,,,,leaf,leaves,checked
Lomandra gracilis,"Description: Tussocks sparse. Leaves channelled to almost semiterete with narrow marginal bands and coarse venation, usually c. 40 cm long, 1-2 mm wide, glabrous; apex acute; sheath margins lacerated, dark purplish brown. Inflorescence with several irregularly alternate branches (sometimes a few whorled); flowers separate, well-spaced. Male inflorescence often nearly as long as leaves; axes smooth. Female inflorescence smaller; axes sometimes papillose. Bracts ovate, 1-2 mm long; inner bract absent. Male flowers usually 2.5-3 mm long to 4 mm diam; yellow; outer tepals thinner and shorter than the fleshy inner tepals; pedicel 3-5 mm long. Female flowers on pedicel 1-2 mm long."," leaves channelled to almost semiterete with narrow marginal bands and coarse venation, usually circa 40 cm long, 1-2 mm wide, glabrous; apex acute; sheath margins lacerated, dark purplish brown. ",,,,,,,leaf,leaves,checked
Muscari armeniacum,"Description: Erect herb to 45 cm high; bulb 15-30 mm diam. Leaves 3-8, to 40 cm long, 2-10 mm wide, narrowly channelled. Scape to 40 cm long; flowers crowded, scented. Fertile flowers with pedicels 2-5 mm long; perianth broad-urceolate, dark blue with paler or white lobes, 4-6 mm long. Sterile flowers with pedicels 1-2 mm long; perianth obovoid, deep blue, 2-4 mm long. Staminal filaments 0.75-1 mm long Capsule 7-9 mm long, broad-obovoid."," leaves 3-8, to 40 cm long, 2-10 mm wide, narrowly channelled. ",,,,,,,leaf,leaves,checked
Ornithogalum thyrsoides,"Description: Erect herb; bulb subterranean; bulbils (offsets) absent. Leaves 6-12, ciliate on margins, not white-striped. Inflorescence to 50 cm long, triangular to spherical raceme; flowers numerous, flat cup-shaped, erect, to 4 cm diam.; bracts short; tepals white, not striped, not reflexed at fruiting. Ovary green. Fruit erect."," leaves 6-12, ciliate on margins, -striped. ",,,,,,,leaf,leaves,checked
Sowerbaea juncea,"Description: Tufted herb to c. 75 cm high. Leaves semiterete to terete, 5-50 cm long, 0.8-1.8 mm wide; ligule 2.5-12 mm long. Scapes 8-75 cm long; flower clusters mostly > 20-flowered, 1.5-3.5 cm diam.; outer bracts  ovate, acute, 4-7.5 mm long, inner bracts fimbriate; peduncle  robust, usually simple; pedicels 1-14 mm long, spreading to decurved. Tepals lavender to pink to white,  equal, 5-9 mm long,  obtuse. Filaments 1.2-1.8 mm long; anthers smooth, 2.5-3.2 mm long; staminodes  equalling fertile filaments, occasionally with anther vestiges to 0.5 mm long. Style 3.5-4.2 mm long. Capsule 2-3 mm diam."," leaves semiterete to terete, 5-50 cm long, 0.8-1.8 mm wide; ligule 2.5-12 mm long. ",,,,,,,leaf,leaves,checked
Thysanotus baueri,"Description: Herb with small rhizome; roots tuberous; tubers ellipsoid, 2.5-12 cm long, usually 7.5-10 c. from rootstock. Leaves annual and often withering at anthesis, 3-5, linear,  terete, 6-13 cm long. Flowering stems simple or branched, racemose, rarely paniculate, 8-30 cm long; umbels 1-4-flowered, terminal and 2-4 sessile below; pedicels 6-10 mm long, articulate at about level of bract apices. Tepals 7.5-12 mm long; outer tepals c. 2 mm wide; inner tepals c. 7 mm wide including fimbriae to c. 2 mm long. Stamens 6; anthers curved, twisted, outer 2-4 mm long, inner 5-7 mm long, dehiscing by terminal pores. Style 7 mm long. Capsule c. 4 mm diam."," leaves annual and often withering at anthesis, 3-5, linear,  terete, 6-13 cm long. ",,,,,,,leaf,leaves,checked
Thysanotus juncifolius,"Description: Herb with small rhizome; roots fibrous. Leaves annual, 0-3,  linear, 6-25 cm long. Flowering stems striate, 15-65 cm long,  glabrous or shortly hirsute near base and becoming glabrous above, branching, occasionally 2 or 3 branches at a node; umbels 1-5-flowered, terminal on branches, occasionally further sessile ones below, enclosed within bracts; pedicels 6-11.5 mm long, articulate near base, elongating in fruit. Tepals 10-14 mm long; outer tepals 1.5-2 mm wide; inner tepals 4-9 mm wide including fimbriae to 4.5 mm long. Stamens 6; anthers twisted, outer 3-4 mm long and straight, inner 6-9 mm long and curved, dehiscing by terminal pores. Style 8-9 mm long. Capsule c. 4 mm diam."," leaves annual, 0-3,  linear, 6-25 cm long. ",,,,,,,leaf,leaves,checked
Thysanotus patersonii,"Description: Twining or prostrate herb; roots tuberous, tubers ellipsoid, c. 1-5 cm long, sessile or shortly stalked from a small rootstock. Leaves annual, 1 or 2, produced infrequently, terete, 10-20 cm long. Flowering stems annual, 1 or occasionally 2, terete,  hirsute at base, becoming 4-angled and glabrous above, 10-100 cm long; branches usually many, simple to many times dichotomously branched. Flowers single on branches; bracteate, pedicels 1-5 mm long, articulate very close to base. Tepals 5-10.5 mm long; outer tepals 2-3 mm wide; inner tepals 3-6 mm wide including fimbriae to c. 1 mm long. Stamens 6; anthers all straight, not twisted,  equal, 2-6 mm long, dehiscing by longitudinal slits. Style 3-4 mm long. Capsule 3-4 mm diam."," leaves annual, 1 or 2, produced infrequently, terete, 10-20 cm long. ",,,,,,,leaf,leaves,checked
Thysanotus tuberosus,"Description: Herb with roots clustered, tuberous; tubers cylindrical to ellipsoid, 1-3 cm long, 3.5-5 c. from rootstock. Leaves annual, linear,  terete towards apex, becoming channelled below with narrow membranous wings at base, 20-60 cm long. Flowering stems much-branched, paniculate, 20-80 cm long; umbels 1-8-flowered; pedicels 6-22 mm long, articulate about the middle. Tepals 7-19 mm long; outer tepals 1.5-2.5 mm wide; inner tepals 5-12 mm wide including fimbriae to c. 4 mm long. Stamens 6; anthers twisted, outer 2.5-4.5 mm long, inner 3-9 mm long, dehiscing by terminal pores. Style 4-9 mm long. Capsule 3-7 mm diam."," leaves annual, linear,  terete towards apex, becoming channelled below with narrow membranous wings at base, 20-60 cm long. ",,,,,,,leaf,leaves,checked
Thysanotus tuberosus subsp. parviflorus,"Description: Herb with roots clustered, tuberous; tubers cylindrical to ellipsoid, 1-3 cm long, 3.5-5 c. from rootstock. Leaves annual, linear,  terete towards apex, becoming channelled below with narrow membranous wings at base, 20-60 cm long. Flowering stems much-branched, paniculate, 20-80 cm long; umbels 1-8-flowered; pedicels 6-22 mm long, articulate about the middle. Tepals 7-19 mm long; outer tepals 1.5-2.5 mm wide; inner tepals 5-12 mm wide including fimbriae to c. 4 mm long. Stamens 6; anthers twisted, outer 2.5-4.5 mm long, inner 3-9 mm long, dehiscing by terminal pores. Style 4-9 mm long. Capsule 3-7 mm diam."," leaves annual, linear,  terete towards apex, becoming channelled below with narrow membranous wings at base, 20-60 cm long. ",,,,,,,leaf,leaves,checked
Yucca aloifolia,"Description: Shrubby plant with stem to c. 1.5 m high, often freely branched. Leaves fleshy, linear to narrow-lanceolate, 0.7-1 m long, 3-5 cm wide, apex acute with terminal spine 10-20 mm long, margins finely toothed, surfaces glabrous, bluish grey. Scape 1-3 m high; panicle many-flowered, 1-2 m high; pedicels 2-4 cm long. Flowers campanulate, c. 5 cm long, whitish. Tepals free, c. 5 cm long. Stamens c. 3 cm long. Capsule oblong, 6-8 cm long, indehiscent, purplish; seeds black."," leaves fleshy, linear to narrowlylanceolate, 0.7-1 m long, 3-5 cm wide, apex acute with terminal spine 10-20 mm long, margins finely toothed, surfaces glabrous, bluish grey. ",,,,,,,leaf,leaves,checked
Aloe arborescens,"Description: Erect dense succulent shrub to 3 m high when in flower; stem to 2 m high, woody, branching from base and rebranching. Leaves falcate to lanceolate, to 50 cm long, 4-7 cm wide, margins with pale teeth 3-5 mm long, surfaces without paler blotches, upper surface glaucous to yellow-green, lower surface dull green. Scapes at least 20 cm long, 4-5 mm diam.; raceme 2-4, conical, to 80 cm long, 60-125-flowered; pedicels 8-45 mm long; bracts 5-15 mm long, 3-7 mm wide. Perianth yellow-brown or sometimes red or orange; tube 27-35 mm long, 2-6 mm diam., lobes 10-17 mm long, 2-4 mm wide. Stamens exserted c. 5 mm, 23-35 mm long; anthers 2.5-4 mm long. Stigma exserted c. 5 mm. Capsule linear to narrow-ellipsoid, 10-14 mm long, 1.5-4 mm diam., dark brown to black; seeds linear to elliptic, c. 4 mm long, red-brown."," leaves falcate to lanceolate, to 50 cm long, 4-7 cm wide, margins with pale teeth 3-5 mm long, surfaces  blotches, upper surface glaucous to yellow-green, lower surface dull green. ",,,,,,,leaf,leaves,checked
Aloe maculata,"Description: Erect succulent to c. 1.2 m high when in flower, usually without a stem; freely suckering and forming dense clumps. Leaves lanceolate to ovate, 10-30 cm long, 5-10 cm wide, margins with brown-tipped teeth to 4-5 mm long, upper surface pale to darker green with white blotches; lower surface paler green without blotches. Scapes to 1 m high, 2-13 mm diam., simple or branched; raceme capitate 5-10 cm long, 20-65-flowered; pedicels 30-55 mm long; bracts 7-45 mm long, 1.5-11 mm wide. Young buds erect, older flowers pendent. Perianth red to salmon-orange; tube 25-45 mm long, 2-10 mm diam., greatly constricted above ovary; lobes 5-10 mm long, 1.5-3 mm wide. Stamens exserted 1-3 mm, unequal, outer ones 25-30 mm long, inner 30-35 mm long; anthers 4-5 mm long. Stigma exserted 2-5 mm. Capsule oblong, 20-35 mm long, 8-16 mm diam., red-brown; seeds 2-4 mm long, c. 2 mm diam., with membranous wing 2-4 mm wide, blackish brown."," leaves lanceolate to ovate, 10-30 cm long, 5-10 cm wide, margins with brown-tipped teeth to 4-5 mm long, upper surface pale to darker green with white blotches; lower surface paler green . ",,,,,,,leaf,leaves,checked
Asphodelus fistulosus,"Description: Erect herb with flowering stem 20-80 cm high. Leaves usually > 40, hollow, terete, 3-55 cm long, to 8 mm diam. Scape 3-48 cm long, 2.5-7 mm diam.; panicle to 40 cm long, 5-30-flowered; pedicels 1-9 mm long; bracts 3-12 mm long, 1.5-6 mm wide. Tepals 5-11 mm long, 1-3 mm wide, white or sometimes pale pink with red-brown central stripe. Stamens 6-7 mm long; filaments 3-5 mm long, with very short white hairs over basal 2 mm; anthers 1-2.5 mm long. Capsule 4-6 mm long, 4-6 mm diam., pale red-brown to sandy-brown; seeds 3-4 mm long, black."," leaves usually > 40, hollow, terete, 3-55 cm long, to 8 mm diam. ",,,,,,,leaf,leaves,checked
Bulbine alata,"Description: Annual herb, 11-45 cm high, with fibrous roots. Leaves 10-many, 2-30 cm long, to 3 mm diam., glabrous, glaucous, basal 1-3 c. of leaves 4-16 mm wide. Scape several-many, terete, 4-20 cm long, 0.5-2 mm diam.; raceme 3-30 cm long, to 30 flowers; pedicels 0.5-18 mm long; bracts 1-8 mm long, 1-4 mm wide. Tepals 4-5.5 mm long, 1-2 mm wide, fused at base for c. 2 mm. Stamens unequal, outer ones c. 3 mm long, inner ones c. 5 mm long, all with red hairs at base of anther; anthers 0.5-1.5 mm long, gold. Ovules 2 per loculus; stigma entire. Capsule 4-9 mm long; seeds pyramidal often with transverse ridges on all faces, c. 2 mm diam. with wing 0.5 mm wide, black with opaque wing."," leaves 10-many, 2-30 cm long, to 3 mm diam., glabrous, glaucous. basal 1-3 circa of leaves 4-16 mm wide. ",,,,,,,leaf,leaves,checked
Bulbine bulbosa,"Description: Perennial herb, 27-75 cm high with thick roots, and often with bulb 7-25 mm long, 12-23 mm diam. Leaves 3-7, channelled, 4.5-48 cm long, to 8 mm diam., basal 2-5.5 c. of leaves 10-25 mm wide. Scapes 19-50 cm long, 1-5 mm diam.; raceme 4.5-26 cm long, to 50-flowered; pedicels 5-30 mm long; bracts 0.7-15 mm long, 1.5-4 mm wide. Flowers often fragrant. Tepals 9-22 mm long, 1-3.5 mm wide. Stamens equal, 8-9 mm long; filaments with gold-brown clavate hairs to 1.5 mm long at base of anthers; anthers gold, 2-4 mm long. Ovules 3-8 per loculus; stigma entire. Capsule 3-6 mm long; seeds 0.8-2 mm long, brown to almost black."," leaves 3-7, channelled, 4.5-48 cm long, to 8 mm diam.. basal 2-5.5 circa of leaves 10-25 mm wide. ",,,,,,,leaf,leaves,checked
Bulbine glauca,"Description: Perennial, tufted herb, 25-110 cm high, with thick roots, sometimes with short rhizome. Leaves 3-20, 10-45 cm long, 1-10 mm diam., usually glaucous, glabrous, basal 1-4.5 c. of leaves 0.5-2 cm wide. Scapes glaucous, 12-70 cm long, 1-6 mm diam.; raceme 5-40 cm long, to 75 flowers; pedicels 5-26 mm long; bracts 4-9 mm long, 1.5-4 mm wide. Tepals 9-17 mm long, 2-5 mm wide. Stamens equal, 5-8 mm long; filaments with clavate hairs white with red heads to gold-orange from halfway up filament to c. 1 mm below anther; anthers 2-4 mm long, gold. Ovules 2-4 per loculus; stigma entire to shortly 3-lobed. Capsule 3-6 mm long; seeds 1.5-3 mm long, silver-grey with black markings, pitted."," leaves 3-20, 10-45 cm long, 1-10 mm diam., usually glaucous, glabrous. basal 1-4.5 circa of leaves 0.5-2 cm wide. ",,,,,,,leaf,leaves,checked
Bulbine semibarbata,"Description: Usually annual herb, to 50 cm high, with fibrous roots. Leaves 5-20, 1.5-27 cm long, to 5 mm diam., glabrous, basal 1.5-3.5 c. of leaves 5-10 mm wide. Scapes several-many, terete, 13-17 cm long, 0.5-3 mm diam.; raceme 2-23 cm long, to 35-flowered; pedicels 1-20 mm long; bracts 1-7 mm long, 0.5-2 mm wide. Tepals 4-7 mm long, 1-2.5 mm wide. Stamens unequal, outer ones 2-3 mm long, inner ones 3-4.5 mm long; long filaments red to orange-brown with hairs 0.5-1.5 mm long, gold to crimson with white base; short filaments white, glabrous, broader towards base, to 1 mm diam.; anthers 0.5-1.5 mm long, orange-brown to red-brown. Ovules 2 per loculus; stigma entire or 3-lobed. Capsule 2-5 mm long; seeds c. 2 mm long, silver-grey to black with some white-grey markings, smooth."," leaves 5-20, 1.5-27 cm long, to 5 mm diam., glabrous. basal 1.5-3.5 circa of leaves 5-10 mm wide. ",,,,,,,leaf,leaves,checked
Bulbine vagans,"Description: Perennial herb, 20-60 cm high with thick roots. Leaves 4-> 20 channelled, 12-30 cm long, 2-6 mm diam., shiny, glabrous, basal 1.5-2.5 c. of leaves 0.5-1.0 mm wide. Scapes many, erect initially, then procumbent, 6.5-15 cm long, 1-3.5 mm diam.; raceme 11-50 cm long, to 45-flowered; pedicels 6-20 mm long; bracts 3-12 mm long, 1-1.5 mm wide. Tepals 4-13 mm wide. Stamens unequal; outer filaments 3-5 mm long, inner filaments 4.5-7 mm long; anthers gold, c. 1 mm long, anthers on longer filaments with gold clavate hairs 0.1 mm long along back of anthers, anthers on shorter filaments with red clavate hairs at base of anthers. Ovules 2-4 per loculus; stigma 3-lobed. Capsule c. 4 mm long; seeds 2-3 mm long, grey to black with pale brown to black markings."," leaves 4-> 20 channelled, 12-30 cm long, 2-6 mm diam., shiny, glabrous. basal 1.5-2.5 circa of leaves 0.5-1.0 mm wide. ",,,,,,,leaf,leaves,checked
Centaurea benedicta,"Description: Stem 10-60 cm, cobwebby, striate, branched or with sessile heads and a rosette of leaves. Leaves pinnatifid, oblong in outline, margins spinose, cobwebby, prominently white-veined on lower surface; basal leaves up to 30 cm long and 8 cm wide, petiolate; cauline leaves much smaller and sessile, base stem-clasping, lamina often decurrent on stem for 10 mm or more. Heads 15-35 mm diam. Achenes c. 8 mm long, brown; pappus stiff, outer bristles c. 10 mm long."," leaves pinnatifid, oblong in outline, margins spinose, cobwebby, prominently white-veined on lower surface; basal leaves up to 30 cm long and 8 cm wide, petiolate; cauline leaves much smaller and sessile, base stem-clasping, lamina often decurrent on stem for 10 mm or more. ",,,,,,,leaf,leaves,checked
Euryops virgineus,"Description: Woody erect shrub, 1-1.5 metre high; branches long, slender, imbricate with leaves crowded all along to their apices. Branches with many leaf base scars on the woody branches. Leaves 4-5 mm long, 2-3 mm wide at the widest point, sessile, wedge-shaped and sharply and deeply 3-5-toothed. Flowers bright yellow, axillary but towards the apices of the branches; peduncles much longer than the leaves, 15-20 mm long; involuvcral bracts 5-7, oblong, subacute, connate below; recepticle conical; ray florets 6-7; disc florets c. 22. Achenes glabrous with longitudinal grooves, c. 1 mm long, pappus white, sparse plumose, with barbs, not persisting."," leaves 4-5 mm long, 2-3 mm wide at the widest point, sessile, wedge-shaped and sharply and deeply 3-5-toothed. ",,,,,,,leaf,leaves,checked
Rutidosis murchisonii,"Description: Erect herb up to 40 cm high. Leaves mostly cauline, linear or linear-elliptic, 1- 6 cm long, 1-3 mm wide, sessile, upper surface woolly or  glabrous, lower surface woolly. Heads terminal; involucres  hemispherical, 8-10 mm diam., involucral bracts glabrous, florets yellow. Achenes c.1 mm long; pappus of 8-12 narrow acute scales with long cilia on margin."," leaves mostly cauline, linear or linear-elliptic, 1- 6 cm long, 1-3 mm wide, sessile, upper surface woolly or  glabrous, lower surface woolly. ",,,,,,,leaf,leaves,checked
Siloxerus multiflorus,"Description: Annual herb 1.5-5 cm high; stem single and erect, or several and ascending, very sparsely hairy with long straight hairs. Leaves opposite at base, alternate above, linear-lanceolate, 3-10 mm long, 0.5-1 mm wide, sparsely hairy. Heads sessile in clusters subtended by clusters of leaves; individual heads  globose, 2-4 mm diam.; involucral bracts 3-seriate, glabrous; outer bracts hyaline, inner bracts hyaline except for herbaceous midrib. Florets c. 25 in terminal heads, fewer in lateral ones,  as long as involucre, c. 3 mm long; corolla white, 4-toothed. Achenes oblanceolate, c. 1 mm long, dark brown, base and apex strongly oblique, surface with several globose papillae; pappus of 7-11 obovate scales, 1-2 mm long, whitish, margins entire."," leaves opposite at base, alternate above, linear-lanceolate, 3-10 mm long, 0.5-1 mm wide. sparsely hairy. ",,,,,,,leaf,leaves,checked
Impatiens sodenii,"Description: Subshrub to c. 2 m high, suckering, bushy, glabrous. Stems few-branched, green above, red below, thick,  succulent except at base. Leaves in whorls of up to 6; lamina oblong or oblong-obovate, 6-12 cm long, (1.5-) 2-3.5 cm wide, base attenuate or narrow-cuneate, margin prominently toothed, apex acute; petiole 0.5-2 (-3) cm long, broadly winged (so leaves often appearing sessile). Flowers solitary on slender pedicels amongst axils of uppermost leaves, 5-6.5 cm diam., usually pale pink, but varying from white to violet. Lateral sepals 10-11 mm long, ovate, acuminate; posterior sepal broadly ovate, convex and keeled when fresh, flat or nearly so when dry; spur 2-4.5 cm long; very slender. Corolla irregular, with face flattened; upper petal c. 2.5-3 cm long, 2.5-3 cm wide, deeply emarginate; each lateral petal united at base, having a lower obovate and an upper suborbicular segment, c. 2-2.5 cm long, 1.5-2.5 cm wide, slightly emarginate. Anthers rose. Fruit to c. 2.5 cm long, fusiform, distinctly 5-ribbed, c. 3 mm wide. Seed not seen."," leaves in whorls of up to 6; lamina oblong or oblong-obovate, 6-12 cm long, (1.5-) 2-3.5 cm wide, base attenuate or narrowlycuneate, margin prominently toothed, apex acute; petiole 0.5-2 (-3) cm long, broadly winged (so leaves often appearing sessile). ",,,,,,,leaf,leaves,checked
Symphoricarpos albus,"Description: Dense shrub about 1 m tall. Leaves to 5 (-7) cm long, 3 cm wide, elliptic or more or less orbicular, often lobed on fresh shoots. Flower clusters 3-4 cm long; summer. Flowers pink, bell-shaped, stamens slightly protruding. Fruit about 1 cm wide, pure white."," leaves to 5 (-7) cm long, 3 cm wide, elliptic or more or less orbicular, often lobed on fresh shoots. ",,,,,,,leaf,leaves,checked
Scleranthus sp. Fitzs Hill (J.G.West 5342),"Description: Lax, straggling, procumbent perennial with non-woody base; stems to c. 30 cm long, usually sparsely minutely hairy or scabrous. Leaves more or less clustered but clusters not as remote as in S. fasciculatus, 4-7 mm long, keeled (at least near apex), with apiculate apex, margins sparsely minutely hairy or papillose, otherwise glabrous. Inflorescence a long-pedunculate pair of subsessile flowers, peduncle to 11 mm long in fruit, glabrous or occasionally sparsely minutely hairy; pedicels absent or very short, to 0.5 mm long; sepals 5 (rarely 4), triangular ovate, to 0,8 mm long. Stamen 1. Fruit and surrounding persistent calyx urceolate."," leaves more or less clustered but clusters  remote as in fasciculatus, 4-7 mm long, keeled (at least near apex), with apiculate apex, margins sparsely minutely hairy or papillose, otherwise glabrous. ",,,,,,,leaf,leaves,checked
Cistus salviifolius,"Description: Dense low shrubs to 1 m high, but often smaller, with dense stellate hairs, some parts with simple hairs. Leaves petiolate or sessile,  ovate, 1.5-4.5 cm long, 6-25 mm wide, dark green above, paler below; apex obtuse, rarely acute; sometimes obscurely 3-nerved at base. Flowers 3(-5) cm diam., mostly solitary in upper axils, sometimes in a 2-5-flowered cyme; peduncles (35-)50-105 mm long; sepals 5, broadly ovate, outer sepals broader and cordate, persistent; petals obovate, c. 1.5 cm long, white, yellow at base; style to c. 0.5 mm long. Capsule c. 6 mm long with scattered appressed silky hairs; seeds c. 1.5 mm long, dark brown, wrinkled."," leaves petiolate or sessile,  ovate, 1.5-4.5 cm long, 6-25 mm wide, dark green above, paler below; apex obtuse, rarely acute; sometimes obscurely 3-nerved at base. ",,,,,,,leaf,leaves,checked
Ipomoea fimbriosepala,"Description: Annual with twining stems, young stems glabrous, older stems setose. Leaves with lamina narrowly to broadly deltoid, 4-12 cm long, 1-6 cm wide, apex acuminate, mucronulate, base sagittate to hastate, glabrous; petiole 1-5 cm long. Inflorescence 1- few-flowered; peduncles 0.5-3.5 cm long; bracteoles 8-15 mm long, ovate, acuminate to apiculate, membranous, pale green, moderately persistent; pedicels 1-3.5 cm long. Sepals unequal; outer 3 larger, ovate, 13-20 mm long, apex mucronate, abaxially 3-winged, the wings smooth or dentate basally, glabrous. Corolla funnel-shaped, purplish to red with a darker throat, glabrous; tube 2.5-3.5 cm long; limb c. 5 cm diam. Capsule ovoid, 12-14 mm diam.; seeds densely tomentellous."," leaves with lamina narrowly to broadly deltoid, 4-12 cm long, 1-6 cm wide, apex acuminate, mucronulate, base sagittate to hastate, glabrous; petiole 1-5 cm long. ",,,,,,,leaf,leaves,checked
Hibbertia planifolia,"Description: Prostrate to decumbent shrub about 30 cm high, much branched, with leaves clustered terminally. Branches with distinctly raised leaf base; pubescent with dense multiangulate fascicled hairs. Leaves obtriangular, 3.5-5 x 1-1.5 mm, Flowers single, sessile in terminal clusters of leaves; Peduncle -/+ absent."," leaves obtriangular, 3.5-5 x 1-1.5 mm, flowers single, sessile in terminal clusters of leaves; ",,,,,,,leaf,leaves,checked
Platylobium montanum,"Description: Weakly erect to sprawling shrubs. Leaves opposite, rarely alternate, broad ovate to ovate, bases cordate. Inflorescences 1-4 per axil; inflorescence scales glabrous except for margins. Calyx sparsely to densely hairy with appressed hairs. Petals orange-yellow, back of standard purle-brown or with narrow yellow bands. Pods up to 6-seeded, sutures hairy or rarely glabrous, body either hairy all over, hairs restricted to the area over the seeds, or glabrous."," leaves opposite, rarely alternate, broad ovate to ovate, bases cordate. ",,,,,,,leaf,leaves,checked
Platylobium montanum subsp. montanum,"Description: Weakly erect to sprawling shrubs 0.2-1.5 m high. Leaves opposite broad ovate to ovate, 3-7 cm long, 25-40 mm wide, apex acute to mucronate, spine like, but not pungent, base cordate, upper surface reticulate, tuberculate, lower surface glabrous with age; stipules 3-5 mm long, persistent. Inflorescences 1-4 per axil. Inflorescence scales up to 14, glabrous except for margins; bracts 3-6 mm long; bracteoles 4-10 mm long; pedicels 5-15 (-20) mm long. Calyx 5-7 mm long, sparsely to densely hairy with appressed hairs. Standard petal 10-15 mm long, 12-22 mm wide; orange-yellow with back of standard purple-brown or with narrow yellow bands; wings yellow, sometimes with red patches; keel purple. Pods oblong, 15-40 mm long, 8-17 mm wide on stipes 10-15 mm long, sutures hairy or rarely glabrous, body either hairy all over, hairs restricted to the area over the seeds, or glabrous."," leaves opposite broad ovate to ovate, 3-7 cm long, 25-40 mm wide, apex acute to mucronate, spine like, but , base cordate, upper surface reticulate, tuberculate, lower surface glabrous with age; ",,,,,,,leaf,leaves,checked
Platylobium parviflorum,"Description: Erect shrub to c. 2 m high. Leaves narrow ovate, narrow elliptic or lanceolate 2-6.5 cm long, 1-3 cm wide; base cuneate to broadly rounded. Inflorescences 1-3 per axil. Inflorescence scales 8-12, glabrous, or sparsely hairy; bracts 2.5-3.5 mm long; bracteoles 2.5-6 mm long; pedicles 5-15(-20) mm long. Calyx 5-7 mm long, with scattered appressed hairs. Standsard petal 10-12 mm long, 15 mm wide, mostly orange-yellow with back of standard purple-brown with narrow to broad yellow bands; wings yellow; keel purplish. Pods oblong, 15-30 mm long, on stipes 4-12 mm long, hairy on sutures, and either glabrous, hairy or over, or hairs only on zone overlaying the seeds."," leaves narrow ovate, narrow elliptic or lanceolate 2-6.5 cm long, 1-3 cm wide; base cuneate to broadly rounded. ",,,,,,,leaf,leaves,checked
Pultenaea sp. Lobs Hole (M.E.Phillips 176),"Description: Previously confused with P. lapidosa, but differs in the small, glabrous, curved leaves with a short mucro."," previously confused with lapidosa, but differs in the small, glabrous, curved leaves with a short mucro. ",,,,,,,leaf,leaves,checked
Pultenaea sp. Wagga Wagga (G.Burrows 13),"Description: Previously confused with P. setulosa and P. boormanii, differing in the slender, apiculate leaves and silky hairy calyx."," previously confused with setulosa and boormanii, differing in the slender, apiculate leaves and silky hairy calyx. ",,,,,,,leaf,leaves,checked
Hydrangea macrophylla,"Description: Deciduous shrub 1-3 m high, glabrous. Leaves broadly ovate to obovate, 7.5-19 cm long, 4-13 cm wide, margins serrate; petioles 4 cm long. Inflorescence corymbose; calyx lobes 5, deltoid, 0.5-1 mm long (1-3 cm long in sterile flowers); petals 5, 3.5-4 mm long; stamens 10, 3.5-4.5 mm long; styles 2.5-3.5 mm long; sterile flowers white, blue, purple or pink. Capsules 6.5-8 mm long, conical at apex; seeds obovoid, c. 1 mm long."," leaves widelyovate to obovate, 7.5-19 cm long, 4-13 cm wide, margins serrate; petioles 4 cm long. ",,,,,,,leaf,leaves,checked
Patersonia rosea,"Description: Loosely tufted rhizomatous perennial herb to c. 50 cm high. Leaves basal, linear to linear-ensiform, 23-66 cm long, 1.4-2.8 (-4.0) mm wide, dull green, with matted appressed fawn-coloured hairs on the faces, longer white hairs on the margins. Scapes (0.5-) 21-60 cm long, pubescent. Spathe pair 35-50 mm long, greyish-brown to mid-brown, with numerous close parallel veins. Perianth tube white 5-20 mm long; outer tepals, broadly elliptic-obovate, 16-25(-30) mm long, 12-20(-25) mm wide pink; inner lobes obovate to obcuneate, c. 2 mm long. Filaments 3.5-5.0 mm long, connate. Ovary  cylindrical, hairy. Capsules narrowly ovoid to ellipsoid or narrowly obovoid, 13-21 mm long. Seeds cylindrical-fusiform to narrowly ovoid, 3.2-4.8 mm long, pale brown, aril extending from the non-attachment to almost the opposite end, linear, cream-stramineous when dry."," leaves basal, linear to linear-ensiform, 23-66 cm long, 1.4-2.8 (-4.0) mm wide, dull green, with matted appressed fawn-coloured hairs on the faces, longer white hairs on the margins. ",,,,,,,leaf,leaves,checked
