site_id,site_TEXT,name_original,TRAIT Growth Form CATEGORICAL EP epiphyte (mistletoe) F fern G grass H herb S shrub T tree V vine,TRAIT SLA UNITS mm2/g,TRAIT Leaf Size UNITS mm2,TRAIT Leaf Dry Mass UNITS g,TRAIT LeafWidth UNITS mm,TRAIT Height UNITS m
8,Mt Keira,Piper novae-hollandiae,V,26.3,4386,0.167,57.5,10.1
8,Mt Keira,Smilax australis,V,12.7,3852.5,0.303,57.2,0.5
8,Mt Keira,Synoum glandulosum,S,14.7,2869.5,0.196,42.7,1.5
8,Mt Keira,unk8_1 sp,,13.3,2797.4,0.211,41.9,5.75
8,Mt Keira,Wilkiea huegeliana,S,12,4052.7,0.338,52.2,1
9,Mungo NP 1,Atriplex eardleyae,H,11.1,87.6,0.008,9,0.15
9,Mungo NP 1,Atriplex lindleyi,H,7.9,20.4,0.003,3.5,0.15
9,Mungo NP 1,Atriplex vesicaria,S,4.5,22.6,0.005,3.5,0.6
9,Mungo NP 1,Bulbine sp,H,5.5,39.9,0.007,1.7,0.05
9,Mungo NP 1,Chamaesyce drummondii,H,2.6,7,0.003,3.7,0.94
9,Mungo NP 1,Dissocarpus biflorus,H,5.3,7.8,0.001,1.4,0.3
9,Mungo NP 1,Dissocarpus paradoxa,H,5.5,8,0.001,1.5,0.25
9,Mungo NP 1,Fabaceae sp,S,11.4,8,0.001,2.3,0.05
9,Mungo NP 1,Maireana pyramidata,S,2.8,2.6,0.001,1.3,1
9,Mungo NP 1,Maireana sp,S,3.3,3.9,0.001,1.4,0.15
9,Mungo NP 1,Malacocera tricornis,H,2.8,9.8,0.003,1.6,0.3
9,Mungo NP 1,Nitraria billardierei,S,4.7,16.2,0.003,2.3,0.6
9,Mungo NP 1,Sclerolaena divaricata,S,4.4,5.2,0.001,1,0.2
9,Mungo NP 1,Sclerolaena patenticuspis,S,6.5,6.5,0.001,1.3,0.15
9,Mungo NP 1,Sida intricata,H,9.6,31.5,0.003,5.7,0.15
