species,Fruit.Type.Botany,Fruit.Type.Specific,Fruit.Type.Function,Adaptive.Trait,Fruit.Length (mm),Fruit.Diameter (mm),Seed.Length (mm),Seed.Diameter (mm),Flowering time
Lumnitzera racemosa,fleshy,drupe,fleshy,,,,,,
Lysiana casuarinae,fleshy,berry,fleshy,,,,,,
Lysiana exocarpi,fleshy,berry,fleshy,,,,,,
Lysiana filifolia,fleshy,berry,fleshy,,,,,,
Lysiana linearifolia,fleshy,berry,fleshy,,,,,,
Lysiana maritima,fleshy,berry,fleshy,,,,,,
Lysiana murrayi,fleshy,berry,fleshy,,,,,,
Lysiana spathulata,fleshy,berry,fleshy,,,,,,
Lysiana subfalcata,fleshy,berry,fleshy,,,,,,
Lythrum hyssopifolia,dry,capsule,dry,,,,,,
Lythrum junceum,dry,capsule,dry,,,,,,
Lythrum paradoxum,dry,capsule,dry,,,,,,
Lythrum salicaria,dry,capsule,dry,,,,,,
Lythrum wilsonii,dry,capsule,dry,,,,,,
Macadamia claudiensis,dry,follicle,dry,,,,,,
Macadamia grandis,dry,follicle,dry,,,,,,
Macadamia integrifolia,dry,follicle,dry,,,,,,
Macadamia jansenii,dry,follicle,dry,,,,,,
Macadamia ternifolia,dry,follicle,dry,,,,,,
Macadamia tetraphylla,dry,follicle,dry,,,,,,
Macadamia whelanii,dry,follicle,dry,,,,,,
Maclura cochinchinensis,dry,achene,dry,,,,,,
Macropidia fuliginosa,,,,,,,,,`8-12
Maniltoa lenticellata,dry,pod,dry,,,,,,
Maytenus bilocularis,dry,capsule,fleshy,aril,,,,,
Maytenus cunninghamii,dry,capsule,fleshy,aril,,,,,
Maytenus disperma,dry,capsule,fleshy,aril,,,,,
Maytenus emarginata,dry,capsule,fleshy,aril,,,,,
Maytenus fasciculiflora,dry,capsule,fleshy,aril,,,,,
Maytenus ferdinandi,dry,capsule,fleshy,aril,,,,,
Maytenus silvestris,dry,capsule,fleshy,aril,,,,,
Megahertzia amplexicaulis,dry,follicle,dry,,,,,,`6-9
Meiogyne cylindrocarpa,fleshy,berry,fleshy,,,,,,
Meiogyne hirsuta,fleshy,berry,fleshy,,,,,,`11-12
Meiogyne stenopetala,fleshy,berry,fleshy,,,,,,`11-4
Meiogyne verrucosa,fleshy,berry,fleshy,,,,,,`7-11
Melastoma affine,dry,capsule,dry,,,,,,
Melodorum crassipetalum,fleshy,berry,fleshy,,,,,,`11-12
Melodorum leichhardtii,fleshy,berry,fleshy,,,,,,`9-12
Melodorum rupestre,fleshy,berry,fleshy,,,,,,`11-4
Melodorum scabridulum,fleshy,berry,fleshy,,,,,,`12-2
Melodorum topazensis,fleshy,berry,fleshy,,,,,,`4
Melodorum uhrii,fleshy,berry,fleshy,,,,,,`2-5
Melodorum unguiculatum,fleshy,berry,fleshy,,,,,,`12-2
Memecylon arnhemensis,fleshy,berry,fleshy,,,,,,
Memecylon hylandii,fleshy,berry,fleshy,,,,,,
Miliusa brahei,,,,,,,,,`9-12
Miliusa horsfieldii,,,,,,,,,`9-11
Miliusa traceyi,,,,,,,,,`9-12
Milligania densiflora,dry,capsule,dry,,,,,,`11-12
Milligania johnstonii,dry,capsule,dry,,,,,,`12-2
Milligania lindoniana,dry,capsule,dry,,,,,,
Milligania longifolia,dry,capsule,dry,,,,,,`11-2
Milligania stylosa,dry,capsule,dry,,,,,,`12-3
Mischocarpus albescens,dry,capsule,fleshy,"pericarp, aril, arillode",,,,,
Mischocarpus anodontus,dry,capsule,fleshy,"pericarp, aril, arillode",,,,,
Mischocarpus australis,dry,capsule,fleshy,"pericarp, aril, arillode",,,,,
Mischocarpus exangulatus,dry,capsule,fleshy,"pericarp, aril, arillode",,,,,
Mischocarpus grandissimus,dry,capsule,fleshy,"pericarp, aril, arillode",,,,,
Mischocarpus lachnocarpus,dry,capsule,fleshy,"pericarp, aril, arillode",,,,,
Mischocarpus macrocarpus,dry,capsule,fleshy,"pericarp, aril, arillode",,,,,
Mischocarpus pyriformis,dry,capsule,fleshy,"pericarp, aril, arillode",,,,,
Mischocarpus stipitatus,dry,capsule,fleshy,"pericarp, aril, arillode",,,,,
Mitrella tiwiensis,,,,,,,,,`12
Mitrephora diversifolia,,,,,,,,,`10-3
Molineria capitulata,fleshy,berry,fleshy,,,,,,
Muellerina celastroides,fleshy,berry,fleshy,,,,,,
Muellerina eucalyptoides,fleshy,berry,fleshy,,,,,,
Muellerina myrtifolia,fleshy,berry,fleshy,,,,,,
Murchisonia fragrans,dry,capsule,dry,,,,,,
Murchisonia volubilis,dry,capsule,dry,,,,,,`8
Musa banksii,fleshy,berry,fleshy,,,,,,
Musa fitzalanii,fleshy,berry,fleshy,,,,,,
Musa jackeyi,fleshy,berry,fleshy,,,,,,
Musgravea heterophylla,dry,follicle,dry,,,,,,`3-4
Musgravea stenostachya,dry,follicle,dry,,,,,,`12-1
Myosurus australis,,,,,,,,,`7-11
Myristica insipida,fleshy,drupe,fleshy,thick and succulent pericarp; aril,,,,,
Neoastelia spectabilis,fleshy,berry,fleshy,,,,,,`11-12
Neolitsea australiensis,fleshy,drupe,fleshy,,,,,,`3-5
Neolitsea brassii,fleshy,drupe,fleshy,,,,,,`1-4
Neolitsea dealbata,fleshy,drupe,fleshy,,,,,,`3-6
Neorites kevediana,dry,follicle,dry,,,,,,
Neostrearia fleckeri,dry,capsule,dry,,,,10,,
Neptunia amplexicaulis,dry,pod,dry,,,,,,
Neptunia dimorphantha,dry,pod,dry,,,,,,
Neptunia gracilis,dry,pod,dry,,,,,,
Neptunia major,dry,pod,dry,,,,,,
Neptunia monosperma,dry,pod,dry,,,,,,
Nesaea arnhemica,dry,capsule,dry,,,,,,
Nesaea crinipes,dry,capsule,dry,,,,,,
Nesaea muelleri,dry,capsule,dry,,,,,,
Nesaea repens,dry,capsule,dry,,,,,,
Nesaea striatiflora,dry,capsule,dry,,,,,,
Noahdendron nicholasii,dry,capsule,dry,,,,7,,
Nothocnide repanda,dry,achene,dry,,,,,,
Nothofagus cunninghamii,dry,nut,dry,,,,,,
Nothofagus gunnii,dry,nut,dry,,,,,,
Nothofagus moorei,dry,nut,dry,,,,,,
Notothixos cornifolius,fleshy,berry,fleshy,,,,,,
Notothixos incanus,fleshy,berry,fleshy,,,,,,
Notothixos leiophyllus,fleshy,berry,fleshy,,,,,,
Notothixos subaureus,fleshy,berry,fleshy,,,,,,
Nuytsia floribunda,fleshy,berry,fleshy,,,,,,`11-1
Olax angulata,fleshy,drupe,fleshy,,,,,,
Olax aphylla,fleshy,drupe,fleshy,,,,,,
Olax aurantia,fleshy,drupe,fleshy,,,,,,
Olax benthamiana,fleshy,drupe,fleshy,,,,,,
Olax obcordata,fleshy,drupe,fleshy,,,,,,
Olax pendula,fleshy,drupe,fleshy,,,,,,
Olax phyllanthi,fleshy,drupe,fleshy,,,,,,
Olax retusa,fleshy,drupe,fleshy,,,,,,
Olax scalariformis,fleshy,drupe,fleshy,,,,,,
Olax spartea,fleshy,drupe,fleshy,,,,,,
Olax stricta,fleshy,drupe,fleshy,,,,,,
Omphacomeria acerba,fleshy,drupe,fleshy,,,,,,
Opilia amentacea,fleshy,drupe,fleshy,,,,,,
Opisthiolepis heterophylla,dry,follicle,dry,,,,,,
Oreodendron biflorum,dry,,dry,,,,,,
Orites acicularis,dry,follicle,dry,,,,,,`12
Orites diversifolia,dry,follicle,dry,,,,,,`10-11
Orites excelsa,dry,follicle,dry,,,,,,`5-10
Orites lancifolia,dry,follicle,dry,,,,,,`12-1
Orites megacarpa,dry,follicle,dry,,,,,,`12-3
Orites milliganii,dry,follicle,dry,,,,,,`12-1
Orites revoluta,dry,follicle,dry,,,,,,`12-1
Orthrosanthus laxus,dry,capsule,dry,,,,,,
Orthrosanthus muelleri,dry,capsule,dry,,,,,,`10
Orthrosanthus multiflorus,dry,capsule,dry,,,,,,`9-12
Orthrosanthus polystachyus,dry,capsule,dry,,,,,,`10-11
Osbeckia australiana,dry,capsule,dry,,,,,,
Ostrearia australiana,dry,capsule,dry,,,,,,
Pachygone ovata,fleshy,drupe,fleshy,,,,,,`6-8
Palmeria foremanii,fleshy,drupe,fleshy,,,,,,`3-8
Palmeria hypotephra,fleshy,drupe,fleshy,,,,,,`5-10
Palmeria scandens,fleshy,drupe,fleshy,,,,,,`5-9
Parapachygone longifolia,fleshy,drupe,fleshy,,,,,,`10-11
Pararistolochia australopithecurus,dry,utricle,dry,,,,,,`10-11
Pararistolochia deltantha,dry,utricle,dry,,,,,,`9-1
Pararistolochia laheyana,dry,utricle,dry,,,,,,`12-4
Pararistolochia linearifolia,dry,utricle,dry,,,,,,`12-2
Pararistolochia peninsulensis,dry,utricle,dry,,,,,,`11-1
Pararistolochia praevenosa,dry,utricle,dry,,,,,,`10-11
Pararistolochia sparusifolia,dry,utricle,dry,,,,,,`11-1
Paraserianthes toona,dry,pod,dry,,,,,,
Parietaria cardiostegia,dry,achene,dry,,,,,,
Parietaria debilis,dry,achene,dry,,,,,,
Patersonia argyrea,dry,capsule,dry,,,,,,`9-11
Patersonia babianoides,dry,capsule,dry,,,,,,`9-11
Patersonia drummondii,dry,capsule,fleshy,aril,,,,,`8-10
Patersonia fragilis,dry,capsule,fleshy,aril,,,,,`8-12
Patersonia glabrata,dry,capsule,fleshy,aril,,,,,`8-10
Patersonia graminea,dry,capsule,fleshy,aril,,,,,`9-10
Patersonia inaequalis,dry,capsule,fleshy,aril,,,,,`8-10
Patersonia juncea,dry,capsule,fleshy,aril,,,,,`8-10
Patersonia lanata,dry,capsule,dry,,,,,,
Patersonia limbata,dry,capsule,dry,,,,,,`9-10
Patersonia macrantha,dry,capsule,dry,,,,,,`1-3
Patersonia maxwellii,dry,capsule,dry,,,,,,`9-11
Patersonia occidentalis,dry,capsule,dry,,,,,,`9-12
Patersonia pygmaea,dry,capsule,fleshy,aril,,,,,`8-11
Patersonia rudis,dry,capsule,dry,,,,,,
Patersonia sericea,dry,capsule,dry,,,,,,
Patersonia umbrosa,dry,capsule,fleshy,aril,,,,,
Peltophorum pterocarpum,dry,pod,dry,,,,,,
Pemphis acidula,dry,capsule,dry,,,,,,
Pennantia cunninghamii,fleshy,drupe,fleshy,,,,,,
Pentaptilon careyi,dry,,dry,bladdery wings,,,,,`8-10
Peperomia bellendenkerensis,fleshy,drupe,fleshy,,,,,,`9-12
Peperomia enervis,fleshy,drupe,fleshy,,,,,,`1-5
Peperomia hunteriana,fleshy,drupe,fleshy,,,,,,`10-12
Peperomia tetraphylla,fleshy,drupe,fleshy,,,,,,`1-5
Perrottetia arborescens,fleshy,berry,fleshy,,,,,,
Persoonia acerosa,fleshy,drupe,fleshy,,,,,,`12-5
Persoonia acicularis,fleshy,drupe,fleshy,,,,,,`8-1
Persoonia acuminata,fleshy,drupe,fleshy,,,,,,`12-4
Persoonia adenantha,fleshy,drupe,fleshy,,,,,,`11-4
Persoonia amaliae,fleshy,drupe,fleshy,,,,,,`1-7
Persoonia angustiflora,fleshy,drupe,fleshy,,,,,,`9-3
Persoonia arborea,fleshy,drupe,fleshy,,,,,,`12-3
Persoonia asperula,fleshy,drupe,fleshy,,,,,,`1-2
Persoonia baeckeoides,fleshy,drupe,fleshy,,,,,,`11-12
Persoonia bargoensis,fleshy,drupe,fleshy,,,,,,`12-1
Persoonia biglandulosa,fleshy,drupe,fleshy,,,,,,`10-12
Persoonia bowgada,fleshy,drupe,fleshy,,,,,,`10-11
Persoonia brachystylis,fleshy,drupe,fleshy,,,,,,`11-1
Persoonia brevifolia,fleshy,drupe,fleshy,,,,,,`12-3
Persoonia brevirhachis,fleshy,drupe,fleshy,,,,,,`8-10
Persoonia chamaepeuce,fleshy,drupe,fleshy,,,,,,`12-3
Persoonia chamaepitys,fleshy,drupe,fleshy,,,,,,`10-1
Persoonia chapmaniana,fleshy,drupe,fleshy,,,,,,`9-11
Persoonia comata,fleshy,drupe,fleshy,,,,,,`11-2
Persoonia confertiflora,fleshy,drupe,fleshy,,,,,,`11-2
Persoonia conjuncta,fleshy,drupe,fleshy,,,,,,`1-2
Persoonia cordifolia,fleshy,drupe,fleshy,,,,,,`12-1
Persoonia coriacea,fleshy,drupe,fleshy,,,,,,`11-2
Persoonia cornifolia,fleshy,drupe,fleshy,,,,,,`11-2
Persoonia curvifolia,fleshy,drupe,fleshy,,,,,,`11-1
Persoonia cuspidifera,fleshy,drupe,fleshy,,,,,,`11-3
Persoonia cymbifolia,fleshy,drupe,fleshy,,,,,,`12-1
Persoonia daphnoides,fleshy,drupe,fleshy,,,,,,`12-1
Persoonia dillwynioides,fleshy,drupe,fleshy,,,,,,`11-12
Persoonia elliptica,fleshy,drupe,fleshy,,,,,,`10-2
Persoonia falcata,fleshy,drupe,fleshy,,,,,,`6-11
Persoonia fastigiata,fleshy,drupe,fleshy,,,,,,`12-1
Persoonia filiformis,fleshy,drupe,fleshy,,,,,,`11-12
Persoonia flexifolia,fleshy,drupe,fleshy,,,,,,`1
Persoonia glaucescens,fleshy,drupe,fleshy,,,,,,`1-5
Persoonia graminea,fleshy,drupe,fleshy,,,,,,`11-1
Persoonia gunnii,fleshy,drupe,fleshy,,,,,,`12-5
Persoonia hakeiformis,fleshy,drupe,fleshy,,,,,,`11-1
Persoonia helix,fleshy,drupe,fleshy,,,,,,`11-2
Persoonia hexagona,fleshy,drupe,fleshy,,,,,,`11-12
Persoonia hirsuta,fleshy,drupe,fleshy,,,,,,`11-1
Persoonia inconspicua,fleshy,drupe,fleshy,,,,,,`6-9
Persoonia iogyna,fleshy,drupe,fleshy,,,,,,`12-2
Persoonia isophylla,fleshy,drupe,fleshy,,,,,,`1-7
Persoonia juniperina,fleshy,drupe,fleshy,,,,,,`12-5
Persoonia kararae,fleshy,drupe,fleshy,,,,,,`9-11
Persoonia katerae,fleshy,drupe,fleshy,,,,,,`1-2
Persoonia lanceolata,fleshy,drupe,fleshy,,,,,,`1-4
Persoonia laurina,fleshy,drupe,fleshy,,,,,,`11-1
Persoonia laxa,fleshy,drupe,fleshy,,,,,,`11-1
Persoonia leucopogon,fleshy,drupe,fleshy,,,,,,`11-3
Persoonia levis,fleshy,drupe,fleshy,,,,,,`12-4
Persoonia linearis,fleshy,drupe,fleshy,,,,,,`12-5
Persoonia longifolia,fleshy,drupe,fleshy,,,,,,`11-2
Persoonia marginata,fleshy,drupe,fleshy,,,,,,`1-2
Persoonia media,fleshy,drupe,fleshy,,,,,,`12-4
Persoonia micranthera,fleshy,drupe,fleshy,,,,,,`2
Persoonia microphylla,fleshy,drupe,fleshy,,,,,,`12-2
Persoonia mollis,fleshy,drupe,fleshy,,,,,,
Persoonia moscalii,fleshy,drupe,fleshy,,,,,,`2-3
Persoonia muelleri,fleshy,drupe,fleshy,,,,,,
Persoonia myrtilloides,fleshy,drupe,fleshy,,,,,,`12-4
Persoonia nutans,fleshy,drupe,fleshy,,,,,,`11-4
Persoonia oblongata,fleshy,drupe,fleshy,,,,,,`10-4
Persoonia oleoides,fleshy,drupe,fleshy,,,,,,`1-2
Persoonia oxycoccoides,fleshy,drupe,fleshy,,,,,,`12-4
Persoonia papillosa,fleshy,drupe,fleshy,,,,,,`9-1
Persoonia pentasticha,fleshy,drupe,fleshy,,,,,,`8-11
Persoonia pertinax,fleshy,drupe,fleshy,,,,,,`1-3
Persoonia pinifolia,fleshy,drupe,fleshy,,,,,,`12-3
Persoonia procumbens,fleshy,drupe,fleshy,,,,,,`12-2
Persoonia prostrata,fleshy,drupe,fleshy,,,,,,
Persoonia pungens,fleshy,drupe,fleshy,,,,,,`9-12
Persoonia quinquenervis,fleshy,drupe,fleshy,,,,,,`11-12
Persoonia recedens,fleshy,drupe,fleshy,,,,,,`12-1
Persoonia rigida,fleshy,drupe,fleshy,,,,,,`11-3
Persoonia rudis,fleshy,drupe,fleshy,,,,,,`10-1
Persoonia rufa,fleshy,drupe,fleshy,,,,,,`12-2
Persoonia rufiflora,fleshy,drupe,fleshy,,,,,,`6-9
Persoonia saccata,fleshy,drupe,fleshy,,,,,,`7-1
Persoonia saundersiana,fleshy,drupe,fleshy,,,,,,`9-11
Persoonia scabra,fleshy,drupe,fleshy,,,,,,`11-1
Persoonia sericea,fleshy,drupe,fleshy,,,,,,`10-6
Persoonia silvatica,fleshy,drupe,fleshy,,,,,,`11-3
Persoonia spathulata,fleshy,drupe,fleshy,,,,,,`12-1
Persoonia stradbrokensis,fleshy,drupe,fleshy,,,,,,`12-5
Persoonia striata,fleshy,drupe,fleshy,,,,,,`11-12
Persoonia stricta,fleshy,drupe,fleshy,,,,,,`8-12
Persoonia subtilis,fleshy,drupe,fleshy,,,,,,`11-1
Persoonia subvelutina,fleshy,drupe,fleshy,,,,,,`1-3
Persoonia sulcata,fleshy,drupe,fleshy,,,,,,`9-11
Persoonia tenuifolia,fleshy,drupe,fleshy,,,,,,`11-2
Persoonia teretifolia,fleshy,drupe,fleshy,,,,,,`10-2
Persoonia terminalis,fleshy,drupe,fleshy,,,,,,`12-1
Persoonia trinervis,fleshy,drupe,fleshy,,,,,,`9-12
Persoonia tropica,fleshy,drupe,fleshy,,,,,,`9-1
Persoonia virgata,fleshy,drupe,fleshy,,,,,,`12-3
Persoonia volcanica,fleshy,drupe,fleshy,,,,,,`12-2
Petalostylis cassioides,dry,pod,dry,,,,,,
Petalostylis labicheoides,dry,pod,dry,,,,,,
Petermannia cirrosa,fleshy,berry,fleshy,,,,,,
Petrophile acicularis,dry,nut,dry,,,,,,`9-10
Petrophile aculeata,dry,nut,dry,,,,,,`11
Petrophile anceps,dry,nut,dry,,,,,,`9-10
Petrophile arcuata,dry,nut,dry,,,,,,`9-10
Petrophile aspera,dry,nut,dry,,,,,,`8-11
Petrophile biloba,dry,nut,dry,,,,,,`6-10
Petrophile biternata,dry,nut,dry,,,,,,`8-10
Petrophile brevifolia,dry,nut,dry,,,,,,`7-12
Petrophile canescens,dry,nut,dry,,,,,,`9-1
Petrophile carduacea,dry,nut,dry,,,,,,`9-10
Petrophile chrysantha,dry,nut,dry,,,,,,`6-10
Petrophile circinata,dry,nut,dry,,,,,,`6-11
Petrophile conifera,dry,nut,dry,,,,,,`8-10
Petrophile crispata,dry,nut,dry,,,,,,`9-11
Petrophile cyathiforma,dry,nut,dry,,,,,,`9-12
Petrophile divaricata,dry,nut,dry,,,,,,`8-12
Petrophile diversifolia,dry,nut,dry,,,,,,`9-12
Petrophile drummondii,dry,nut,dry,,,,,,`8-12
Petrophile ericifolia,dry,nut,dry,,,,,,
Petrophile fastigiata,dry,nut,dry,,,,,,`9-11
Petrophile glauca,dry,nut,dry,,,,,,`8-11
Petrophile helicophylla,dry,nut,dry,,,,,,`10-2
Petrophile heterophylla,dry,nut,dry,,,,,,`8-10
Petrophile imbricata,dry,nut,dry,,,,,,`8-9
Petrophile incurvata,dry,nut,dry,,,,,,`10
Petrophile linearis,dry,nut,dry,,,,,,`8-11
Petrophile longifolia,dry,nut,dry,,,,,,`7-3
Petrophile macrostachya,dry,nut,dry,,,,,,`7-11
Petrophile media,dry,nut,dry,,,,,,`8-2
Petrophile megalostegia,dry,nut,dry,,,,,,`8-10
Petrophile merrallii,dry,nut,dry,,,,,,`8-10
Petrophile misturata,dry,nut,dry,,,,,,`9-10
Petrophile multisecta,dry,nut,dry,,,,,,`10-2
Petrophile pauciflora,dry,nut,dry,,,,,,`9
Petrophile pedunculata,dry,nut,dry,,,,,,`10-1
Petrophile phylicoides,dry,nut,dry,,,,,,`9-12
Petrophile plumosa,dry,nut,dry,,,,,,`7-11
Petrophile pulchella,dry,nut,dry,,,,,,`8-3
Petrophile recurva,dry,nut,dry,,,,,,`8-10
Petrophile rigida,dry,nut,dry,,,,,,`9-10
Petrophile scabriuscula,dry,nut,dry,,,,,,`5-10
Petrophile semifurcata,dry,nut,dry,,,,,,`9-11
Petrophile seminuda,dry,nut,dry,,,,,,`9-11
Petrophile serruriae,dry,nut,dry,,,,,,`7-12
Petrophile sessilis,dry,nut,dry,,,,,,`5-2
Petrophile shirleyae,dry,nut,dry,,,,,,`10-2
Petrophile shuttleworthiana,dry,nut,dry,,,,,,`9-10
Petrophile squamata,dry,nut,dry,nut winged,,,,,`7-12
Petrophile striata,dry,nut,dry,,,,,,`8-12
Petrophile stricta,dry,nut,dry,,,,,,`10-12
Petrophile teretifolia,dry,nut,dry,,,,,,`9-1
Petrophile trifurcata,dry,nut,dry,,,,,,`9
Petrophile wonganensis,dry,nut,dry,,,,,,`8-1
Phaleria chermsideana,fleshy,drupe,fleshy,,,,,,
Phaleria clerodendron,fleshy,drupe,fleshy,,,,,,`10-4
Phaleria octandra,fleshy,drupe,fleshy,,,,,,`7-2
Philydrella drummondii,dry,capsule,dry,,,,,,
Philydrella pygmaea,dry,capsule,dry,,,,,,
Phlebocarya ciliata,dry,nut,dry,,,,,,`9-11
Phlebocarya filifolia,dry,nut,dry,,,,,,`10-12
Phlebocarya pilosissima,dry,nut,dry,,,,,,
Pilostyles collina,fleshy,berry,fleshy,,,,,,
Pilostyles hamiltonii,fleshy,berry,fleshy,,,,,,
Pimelea aeruginosa,dry,nut,dry,,,,,,`6-10
Pimelea alpina,dry,nut,dry,,,,,,`7-3
Pimelea ammocharis,dry,nut,dry,,,,,,`3-10
Pimelea angustifolia,dry,nut,dry,,,,,,`8-1
Pimelea aquilonia,dry,nut,dry,,,,,,`5-7
Pimelea argentea,dry,nut,dry,,,,,,`7-11
Pimelea avonensis,dry,nut,dry,,,,,,`7-10
Pimelea axiflora,dry,nut,dry,,,,,,
Pimelea biflora,dry,nut,dry,,,,,,`11-1
Pimelea brachyphylla,dry,nut,dry,,,,,,`7-10
Pimelea bracteata,dry,nut,dry,,,,,,`11-2
Pimelea brevifolia,dry,nut,dry,,,,,,
Pimelea brevistyla,dry,nut,dry,,,,,,`8-10
Pimelea calcicola,dry,nut,dry,,,,,,`9-11
Pimelea ciliata,dry,nut,dry,,,,,,`8-12
Pimelea ciliolaris,dry,nut,dry,,,,,,`10-12
Pimelea cinerea,dry,nut,dry,,,,,,`11-1
Pimelea clavata,dry,nut,dry,,,,,,`9-2
Pimelea cracens,dry,nut,dry,,,,,,`7-11
Pimelea curviflora,dry,nut,dry,,,,,,
Pimelea decora,dry,nut,dry,,,,,,`1-12
Pimelea drummondii,dry,nut,dry,,,,,,`6-8
Pimelea drupacea,dry,nut,dry,,,,,,`9-1
Pimelea elongata,dry,nut,dry,,,,,,`4-10
Pimelea erecta,dry,nut,dry,,,,,,`7-3
Pimelea ferruginea,dry,nut,dry,,,,,,`8-2
Pimelea filiformis,dry,nut,dry,,,,,,`11-1
Pimelea flava,dry,nut,dry,,,,,,`8-12
Pimelea floribunda,dry,nut,dry,,,,,,`7-10
Pimelea forrestiana,dry,nut,dry,,,,,,`6-9
Pimelea gilgiana,dry,nut,dry,,,,,,`5-9
Pimelea glauca,dry,nut,dry,,,,,,`7-2
Pimelea graniticola,dry,nut,dry,,,,,,`9-12
Pimelea haematostachya,dry,nut,dry,,,,,,`6-2
Pimelea halophila,dry,nut,dry,,,,,,`8-10
Pimelea hewardiana,dry,nut,dry,,,,,,`4-10
Pimelea hispida,dry,nut,dry,,,,,,`9-12
Pimelea holroydii,dry,nut,dry,,,,,,
Pimelea humilis,dry,nut,dry,,,,,,`9-1
Pimelea imbricata,dry,nut,dry,,,,,,`8-3
Pimelea interioris,dry,nut,dry,,,,,,`7-11
Pimelea lanata,dry,nut,dry,,,,,,
Pimelea latifolia,dry,nut,dry,,,,,,`8-10
Pimelea lehmanniana,dry,nut,dry,,,,,,
Pimelea leptospermoides,dry,nut,dry,,,,,,`5-10
Pimelea leucantha,dry,nut,dry,,,,,,`8-10
Pimelea ligustrina,dry,nut,dry,,,,,,
Pimelea linifolia,dry,nut,dry,,,,,,
Pimelea longiflora,dry,nut,dry,,,,,,
Pimelea macrostegia,dry,nut,dry,,,,,,`11-2
Pimelea micrantha,dry,nut,dry,,,,,,`8-12
Pimelea microcephala,dry,nut,dry,,,,,,`5-10
Pimelea milliganii,dry,nut,dry,,,,,,`12-3
Pimelea neo-anglica,dry,nut,dry,,,,,,`9-10
Pimelea nivea,dry,nut,dry,,,,,,`9-2
Pimelea octophylla,dry,nut,dry,,,,,,`8-2
Pimelea pagophila,dry,nut,dry,,,,,,`10-11
Pimelea pauciflora,dry,nut,dry,,,,,,`10-12
Pimelea pelinos,dry,nut,dry,,,,,,`6-7
Pimelea pendens,dry,nut,dry,,,,,,`5-8
Pimelea penicillaris,dry,nut,dry,,,,,,`7-10
Pimelea petrophila,dry,nut,dry,,,,,,`8-11
Pimelea phylicoides,dry,nut,dry,,,,,,`8-1
Pimelea physodes,dry,nut,dry,,,,,,`7-10
Pimelea preissii,dry,nut,dry,,,,,,`9-12
Pimelea pygmaea,dry,nut,dry,,,,,,`9-12
Pimelea rara,dry,nut,dry,,,,,,`12-1
Pimelea rosea,dry,nut,dry,,,,,,`9-12
Pimelea sericea,dry,nut,dry,,,,,,`11-2
Pimelea sericostachya,dry,nut,dry,,,,,,`2-9
Pimelea serpyllifolia,dry,nut,dry,,,,,,
Pimelea sessilis,dry,nut,dry,,,,,,`8-10
Pimelea simplex,dry,nut,dry,,,,,,`6-10
Pimelea spectabilis,dry,nut,dry,,,,,,`9-11
Pimelea spicata,dry,nut,dry,,,,,,`5-1
Pimelea spiculigera,dry,nut,dry,,,,,,`7-10
Pimelea spinescens,dry,nut,dry,,,,,,`4-10
Pimelea stricta,dry,nut,dry,,,,,,`8-11
Pimelea strigosa,dry,nut,dry,,,,,,`9-5
Pimelea suaveolens,dry,nut,dry,,,,,,`6-10
Pimelea subvillifera,dry,nut,dry,,,,,,`9-11
Pimelea sulphurea,dry,nut,dry,,,,,,`7-11
Pimelea sylvestris,dry,nut,dry,,,,,,`9-12
Pimelea tinctoria,dry,nut,dry,,,,,,`8-10
Pimelea treyvaudii,dry,nut,dry,,,,,,`5-1
Pimelea trichostachya,dry,nut,dry,,,,,,
Pimelea umbratica,dry,nut,dry,,,,,,`4-7
Pimelea venosa,dry,nut,dry,,,,,,`10-12
Pimelea villifera,dry,nut,dry,,,,,,`10-4
Pimelea williamsonii,dry,nut,dry,,,,,,`10-11
Piper caninum,fleshy,drupe,fleshy,,,,,,`4-6
Piper fungiforme,fleshy,drupe,fleshy,,,,,,`9
Piper hederaceum,fleshy,drupe,fleshy,,,,,,
Piper interruptum,fleshy,drupe,fleshy,,,,,,
Piper macropiper,fleshy,drupe,fleshy,,,,,,`12-1
Piper mestonii,fleshy,drupe,fleshy,,,,,,`4
Piper umbellatum,fleshy,drupe,fleshy,,,,,,`4-7
Pipturus argenteus,dry,achene,dry,,,,,,
Placospermum coriaceum,dry,follicle,dry,,,,,,`10-11
Platycapnos spicata,,,,,,,,,`9
Pleogyne australis,fleshy,drupe,fleshy,,,,,,
Pleomele angustifolia,fleshy,berry,fleshy,,,,,,
Polyalthia australis,fleshy,berry,fleshy,,,,,,`11-6
Polyalthia michaelii,fleshy,berry,fleshy,,,,,,`11-3
Polyalthia nitidissima,fleshy,berry,fleshy,,,,,,`11-3
Polyalthia patinata,fleshy,berry,fleshy,,,,,,`4
Pouzolzia hirta,dry,achene,dry,,,,,,
Pouzolzia zeylanica,dry,achene,dry,,,,,,
Procris pedunculata,dry,achene,dry,,,,,,
Proiphys alba,dry,capsule,dry,,,,,,
Proiphys amboinensis,dry,capsule,dry,,,22.5,,,
Proiphys cunninghamii,dry,capsule,dry,,,16,,,
Protasparagus racemosus,fleshy,berry,fleshy,,,,,,`8-1
Psammomoya choretroides,dry,capsule,fleshy,aril,,,,,
Psammomoya ephedroides,dry,capsule,fleshy,aril,,,,,
Pseuduvaria froggattii,,,,,,,,,`9-12
Pseuduvaria hylandii,,,,,,,,,`9-10
Pseuduvaria villosa,,,,,,,,,`12-5
