taxon_name,fire_response_LCR,fire_response_NL,seedlings_first_observed,first_flowering_resp,first_flowering_seed,first_flowering_unknown,first_fruiting_resp,first_fruiting_seed,first_fruiting_unknown,primary_juvenile_period,secondary_juvenile_period,page,peak_flowering_resp,peak_flowering_seed,peak_flowering_unknown,peak_fruiting_resp,peak_fruiting_seed,peak_fruiting_unknown,notes,advanced_seedlings,fire intensity,large_prop_flowering
Eurychorda complanata,,pK,,,,,,,,,,35,,,,,,,Unable to find this species in one location where it previously occurred before the fire (as observed 38w after the fire).,,,
Leptocarpus tenax,,R,,,,32w,,,,,,35,,,,,,,,,,
Lepyrodia scariosa,R,R,,56w,,,,,,,,35,,,,,,,,,,
Smilacaceae,,,,,,,,,,,,35,,,,,,,,,,
Smilax australis,R,R,,35w- (1),,,,,,,,35,,,,,,,,,,
Smilax glyciphylla,R,,,46w,,,50w,,,,c.1y,35,,,,,,,,,,
Typhaceae,,,,,,,,,,,,35,,,,,,,,,,
Typha ?orientalis,pR,,,,,,85w,,,,,35,,,,,,,,,,
Uvulariaceae,,,,,,,,,,,,35,,,,,,,,,,
Schelhammera undulata,R,R,,13w,,,44w,,,,44w-grn.,35,,,,,,,,,,
Xanthorrhoeaceae,,,,,,,,,,,,35,,,,,,,,,,
Xanthorrhoea arborea,,,,51w,,,,,,,,,,,,,,,,,,
Xanthorrhoea arborea,R,R,,35w,,,100w,,,,c.2y-(shd),35,(prob.pk.pf.flower.c.1y),,,,,,,,,
Xanthorrhoea media,,,,39w,,,,,,,,,,,,,,,,,,
Xanthorrhoea media,R,R,,17w,,,56w,,,,56-63w(shd),35,(prob.pk.pf.flower.c.1y),,,,,,,,,
Xanthorrhoea ?minor,,,,38w,,,,,,,,35,,,,,,,,,,
Xanthorrhoea resinifera,R,R,,43w,,,,,,,,35,,,,,,,,,,
Xyridaceae,,,,,,,,,,,,35,,,,,,,,,,
Xyris gracilis,R,,,51w,,,,,,,,35,,,,,,,,,,
Xyris juncea,,R,,17w,,,32w,,,,,35,,,,,,,,,,
Xyris operculata,,R,,32w,,,,,,,,35,,,,,,,,,,
Zingiberaceae,,,,,,,,,,,,35,,,,,,,,,,
*Hedychium gardnerianum,R,,,,,,88w,,,,,35,,,,,,,,,,
