SPECIES,growth form,plant longevity,extreme min height (m),min height (m),max height (m),extreme max height (m),flowering start (month),flowering finish (month),leaf type (compound/simple),leaf longevity (evergreen/deciduous)
Spyridium oligocephalum,shrub,perennial assumed,0.3,0.6,1.5,,MAR,OCT,,
Spyridium polycephalum,shrub,perennial assumed,,0.3,1,,APR,NOV,,
Spyridium riparium,shrub,perennial assumed,,0.8,1.5,,JUL,OCT,,
Spyridium spadiceum,shrub,perennial assumed,,0.15,3,,AUG,APR,,
Spyridium subochreatum,shrub,perennial assumed,,0.1,0.3,,APR,OCT,,
Spyridium tricolor,shrub,perennial assumed,,0.3,1.5,3,JAN,DEC,,
Spyridium villosum,shrub,perennial assumed,,0.1,0.4,,OCT,NOV,,
Stachystemon axillaris,shrub,perennial assumed,,,1.2,,FEB,OCT,,
Stachystemon brachyphyllus,shrub,perennial assumed,,,0.7,,JUN,JAN,,
Stachystemon intricatus,shrub,perennial assumed,,,0.3,,JUL,OCT,,
Stachystemon mucronatus,shrub,perennial assumed,,,0.8,,APR,NOV,,
Stachystemon nematophorus,shrub,perennial assumed,,,1.2,,,,,
Stachystemon polyandrus,shrub,perennial assumed,,,0.5,,JUN,JAN,,
Stachystemon vermicularis,shrub,perennial assumed,,,1,,JAN,DEC,,
Stachystemon vinosus,shrub,perennial assumed,,,0.1,,SEP,NOV,,
Stachystemon virgatus,shrub,perennial assumed,,,0.4,,SEP,NOV,,
Stackhousia clementii,herb,perennial,,,0.45,,,,,
Stackhousia dielsii,herb,perennial,,0.2,0.6,,JUL,NOV,,
Stackhousia georgei (Stackhousia monogyna Labill.),herb,perennial,,0.1,0.7,,JUN,DEC,,
Stackhousia intermedia,herb,annual,,0.1,0.8,,FEB,AUG,,
Stackhousia megaloptera,herb,perennial,,0.1,0.7,,JUL,OCT,,
Stackhousia monogyna,herb,perennial,,0.1,0.7,,JUN,DEC,,
Stackhousia muricata,herb,annual/perennial,,0.03,0.55,,JUL,NOV,,
Stackhousia scoparia,herb,perennial,,0.15,0.6,,AUG,JAN,,
Stackhousia umbellata,herb,perennial,,,0.7,,MAY,AUG,,
Staurogyne leptocaulis,herb,,,,,,MAY,AUG,,
Stawellia dimorphantha,herb,perennial,,0.05,0.2,,JUN,NOV,,
Stawellia gymnocephala,herb,perennial,,,0.4,,SEP,NOV,,
Stellaria filiformis,herb,annual,,0.01,0.1,,,,,
Stellaria multiflora,herb,annual,,,,,,,,
Stemodia debilis,herb,annual,,0.05,0.4,0.5,APR,MAY,,
Stemodia flaccida,herb,perennial,,,0.3,,MAY,MAY,,
Stemodia florulenta,herb/shrub,perennial,,0.25,0.8,1,MAR,NOV,,
Stemodia glabella,herb,perennial,,0.15,0.5,,MAR,OCT,,
Stemodia grossa,herb,perennial,,0.15,1,1.5,JUN,OCT,,
Stemodia kingii,herb,perennial,,0.15,0.5,1,JAN,AUG,,
Stemodia lathraia,herb,perennial,,,0.3,,MAR,AUG,,
Stemodia linophylla,herb,perennial,,,,,,,,
Stemodia lythrifolia,herb,perennial,,0.2,1,1.5,FEB,NOV,,
Stemodia tephropelina,herb,,,0.04,0.3,,APR,NOV,,
Stemodia viscosa,herb/shrub,perennial,,0.2,1,,APR,NOV,,
Stemona australiana,climber/herb,perennial,,,2,,MAY,MAY,,
Stenanthemum bilobum,shrub,perennial assumed,,,,,,,,
Stenanthemum bremerense,shrub,perennial assumed,0.2,0.3,0.6,1.4,,,,
Stenanthemum complicatum,shrub,perennial assumed,,0.2,0.8,2,MAR,OCT,,
Stenanthemum coronatum,shrub,perennial assumed,,0.02,0.05,,JUN,NOV,,
Stenanthemum cristatum,shrub,perennial assumed,,0.05,0.2,,NOV,NOV,,
Stenanthemum divaricatum,shrub,perennial assumed,,,,,,,,
Stenanthemum emarginatum,shrub,perennial assumed,,0.05,0.1,,SEP,DEC,,
Stenanthemum humile,herb/shrub,,,0.05,0.15,,AUG,NOV,,
Stenanthemum intricatum,shrub,perennial assumed,,0.05,0.8,,MAR,NOV,,
Stenanthemum liberum,shrub,perennial assumed,,,0.5,,,,,
Stenanthemum limitatum,shrub,perennial assumed,,0.15,1,,OCT,NOV,,
Stenanthemum mediale,shrub,perennial assumed,,,0.35,,APR,AUG,,
Stenanthemum nanum,shrub,perennial assumed,,,0.05,,OCT,NOV,,
Stenanthemum newbeyi,shrub,perennial assumed,,1,1.6,,AUG,JAN,,
Stenanthemum notiale,shrub,perennial assumed,,0.05,0.6,1,JAN,DEC,,
Stenanthemum patens,shrub,perennial assumed,,,0.5,,,,,
Stenanthemum petraeum,shrub,perennial assumed,,0.4,1,,APR,OCT,,
Stenanthemum poicilum,shrub,perennial assumed,,0.15,0.5,,MAY,NOV,,
Stenanthemum pomaderroides,shrub,perennial assumed,,0.2,1,1.5,JAN,NOV,,
Stenanthemum pumilum,herb/shrub,,,0.025,0.1,,SEP,NOV,,
Stenanthemum radiatum,shrub,perennial assumed,,0.1,0.3,,,,,
Stenanthemum reissekii,shrub,perennial assumed,,0.1,0.5,,AUG,OCT,,
Stenanthemum stipulosum,shrub,perennial assumed,0.05,0.1,1,2,JAN,DEC,,
Stenanthemum sublineare,shrub,perennial assumed,,,0.1,,OCT,DEC,,
Stenanthemum tridentatum,shrub,perennial assumed,,0.02,0.35,,JUL,NOV,,
Stenanthemum yorkense,shrub,perennial assumed,,0.1,0.15,,,,,
Stenocarpus acacioides,shrub/tree,perennial assumed,,1.3,4,12,APR,OCT,,
Stenocarpus cunninghamii,shrub/tree,perennial assumed,,1,12,,MAR,AUG,,
Stenopetalum anfractum,herb,annual,,0.05,0.5,,MAY,OCT,,
Stenopetalum decipiens,herb/shrub,,,,,,JUL,AUG,,
Stenopetalum filifolium,herb,annual,0.05,0.1,0.5,,JUL,NOV,,
Stenopetalum gracile,herb,annual,,0.1,0.4,,AUG,OCT,,
Stenopetalum lineare,herb,annual,,0.1,0.6,,JUL,NOV,,
Stenopetalum nutans,herb,annual/biennial,,,0.6,,MAY,SEP,,
Stenopetalum pedicellare,herb,annual,,0.1,0.6,,MAY,OCT,,
Stenopetalum robustum,herb,annual,,0.05,0.6,1,JUL,DEC,,
Stenopetalum saxatile,herb,perennial,0.05,0.1,0.35,,OCT,OCT,,
Stenopetalum sphaerocarpum,herb,annual,,0.1,0.3,,AUG,AUG,,
Stenopetalum velutinum,herb,annual,,0.2,0.6,,MAY,JUL,,
Stenotalis ramosissima,graminoid,perennial,,0.2,0.5,,FEB,OCT,,
Stephania japonica,climber/herb,,,,,,,,,
Sterculia holtzei,tree,perennial assumed,,,25,,APR,MAY,,
Sterculia quadrifida,shrub/tree,perennial assumed,,2,10,,FEB,JUN,,
Stirlingia abrotanoides,herb/shrub,,,0.25,0.6,,SEP,NOV,,
Stirlingia anethifolia,shrub,perennial assumed,,0.15,0.7,,SEP,NOV,,
Stirlingia divaricatissima,shrub,perennial assumed,,,1.7,,OCT,OCT,,
Stirlingia latifolia,shrub,perennial assumed,,0.2,1.5,,AUG,OCT,,
Stirlingia seselifolia,herb/shrub,,,0.3,1,,SEP,OCT,,
Stirlingia simplex,herb/shrub,perennial,,0.15,0.6,1,SEP,DEC,,
Stirlingia tenuifolia,herb/shrub,,,0.25,1,1.5,SEP,NOV,,
Strangea cynanchicarpa,shrub,perennial assumed,,0.3,1,1.5,DEC,FEB,,
Strangea stenocarpoides,shrub,perennial assumed,,0.2,1.2,,AUG,OCT,,
Streptoglossa adscendens,herb,annual,,0.1,0.4,,APR,NOV,,
Streptoglossa bubakii,herb,perennial,,0.3,0.8,,MAY,OCT,,
Streptoglossa cylindriceps,herb,annual/perennial,,0.02,0.1,0.2,JUN,NOV,,
Streptoglossa decurrens,herb/shrub,perennial,,0.2,1.5,,JUL,NOV,,
Streptoglossa liatroides,herb,perennial,0.03,0.15,0.5,,APR,NOV,,
Streptoglossa macrocephala,herb/shrub,perennial,,,0.5,1,JUL,OCT,,
Streptoglossa odora,herb,perennial,,0.25,0.7,0.9,APR,NOV,,
Streptoglossa tenuiflora,herb,annual/perennial,,,0.35,,APR,OCT,,
Striga curviflora,herb,annual,,0.15,0.6,,JAN,OCT,,
Striga squamigera,herb,annual,,0.1,0.3,,APR,JUN,,
Strychnos lucida,shrub/tree,perennial assumed,,1,6,12,SEP,JAN,,deciduous
Stuartina muelleri,herb,annual,,,0.1,,SEP,OCT,,
Stylidium aceratum,herb,annual,,0.05,0.09,,OCT,NOV,,
Stylidium acuminatum,herb,perennial,,,,,OCT,JAN,,
Stylidium adenophorum,herb,annual,,0.05,0.25,,APR,JUL,,
Stylidium adnatum,herb,perennial,,0.05,0.3,,NOV,DEC,,
Stylidium adpressum,herb,perennial,,0.03,0.15,,SEP,NOV,,
Stylidium aeonioides,herb,perennial,,0.05,0.4,,SEP,NOV,,
Stylidium albolilacinum,herb,perennial,,0.1,0.36,,SEP,NOV,,
Stylidium albomontis,herb,perennial,,0.18,0.9,,SEP,DEC,,
Stylidium amabile,herb,perennial,,0.06,0.23,,SEP,OCT,,
Stylidium amoenum,herb,perennial,,0.1,0.5,,SEP,JAN,,
Stylidium androsaceum,herb,annual/perennial,,,0.15,,,,,
Stylidium applanatum,herb,perennial,,0.12,0.35,,SEP,OCT,,
Stylidium arenicola,herb,perennial,,0.03,0.25,,JUL,DEC,,
Stylidium articulatum,herb,perennial,,0.15,0.25,,NOV,DEC,,
Stylidium assimile,herb,perennial,,0.1,0.35,,OCT,APR,,
Stylidium barleei,herb,perennial,,0.1,0.45,,OCT,DEC,,
Stylidium beaugleholei,herb,annual,,0.02,0.05,,,,,
Stylidium bellum,herb,perennial,,0.15,0.3,,,,,
Stylidium bicolor,herb,perennial,,0.01,0.4,,,,,
Stylidium breviscapum,herb,perennial,,0.025,0.2,,AUG,DEC,,
Stylidium brunonianum,herb,perennial,0.15,0.25,0.7,,OCT,DEC,,
Stylidium bulbiferum,herb,perennial,,,0.15,,OCT,NOV,,
Stylidium burbidgeanum,herb,perennial,,,,,OCT,NOV,,
Stylidium caespitosum,herb,perennial,,0.06,0.4,,NOV,JAN,,
Stylidium calcaratum,herb,annual,,0.02,0.2,,JUL,JAN,,
Stylidium caricifolium,herb,perennial,,0.15,0.5,,SEP,NOV,,
Stylidium carlquistii,herb,perennial,0.1,0.25,0.6,,SEP,NOV,,
Stylidium carnosum,herb,perennial,,,1,,OCT,DEC,,
Stylidium ceratophorum,herb,annual,,,0.25,,MAY,JUL,,
Stylidium chiddarcoopingense,herb,perennial,,0.2,0.45,,,,,
Stylidium choreanthum,herb,perennial,,0.01,0.03,,SEP,NOV,,
"Stylidium ciliatum (Stylidium cilium Lowrie, A.H.Burb. & Kenneally )",herb,perennial,,,,,OCT,OCT,,
Stylidium cilium,herb,perennial,,,,,OCT,OCT,,
Stylidium clavatum,herb,perennial,,0.2,0.7,,SEP,NOV,,
Stylidium claytonioides,herb,annual,,0.07,0.3,,APR,SEP,,
Stylidium coatesianum,herb,perennial,,0.15,0.38,,SEP,NOV,,
Stylidium confluens,herb,perennial,,0.2,0.75,,AUG,OCT,,
Stylidium cordifolium,herb,annual,,,0.15,,MAY,JUL,,
Stylidium coroniforme,herb,perennial,,0.07,0.18,,SEP,OCT,,
Stylidium corymbosum,herb,perennial,,,0.3,,OCT,NOV,,
Stylidium costulatum,herb,annual,,0.1,0.2,,APR,AUG,,
Stylidium crassifolium,herb,perennial,,0.2,0.9,,SEP,DEC,,
Stylidium crossocephalum,herb,perennial,,0.08,0.36,,AUG,NOV,,
Stylidium cygnorum,herb,perennial,,,,,SEP,OCT,,
Stylidium cymiferum,herb,perennial,,0.12,0.35,,OCT,NOV,,
Stylidium daphne,herb,perennial,,0.15,0.4,,DEC,DEC,,
Stylidium desertorum,herb,annual,,0.07,0.25,,APR,SEP,,
Stylidium despectum,herb,annual,,0.015,0.08,,OCT,DEC,,
Stylidium diademum,herb,perennial,,0.08,0.45,,,,,
Stylidium diceratum,herb,annual,,0.15,0.35,,JUN,AUG,,
Stylidium dichotomum,herb,perennial,,0.08,0.3,0.4,SEP,DEC,,
Stylidium dielsianum,herb,perennial,,0.02,0.04,0.1,SEP,NOV,,
Stylidium diplectroglossum,herb,perennial,,,0.1,,OCT,DEC,,
Stylidium diplotrichum,herb,perennial,,0.145,0.4,,SEP,NOV,,
Stylidium dispermum,herb,perennial,,0.04,0.2,,SEP,NOV,,
Stylidium diuroides,herb,perennial,,0.06,0.4,,SEP,NOV,,
Stylidium divaricatum,herb,perennial,,0.05,0.3,,OCT,DEC,,
Stylidium diversifolium,herb,perennial,,0.3,1,,SEP,DEC,,
Stylidium drummondianum,herb,perennial,,0.05,0.22,,AUG,OCT,,
Stylidium dunlopianum,herb,perennial,,,0.25,,JUN,JUN,,
Stylidium ecorne,herb,annual,,0.02,0.18,,SEP,NOV,,
Stylidium edentatum,herb,annual,,,0.06,,SEP,SEP,,
Stylidium elongatum,herb,perennial,,0.2,0.65,,AUG,OCT,,
Stylidium emarginatum,herb,perennial,,0.03,0.065,,AUG,DEC,,
Stylidium eriopodum,herb,perennial,,,,,OCT,NOV,,
Stylidium expeditionis,herb,perennial,,0.12,0.5,,SEP,NOV,,
Stylidium falcatum,herb,perennial,,0.15,0.35,0.6,OCT,NOV,,
Stylidium fasciculatum,herb,,,0.2,0.6,,OCT,DEC,,
Stylidium ferricola,herb,perennial,,0.09,0.15,,,,,
Stylidium fimbriatum,herb,annual,,,0.3,,JUL,AUG,,
Stylidium fissilobum,herb,annual,,0.1,0.3,,MAY,AUG,,
Stylidium flagellum,herb,perennial,,,0.35,,APR,JUL,,
Stylidium floribundum,herb,annual,,,0.5,,JUN,AUG,,
Stylidium fluminense,herb,annual,,0.1,0.3,,MAY,OCT,,
Stylidium galioides,herb,perennial,,0.1,0.3,,SEP,JAN,,
Stylidium glabrifolium,herb,perennial,,0.2,0.3,,OCT,NOV,,
Stylidium glandulosissimum,herb,perennial,,0.06,0.3,,OCT,DEC,,
Stylidium glandulosum,herb,perennial,,0.15,0.4,,OCT,DEC,,
Stylidium glaucum,herb,perennial,,0.15,0.65,,JAN,MAY,,
Stylidium gloeophyllum,herb,perennial,,0.13,0.47,,OCT,DEC,,
Stylidium guttatum,herb,perennial,,0.03,0.15,,OCT,DEC,,
Stylidium hirsutum,herb,perennial,,0.12,0.57,,OCT,DEC,,
Stylidium hispidum,herb,perennial,,0.1,0.4,,AUG,NOV,,
Stylidium hortiorum,herb,perennial,,0.08,0.4,,SEP,OCT,,
Stylidium humphreysii,herb,perennial,,,,,OCT,OCT,,
Stylidium hymenocraspedum,herb,perennial,,0.27,0.7,,SEP,OCT,,
Stylidium imbricatum,herb,perennial,,0.12,0.5,,FEB,MAY,,
Stylidium inaequipetalum,herb,,,,,,APR,AUG,,
Stylidium induratum,herb,perennial,,0.05,0.2,,SEP,NOV,,
Stylidium insensitivum,herb,perennial,,0.04,0.07,,SEP,SEP,,
Stylidium inundatum,herb,annual,,0.015,0.08,,SEP,DEC,,
Stylidium inversiflorum,herb,perennial,,0.08,0.25,,SEP,NOV,,
Stylidium ireneae,herb,perennial,0.06,0.1,0.28,,OCT,DEC,,
Stylidium junceum,herb,perennial,,0.08,0.5,,SEP,DEC,,
Stylidium kalbarriense,herb,perennial,,0.065,0.3,,AUG,OCT,,
Stylidium keigheryi,herb,perennial,,0.04,0.25,,FEB,APR,,
Stylidium korijekup,herb,perennial,,0.18,0.34,,,,,
Stylidium laciniatum,herb,perennial,,0.75,3,,DEC,FEB,,
Stylidium lateriticola,herb,perennial,,0.1,0.4,,DEC,JAN,,
Stylidium leeuwinense,herb,perennial,,0.15,0.6,,FEB,MAY,,
Stylidium lepidum,herb,perennial,,,0.05,,OCT,NOV,,
Stylidium leptocalyx,herb,perennial,,0.08,0.4,,OCT,NOV,,
Stylidium leptophyllum,herb,perennial,,0.05,0.3,,,,,
Stylidium leptorrhizum,herb,annual,,0.08,0.45,,APR,SEP,,
Stylidium limbatum,herb,perennial,,0.1,0.45,,,,,
Stylidium lineatum,herb,perennial,,0.2,0.7,,OCT,NOV,,
Stylidium lobuliflorum,herb,annual,,,0.3,,JUN,AUG,,
Stylidium longibracteatum,herb,perennial,,0.1,0.2,,SEP,OCT,,
Stylidium longicornu,herb,annual,,0.1,0.25,,JUN,AUG,,
Stylidium longitubum,herb,annual,,0.05,0.12,,OCT,DEC,,
Stylidium lowrieanum,herb,perennial,,0.25,0.65,,OCT,NOV,,
Stylidium luteum,herb,perennial,,0.2,0.6,,OCT,JAN,,
Stylidium macranthum,herb,perennial,,0.1,0.5,,SEP,NOV,,
Stylidium maitlandianum,herb,perennial,,0.29,0.7,,SEP,OCT,,
Stylidium maritimum,herb,perennial,,0.3,0.7,,SEP,NOV,,
Stylidium marradongense,herb,perennial,,0.15,0.5,,SEP,NOV,,
Stylidium megacarpum,herb,perennial,,,,,NOV,NOV,,
Stylidium merrallii,herb,perennial,,,,,OCT,FEB,,
Stylidium miniatum,herb,perennial,,0.15,0.4,,AUG,NOV,,
Stylidium mucronatum,herb,annual,,0.08,0.16,,APR,AUG,,
Stylidium multiscapum,herb,annual,,0.08,0.3,,APR,AUG,,
Stylidium muscicola,herb,annual,,0.05,0.4,,FEB,AUG,,
Stylidium neglectum,herb,perennial,,,,,NOV,NOV,,
Stylidium nonscandens,herb,perennial,,0.18,0.46,,SEP,NOV,,
Stylidium nungarinense,herb,perennial,,0.12,0.47,,SEP,OCT,,
Stylidium nymphaeum,herb,perennial,,1.4,2.5,,DEC,MAY,,
Stylidium obtusatum,herb,perennial,,0.03,0.1,,SEP,NOV,,
Stylidium pachyrrhizum,herb,perennial,,0.2,0.5,,APR,SEP,,
Stylidium paulineae,herb,perennial,,0.045,0.2,,SEP,NOV,,
Stylidium pendulum,herb,perennial,,0.09,0.35,,SEP,OCT,,
Stylidium periscelianthum,herb,perennial,,0.07,0.15,,SEP,OCT,,
Stylidium perizostera,herb,annual,,,0.12,,MAY,JUN,,
Stylidium perpusillum,herb,annual,,0.015,0.025,0.04,SEP,NOV,,
Stylidium perula,herb,perennial,,0.03,0.12,,SEP,OCT,,
Stylidium petiolare,herb,perennial,,0.055,0.15,,AUG,OCT,,
Stylidium piliferum,herb,perennial,,0.1,0.5,,SEP,NOV,,
Stylidium pilosum,herb,perennial,,0.25,0.75,,SEP,NOV,,
Stylidium pingrupense,herb,perennial,,,,,SEP,OCT,,
Stylidium planirosulum,herb,perennial,,0.1,0.6,,OCT,JAN,,
Stylidium plantagineum,herb,perennial,,0.4,1,,NOV,DEC,,
Stylidium preissii,herb,perennial,,0.05,0.18,,OCT,DEC,,
Stylidium pritzelianum,herb,perennial,,0.05,0.4,,NOV,DEC,,
Stylidium prophyllum,herb,annual,,,0.3,,MAY,JUN,,
Stylidium pseudocaespitosum,herb,perennial,,0.1,0.3,,SEP,NOV,,
Stylidium pseudohirsutum,herb,perennial,,0.09,0.42,,NOV,DEC,,
Stylidium pseudosacculatum,herb,perennial,,0.04,0.15,,OCT,NOV,,
Stylidium pubigerum,herb,perennial,,0.08,0.25,,SEP,OCT,,
Stylidium pulchellum,herb,perennial,,0.03,0.11,,SEP,DEC,,
Stylidium pulviniforme,herb,perennial,,0.01,0.05,,SEP,NOV,,
Stylidium pycnostachyum,herb,perennial,,0.15,0.36,,AUG,NOV,,
Stylidium pygmaeum,herb,annual,,0.03,0.08,,NOV,JAN,,
Stylidium repens,herb,perennial,,,0.1,,JAN,DEC,,
Stylidium rhipidium,herb,annual,,,0.05,,OCT,NOV,,
Stylidium rhynchocarpum,herb,perennial,,0.1,0.5,,OCT,FEB,,
Stylidium ricae,herb,perennial,,0.08,0.2,,AUG,OCT,,
Stylidium rigidulum,herb,perennial,,0.065,0.3,,SEP,NOV,,
Stylidium rivulosum,herb,annual,,0.07,0.15,0.2,APR,JUL,,
Stylidium roseoalatum,herb,annual,,0.03,0.07,,OCT,NOV,,
Stylidium roseonanum,herb,annual,,0.015,0.03,,OCT,OCT,,
Stylidium rosulatum,herb,perennial,,0.1,0.25,,,,,
Stylidium rotundifolium,herb,annual,,0.03,0.3,,APR,OCT,,
Stylidium rubriscapum,herb,annual,,0.08,0.3,,JUN,SEP,,
Stylidium rupestre,herb,perennial,,0.07,0.2,,SEP,DEC,,
Stylidium sacculatum,herb,perennial,,0.05,0.15,,OCT,NOV,,
Stylidium scabridum,herb,perennial,,0.05,0.24,,SEP,NOV,,
Stylidium scandens,herb,perennial,,0.4,0.85,,OCT,DEC,,
Stylidium scariosum,herb,perennial,,0.1,0.8,,SEP,NOV,,
Stylidium schizanthum,herb,annual,,0.035,0.27,,APR,SEP,,
Stylidium schoenoides,herb,perennial,,0.15,0.5,,AUG,NOV,,
Stylidium sejunctum,herb,perennial,,0.25,0.45,,SEP,NOV,,
Stylidium semaphorum,herb,perennial,,0.15,0.2,,SEP,OCT,,
Stylidium semipartitum,herb,annual/perennial,,0.09,0.4,,MAR,AUG,,
Stylidium septentrionale,herb,perennial,,,,,SEP,OCT,,
Stylidium sidjamesii (Stylidium inundatum R.Br. ),herb,annual,,0.015,0.08,,SEP,DEC,,
Stylidium spathulatum,herb,perennial,,0.05,0.5,,OCT,JAN,,
Stylidium spinulosum,herb,perennial,,0.1,0.2,,OCT,DEC,,
Stylidium squamellosum,herb,perennial,,0.12,0.35,,OCT,NOV,,
Stylidium squamosotuberosum,herb,perennial,,0.35,1.5,,OCT,JAN,,
Stylidium stenosepalum,herb,perennial,,0.12,0.38,,AUG,OCT,,
Stylidium striatum,herb,perennial,,0.15,0.55,,OCT,NOV,,
Stylidium tenue,herb,perennial,0.06,0.1,0.3,0.4,SEP,DEC,,
Stylidium tenuicarpum,herb,perennial,,0.1,0.5,,SEP,NOV,,
Stylidium thesioides,herb,perennial,,0.05,0.3,,OCT,DEC,,
Stylidium thylax,herb,perennial,,0.04,0.08,,OCT,OCT,,
Stylidium tinkeri,herb,annual,,0.03,0.07,,OCT,OCT,,
Stylidium torticarpum,herb,perennial,,0.12,0.27,,SEP,NOV,,
Stylidium trudgenii,herb,perennial,,0.05,0.5,,,,,
Stylidium turbinatum,herb,annual,,0.06,0.15,,APR,JUL,,
Stylidium turleyae,herb,perennial,,0.08,0.32,,SEP,OCT,,
Stylidium tylosum,herb,perennial,,0.06,0.13,,OCT,NOV,,
Stylidium udusicola,herb,perennial,,,0.12,,SEP,OCT,,
Stylidium uniflorum,herb,perennial,,0.035,0.12,,OCT,DEC,,
Stylidium utricularioides,herb,annual,,0.05,0.12,,OCT,DEC,,
Stylidium validum,herb,perennial,,0.06,0.3,,SEP,OCT,,
Stylidium verticillatum,herb,perennial,,0.1,0.32,,OCT,JAN,,
Stylidium violaceum,herb,perennial,,0.2,0.5,,OCT,JAN,,
Stylidium warriedarense,herb,perennial,,,0.07,,SEP,NOV,,
Stylidium weeliwolli,herb,annual,,0.1,0.25,,AUG,SEP,,
Stylidium wilroyense,herb,perennial,,0.3,0.45,,SEP,OCT,,
Stylidium xanthopis,herb,,,0.04,0.1,,SEP,SEP,,
Stylidium yilgarnense,herb,perennial,,0.07,0.4,,SEP,NOV,,
Stylidium zeicolor,herb,perennial,,0.12,0.35,0.5,,,,
Stylobasium australe,shrub,perennial assumed,,0.5,2,,AUG,OCT,,
Stylobasium spathulatum,shrub,perennial assumed,,0.5,2.5,,MAY,OCT,,
Stypandra glauca,herb,perennial,,0.3,1,,AUG,NOV,,
Stypandra jamesii,herb,perennial,,,0.3,,OCT,NOV,,
Styphelia exserta,shrub,perennial assumed,,,0.9,,SEP,OCT,,
Styphelia hainesii,shrub,perennial assumed,,0.3,2,,MAR,NOV,,
Styphelia intertexta,shrub,perennial assumed,,0.3,1.2,,MAY,JUL,,
Styphelia melaleucoides,shrub,perennial assumed,,0.25,1.5,,APR,MAY,,
Swainsona acuticarinata,herb,perennial,,,0.45,,JUL,OCT,,
Swainsona beasleyana,herb,perennial,,,0.2,,AUG,SEP,,
Swainsona calcicola,herb,perennial,,,,,AUG,SEP,,
Swainsona campestris,herb,perennial,,0.15,0.3,0.6,JUL,OCT,,
Swainsona campylantha,herb,perennial,,,,,MAY,AUG,,
Swainsona canescens,herb,perennial,,,,,MAR,AUG,,
Swainsona colutoides,herb,annual,0.2,0.45,1.3,,APR,DEC,,
Swainsona complanata,herb,annual,,0.1,1,,JUL,OCT,,
Swainsona cornuta,herb,annual/perennial,,,0.3,,AUG,AUG,,
Swainsona cyclocarpa,herb,,,,,,OCT,OCT,,
Swainsona decurrens,herb,annual,,0.3,0.6,0.9,MAY,SEP,,
Swainsona disjuncta,herb,perennial,,,,,NOV,NOV,,
Swainsona ecallosa,herb,annual,,0.3,1.2,,AUG,OCT,,
Swainsona elegans,herb,annual,,0.07,0.3,0.5,JUL,OCT,,
Swainsona elegantoides,herb,annual,,0.3,2,,MAY,OCT,,
Swainsona flavicarinata,herb,perennial,,,0.45,,,,,
Swainsona formosa,herb,annual/perennial,,0.05,0.2,,JUN,OCT,,
Swainsona forrestii,shrub,perennial assumed,,1,3,,OCT,FEB,,
Swainsona gracilis,herb,perennial,,0.25,0.45,,AUG,SEP,,
Swainsona halophila,herb,annual,,,0.15,,JUL,SEP,,
Swainsona incei,herb,annual/perennial,0.05,0.15,0.5,,JUL,SEP,,
Swainsona kingii,herb,annual/perennial,,0.05,0.15,1,MAY,OCT,,
Swainsona laciniata,herb,perennial,,,0.15,,JUL,SEP,,
Swainsona leeana,herb,annual/perennial,,0.02,0.15,,SEP,OCT,,
Swainsona longicarinata,herb,annual/perennial,,,0.35,,JUL,SEP,,
Swainsona longipilosa,herb,annual,,,0.04,,AUG,AUG,,
Swainsona maccullochiana,herb,annual,0.2,0.5,3,,JUL,OCT,,
Swainsona microcalyx,herb,annual,0.2,0.5,3,,JUL,OCT,,
Swainsona microphylla,herb,perennial,,,1.5,,JUL,SEP,,
Swainsona oliveri,herb,perennial,,0.02,0.15,,SEP,SEP,,
Swainsona oroboides,herb,perennial,,,0.15,,JUN,SEP,,
Swainsona paradoxa,herb,annual/perennial,,,0.2,,APR,SEP,,
Swainsona paucifoliolata,herb,perennial,,,0.15,,APR,SEP,,
Swainsona pedunculata,herb,annual,,,0.2,,,,,
Swainsona perlonga,herb,perennial,,,1,,AUG,AUG,,
Swainsona phacoides,herb,annual/perennial,,,0.3,,JUL,SEP,,
Swainsona pterostylis,herb,perennial,,0.15,0.4,1.3,APR,OCT,,
Swainsona purpurea,herb,annual/perennial,,0.3,0.5,0.8,AUG,OCT,,
Swainsona rostellata,herb,perennial,,0.01,0.05,,JUL,SEP,,
Swainsona rotunda,herb,,,,,,AUG,AUG,,
Swainsona stenodonta,herb,annual,,0.3,1,,JUL,OCT,,
Swainsona tanamiensis,herb,perennial,,0.07,0.25,,APR,SEP,,
Swainsona tenuis,herb,perennial,,,,,JUL,SEP,,
Swainsona unifoliolata,herb,perennial,,,0.3,0.6,AUG,AUG,,
Swainsona villosa,herb,annual/perennial,,,0.2,,JUL,AUG,,
Symonanthus aromaticus,shrub,perennial assumed,,0.3,1.3,,AUG,NOV,,
Symonanthus bancroftii,shrub,perennial assumed,,0.15,0.25,,SEP,SEP,,
Synaphea acutiloba,shrub,perennial assumed,,0.3,1,,JUL,NOV,,
Synaphea aephynsa,shrub,perennial assumed,,,0.3,,JUL,OCT,,
Synaphea bifurcata,shrub,perennial assumed,,0.3,0.5,,SEP,NOV,,
Synaphea boyaginensis,shrub,perennial assumed,,,0.25,,SEP,OCT,,
Synaphea brachyceras,shrub,perennial assumed,,,0.3,,AUG,OCT,,
Synaphea canaliculata,shrub,perennial assumed,,,0.4,,AUG,OCT,,
Synaphea cervifolia,shrub,perennial assumed,,,0.3,,JUN,OCT,,
Synaphea constricta,shrub,perennial assumed,,0.2,0.5,,JUN,SEP,,
Synaphea cuneata,shrub,perennial assumed,,,,,SEP,OCT,,
