spp_abbrev,Family,Genus,Species,Growth_form,Raunkiaer_life_form,Height,Clonality,Physical_defence,Photosynthetic pathway,Specific_leaf_area,Laminar_unit_area,Leaf_phenology,Wood_density,Nutrient_uptake_strategy,Dispersal_mode,Seed_mass,Resprouting_capacity,Pollination_syndrome,Fruit_type,Lifespan,Maximum_propagule_longevity,1.1,1.2,2.1,2.2,3.1,3.2,4.2,5.2,unique families,unique. genera
Syzy_saye,Myrtaceae,Syzygium,sayeri  ,Tall tree,Phanerophyte,35,None,None,C3,,8262,,637,Mycorrhizal ,Endozoochory,920,Yes,Beetles,"Fleshy (berry, pome, pepo, etc.)",Perennial,Short-lived (weeks),1,0,1,0,0,0,1,1,,Rhysotoechia
Syzy_tier,Myrtaceae,Syzygium,tierneyanum  ,Tall tree,Phanerophyte,25,None,None,C3,,8892,,581,Mycorrhizal ,Endozoochory,100,Yes,Beetles,"Fleshy (berry, pome, pepo, etc.)",Perennial,Short-lived (weeks),0,1,0,0,0,0,0,0,,Sarcopteryx
Syzy_wils,Myrtaceae,Syzygium,wilsonii ssp. wilsonii,Shrub,Phanerophyte,6,None,None,C3,,6156,,733,Mycorrhizal ,Endozoochory,100,Yes,Beetles,"Fleshy (berry, pome, pepo, etc.)",Perennial,Short-lived (weeks),0,1,0,0,1,0,0,0,,Sarcotoechia
Tabe_pand,Apocynaceae,Tabernaemontana,pandacaqui  ,Shrub,Phanerophyte,4,None,None,C3,,6000,,764,Mycorrhizal ,Endozoochory,44,Yes,Butterflies,"Fleshy (berry, pome, pepo, etc.)",Perennial,Short persistent soil (1 to 5 years),0,1,1,1,1,1,0,0,Blechnaceae,Wrightia
Tape_anan,Zingiberaceae,Tapeinochilos,ananassae  ,Long basal,Phanerophyte,4,Clonal belowground,None,C3,,9240,,NA,Mycorrhizal ,Endozoochory,1.0,Yes,Hymenoptera (bees),"Fleshy (berry, pome, pepo, etc.)",Perennial,Short persistent soil (1 to 5 years),0,1,0,0,0,0,1,0,,
Term_seri,Combretaceae,Terminalia,sericocarpa  ,Tall tree,Phanerophyte,40,None,None,C3,,4860,,525,Mycorrhizal ,Endozoochory,80,Yes,Flies,"Fleshy (berry, pome, pepo, etc.)",Perennial,Short persistent soil (1 to 5 years),0,0,0,0,1,0,0,0,Oleaceae,Merremia
Tetr_daem,Dilleniaceae,Tetracera,daemeliana  ,Liana,Phanerophyte,NA,None,None,C3,,7440,,NA,Mycorrhizal ,Endozoochory,12,Yes,Hymenoptera (bees),"Dry dehiscent with fleshy reward  (e.g. aril, funicle, elaiosome, etc.)",Perennial,Intermediate (months to less than a year),0,0,0,0,0,0,0,1,Rhizophoraceae,Bridelia
Tetr_laxi,Monimiaceae,Tetrasynandra,laxiflora  ,Tall tree,Phanerophyte,20,None,None,C3,,11220,,497,Mycorrhizal ,Endozoochory,130,Yes,Beetles,"Fleshy (berry, pome, pepo, etc.)",Perennial,Short-lived (weeks),0,0,0,0,1,0,0,0,,Darlingia
Tetr_long,Monimiaceae,Tetrasynandra,longipes  ,Short tree,Phanerophyte,15,None,None,C3,,18720,,524,Mycorrhizal ,Endozoochory,200,Yes,Beetles,"Fleshy (berry, pome, pepo, etc.)",Perennial,Short-lived (weeks),0,0,1,0,1,0,1,1,,Grevillea
Tetr_nite,Vitaceae,Tetrastigma,nitens  ,Liana,Phanerophyte,NA,None,None,C3,,8640,,NA,Mycorrhizal ,Endozoochory,68,Yes,Flies,"Fleshy (berry, pome, pepo, etc.)",Perennial,Short persistent soil (1 to 5 years),0,0,0,1,0,1,1,0,,
Tetr_nord,Dilleniaceae,Tetracera,nordtiana  ,Liana,Phanerophyte,NA,None,None,C3,,3600,,436,Mycorrhizal ,Endozoochory,12,Yes,Hymenoptera (bees),"Dry dehiscent with fleshy reward  (e.g. aril, funicle, elaiosome, etc.)",Perennial,Intermediate (months to less than a year),0,0,0,0,0,0,0,1,Rubiaceae,Claoxylon
Tetr_pube,Monimiaceae,Tetrasynandra,pubescens  ,Short tree,Phanerophyte,9,None,None,C3,,3600,,525,Mycorrhizal ,Endozoochory,170,Yes,Beetles,"Fleshy (berry, pome, pepo, etc.)",Perennial,Short-lived (weeks),0,1,0,0,0,0,0,0,,Helicia
Timo_timo,Rubiaceae,Timonius,timon var. timon,Tall tree,Phanerophyte,20,None,None,C3,,6480,,525,Mycorrhizal ,Endozoochory,1.6,Yes,Flies,"Fleshy (berry, pome, pepo, etc.)",Perennial,Intermediate (months to less than a year),0,1,1,1,1,1,1,1,,
Tino_smil,Menispermaceae,Tinospora,smilacina  ,Liana,Phanerophyte,NA,None,None,C3,,18000,,NA,Mycorrhizal ,Endozoochory,30,Yes,Beetles,"Fleshy (berry, pome, pepo, etc.)",Perennial,Intermediate (months to less than a year),1,0,1,0,0,0,0,1,,Pittosporum
Toec_eryt,Sapindaceae,Toechima,erythrocarpum  ,Tall tree,Phanerophyte,20,None,None,C3,,22500,,645,Mycorrhizal ,Endozoochory,90,Yes,Hymenoptera (bees),"Dry dehiscent with fleshy reward  (e.g. aril, funicle, elaiosome, etc.)",Perennial,Short-lived (weeks),0,0,0,0,0,0,0,1,,
Tour_sarm,Boraginaceae,Tournefortia,sarmentosa  ,Liana,Phanerophyte,NA,None,None,C3,,9120,,NA,Mycorrhizal ,Endozoochory,21,Yes,Flies,"Fleshy (berry, pome, pepo, etc.)",Perennial,Intermediate (months to less than a year),0,1,0,1,0,0,1,1,Menispermaceae,Salacia
Tric_pent,Cucurbitaceae,Trichosanthes,pentaphylla  ,Liana,Phanerophyte,NA,None,None,C3,,6300,,NA,Mycorrhizal ,Endozoochory,86,No,Hymenoptera (bees),"Fleshy (berry, pome, pepo, etc.)",Perennial,Short persistent soil (1 to 5 years),0,1,1,1,1,1,0,0,Poaceae,Coveniella
Tric_plei,Tiliaceae,Trichospermum,pleiostigma  ,Tall tree,Phanerophyte,25,None,None,C3,,37800,,700,Mycorrhizal ,Endozoochory,0.72,Yes,Hymenoptera (bees),"Dry dehiscent or indehiscent with wing or plume (e.g. cypsela, samara, plumed achene, etc.)",Perennial,NA,1,0,0,0,0,0,0,0,,
Triu_rhom,Tiliaceae,Triumfetta,rhomboidea  ,Erect leafy,Phanerophyte,2,None,None,C3,,8580,,NA,Mycorrhizal ,Endozoochory,0.95,Yes,Hymenoptera (bees),Dry dehiscent or indehsicent without attractant or wing,Perennial,NA,0,0,0,0,1,0,0,0,,
Trop_scan,Moraceae,Trophis,scandens ssp. scandens,Liana,Phanerophyte,NA,None,None,C3,,5460,,NA,Mycorrhizal ,Endozoochory,86,Yes,Hymenoptera (bees),"Fleshy (berry, pome, pepo, etc.)",Perennial,NA,0,0,0,0,0,0,0,1,,Hedyotis
Tylo_bent,Apocynaceae,Tylophora,benthamii  ,Vine,Phanerophyte,NA,None,None,C3,,5760,,NA,Mycorrhizal ,Wind,19,Yes,Flies,"Dry dehiscent or indehiscent with wing or plume (e.g. cypsela, samara, plumed achene, etc.)",Perennial,Short persistent soil (1 to 5 years),0,0,0,0,0,0,1,0,Boraginaceae,Ilex
Vent_ecor,Rhamnaceae,Ventilago,ecorollata  ,Liana,Phanerophyte,NA,None,None,C3,,1440,,NA,Mycorrhizal ,Wind,21,Yes,Flies,"Dry dehiscent or indehiscent with wing or plume (e.g. cypsela, samara, plumed achene, etc.)",Perennial,Intermediate (months to less than a year),0,1,0,1,0,1,0,0,,
Vign_radi,Fabaceae,Vigna,radiata var. sublobata,Vine,Therophyte,NA,None,None,C3,,4800,,NA,Nitrogen fixer,Passive,3.3,Yes,Hymenoptera (bees),Dry dehiscent or indehsicent without attractant or wing,Perennial,Short-lived (weeks),0,0,0,0,0,0,0,1,,Amylotheca
Vitt_ensi,Vittariaceae,Vittaria,ensiformis  ,Epiphyte,Other ,0.5,Clonal belowground,None,C3,,1440,,NA,Mycorrhizal ,Wind,0.001,No,None,Spore,Perennial,Short-lived (weeks),0,1,0,0,0,0,0,0,,
Wrig_laev,Apocynaceae,Wrightia,laevis ssp. millgar,Tall tree,Phanerophyte,40,None,None,C3,,8640,,285,Mycorrhizal ,Wind,63,Yes,Butterflies,"Dry dehiscent or indehiscent with wing or plume (e.g. cypsela, samara, plumed achene, etc.)",Perennial,NA,0,0,0,0,0,0,0,1,Burseraceae,Epipremnum
Xant_octa,Xanthophyllaceae,Xanthophyllum,octandrum  ,Tall tree,Phanerophyte,25,None,None,C3,,8400,,653,No obvious special uptake strategy,Endozoochory,220,Yes,Hymenoptera (bees),"Fleshy (berry, pome, pepo, etc.)",Perennial,Short-lived (weeks),0,0,0,0,0,0,0,1,,
Xylo_macc,Annonaceae,Xylopia,maccreae  ,Tall tree,Phanerophyte,25,None,None,C3,,3600,,719,Mycorrhizal ,Endozoochory,150,Yes,Beetles,"Fleshy (berry, pome, pepo, etc.)",Perennial,Intermediate (months to less than a year),0,0,0,0,1,0,1,1,Araliaceae,Centella
