Genus_Species,family,Photosynthetic.pathway (confirmed using data from literature or TERN stable isotope analysis),Photosyntehtic.pathway (inferred from lineage),Photosynthetic pathway (combined),Source,Justification for inference based on lineage,Notes 
Rapistrum_rugosum,Brassicaceae,C3,,C3,TRY,,
Regelia_inops,Myrtaceae,U,C3,C3,Sage 2016 (and references therein); Watson and Dallwitz 1992 onwards,No evidence of a C4 species in this lineage; Other known species in this lineage (family) are C3,
Reichardia_tingitana,Asteraceae,C3,,C3,TRY,,
Rhagodia_candolleana,Chenopodiaceae,C3,,C3,TERN SIA,,
Rhagodia_crassifolia,Chenopodiaceae,C3,,C3,TERN SIA,,
Rhagodia_drummondii,Chenopodiaceae,C3,,C3,TERN SIA,,
Rhagodia_eremaea,Chenopodiaceae,C3,,C3,Pate et al 1998;TERN SIA,,
Rhagodia_latifolia,Chenopodiaceae,C3,,C3,TERN SIA,,
Rhagodia_parabolica,Chenopodiaceae,C3,,C3,TERN SIA,,
Rhagodia_preissii,Chenopodiaceae,C3,,C3,TERN SIA,,
Rhagodia_spinescens,Chenopodiaceae,C3,,C3,TRY,,
Rhagodia_ulicina,Chenopodiaceae,C3,,C3,TERN SIA,,
Rhodanthe_anthemoides,Asteraceae,U,C3,C3,Photosynthetic Pathway of other species in genus; Sage 2016 (and references therein); Watson and Dallwitz 1992 onwards,No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,
Rhodanthe_citrina,Asteraceae,C3,,C3,TERN SIA,,
Rhodanthe_corymbiflora,Asteraceae,C3,,C3,TERN SIA,,
Rhodanthe_diffusa,Asteraceae,C3,,C3,TERN SIA,,
Rhodanthe_floribunda,Asteraceae,C3,,C3,TERN SIA,,
Rhodanthe_haigii,Asteraceae,C3,,C3,TERN SIA,,
Rhodanthe_microglossa,Asteraceae,C3,,C3,TERN SIA,,
Rhodanthe_moschata,Asteraceae,C3,,C3,TERN SIA,,
Rhodanthe_pygmaea,Asteraceae,C3,,C3,TERN SIA,,
Rhodanthe_rubella,Asteraceae,U,C3,C3,Photosynthetic Pathway of other species in genus;Sage 2016 (and references therein),Photosynthetic Pathway of other species in genus,
Rhodanthe_stricta,Asteraceae,C3,,C3,TERN SIA,,
Rhodanthe_tietkensii,Asteraceae,C3,,C3,TERN SIA,,
Rhodanthe_uniflora,Asteraceae,C3,,C3,TERN SIA,,
Rhyncharrhena_linearis,Apocynaceae,C3,,C3,TERN SIA,,
Rhynchosia_minima,Fabaceae,C3,,C3,TRY,,
Rhynchospora_exserta,Cyperaceae,C4,,C4,TERN SIA,,
Rhynchospora_longisetis,Cyperaceae,C4,,C4,TRY,,
Richea_continentis,Eriaceae,U,C3,C3,Sage 2016 (and references therein); Watson and Dallwitz 1992 onwards,No evidence of a C4 species in this lineage; Other known species in this lineage (family) are C3,
Rosa_canina,Rosaceae,C3,,C3,TRY,,
Rostraria_cristata,Poaceae,C3,,C3,TRY,,
Rostraria_pumila,Poaceae,C3,,C3,TERN SIA,,
Rubus_anglocandicans,Rosaceae,U,C3,C3,Sage 2016 (and references therein); Watson and Dallwitz 1992 onwards,No evidence of a C4 species in this lineage; Other known species in this lineage (family) are C3,
Rubus_laudatus,Rosaceae,U,C3,C3,Sage 2016 (and references therein); Watson and Dallwitz 1992 onwards,No evidence of a C4 species in this lineage; Other known species in this lineage (family) are C3,
Rutidosis_helichrysoides,Asteraceae,U,C3,C3,Photosynthetic Pathway of other species in genus;Sage 2016 (and references therein),Photosynthetic Pathway of other species in genus,
Rytidosperma_caespitosum,Poaceae,C3,,C3,TRY,,
Rytidosperma_erianthum,Poaceae,C3,,C3,TERN SIA,,
Rytidosperma_geniculatum,Poaceae,C3,,C3,TERN SIA,,
Rytidosperma_nudiflorum,Poaceae,U,C3,C3,Photosynthetic Pathway of other species in genus; Sage 2016 (and references therein); Watson and Dallwitz 1992 onwards,,
Rytidosperma_oreophilum,Poaceae,U,C3,C3,Photosynthetic Pathway of other species in genus; Sage 2016 (and references therein); Watson and Dallwitz 1992 onwards,,
Rytidosperma_pallidum,Poaceae,C3,,C3,TERN SIA,,
Rytidosperma_pilosum,Poaceae,C3,,C3,TERN SIA,,
Rytidosperma_racemosum,Poaceae,C3,,C3,TRY,,
Rytidosperma_setaceum,Poaceae,C3,,C3,TERN SIA,,
Sacciolepis_myosuroides,Poaceae,C3,,C3,TERN SIA,,
Salix_cinerea,Salicaceae,C3,,C3,TRY,,
Salsola_australis,Chenopodiaceae,C4,,C4,TRY,,
Salsola_kali,Chenopodiaceae,C4,,C4,TRY,,Also found in Pate et al 1998
Salsola_tragus,Chenopodiaceae,C4,,C4,TRY,,
Salvia_verbenaca,Lamiaceae,C3,,C3,TRY,,
Salvia_verbenacea,Lamiaceae,U,C3,C3,Sage 2016 (and references therein); Watson and Dallwitz 1992 onwards,No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,
Santalum_acuminatum,Santalaceae,C3,,C3,TRY,,
Santalum_lanceolatum,Santalaceae,C3,,C3,TRY,Pate et al 1998,
Santalum_spicatum,Santalaceae,C3,,C3,TRY,,
Sarcozona_praecox,Aizoaceae,C3,,C3,TERN SIA,,
Sarga_plumosum,Poaceae,C4,,C4,TERN SIA,,
Sarga_timorense,Poaceae,C4,,C4,TERN SIA,,
Scabiosa_atropurpurea,Caprifoliaceae,C3,,C3,TRY,,
Scaevola_albida,Goodeniaceae,C3,,C3,TERN SIA,,
Scaevola_amblyanthera,Goodeniaceae,U,C3,C3,Sage 2016 (and references therein); Watson and Dallwitz 1992 onwards,No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,
Scaevola_browniana,Goodeniaceae,U,C3,C3,Sage 2016 (and references therein); Watson and Dallwitz 1992 onwards,No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,
Scaevola_crassifolia,Goodeniaceae,U,C3,C3,Sage 2016 (and references therein); Watson and Dallwitz 1992 onwards,No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,
Scaevola_depauperata,Goodeniaceae,U,C3,C3,Sage 2016 (and references therein); Watson and Dallwitz 1992 onwards,No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,
Scaevola_humilis,Goodeniaceae,U,C3,C3,Sage 2016 (and references therein); Watson and Dallwitz 1992 onwards,No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,
Scaevola_parvibarbata,Goodeniaceae,C3,,C3,TERN SIA,,
Scaevola_parviflora,Goodeniaceae,U,C3,C3,Sage 2016 (and references therein); Watson and Dallwitz 1992 onwards,No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,
Scaevola_parvifolia,Goodeniaceae,U,C3,C3,Sage 2016 (and references therein); Watson and Dallwitz 1992 onwards,No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,
Scaevola_ramosissima,Goodeniaceae,U,C3,C3,Sage 2016 (and references therein); Watson and Dallwitz 1992 onwards,No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,
Scaevola_restiacea,Goodeniaceae,U,C3,C3,Sage 2016 (and references therein); Watson and Dallwitz 1992 onwards,No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,
Scaevola_spinescens,Goodeniaceae,C3,,C3,TERN SIA,,
Schismus_barbatus,Poaceae,C3,,C3,TRY,,
Schizachyrium_fragile,Poaceae,C3,,C3,TERN SIA,,
Schizachyrium_pachyarthron,Poaceae,C4,,C4,TERN SIA,,
Schizachyrium_pseudeulalia,Poaceae,C4,,C4,TERN SIA,,
Schoenia_ayersii,Asteraceae,C3,,C3,TERN SIA,,
Schoenus_apogon,Cyperaceae,C3,,C3,TRY,,
Schoenus_brevisetis,Cyperaceae,C3,,C3,TERN SIA,,
Schoenus_caespititius,Cyperaceae,C3,,C3,TERN SIA,,
Schoenus_calcatus,Cyperaceae,U,C3,C3,Bruhl and Wilson 2007,No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,
Schoenus_clandestinus,Cyperaceae,U,C3,C3,Bruhl and Wilson 2007,No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,
Schoenus_curvifolius,Cyperaceae,C3,,C3,TRY,,
Schoenus_ericetorum,Cyperaceae,C3,,C3,TRY,,
Schoenus_hexandrus,Cyperaceae,C3,,C3,TERN SIA,,
Schoenus_imberbis,Cyperaceae,C3,,C3,TRY,,
Schoenus_melanostachys,Cyperaceae,C3,,C3,TRY,,
Schoenus_nanus,Cyperaceae,U,C3,C3,Bruhl and Wilson 2007,No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,
Schoenus_pleiostemoneus,Cyperaceae,U,C3,C3,Bruhl and Wilson 2007,No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,
Schoenus_subaphyllus,Cyperaceae,C3,,C3,TRY,,
Schoenus_sublateralis,Cyperaceae,C3,,C3,TERN SIA,,
Scholtzia_involucrata,Myrtaceae,C3,,C3,TRY,,
Scleranthus_biflorus,Caryophyllaceae,C3,,C3,TRY,,
Scleranthus_brockiei,Caryophyllaceae,U,C3,C3,Sage 2016 (and references therein),No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,
Scleranthus_fasciculatus,Caryophyllaceae,U,C3,C3,Sage 2016 (and references therein),No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,
Scleranthus_pungens,Caryophyllaceae,C3,,C3,TERN SIA,,
Scleranthus_singuliflorus,Caryophyllaceae,C3,,C3,TRY,,
Scleria_brownii,Cyperaceae,C3,,C3,TRY,,
Scleria_rugosa,Cyperaceae,C3,,C3,TRY,,
Scleria_sphacelata,Cyperaceae,C3,,C3,TRY,,
Sclerolaena_articulata,Chenopodiaceae,C3,,C3,TERN SIA,,
Sclerolaena_bicornis,Chenopodiaceae,C3,,C3,TERN SIA,,
Sclerolaena_brachyptera,Chenopodiaceae,C3,,C3,TRY,,
Sclerolaena_brevifolia,Chenopodiaceae,C3,,C3,TERN SIA,,
Sclerolaena_calcarata,Chenopodiaceae,C3,,C3,TERN SIA,,
Sclerolaena_constricta,Chenopodiaceae,C3,,C3,TERN SIA,,
Sclerolaena_convexula,Chenopodiaceae,C3,,C3,TERN SIA,,
Sclerolaena_cornishiana,Chenopodiaceae,C3,,C3,TERN SIA,,
Sclerolaena_costata,Chenopodiaceae,C3,,C3,TERN SIA,,
Sclerolaena_cuneata,Chenopodiaceae,C3,,C3,TERN SIA,,
Sclerolaena_decurrens,Chenopodiaceae,C3,,C3,TERN SIA,,
Sclerolaena_densiflora,Chenopodiaceae,C3,,C3,TERN SIA,,
Sclerolaena_deserticola,Chenopodiaceae,C3,,C3,TERN SIA,,
Sclerolaena_diacantha,Chenopodiaceae,C3,,C3,TERN SIA,,
Sclerolaena_divaricata,Chenopodiaceae,C3,,C3,TRY,,
Sclerolaena_drummondii,Chenopodiaceae,C3,,C3,TERN SIA,,
Sclerolaena_eriacantha,Chenopodiaceae,C3,,C3,TERN SIA,,
Sclerolaena_fontinalis,Chenopodiaceae,C3,,C3,TERN SIA,,
Sclerolaena_fusiformis,Chenopodiaceae,U,C3,C3,Photosynthetic Pathway of other species in genus; Sage 2016 (and references therein); Watson and Dallwitz 1992 onwards,No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,
Sclerolaena_glabra,Chenopodiaceae,C3,,C3,TERN SIA,,
Sclerolaena_holtiana,Chenopodiaceae,C3,,C3,TERN SIA,,
Sclerolaena_intricata,Chenopodiaceae,U,C3,C3,Photosynthetic Pathway of other species in genus; Sage 2016 (and references therein); Watson and Dallwitz 1992 onwards,No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,
Sclerolaena_johnsonii,Chenopodiaceae,C3,,C3,TERN SIA,,
Sclerolaena_lanicuspis,Chenopodiaceae,C3,,C3,TERN SIA,,
Sclerolaena_limbata,Chenopodiaceae,C3,,C3,TERN SIA,,
Sclerolaena_longicuspis,Chenopodiaceae,C3,,C3,TERN SIA,,
Sclerolaena_muricata,Chenopodiaceae,C3,,C3,TRY,,
Sclerolaena_obliquicuspis,Chenopodiaceae,C3,,C3,TERN SIA,,
Sclerolaena_parallelicuspis,Chenopodiaceae,U,C3,C3,Photosynthetic Pathway of other species in genus; Sage 2016 (and references therein); Watson and Dallwitz 1992 onwards,No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,
Sclerolaena_parviflora,Chenopodiaceae,C3,,C3,TERN SIA,,
Sclerolaena_patenticuspis,Chenopodiaceae,C3,,C3,TERN SIA,,
Sclerolaena_stelligera,Chenopodiaceae,C3,,C3,TRY,,
Sclerolaena_tetracuspis,Chenopodiaceae,U,C3,C3,Photosynthetic Pathway of other species in genus; Sage 2016 (and references therein); Watson and Dallwitz 1992 onwards,No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,
Sclerolaena_tricuspis,Chenopodiaceae,C3,,C3,TRY,,
Sclerolaena_uniflora,Chenopodiaceae,C3,,C3,TERN SIA,,
Sclerolaena_ventricosa,Chenopodiaceae,C3,,C3,TERN SIA,,
Sehima_nervosum,Poaceae,C4,,C4,TRY,,
Senecio_anethifolius,Asteraceae,C3,,C3,TERN SIA,,
Senecio_cunninghamii,Asteraceae,C3,,C3,TERN SIA,,CAM confirmed in this genus (Watson and Dallwitz 1992); more detailed physiological testing could help provide more detail 
Senecio_dolichocephalus,Asteraceae,C3,,C3,TERN SIA,,CAM confirmed in this genus (Watson and Dallwitz 1992); more detailed physiological testing could help provide more detail 
Senecio_glossanthus,Asteraceae,C3,,C3,TRY,,CAM confirmed in this genus (Watson and Dallwitz 1992); more detailed physiological testing could help provide more detail 
Senecio_gregorii,Asteraceae,C3,,C3,TERN SIA,,CAM confirmed in this genus (Watson and Dallwitz 1992); more detailed physiological testing could help provide more detail 
Senecio_lanibracteus,Asteraceae,C3,,C3,TERN SIA,,CAM confirmed in this genus (Watson and Dallwitz 1992); more detailed physiological testing could help provide more detail 
Senecio_magnificus,Asteraceae,C3,,C3,TRY,,CAM confirmed in this genus (Watson and Dallwitz 1992); more detailed physiological testing could help provide more detail 
Senecio_phelleus,Asteraceae,C3,,C3,TERN SIA,,CAM confirmed in this genus (Watson and Dallwitz 1992); more detailed physiological testing could help provide more detail 
Senecio_picridioides,Asteraceae,C3,,C3,TERN SIA,,CAM confirmed in this genus (Watson and Dallwitz 1992); more detailed physiological testing could help provide more detail 
Senecio_pterophorus,Asteraceae,C3,,C3,TERN SIA,,CAM confirmed in this genus (Watson and Dallwitz 1992); more detailed physiological testing could help provide more detail 
Senecio_quadridentatus,Asteraceae,C3,,C3,TRY,,CAM confirmed in this genus (Watson and Dallwitz 1992); more detailed physiological testing could help provide more detail 
Senecio_runcinifolius,Asteraceae,C3,,C3,TRY,,CAM confirmed in this genus (Watson and Dallwitz 1992); more detailed physiological testing could help provide more detail 
Senecio_spanomerus,Asteraceae,C3,,C3,TERN SIA,,CAM confirmed in this genus (Watson and Dallwitz 1992); more detailed physiological testing could help provide more detail 
Senna_artemisioides,Fabaceae,C3,,C3,TRY,,
Senna_artemisioides,Fabaceae,C3,,C3,TRY,,
Senna_cardiosperma,Fabaceae,U,C3,C3,Sage 2016 (and references therein); Watson and Dallwitz 1992 onwards,No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,
Senna_charlesiana,Fabaceae,C3,,C3,TRY,,
Senna_glutinosa,Fabaceae,C3,,C3,TRY,,
Senna_hamersleyensis,Fabaceae,U,C3,C3,Sage 2016 (and references therein); Watson and Dallwitz 1992 onwards,No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,
Senna_notabilis,Fabaceae,C3,,C3,TRY,,
Senna_phyllodinea,Fabaceae,U,C3,C3,Sage 2016 (and references therein); Watson and Dallwitz 1992 onwards,No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,
Senna_pleurocarpa,Fabaceae,C3,,C3,TRY,,
Senna_stowardii,Fabaceae,U,C3,C3,Sage 2016 (and references therein); Watson and Dallwitz 1992 onwards,No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,
Seringia_nephrosperma,Malvaceae,U,C3,C3,Sage 2016 (and references therein); Watson and Dallwitz 1992 onwards,No evidence of a C4 species in this lineage; Other known species in this lineage (family) are C3,
Sesbania_cannabina,Fabaceae,C3,,C3,TRY,,
Sesuvium_portulacastrum,Aizoaceae,C3,,C3,TRY,,
Setaria_apiculata,Poaceae,C4,,C4,TERN SIA,,
Setaria_dielsii,Poaceae,C4,,C4,TERN SIA,,
Setaria_surgens,Poaceae,C4,,C4,TERN SIA,,
Setaria_verticillata,Poaceae,C4,,C4,Taylor et al. 2010; Osborne et al. 2014,,Potential error with TRY database. This species was listed as C3 in TRY but in other literature it is C4 
Sida_ammophila,Malvaceae,C3,,C3,TRY,,
Sida_argillacea,Malvaceae,U,C3,C3,Sage 2016 (and references therein); Watson and Dallwitz 1992 onwards,No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,
Sida_arsiniata,Malvaceae,U,C3,C3,Sage 2016 (and references therein); Watson and Dallwitz 1992 onwards,No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,
Sida_brachypoda,Malvaceae,U,C3,C3,Sage 2016 (and references therein); Watson and Dallwitz 1992 onwards,No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,
Sida_calyxhymenia,Malvaceae,C3,,C3,Pate et al 1998,,
Sida_cordifolia,Malvaceae,C3,,C3,TRY,,
Sida_cunninghamii,Malvaceae,C3,,C3,TRY,,
Sida_ectogama,Malvaceae,U,C3,C3,Sage 2016 (and references therein); Watson and Dallwitz 1992 onwards,No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,
Sida_fibulifera,Malvaceae,C3,,C3,TRY,,
Sida_goniocarpa,Malvaceae,U,C3,C3,Sage 2016 (and references therein); Watson and Dallwitz 1992 onwards,No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,
Sida_hackettiana,Malvaceae,U,C3,C3,Sage 2016 (and references therein); Watson and Dallwitz 1992 onwards,No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,
Sida_intricata,Malvaceae,C3,,C3,TERN SIA,,
Sida_petrophila,Malvaceae,C3,,C3,TRY,,
Sida_platycalyx,Malvaceae,C3,,C3,TRY,,
Sida_rohlenae,Malvaceae,C3,,C3,TRY,,
Sida_spenceriana,Malvaceae,U,C3,C3,Sage 2016 (and references therein); Watson and Dallwitz 1992 onwards,No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,
Sida_spinosa,Malvaceae,C3,,C3,TRY,,
Sida_spodochroma,Malvaceae,U,C3,C3,Sage 2016 (and references therein); Watson and Dallwitz 1992 onwards,No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,
Sida_trichopoda,Malvaceae,C3,,C3,TERN SIA,,
Sigesbeckia_orientalis,Asteraceae,C3,,C3,TRY,,
Sisymbrium_erysimoides,Brassicaceae,U,C3,C3,Sage 2016 (and references therein); Watson and Dallwitz 1992 onwards,No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,
Sisymbrium_irio,Brassicaceae,C3,,C3,TRY,,
Smilax_glyciphylla,Smilacaceae,C3,,C3,TRY,,
Solanum_centrale,Solanaceae,U,C3,C3,Sage 2016 (and references therein); Watson and Dallwitz 1992 onwards,No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,
Solanum_chenopodinum,Solanaceae,U,C3,C3,Sage 2016 (and references therein); Watson and Dallwitz 1992 onwards,No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,
Solanum_cleistogamum,Solanaceae,C3,,C3,TRY,,
Solanum_elatius,Solanaceae,U,C3,C3,Sage 2016 (and references therein); Watson and Dallwitz 1992 onwards,No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,
Solanum_ellipticum,Solanaceae,C3,,C3,TRY,,
Solanum_esuriale,Solanaceae,C3,,C3,TRY,,
Solanum_ferocissimum,Solanaceae,C3,,C3,TRY,,
Solanum_lasiophyllum,Solanaceae,C3,,C3,TRY,Pate et al 1998,
Solanum_nigrum,Solanaceae,C3,,C3,TRY,,
Solanum_orbiculatum,Solanaceae,C3,,C3,TRY,Pate et al 1998,
Solanum_petrophilum,Solanaceae,C3,,C3,TERN SIA,,
Solanum_pugiunculiferum,Solanaceae,U,C3,C3,Sage 2016 (and references therein); Watson and Dallwitz 1992 onwards,No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,
Solanum_quadriloculatum,Solanaceae,C3,,C3,TRY,,
Solanum_sturtianum,Solanaceae,C3,,C3,TRY,,
Sonchus_oleraceus,Asteraceae,C3,,C3,TRY,,
Sorghum_intrans,Poaceae,C4,,C4,TRY,,
Sorghum_plumosum,Poaceae,C4,,C4,TRY,,
Sorghum_timorense,Poaceae,C4,,C4,TERN SIA,,
Sowerbaea_laxiflora,Asparagaceae,U,C3,C3,Sage 2016 (and references therein); Watson and Dallwitz 1992 onwards,No evidence of a C4 species in this lineage; Other known species in this lineage (family) are C3,
Spergularia_diandra,Caryophyllaceae,C3,,C3,TRY,,
Spermacoce_aequabilis,Rubiaceae,U,C3,C3,Guillaume et al 2001; Sage 2016 (and references therein); Watson and Dallwitz 1992 onwards,No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,
Spermacoce_brachystema,Rubiaceae,U,C3,C3,Guillaume et al 2001; Sage 2016 (and references therein); Watson and Dallwitz 1992 onwards,No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,
Spermacoce_constricta,Rubiaceae,U,C3,C3,Guillaume et al 2001; Sage 2016 (and references therein); Watson and Dallwitz 1992 onwards,No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,
Spermacoce_dolichosperma,Rubiaceae,U,C3,C3,Guillaume et al 2001; Sage 2016 (and references therein); Watson and Dallwitz 1992 onwards,No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,
Spermacoce_erectiloba,Rubiaceae,U,C3,C3,Guillaume et al 2001; Sage 2016 (and references therein); Watson and Dallwitz 1992 onwards,No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,
Spermacoce_fabiformis,Rubiaceae,U,C3,C3,Guillaume et al 2001; Sage 2016 (and references therein); Watson and Dallwitz 1992 onwards,No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,
Spermacoce_hillii,Rubiaceae,U,C3,C3,Guillaume et al 2001; Sage 2016 (and references therein); Watson and Dallwitz 1992 onwards,No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,
Spermacoce_leptoloba,Rubiaceae,U,C3,C3,Guillaume et al 2001; Sage 2016 (and references therein); Watson and Dallwitz 1992 onwards,No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,
Spermacoce_occultiseta,Rubiaceae,U,C3,C3,Guillaume et al 2001; Sage 2016 (and references therein); Watson and Dallwitz 1992 onwards,No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,
Sphaerolobium_minus,Fabaceae,C3,,C3,TRY,,
Sphagnum_cristatum,Sphagnaceae,C3,,C3,TRY,,
Sporobolus_actinocladus,Poaceae,C4,,C4,TRY,,
Sporobolus_australasicus,Poaceae,C4,,C4,TRY,,
Sporobolus_caroli,Poaceae,C4,,C4,TRY,,
Sporobolus_mitchellii,Poaceae,C4,,C4,TRY,,
Sporobolus_pulchellus,Poaceae,C4,,C4,TRY,,
Sporobolus_virginicus,Poaceae,C4,,C4,TRY,,
Spyridium_parvifolium,Rhamnaceae,C3,,C3,TRY,,
Spyridium_phlebophyllum,Rhamnaceae,U,C3,C3,Sage 2016 (and references therein),No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,
Spyridium_thymifolium,Rhamnaceae,U,C3,C3,Sage 2016 (and references therein),No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,
Stachys_arvensis,Lamiaceae,C3,,C3,TRY,,
Stellaria_pungens,Caryophyllaceae,C3,,C3,TRY,,
Stenanthemum_stipulosum,Rhamnaceae,U,C3,C3,Sage 2016 (and references therein),No evidence of a C4 species in this lineage; Other known species in this lineage (family) are C3,
Stenopetalum_anfractum,Brassicaceae,U,C3,C3,Sage 2016 (and references therein); Watson and Dallwitz 1992 onwards; Pate et al 1998,No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,
Stenopetalum_lineare,Brassicaceae,U,C3,C3,Sage 2016 (and references therein); Watson and Dallwitz 1992 onwards; Pate et al 1998,No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,
Stenopetalum_nutans,Brassicaceae,U,C3,C3,Sage 2016 (and references therein); Watson and Dallwitz 1992 onwards; Pate et al 1998,No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,
Stirlingia_latifolia,Proteaceae,C3,,C3,TRY,,
Streptoglossa_adscendens,Asteraceae,C3,,C3,TERN SIA,,
Streptoglossa_bubakii,Asteraceae,C3,,C3,TERN SIA,,
Streptoglossa_odora,Asteraceae,C3,,C3,TRY,,
Stylidium_arenicola,Stylidiaceae,U,C3,C3,Sage 2016 (and references therein); Watson and Dallwitz 1992 onwards,No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,
Stylidium_ciliatum,Stylidiaceae,U,C3,C3,Sage 2016 (and references therein); Watson and Dallwitz 1992 onwards,No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,
Stylidium_crassifolium,Stylidiaceae,U,C3,C3,Sage 2016 (and references therein); Watson and Dallwitz 1992 onwards,No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,"Stylidium lineare is C3, only one in TRY database"
Stylidium_dielsianum,Stylidiaceae,U,C3,C3,Sage 2016 (and references therein); Watson and Dallwitz 1992 onwards,No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,
Stylidium_graminifolium,Stylidiaceae,U,C3,C3,Sage 2016 (and references therein); Watson and Dallwitz 1992 onwards,No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,
Stylidium_humphreysii,Stylidiaceae,U,C3,C3,Sage 2016 (and references therein); Watson and Dallwitz 1992 onwards,No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,
Stylidium_montanum,Stylidiaceae,U,C3,C3,Sage 2016 (and references therein); Watson and Dallwitz 1992 onwards,No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,
Stylidium_piliferum,Stylidiaceae,U,C3,C3,Sage 2016 (and references therein); Watson and Dallwitz 1992 onwards,No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,
Stylidium_repens,Stylidiaceae,U,C3,C3,Sage 2016 (and references therein); Watson and Dallwitz 1992 onwards,No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,
Stylidium_scandens,Stylidiaceae,U,C3,C3,Sage 2016 (and references therein); Watson and Dallwitz 1992 onwards,No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,
Stylidium_semipartitum,Stylidiaceae,U,C3,C3,Sage 2016 (and references therein); Watson and Dallwitz 1992 onwards,No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,
Stylobasium_spathulatum,Surianaceae,C3,,C3,TRY,,
Stylosanthes_hamata,Fabaceae,C3,,C3,TRY,,
Stylosanthes_scabra,Fabaceae,C3,,C3,TRY,,
Stylosanthes_viscosa,Fabaceae,C3,,C3,TRY,,
Styphelia_laeta,Ericaceae,C3,,C3,TRY,,
Swainsona_affinis,Fabaceae,U,C3,C3,Sage 2016 (and references therein); Watson and Dallwitz 1992 onwards,No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,
Swainsona_burkei,Fabaceae,U,C3,C3,Sage 2016 (and references therein); Watson and Dallwitz 1992 onwards,No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,
