Current Scientific Name,Species Code,Legal Status,Exotic,2010 Update,Notes on Name / Synonym as used in source reference,Family,Group,Life form,Fireresponse,Comments on regeneration,Resprout location,Seed storage,Seed dispersal mechanism,Seed dispersal distance,Seed weight / size,Seed viability,Dormancy,Germination cue,Fecundity,Seed predation,Post-fire recruitment,Establishment,Post-fire flowering,Flowering time,flowering_time_edited,fruiting_time_edited,Primary juvenile period,Secondary juvenile period,Seed set,Seed-bank developed,Fire tolerance,Life span,Seed-bank longevity,"""Maturity"" (from source)","""Extinction"" (from source)","""Rec. min fire interval"" (from source)","""Rec. max fire interval"" (from source)",NC,CC,SC,NT,CT,ST,NWS,CWS,SWS,NWP,SWP,NFWP,SFWP,Distribution: extra NSW,Vegetation,Rainforest,Wet Sclerophyll Forest (Shrubby),Wet Sclerophyll Forest (Grassy),Grassy Woodland,Grassland,Dry Sclerophyll Forest (Shrub/Grass),Dry Sclerophyll Forest (Shrubby),Heathland,Alpine Complex,Freshwater Wetland,Forested Wetlands,Saline Wetland,Semi-arid Woodland,Arid & Semi-arid Shrubland,NFRR data,Additional fire response data,Other data,VA group,Sensitivity: frequent,Sensitivity: infrequent,Minimum maturity,Maximum maturity,Lifespan > than,Lifespan < than,Lifespan + seed-bank,VA Data,Establishment Data,Maturity Data,Lifespan Data,Lifespan 2 Data,Seedbank Data,time_to_flowering_min,time_to_flowering_max,time_to_flowering_mean,peak_flowering_min,peak_flowering_max,peak_flowering_mean,time_to_fruiting_min,time_to_fruiting_max,time_to_fruiting_mean
Olearia magniflora,1599,NA,NA,NA,NA,Asteraceae,D,S,S,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Jul-Jan,Jul-Jan,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-,-,-,-,-,-,-,-,-,-,-,1,1,V SA WA,Mallee W H,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,8C,NA,NA,C,1,4,NA,NA,NA,NA,NA,2,4,4,4,5,4,NA,NA,NA,NA,NA,NA,NA,NA,NA
Olearia microphylla,1601,NA,NA,c,NA,Asteraceae,D,S,Sr,"Occassional resprouting, Killed by moderate-high intensity fire, Soil stored seed probably destroyed by high intensity fire (1)",basal,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,I,NA,Jun-Oct,Jun-Oct,NA,3-Feb,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1,-,1,-,-,-,Q,SF H,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,8BX,V-134,1; 138,CI,1,1,NA,NA,NA,NA,NA,2,1,4,4,5,4,NA,NA,NA,NA,NA,NA,NA,NA,NA
Olearia muelleri,1603,NA,NA,NA,NA,Asteraceae,D,S,S,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Jul-Jan,Jul-Jan,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-,-,-,-,-,-,-,-,-,-,-,1,1,V NT SA WA,Mallee W,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,8C,NA,NA,C,1,4,NA,NA,NA,NA,NA,2,4,4,4,5,4,NA,NA,NA,NA,NA,NA,NA,NA,NA
Olearia myrsinoides,1604,NA,NA,c,NA,Asteraceae,D,S,R,Possibly resprouts from root suckers (1),basal buds,NA,NA,NA,NA,NA,NA,NA,NA,NA,<1 seedling per adult,T,NA,Nov-Mar,Nov-Mar,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-,-,-,-,-,1,-,-,-,-,-,-,-,V T,G W DSF Swamp,NA,NA,NA,1,1,1,1,NA,NA,1,NA,NA,NA,NA,NA,IV-1?; IX-100; V-134,1; 100; 136,WT,4,4,NA,NA,NA,NA,NA,1,4,4,4,5,4,NA,NA,NA,NA,NA,NA,NA,NA,NA
Olearia nernstii,1605,NA,NA,n,NA,Asteraceae,D,S,S,NA,NA,soil,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Jul-Nov,Jul-Nov,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,-,1,1,-,-,-,-,-,-,-,-,Q,sclerophyll forest OW,NA,1,NA,1,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,II-134,NA,CI,1,1,4,NA,NA,NA,NA,2,2,4,4,5,4,NA,NA,NA,NA,NA,NA,NA,NA,NA
Olearia oppositifolia,8635,NA,NA,n,NA,Asteraceae,D,S,R,NA,basal buds,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Nov-Jan,Nov-Jan,NA,7,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,-,-,1,-,-,-,-,-,-,-,-,-,NA,DSF WSF,NA,1,1,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,V-134,NA,V,4,4,3,NA,NA,NA,NA,2,4,4,4,5,4,NA,NA,3,NA,NA,NA,NA,NA,NA
Olearia phlogopappa,1607,NA,NA,c,NA,Asteraceae,D,S,S/R,NA,basal,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,T,NA,Nov-Mar,Nov-Mar,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,-,-,-,-,-,-,-,V T,W SF H,NA,NA,NA,NA,NA,NA,1,1,1,NA,NA,NA,NA,NA,8W 8WA,V-77; II-134,48; 77,CT,1,3,2,NA,NA,NA,NA,2,1,1,4,5,4,NA,NA,NA,NA,NA,NA,NA,NA,NA
Olearia phlogopappa subsp. flavescens,11302,NA,NA,n,Not in PlantNET,Asteraceae,D,S,R,NA,NA,transient,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Dec-Feb,Dec-Feb,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-,-,-,-,-,-,-,-,-,-,-,-,-,V,W H,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,V,4,4,NA,NA,NA,NA,NA,2,4,4,4,5,4,NA,NA,NA,NA,NA,NA,NA,NA,NA
Olearia pimeleoides,1608,NA,NA,NA,NA,Asteraceae,D,S,R,"30% survival, 70% survival after burning the next year (133)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,May-Aug,May-Aug,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-,-,-,-,-,-,-,1,1,1,1,1,1,Q V SA WA,OW DSF TS,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,1,9FO(1),NA,NA,V,4,4,NA,NA,NA,NA,NA,1,4,4,4,5,4,NA,NA,NA,NA,NA,NA,NA,NA,NA
Olearia ramosissima,1610,NA,NA,n,NA,Asteraceae,D,S,R,NA,basal buds,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Jun-Aug,Jun-Aug,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-,1,1,1,1,-,1,-,-,1,1,-,-,Q  WA,NA,NA,NA,1,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,V-134,NA,V,4,4,NA,NA,NA,NA,NA,1,4,4,4,5,4,NA,NA,NA,NA,NA,NA,NA,NA,NA
Olearia ramulosa,1611,NA,NA,NA,NA,Asteraceae,D,S,Sr,"Vegetative response at 17% of sites (78), Post-fire pioneer (83), seeder in subalpine treeless plain",NA,persistent soil,wind,NA,NA,NA,NA,heat,NA,NA,observed at 83% of sites (78),I,NA,Oct-May,Oct-May,NA,2,NA,NA,NA,NA,short,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,V T SA,SF,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,8W 8MO 9CH 8WA,IV-38b; Vb-38d; VIII-78; II-83,1; 48; 78; 83,GI,1,1,2,NA,S,NA,20,3,1,1,2,4,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
Olearia rosmarinifolia,1612,NA,NA,c,NA,Asteraceae,D,S,R,NA,basal buds,NA,NA,NA,NA,NA,NA,NA,NA,NA,<1 seedling per adult,NA,NA,Oct-Dec,Oct-Dec,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-,-,-,1,1,1,1,1,-,-,-,-,-,Q,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,IX-100; V-134,100,V,4,4,NA,NA,NA,NA,NA,1,4,4,4,5,4,NA,NA,NA,NA,NA,NA,NA,NA,NA
Olearia rudis,1613,NA,NA,NA,NA,Asteraceae,D,S,S,NA,NA,NA,NA,NA,NA,90%,NA,NA,NA,NA,NA,NA,NA,Jul-Sep,Jul-Sep,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-,-,-,-,-,-,-,-,-,1,1,-,1,V SA WA,Mallee W,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,8C,NA,93b,C,1,4,NA,NA,NA,NA,NA,2,4,4,4,5,4,NA,NA,NA,NA,NA,NA,NA,NA,NA
Olearia secundiflorus,n/a,NA,NA,n,Not in PlantNET,Asteraceae,D,S,S/R,NA,NA,transient,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-,-,-,-,-,-,-,-,-,-,-,-,-,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,V,4,4,NA,NA,NA,NA,NA,2,4,4,4,5,4,NA,NA,NA,NA,NA,NA,NA,NA,NA
Olearia sp. aff. elliptica,12597,NA,NA,n,Not in PlantNET,Asteraceae,D,S,R,NA,basal buds,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-,-,-,-,-,-,-,-,-,-,-,-,-,NA,NA,NA,NA,1,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,V-134,NA,V,4,4,NA,NA,NA,NA,NA,2,4,4,4,5,4,NA,NA,NA,NA,NA,NA,NA,NA,NA
Olearia stellulata,9372,NA,NA,NA,Olearia lirata,Asteraceae,D,S,Sr,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Aug-Jan,Aug-Jan,NA,2?,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-,1,1,1,1,1,-,-,-,-,-,-,-,V T,SF,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,8CN 8W 9M 8WA,NA,48,C,1,4,2,NA,NA,NA,NA,2,4,2,4,5,4,NA,NA,NA,NA,NA,NA,NA,NA,NA
Olearia subspicata,1615,NA,NA,NA,NA,Asteraceae,D,S,S,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Aug-Oct,Aug-Oct,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-,-,-,-,-,-,-,-,-,1,1,1,1,Q V NT SA WA,S Mallee,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,8CN,NA,NA,C,1,4,NA,NA,NA,NA,NA,2,4,4,4,5,4,NA,NA,NA,NA,NA,NA,NA,NA,NA
Olearia suffruticosa,10137,NA,NA,NA,NA,Asteraceae,D,S,S,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Jan-Apr,Jan-Apr,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-,-,-,-,1,-,-,-,-,-,-,-,-,V SA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8CE,NA,NA,C,1,4,NA,NA,NA,NA,NA,2,4,4,4,5,4,NA,NA,NA,NA,NA,NA,NA,NA,NA
Olearia tenuifolia,1616,NA,NA,NA,NA,Asteraceae,D,S,S,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,all year,all year,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-,-,1,-,1,1,-,1,1,-,1,-,-,V,DSF W Mallee,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,1,1,8CN,NA,NA,C,1,4,NA,NA,NA,NA,NA,2,4,4,4,5,4,NA,NA,NA,NA,NA,NA,NA,NA,NA
Olearia tomentosa,1617,NA,NA,NA,NA,Asteraceae,D,S,S,Occassional suckering (1),root suckers,transient,NA,wide,NA,NA,NA,NA,NA,NA,NA,NA,NA,Aug-May,Aug-May,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,-,1,1,-,-,-,-,-,-,-,-,DSF S H,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,8I 8BX,III-38a,1; 38,D,4,4,NA,NA,NA,NA,NA,1,4,4,4,5,4,NA,NA,NA,NA,NA,NA,NA,NA,NA
Olearia viscidula,1618,NA,NA,c,NA,Asteraceae,D,S,R,NA,basal buds,NA,a-wind,NA,NA,NA,NA,NA,NA,NA,<1 seedling per adult,NA,NA,Jul-Nov,Jul-Nov,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-,-,-,1,1,-,1,-,-,-,-,-,-,V T,TOF RF DSF W,1,1,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,IX-100; V-134,54; 100,V,4,4,NA,NA,NA,NA,NA,1,4,4,4,5,4,NA,NA,NA,NA,NA,NA,NA,NA,NA
Omphacomeria acerba,5867,NA,NA,NA,NA,Santalaceae,D,S,R,NA,NA,NA,NA,wide,NA,NA,NA,NA,NA,NA,NA,I,NA,Aug-Nov,Aug-Nov,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,-,1,1,-,1,-,-,-,-,-,V,SF,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,IX-4,9,VDI,2,2,NA,NA,NA,NA,NA,1,1,4,4,5,4,NA,NA,NA,NA,NA,NA,NA,NA,NA
Omphalolappula concava,1771,NA,NA,NA,NA,Boraginaceae,D,H,S,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,spring,Sep-Nov,NA,NA,NA,NA,NA,NA,annual,NA,NA,NA,NA,NA,1,-,-,-,-,-,1,1,-,1,1,1,1,Q V SA WA NT,S SF,NA,NA,NA,NA,NA,1,1,1,NA,NA,NA,NA,1,1,8C,NA,NA,A,5,5,NA,NA,NA,NA,NA,5,4,4,2,5,4,NA,NA,NA,NA,NA,NA,NA,NA,NA
Onopordum acaulon,1620,NA,*,NA,NA,Asteraceae,D,H,S,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,annual,NA,NA,NA,NA,NA,-,-,-,-,-,-,-,-,-,-,-,-,-,NA,NA,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8C,NA,NA,E,5,5,NA,NA,NA,NA,NA,5,4,4,2,5,4,NA,NA,NA,NA,NA,NA,NA,NA,NA
Opercularia aspera,5697,NA,NA,NA,NA,Rubiaceae,D,S,Sr,NA,NA,persistent soil,a-ant,NA,0.5mg seed,NA,NA,NA,NA,NA,prolific,coloniser (10) / seedlings shade tolerant (96),NA,Sep-Oct,Sep-Oct,NA,1,<1,NA,NA,NA,"<5 (96), absent or rare in 10 yo heath (46), present at 20-22 yo sites (105)",NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1,-,-,-,-,-,Q V,DSF riparian-S H,NA,NA,NA,1,NA,NA,1,1,NA,NA,NA,NA,NA,NA,8M,IX-1b; VIII-39; II-46; IXb-49; II-105,1; 46; 54; 55; 68; 96; 105,GT,1,3,1,NA,5,25,35,3,3,1,3,3,2,NA,1,NA,NA,NA,NA,NA,NA,NA
Opercularia diphylla,5698,NA,NA,NA,NA,Rubiaceae,D,H,Sr,Probably resprouts (1),NA,persistent soil,a-ant,NA,NA,NA,NA,NA,NA,NA,NA,I,NA,Aug-Feb,Aug-Feb,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,-,1,-,1,1,-,-,-,-,-,Q,DSF W H G,NA,NA,NA,1,1,1,1,1,NA,NA,NA,NA,NA,NA,2F,VIII-39; IXb-49; II-R35,68; R35,GI,1,1,NA,NA,NA,NA,NA,3,1,4,4,5,4,NA,NA,NA,NA,NA,NA,NA,NA,NA
Opercularia varia,5701,NA,NA,NA,NA,Rubiaceae,D,S,Sr,Variable (39); Post-fire abundance increase (M),NA,persistent soil,a-ant,NA,NA,NA,NA,NA,NA,NA,high,I,NA,Oct,Oct,NA,"1 (10) / 2 (9, 38, 48)",NA,NA,NA,NA,25-May,NA,NA,NA,NA,NA,1,1,1,-,1,1,-,-,1,-,-,-,-,V T SA,OF H,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,8W 8&9M 8MO 2K 2E 8KE 8CH 8WA,II-2; II-38c; VIII&IX-39; II-67; VIII-70; VIII-78; II-83; II-105,9; 10; 38; 48; 68; 105; M,GI,1,1,1,2,5,25,35,3,1,1,2,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
Oplismenus aemulus,5044,NA,NA,NA,NA,Poaceae,M,H,R,NA,root suckers,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,most of year,all year,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,-,1,-,1,-,1,-,-,-,-,Q V,F,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,IV-105,NA,V,4,4,NA,NA,NA,NA,NA,1,4,4,4,5,4,NA,NA,NA,NA,NA,NA,NA,NA,NA
Oplismenus imbecillis,5045,NA,NA,NA,NA,Poaceae,M,H,R,NA,root suckers,NA,bird,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,most of year,all year,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,-,-,1,1,-,-,-,-,-,Q V NT,F,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,IV-105,98,VD,4,4,NA,NA,NA,NA,NA,1,4,4,4,5,4,NA,NA,NA,NA,NA,NA,NA,NA,NA
Oreobolus distichus,2478,NA,NA,NA,NA,Cyperaceae,M,H,R,NA,root suckers,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,T,NA,NA,NA,NA,1,NA,NA,NA,NA,10?,NA,NA,NA,NA,NA,-,-,-,1,-,1,-,-,-,-,-,-,-,V T,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,V-58; IV-61,9; 58,VT,3,3,1,NA,10,NA,>10,1,1,1,3,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
Oreobolus oxycarpus,2479,NA,NA,n,NA,Cyperaceae,M,H,R,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-,-,-,1,-,1,-,-,-,-,-,-,-,V T,swamp,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,V,4,4,NA,NA,NA,NA,NA,1,4,4,4,5,4,NA,NA,NA,NA,NA,NA,NA,NA,NA
Oreobolus pumilio,2480,NA,NA,NA,NA,Cyperaceae,M,H,R,NA,root suckers,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-,-,-,-,-,1,-,-,-,-,-,-,-,V T,Bog Swamp,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,9KP,IV-61,NA,V,4,4,NA,NA,NA,NA,NA,1,4,4,4,5,4,NA,NA,NA,NA,NA,NA,NA,NA,NA
Oreomyrrhis argentea,1135,NA,NA,NA,NA,Apiaceae,D,H,Sr,Resprout in subalpine treeless vegetation(120),NA,persistent soil,NA,NA,NA,NA,NA,NA,NA,NA,NA,T,NA,summer,Dec-Feb,NA,1,NA,NA,NA,NA,10?,NA,NA,NA,NA,NA,-,-,-,-,-,1,-,-,-,-,-,-,-,V T,G,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,II-58; IX-120,9; 58,GT,1,3,1,NA,10,NA,>20,1,1,1,3,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
Oreomyrrhis ciliata,1137,NA,NA,NA,NA,Apiaceae,D,H,Sr,Resprout in subalpine treeless vegetation(120),NA,persistent soil,NA,NA,NA,NA,NA,NA,NA,NA,NA,T,NA,summer,Dec-Feb,NA,1,NA,NA,NA,NA,10?,NA,NA,NA,NA,NA,-,-,-,1,-,1,-,-,-,-,-,-,-,V T,Bogs,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,II-58; IX-120,9; 58,GT,1,3,1,NA,10,NA,>20,1,1,1,3,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
Oreomyrrhis eriopoda,1138,NA,NA,c,NA,Apiaceae,D,H,Sr,Resprout in subalpine treeless vegetation(120),NA,persistent soil,NA,NA,177-214 sd/g,NA,NA,stratification,NA,NA,NA,T,yes 1 year post-fire,summer,Dec-Feb,NA,1,1,NA,NA,NA,10?,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1,-,-,-,-,-,V T SA,F Herbfield H,NA,NA,NA,1,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,II-58; VIII-74; IX-120,9; 54; 58; 93b; 136,ST,1,3,1,NA,10,NA,>20,1,1,1,3,3,2,NA,NA,1,NA,NA,NA,NA,NA,NA
Orites excelsus,5448,NA,NA,n,NA,Proteaceae,D,sT,S,NA,NA,soil,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,winter-early spring,Jun-Sep,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,-,-,1,-,-,-,-,-,-,-,-,-,Q,cooler RF,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,II-134,NA,GT,1,3,NA,NA,NA,NA,NA,1,2,4,4,5,4,NA,NA,NA,NA,NA,NA,NA,NA,NA
Orites lancifolius,5449,NA,NA,NA,NA,Proteaceae,D,S,R,NA,basal,persistent soil,NA,NA,NA,NA,NA,NA,NA,NA,NA,I (58) / T (77),NA,NA,NA,NA,5?,NA,NA,NA,NA,70?,NA,NA,NA,NA,NA,-,-,-,-,-,1,-,-,-,-,-,-,-,V,alpine-H sub-alpine-H,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,V-58; V-77,9; 58; 77,VGT,3,3,5,NA,70,NA,>80,1,3,2,3,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
Orobanche minor,4607,NA,*,NA,NA,Orobanchaceae,D,H,S/R,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-,-,-,-,-,-,-,-,-,-,-,-,-,NA,NA,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8C 9WJ,NA,NA,E,5,5,NA,NA,NA,NA,NA,5,4,4,4,5,4,NA,NA,NA,NA,NA,NA,NA,NA,NA
Orthoceras strictum,4476,P,NA,NA,NA,Orchidaceae,M,H,R,NA,tuber,transient,NA,NA,NA,NA,NA,NA,NA,NA,no,NA,facultative,late spring-summer,Nov-Feb,NA,NA,2,NA,NA,NA,indefinite,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1,-,-,-,-,-,Q V T SA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11C 11WO 9KE 11W,IXd-2,9; 10,UCR,2,3,2-Jan,NA,I,NA,100,1,2,1,2,1,2,NA,NA,2,NA,NA,NA,NA,NA,NA
Oschatzia cuneifolia,1140,NA,NA,NA,NA,Apiaceae,D,H,R,NA,root suckers,NA,NA,NA,1036 sd/g,NA,NA,NA,NA,NA,NA,T,NA,Jan-Feb,Jan-Feb,NA,1,NA,NA,NA,NA,10?,NA,NA,NA,NA,NA,-,-,-,-,-,1,-,-,-,-,-,-,-,V,Herbfield Bog,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,IV-58,9; 58; 93b,VT,3,3,1,NA,10,NA,>10,1,1,1,3,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
Owenia acidula,3681,NA,NA,NA,NA,Meliaceae,D,T,R,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-,-,-,-,-,-,1,-,-,1,-,1,-,Q SA NT,Mulga BimbleBox,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,9PL,NA,NA,V,4,4,NA,NA,NA,NA,NA,1,4,4,4,5,4,NA,NA,NA,NA,NA,NA,NA,NA,NA
Owenia cepiodora,3682,V,NA,NA,NA,Meliaceae,D,T,R,NA,root suckers,"short-lived soil, exhausted by disturbance",bird,NA,drupe 1.5-2cm diam,NA,NA,NA,NA,NA,NA,T,NA,"Nov, fruit ripe Jan-Mar",Nov,Jan-Mar,11,NA,NA,NA,NA,>200,6 mth,NA,NA,NA,NA,1,-,-,-,-,-,-,-,-,-,-,-,-,Q,RF (ST dry),1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,IV-89,56; 89; R7,VDT,3,3,NA,11,200,NA,>200,1,1,1,2,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
Oxalis corniculata,4613,NA,*,NA,NA,Oxalidaceae,D,H,Rs,Post-fire abundance increase (P),basal & root suckers,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-,-,-,-,-,-,-,-,-,-,-,-,-,NA,NA,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5PU 4PU 8I 9M 9W 9P 9WA,IV-38c; IX-67,P,E,5,5,NA,NA,NA,NA,NA,5,4,4,4,5,4,NA,NA,NA,NA,NA,NA,NA,NA,NA
Oxalis exilis,4615,NA,NA,NA,NA,Oxalidaceae,D,H,S/R,NA,rhizome,persistent soil,ballistic capsule,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Oct-May,Oct-May,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1,1,-,-,-,-,V T,W OF G,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,IV-38b; II-105,1; 105,G,4,4,1,NA,NA,NA,NA,1,4,1,4,5,4,NA,NA,NA,NA,NA,NA,NA,NA,NA
Oxalis perennans,4621,NA,NA,NA,NA,Oxalidaceae,D,H,Rs,NA,rhizome,NA,NA,NA,NA,NA,NA,NA,NA,NA,"minor (79), high (105)",NA,NA,May-Dec,May-Dec,NA,1,<1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,Q V T SA WA NT,W,NA,NA,NA,1,1,NA,1,NA,NA,NA,1,NA,1,NA,NA,IX-11; IV-38b; IX-79; II-105,11; 79; 105,U,4,4,1,NA,NA,NA,NA,3,4,1,4,5,4,NA,1,NA,NA,NA,NA,NA,NA,NA
