taxon_name,unit,original_name,observation_id,leaf_length_minimum,leaf_length_maximum,leaf_width_minimum,leaf_width_maximum,leaf_entity,leaf remove,plant_height_maximum,height_entity,height notes,seed_height_minimum,seed_height_maximum,seed_length_minimum,seed_length_maximum,seed_width_minimum,seed_width_maximum,leaf,seed_entity,seed notes,seed,form,,
Gomphrena involucrata,mm,Gomphrena involucrata,326,,,,,,,,,,,,,,,,"leaves linear to linear-lanceolate, 40-150 mm long; petioles up to 5 mm long.",,"remove ""min"", value = ""to …""","seed compressed-obovoid, to 1.6 mm long.","annual herb, erect or spreading, to 30 cm high, single-stemmed;",,
Gomphrena lacinulata,mm,Gomphrena lacinulata,327,,,,,,,,,,,,2.2,,,,"leaves cauline, sessile; lamina lanceolate, 20-60 mm long, 3-5 mm wide; upper and lower surface with sparse to dense, appressed soft hairs.",,good,"seed compressed ellipsoid, circa 2.2 mm long.","annual erect herb, to 90 cm high, single-stemmed;",,
Gomphrena magentitepala,mm,Gomphrena magentitepala,328,,,,,,,,,,,,,,,,"leaves linear to linear-lanceolate, 40-150 mm long; petioles up to 5 mm long.",,"remove ""min"", value = ""to …""","seed compressed ellipsoid, to 2 mm long.","annual herb, ascending to spreading to erect, to 60 cm high, single or multi-stemmed;",,
Gomphrena parviflora,mm,Gomphrena parviflora,329,,,,,,,,,,,,1.4,,,,"leaves cauline, sessile; lamina linear or linear-lanceolate, 10-45) mm long, 1-3 mm wide; upper surface glabrous or both surfaces with sparse, spreading, soft hairs.",,good,"seed compressed obovoid, circa 1.4 mm long.","annual herb, prostrate but with erect spikes, single or multi-stemmed;",,
Grevillea benthamiana,mm,Grevillea benthamiana,334,,,,,,,,,,,,13,,,,"petiole 5-7 mm long. leaf blades grey-green, imbricate, recurved, ovate to deltoid or oblong in outline, 30-55 mm long, 20-65 mm wide, l/w 0.86-1.5, deeply bipinnately lobed; lobes linear, spinose.",,good,seed circa 13 mm long.,"shrub or small tree to 4 m. indumentum on branchlets and leaves of dense, medifixed, glandular, silvery hairs, occasionally also with septate glandular hairs.",,
Grevillea goodii,mm,Grevillea goodii subsp. Goodii,340,,,,,,,,,,,,10,,,,"petiole 4-7 mm long. leaf blades entire, lanceolate, elliptic, obcordate, 48-175 mm long, 22-50 mm wide, l/w 1.4-7, venation conspicuous with a prominent intramarginal vein.",,good,"seed ellipsoid, circa 10 mm long, wing narrow, + fleshy and protruding at one end.","prostrate shrub, annual stems from perennial rootstock. indumentum on branches, leaves, inflorescence, outside of perianth of fine medifixed, ferruginous or hyaline hairs, minute colleters on underside of leaf.",,
Jacksonia dilatata,mm,Jacksonia dilatata,390,,,,,,,,,,,,2.7,,1.5,,"leaves reduced to persistent brown bracts circa 1.5 mm long, the ultimate flowering branchlets expanded to resemble flat leaves (cladodes). cladodes elliptic to narrowly elliptic, 26-150 mm long, 4-20 mm wide, densely and shortly sericeous with hyaline hairs.",,good,"seed 1, longitudinal in pod, mottled, olivaceous, reniform, circa 2.7 mm long, 1.5 mm wide;","an erect, grey-green perennial shrub to 4 m tall, outer branchlets angular.",,
Leptosema uniflorum,mm,Leptosema sp. [Brachysema uniflorum Benth.],392,,,,,,,,,,,,4,4,2.2,,leaves s.,,good,"seeds pale brown to black, reniform, circa 4 mmlong, 2.2 mm wide, smooth or with scalariform patterning, ecarunculate.","prostrate, rarely erect, perennial shrub.",,
Ludwigia adscendens,mm,Ludwigia adscendens,400,,,,,,,,,,,,2,,,,"petioles 3-40 mm long. leaf lades elliptic, oblanceolate, spathulate or obovate, 11-80 mm long, 4-34 mm wide, l/w 1.8-2.7, base attenuate, apex obtuse with dark swollen gland on abaxial surface.",,good,"seeds circa 2 mm long, embedded infruit tissue.","perennial rooted aquatic herb with floating stems; vegetative parts glabrous or sparsely hairy with short and long, simple, hyaline hairs. in the terrestrial state on drying wetland margins all parts are smaller, more densely pubescent and rarely fertile.",,
Bauhinia binata,mm,Lysiphyllum binatum,407,,,,,,,,,,,,10,,8,,"leaf rachis 12-26 mm long; leaflets discolorous, transverse-oblong, -ovate or -suborbicular, 15-31 mm long, 24-48 mm wide, l/w 0.6-0.8.",,good,"seeds red-brown, circa 10 mm long, 8 mm wide.","evergreen or briefly deciduous spreading shrub, scrambler or climber to 6 m high. tomentum of fine, ferruginous hairs on young shoots and inflorescence, becoming glabrous.",,
Bauhinia cunninghamii,mm,Lysiphyllum cunninghamii,408,,,,,,,,,,,,10,,8,,"leaf rachis 12-27 mm long; leaflets concolorous, asymmetric-elliptic to ovate, 13-40 mm long, 10-28 mm wide, l/w 1.3-2.1.",,good,"seeds red-brown, circa 10 mm long, 8 mm wide.",trees to 10 m high;,,
Margaritaria dubium-traceyi,mm,Margaritaria dubium-traceyi,416,,,,,,,,,,,,4,5,,,"petioles 4-11 mm long. leaf blades concolorous, elliptic to obovate, 45-134 mm long, 22-75 mm wide, l/b 1.6-2.3, venation pale in dried specimens, apex obtuse, + emarginate, minutely mucronate, marginentire, base attenuate.",,good,seeds 4-5 mm diam.,shrub or slender tree to 5 m tall.,,
Mitrella tiwiensis,mm,Mitrella tiwiensis,432,,,,,,,,,,,,8,,6,,"leaves with petioles 3-10 mm long, channelled above, with appressed copper-coloured or white hairs; lamina lanceolate, elliptic to narrowly elliptic or ovate, (4) 6-21 cm long, 2-4 cm wide, base cuneate to rounded, apex acute to caudate, discolorous, oil glands present, upper surface green and glabrescent, lower surface glaucous and with appressed copper-coloured or rarely white hairs which are most dense on the midrib.",,good,"seeds 2 or 3 per carpel, brown and discoidal, circa 8 mm long, circa 6 mm wide.",woody vine or scandent shrub;,,
Trigastrotheca molluginea,mm,Mollugo molluginis,434,,,,,,,,,,,,1,1.2,,,"leaves 2 or 3 per fascicle, sessile, linear or linear-elliptic or linear-oblanceolate, 15-45 mm long, 1-2.5 mm wide, glabrous, acute.",,good,"seeds subreniform, longest axis 1-1.2 mm, dark red-brown, minutely papillate.","perennial herb, somewhat sprawling and cus to erect, branches to 20 cm long.",,
Mucuna gigantea,mm,Mucuna gigantea,435,,,,,,,,,,,,18,23,,,"leaf rachis to basal leaflets 31-105 mm, 41-130 mm overall; stipels setulose, circa 2 mm long; leaflets 67- 140 mm long, 33-78 mm wide, l/w 1.6-2.7, base rounded, apex acute to acuminate. staminal filaments alternately long and short, free parts stout;",,good,"seeds 2-5, brown or mottled grey-brown, 18-23 mm diam.;","twining, deciduous, woody vine.",,
Lithomyrtus retusa,mm,Myrtella retusa,444,,,,,,,,,,,,4,4.5,,,"leaves opposite; petioles circa 2 mm long; blades strongly bifacial, oblanceolate, (10)15-35 mm long, 1.5-7 mm wide, l/b 4.3-10, closely white tomentose below, spotted with glands, the glands often ringed by crisped brown hairs, glabrescent or glabrous above.",,good,,"evergreen shrub, 1-2(3) m high.",,
Peltophorum pterocarpum,mm,Peltophorum pterocarpum,458,,,,,,,,,,,,10,,5,5,"leaves bipinnate, rachis 95-260 mm long; pinnae 6-12 pairs, 35-120 mm long; leaflets opposite, discolorous, 9-17 pairs per pinna, oblong, asymmetric, emarginate, 6-21 mm long, 2.7-10 mm wide, l/w 1.6-3.2.",,good,"seeds longitudinal, olivaceous, oblong, flat, circa 10 mm long, 5 mm wide.","deciduous tree to 10 m rarely higher; vegetative parts, inflorescence, calyx, base of petals and staminal filaments with dense rusty appressed hairs, leaves becoming sparsely hairy with age. yellow flame tree.",,
Phyllanthus eutaxioides,mm,Phyllanthus 'Golden Sands',469,,,,,,,,,,,,2,,,,"petioles 1-1.5 mm long; leaf blades held erect against the stems, slightly discolorous, narrowly elliptic-oblanceolate to linear, 9-28 mm long, 1-9 mm wide, l/b 2.1-9, base obtuse, apex acute with a minute mucro.",,good,"seeds pale brown, circa 2 mm long, smooth, sharply angled.","an erect, glabrous few to many stemmed subshrub to 50 cm tall, shooting each year from a woody perennial rootstock.",,
Phyllanthus flagellaris,mm,Phyllanthus flagellaris,470,,,,,,,,,,,,2.5,,,,"leaves exude milky latex when broken; petioles to 0.5 mm long; blades elliptic, obovate to orbicular, 5-13 mm long, 4-9 mm wide, l/b 0.8-1.6, base obtuse or cordate, apex obtuse with a minute mucro.",,good,"seeds brown, circa 2.5 mm long, surface smooth, minutely hairy, apical end shortly pointed.",a prostrate hispid (rarely glabrous) herb shooting each year from a perennial rootstock.,,
Phyllanthus carpentariae,mm,Phyllanthus grandisepalus,471,,,,,,,,,,,,2,,,,"petioles to 1 mm long; leaf blades slightly discolorous, narrowly obovate, 7-25 mm long, 5-15 mm wide, l/b 1.4-2.8, base obtuse to cuneate, apex obtuse with a minute mucro.",,good,"seeds pale brown with white longitudinal striations and faint horizontal lamellae on sides and back, circa 2 mm long.","an erect, perennial shrub to 2 m tall, foliose throughout.",,
Phyllanthus maderaspatensis,mm,Phyllanthus maderaspatensis,473,,,,,,,,,,,,1.5,,,,"petioles circa 1 mm long; leaf blades oblanceolate, spathulate or linear-oblong, 9-35 mm long, 2-6 mm wide, l/b 4-11.5, base obtuse or cuneate, apex obtuse or acute often with a minute mucro.",,good,"seeds pale brown, circa 1.5 mm long, muricate-striate, the back with longitudinal rows of tubercules, the sides with concentric rows.","a blue-green, glabrous annual or biennial herb or subshrub to 70 cm tall.",,
Phyllanthus urinaria,mm,Phyllanthus urinaria,477,,,,,,,,,,,,2,,,,"leaves almost sessile; blades narrowly lanceolate, linear-oblong, often obovate, 5-15 mm long, 3-5 mm wide, l/b 1.6-3.5, base obtuse, asymmetric, apex obtuse or acute often with a minute mucro.",,good,"seeds brown, circa 2 mm long, the back with circa 20 rows of transverse ridges, the ridges and sides of the seed muricate.","an erect, glabrous annual herb to 1 m tall with one main stem.",,
Bauhinia malabarica,mm,Piliostigma malabaricum,478,,,,,,,,,,,,4.5,,3.5,,"all parts except upper surface of leaves rusty tomentose with short simple hairs and minute yellow fusiform vesicular medifixed glands. petioles 12-47 mm long. leaves discolorous, often whitish below; apparently simple, 45-100 mm long, 65-125 mm wide, l/w 0.7-0.9, cordate, emarginate, strongly palmately veined with a bristle in the sinus. inflores-cence racemose, axillary and terminal, to circa 65 mm long.",,good,"seeds immersed in fibrous pith; dark brown, ellipsoid, slightly flattened, circa 4.5 mm long, 3.5 mm wide.","deciduous, densely foliaged tree to 10 m high, usually smaller;",,
Monoon australe,mm,Polyalthia australis,486,,,,,,,,,,,,17,,10,,"leaves with petiole 2-10 mm long, channelled to grooved above, with ascending simple hairs and short crisp hairs; lamina ovate to lanceolate, obovate, widely to narrowly elliptic or oblong, 4.5-24 cm long, 2 -9 cm wide, base shallowly cordate or rarely rounded and more or less asymmetric, margins strongly undulate, apex acute to acuminate, discolorous, upper surface glossy and glabrous or glabrescent, lower surface with conspicuous oil glands and with scattered hairs along midrib and veins and often at the base.",,good,"seeds circa 17 mm long, 10 mm wide, with longitudinal groove.",shrub or tree to 25 m;,,
Polycarpaea incana,mm,Polycarpaea incana,492,,,,,,,,,,,,0.4,,0.3,,"cauline leaves opposite, rarely whorled, narrowly oblanceolate or linear, 2-5 mm long, 0.5-0.7 mm wide, glabrous to cobwebbed.",,good,"seeds 11-27, brown, dimidiate, circa 0.4 mm long, 0.3 mm wide.",compact perennial herb to 15 cm tall.,,
Polycarpaea microceps,mm,Polycarpaea microceps,495,,,,,,,,,,,,0.4,,,,"cauline leaves opposite, rarely whorled, narrowly oblanceolate or linear, 2.3-9 mm long, 0.7-1.3 mm wide, glabrate.",,good,"seeds circa 12, red-brown, more or less ellipsoid, circa 0.4 mm long.",compact perennial herb to 15 cm tall.,,
Millettia pinnata,mm,Pongamia pinnata,501,,,,,,,,,,,,18,,11,,"leaves imparipinnate; rachis to basal leaflets 15-47 mm, 67-130 mm overall; stipels absent; leaflets in 2-3 pairs, elliptic, ovate or rarely obovate, 55-125 mm long, 35-94 mm wide, l/w 1.3-1.9, base rounded, apex obtuse or shortly acuminate.",,good,"seeds 1-2, light to dark brown, elliptic, circa 18 mm long, 11 mm wide;","a deciduous tree to 10 m, sometimes taller, f lowering with the flush of new leaves;",,
Pycnospora lutescens,mm,Pycnospora lutescens,512,,,,,,,,,,,,4,,2,,"leaves pinnately 3-foliolate, 1-foliolate at base of plant, rachis to basal leaflets 5-15 mm, 9-20 mm overall; stipels persistent, filiform; leaflets dorsiventral, oblanceolate or obovate, (11)15-45 mm long, 6-25 mm wide, l/w 1.3-2.5(3); terminal leaflet usually larger than basals.",,good,"seeds dark mottled, oblong, circa 4 mm long, 2 mm wide.",erect or spreading perennial shrub with annual stems.,,
Rhynchosia australis,mm,Rhynchosia australis,514,,,,,,,,,,,,4,,3,,"leaf rachis to basal leaflets 12-42 mm, 20-55 mm overall; leaflets dark green, thin, ovate, base rounded, apex acuminate; basal leaflets 20-53 mm long, 11-34 mm wide, l/w 1.3-1.8; terminal leaflet 20-55 mm long, 15-45 mm wide, l/w 1-1.6.",,good,"seeds 2, mottled red-brown, circa 4 mm long, 3 mm wide.",slender twining or prostrate vine with annual stems and perennial roots.,,
Synostemon glaucus,mm,Sauropus glaucus,526,,,,,,,,,,,,8,,,,"leaves blades linear, 4-14 mm long, 0.5-0.6 mm wide, l/b 8-23.",,changed,"seeds grey when mature, circa 8 mm long, with a thin firm spongy, irregularly pitted surface, margins sharply angled with irregular scallops.","an erect, glabrous multistemmed subshrub to 50 cm tall.",,
Microstachys chamaelea,mm,Sebastiania chamaelea,531,,,,,,,,,,,,5,,,,"leaves simple, alternate, bifacial, on petioles 1-5mm long; blades narrowly elliptic, oblong, oblancolate, rarely linear-oblong or ovate, 12-70mm long 2-18mm wide, l/b (2.2) 3.5-9 (16), base attentuate, margins sclerotic, regularly and finely serrulate with (1)2 depressed glands on each side circa 3 mm up from the base, apex acute, obtuse or emarginate.",,good,"seeds flattened oblong, circa 5mm long, mottled, carunculate.",an erect glabrous slender evergreen shrub to 1m tall.,,
Senna surattensis,mm,Senna surattensis,534,,,,,,,,,,,,5,6,2.7,3.5,"leaves termi-nated by a bristle, 5-8 pairs of leaflets, erect terete gland between lower 2-4 pairs of leaflets, rachis to basal leaflets 20-60 mm long, rachis 90-170 mm long; leaflets 5-8 pairs, elliptic to obovate, 20-50 mm long, 13-25 mm wide, l/w 1.6-2.3.",,good,"seeds 12-26, transverse in pod, black, shiny, oblong to elliptic, 5-6 mm long, 2.7-3.5 mm wide, areole 0.9-1.2 mm wide.",shrub or small glabrate tree to 7 m.,,
Sesbania erubescens,mm,Sesbania erubescens,537,,,,,,,,,,,,4,,2.2,,"leaf rachis 70-160 mm long; leaflets in 11-25 pairs, 6-19 mm long, 1.5-4 mm wide, l/w 4-6.6.",,good,"seeds 23-40, olivaceous, mottled, circa 4 mm long, 2.2 mm wide.",annual or short-lived perennial shrub to 3 m high.,,
Smithia conferta,mm,Smithia conferta,541,,,,,,,,,,,,1,,1,,"leaf rachis, leaflet margin, lower midrib, bracteoles and calyx hirsute with cream coloured, tubercular based bristles to 2.5 mm long. leaves alternate, paripinnate, sensitive to touch; rachis to basal leaflets 1-3 mm, 11-25 mm long overall including terminal bristle; stipels absent; leaflets in 4-8 pairs, discolorous, oblong, 7-12 mm long, 2-3 mm wide, l/w 3.3-4.8, dotted with puncticulate glands, base oblique, apex acute. cladode 3-6, globular, inflated, thin walled, indehiscent, tuberculate, glabrous.",,good,"seeds pale brown, subglobular, circa 1 mm long, 1 mm wide;","an erect annual or perennial shrub with + perennial rootstock, to 1 m tall.",,
Sophora longipes,mm,Sophora longipes,544,,,,,,,,,,,,7,,5,,"leaf rachis to 300 mm long; leaflets in 5-8 pairs, discolorous, elliptic, ovate or obovate, 34-69 mm long, 15-37 mm wide, l/w 1.3-2.2.",,good,"seeds 1-4, pale brown, ellipsoid, circa 7 mm long, 5 mm wide.","perennial shrub to 1 m high, often with annual aerial parts. glabrate, hairs hyaline.",,
Tecticornia australasica,mm,Tecticornia australasica,564,,,,,,,,,,,,1.5,,,,"cladode bluish-green, succulent, 7-15 mm long, apex shortly bilobed, lobes representing reduced, opposite leaves.",,good,"seed ovately discoidal, circa 1.5 mm long; testa dark brown with several rows of grey tubercles on upper margins.","annual, fleshy herb to 40 cm high, glaucous, glabrous;",,
Tephrosia simplicifolia,mm,Tephrosia simplicifolia,581,,,,,,,,,,,,2.1,,1.9,,"leaves 1-foliolate (+ stipellate) to 3-foliolate; rachis to basal leaflets (4)12-60 mm, (4)12-68 mm overall, leaflets concolorous, linear 52-133 mm long, 1.2-3.5 mm wide, l/w 35-85, 2o veins prominent below, circa 15 degrees to midrib, 3o veins obscure, base cuneate, often with a distinct marginal vein, apex acute, mucro absent.",,good,"seeds 11-13 per pod, centres circa pod width apart, olivaceous, oblong, oblong in cross section, circa 2.1 mm long, 1.9 mm wide, ecarunculate.","an erect, perennial subshrub to 0.5 m tall, with annual above ground parts. indumentum of white hairs, sparse and adpressed to erect on vegetative parts, inflorescence pilose, pod tomentose.",,
Pimelea punicea,mm,Thecanthes punicea,596,,,,,,,,,,,,3.5,,,,"leaves decussate or sub-opposite; shortly petiolate; blades lanceolate to elliptic, 7-35 mm long, 2-12 mm wide, l/w 2.9-7.5.",,good,"seed 1, black, obclavate, circa 3.5 mm long, finely alveolate.","annual herb to 60 cm, glabrous, subglaucous.",,
Trichosanthes pilosa,mm,Trichosanthes holtzei,603,,,,,,,,,,,,7,,,,"leaves simple; petioles 10-45 mm long, with scattered hairs; lamina entire or shallowly to deeply palmately 3-lobed, 60-125 (155) mm long, 50-120 (145) mm wide; margins sinuate-dentate; base cordate; apex obtuse to acute; lower lamina surface or both surfaces velvety, rarely glabrous.",,good,"seeds numerous, broadly ovate, 3-locular, circa 7 mm long, pale brown.","annual trailing or climbing vine, apparently dioecious (female flowers have not been observed);",,
Uraria lagopodioides,mm,Uraria lagopodioides,613,,,,,,,,,,,,3,,2,,"leaves 1 or 3-foliolate; rachis 9-65 mm long; leaflets variable, from oblong to orbicular, lanceolate or oblanceolate, 20-105 mm long, 8-62 mm wide, l/w 1.4-3.5, scabrous above, softly hairy below, prominently reticulately veined below, base rounded or cordate, apex variable, usually mucronate; basal leaflets much smaller than the terminal. cladode of pod circa 4 mm long, 3 mm wide.",,good,"seeds olivaceous, circa 3 mm long, 2 mm wide.","semi erect to prostrate. vegetative parts densely covered with patent white, hyaline or ferruginous simple, long and short hairs and hooked hairs.",,
Uvaria rupestre,mm,Uvaria rupestre,617,,,,,,,,,,,,11,,7,,"leaves with the petiole 2.5-5.5 mm long, channelled above, densely hairy; lamina elliptic, ovate or obovate, slightly asymmetric, 2.4-12.7 cm long, 1.6-6.4 cm wide, base obtuse to rounded and shallowly cordate, margin more or less undulate, apex rounded to obtuse or acute to acuminate, with 9-12 main lateral veins, discolorous, upper surface glabrescent and with the hairs most dense on the midrib and lateral veins.",,good,"seeds 7-12 in two rows, red brown, shiny, dimidiate in outline and flattened circa 11 mm long, circa 7 mm wide.","shrub to 4 m, climbing shrub or vine;",,
Vigna adenantha,mm,Vigna adenantha,621,,,,,,,,,,,,8,,6,,"rachis to basal leaflets 40-77 mm, 50-100 mm overall; leaflets ovate to orbicular, 62-123 mm long, 40-102 mm wide, l/w 1.2-1.7; basal leaflets asymmetric.",,good,"seeds 8-14, circa 8 mm long, 6 mm wide, caruncle obscure.","vigorous, short-lived perennial vine. vegetative parts and pod sparsely hairy with simple and tubercular based hairs and minute vesicular glands on underside of leaves.",,
Zornia areolata,mm,Zornia areolata,635,,,,,,,,,,,,1.7,,1,,"leaf rachis 3.5-12 mm long; leaflets linear, 7-25 mm long, 0.7-3 mm wide, l/w 6-16. cladode with patent and retrorse-appressed hairs and prominently reticulately veined, the veins with divaricate and retrorsely hairy bristles.",,good,"seeds pale and dark brown, + semicircular, circa 1.7 mm long, 1 mm wide.",prostrate annual or (?) perennial rooted herb with annual stems. vegetative parts sparsely hairy with simple hairs;,,
Grona heterocarpos,mm,Desmodium heterocarpon,196,,,,,,,,,,,,1.5,2,1.5,1.5,,,good; added from NT flora,,,,
Omegandra kanisii,mm,Omegandra kanisii,452,,,,,,,,,,,,,,0.6,,"leaves subpetiolate; petiole circa 1 mm long; lamina elliptic or obovate to oblanceolate, 0.5-2.5 cm long, 0.3-0.7 cm wide; midvein raised on lower surface.",,good,"seeds more or less obovoid to slightly reniform, 0.8-1 mm long, circa 0.6 mm diam., dark brown to black, shiny.","perennial, prostrate to decumbent herbs;",,
Sesbania formosa,mm,Sesbania formosa,538,,,,,,,,,,,,,,3,,"leaf rachis to 370 mm long; stipels caducous; leaflets in (8)14-20 pairs, 19-55 mm long, 6-17 mm wide, l/w 2.5-3.9, apex mucronate.",,good,"seeds 23-53, brown or black, subcylindrical, 5.5-8 mm long, circa 3 mm wide.","evergreen trees to 15 m high, probably short lived;",,
Tephrosia oblongata,mm,Tephrosia oblongata,576,,,,,,,,,,,,,,2,,"most parts velutinous to sericeous with yellowish brown, rarely grey or white hairs, the leaflets usually hairy above. leaf rachis to basal leaflets (6)15-25(40) mm, 20-150 mm overall; petiolule 2-4 mm; leaflets in (2)4-7(10) pairs, slightly discolorous, dorsiventral, elliptic, oblong, or broadly elliptic, rarely obovate or lanceolate, 25-95 mm long, 10-40 mm wide, l/w 1.2-5.8, secondary veins at 60-75 degrees to midrib, intersecondary venation reticulate, base obtuse, apex obtuse, occasionally truncate.",,good,"seeds 8-12, separated by spongy septa, olivaceous or yellowish, oblong, oblong in cross-section, 2.8-3.2 mm long, circa 2 mm wide; caruncle green, flattened, asymmetric.",an erect perennial shrub to 1.5 m tall.,,
