species_name,genus,species,intr rank,longevity,GF,leaf longevity,max height (m),glacous,leaf type,leaf shape,leaf length (mm),leaf width (mm),seed shape,seed length (mm),seed diameter (mm),seed depth (mm),flowering time,fruiting,dispersal appendage,aquatic,succulent
Grevillea benthamiana,GREVILLEA,benthamiana,,perennial,tree,e,4,,s,ovate,30-55,20-65,,13,,,apr-dec,apr-dec,,,
Grevillea decurrens,GREVILLEA,decurrens,,perennial,tree,e,4,,s,lanceolate,75-160,Oct-45,orbicular,23-25,23-25,23-25,nov-mar,jun-sep,,,
Grevillea dimidiata,GREVILLEA,dimidiata,,perennial,tree,e,5,,s,dimidate,175-340,18-75,,,,,jun-sep,sep-oct,,,
Grevillea dryandi subsp. Dryandi,GREVILLEA,dryandi,subsp. Dryandi,perennial,shrub,e,1,,l,lobed,68-180,1.3-4,,,,,mar-oct,mar-oct,,,
Grevillea dryandi subsp. Dasycarpa,GREVILLEA,dryandi,subsp. Dasycarpa,perennial,shrub,e,2,,l,lobed,105,1,oblong,9,,,mar-jul,mar-jul,elaiosome,,
Grevillea formosa,GREVILLEA,formosa,,perennial,shrub,e,,,l,lobed,45-80,1,ellipsoid,9-Nov,,,jan-apr,feb-may,,,
Grevillea goodii subsp. Goodii,GREVILLEA,goodii,subsp. Goodii,perennial,shrub,e,,,s,lanceolate,48-175,22-50,ellipsoid,10,,,jan-apr,may-jun,,,
Grevillea goodii subsp. Pluricaulis,GREVILLEA,goodii,subsp. Pluricaulis,perennial,shrub,e,3,,s,lanceolate,130-300,27-85,,,,,ay,apr-jun,,,
Grevillea heliosperma,GREVILLEA,heliosperma,,perennial,tree,e,3,,s,lanceolate,55-130,Jun-14,orbicular,15,15,15,may-jul,jul-oct,,,
Grevillea longicuspis,GREVILLEA,longicuspis,,perennial,shrub,e,1,,s,ovate,35-65,25-60,,,,,aug-dec,sep-apr,,,
Grevillea mimosoides,GREVILLEA,mimosoides,,perennial,tree,e,8,,s,falcate,120-290,Jun-30,,,,,jun-sep,sep-nov,,,
Grevillea myosodes,GREVILLEA,myosodes,,perennial,shrub,e,1.6,,s,elliptic,90-170,Nov-35,orbicular,18,14,14,apr,apr-may,,,
Grevillea parallela,GREVILLEA,parallela,,perennial,tree,e,6,,l,lobed,115,1.5-9,orbicular,17,17,17,apr-oct,jul-dec,,,
Grevillea pteridifolia,GREVILLEA,pteridifolia,,perennial,tree,e,6,,l,lobed,180,1.5-4,oblong,Dec-17,,,may-aug,jun-oct,,,
Grevillea pyramidalid,GREVILLEA,pyramidalid,,perennial,tree,e,7,,l,lobed,390,1-Aug,,,,,may-oct,sep-jan,,,
Grevillea refracta,GREVILLEA,refracta,,perennial,shrub,e,5,,l,lobed,50-170,Apr-21,ellipsoid,19,,,ay,ay,,,
Hakea arborescens,HAKEA,arborescens,,perennial,tree,e,8,,s,linear,50-185,3-Nov,obovoid,Oct-15,,,jan-jul,ay,,,
Helicia australasica,HELICIA,australasica,,perennial,tree,e,15,,s,elliptic,100-210,26-80,,,,,jul-nov,jan-mar,,,
Persoonia falcata,PERSOONIA,falcata,,perennial,tree,e,8,,s,oblanceolate,95-280,Aug-55,,,,,jun-oct,oct-jan,drupe,,
Stenocarpus acacioides,STENOCARPUS,acacioides,,perennial,tree,e,12,,s,elliptic,45-115,Jul-30,,,,,apr-oct,nov-may,,,
Stenocarpus cunninghamii,STENOCARPUS,cunninghamii,,perennial,tree,e,10,,s,elliptic,25-110,Apr-18,,,,,mar-may,,,,
Stenocarpus top end',STENOCARPUS,top end',,perennial,tree,e,20,,s,elliptic,55-150,17-70,,,,,mar-may,aug-oct,,,
Caesalpinia bonduc,CAESALPINIA,bonduc,,perennial,shrub,e,3,,c,ovate,15-48,Sep-23,globular,16-20,16-20,16-20,jan-apr,ay,,,
Chamaecrista absus,Chamaecrista,absus,,annual,,e,1,,c,elliptic,Oct-52,Jun-30,obovoid,4-May,2.3-3.5,,jan-jul,jan-jul,,,
Chamaecrista mimosoides,Chamaecrista,mimosoides,,annual,subshrub,e,1,,c,linear,1.5-5,0.4-1,oblong,2.5-3.8,1.6-2.2,,jun-jul,jun-jul,,,
Chamaecrista nictitans,Chamaecrista,nictitans,,perennial,forb,e,1,,c,linear,3-Nov,0.7-2.2,oblong,2.1-3,1.4-2.1,,jan-may,jan-may,,,
Chamaecrista sp. Cassia harneyi,Chamaecrista,sp. Cassia harneyi,,annual,,e,1,,c,oblong,Jul-25,1.3-5.5,obovoid,3.5,2.5,2.5,mar-aug,mar-aug,,,
Erythrophleum chlorostachys,ERYTHROPHLEUM,chlorostachys,,perennial,tree,d,15,,c,ovate,25-85,20-75,ellipsoid,10-Dec,9-Dec,,sep-dec,jun-jul,,,
Lysiphyllum binatum,Lysiphyllum,binatum,,perennial,shrub,d,6,,c,ovate,15-31,24-48,,10,8,,dec-feb,ay,,,
Lysiphyllum cunninghamii,Lysiphyllum,cunninghamii,,perennial,tree,e,10,,c,elliptic,13-40,Oct-28,,10,8,,may-oct,ay,,,
Peltophorum pterocarpum,Peltophorum,pterocarpum,,perennial,tree,d,10,,c,oblong,Jun-21,1.7-10,oblong,10,5,,,ay,,,
Piliostigma malabaricum,Piliostigma,malabaricum,,perennial,tree,d,10,,s,elliptic,45-100,65-125,ellipsoid,4.5,3.5,,jan-apr,may-sep,,,
Senna leptoclada,Senna,leptoclada,,perennial,shrub,e,2,,c,elliptic,Jan-44,May-27,oblong,5-Jun,3-Apr,,ay,ay,,,
Senna procumbens,Senna,procumbens,,perennial,shrub,e,,,c,oblong,35-58,Jul-15,,,,,jan,,,,
Senna surattensis,Senna,surattensis,,perennial,tree,e,7,,c,elliptic,20-50,13-25,oblong,5-Jun,2.7-3.5,,feb-jun,feb-jun,,,
Senna timoriensis,Senna,timoriensis,,perennial,shrub,e,3,,c,elliptic,19-42,5.5-15,obovoid,5-Jul,3-Jul,,mar,mar-aug,,,
Acmena hemilampra subsp. Hemilampra,Acmena,hemilampra,subsp. Hemilampra,perennial,tree,e,30,,s,elliptic,50-150,27-68,,,,,sep-nov,nov-jan,,,
Acmenosperma claviflorum,Acmenosperma,claviflorum,,perennial,tree,e,5,,s,elliptic,75-130,27-50,,,,,oct-may,nov-may,,,
Asteromyrtus symphocarpa,Asteromyrtus,symphocarpa,,perennial,tree,e,5,,s,elliptic,15-75,Apr-18,,,,,dec-mar,jul-sep,,,
Calytrix achaeta,Calytrix,achaeta,,perennial,shrub,e,3,,s,,,,,,,,feb-sep,feb-sep,,,
Calytrix arborescens,Calytrix,arborescens,,perennial,shrub,e,7,,s,ovate,1-Feb,0.75-1,,,,,jun-oct,jun-oct,,,
Calytrix brownii,Calytrix,brownii,,perennial,shrub,e,4,,s,linear,2-Nov,0.3-1,,,,,apr-oct,apr-oct,,,
Calytrix exstipulata,Calytrix,exstipulata,,perennial,shrub,e,2,,s,ovate,1-3.5,0.25-1,,,,,ay,ay,,,
Eucalyptus alba,Eucalyptus,alba,,perennial,tree,e,18,,s,lanceolate,65-200,14-60,,,,,jul-sep,aug-oct,,,
Eucalyptus apodophylla,Eucalyptus,apodophylla,,perennial,tree,e,18,,s,elliptic,40-170,25-65,,,,,jun-oct,sep-nov,,,
Eucalyptus bigalerita,Eucalyptus,bigalerita,,perennial,tree,e,17,,s,deltoid,51-160,50-150,,,,,jul-sep,jul-oct,,,
Eucalyptus bleeseri,Eucalyptus,bleeseri,,perennial,tree,e,20,,s,lanceolate,86-160,Oct-21,,,,,aug,jun-oct,winged seed,,
Eucalyptus brachyandra,Eucalyptus,brachyandra,,perennial,tree,e,8,,s,elliptic,30-75,Nov-46,,,,,oct,oct-dec,,,
Eucalyptus camaldulensis,Eucalyptus,camaldulensis,,perennial,tree,e,18,,s,lanceolate,100-220,Sep-31,,,,,mar-sep,ay,,,
Eucalyptus clavigera,Eucalyptus,clavigera,,perennial,tree,e,18,,s,lanceolate,85-220,28-90,,,,,sep-nov,oct-nov,,,
Eucalyptus confertiflora,Eucalyptus,confertiflora,,perennial,tree,e,12,,s,elliptic,35-185,20-140,,,,,jun-nov,jul-dec,,,
Eucalyptus dichromophloia,Eucalyptus,dichromophloia,,perennial,tree,d,9,,s,lanceolate,60-150,13-50,,,,,mar-apr,may-jul,winged seed,,
Eucalyptus ferruginea,Eucalyptus,ferruginea,,perennial,tree,e,12,,s,elliptic,60-140,30-100,,,,,dec-jun,apr-oct,winged seed,,
Eucalyptus foelscheana,Eucalyptus,foelscheana,,perennial,tree,e,10,,s,lanceolate,105-175,40-90,,,,,nov-oct,may-oct,winged seed,,
Eucalyptus grandifolia,Eucalyptus,grandifolia,,perennial,tree,e,15,,s,lanceolate,100-175,35-110,,,,,jul-oct,jul-oct,,,
Eucalyptus herbertiana,Eucalyptus,herbertiana,,perennial,tree,e,8,,s,lanceolate,62-160,Aug-33,,,,,aug-dec,ay,,,
Eucalyptus jacobsiana,Eucalyptus,jacobsiana,,perennial,tree,e,18,,s,lanceolate,36-120,Jul-21,,,,,dec,jun-sep,,,
Eucalyptus jensenii,Eucalyptus,jensenii,,perennial,tree,e,12,,s,lanceolate,45-110,Oct-35,,,,,mar-may,may-oct,,,
Eucalyptus kombolgiensis,Eucalyptus,kombolgiensis,,perennial,tree,e,10,,s,lanceolate,50-180,May-22,,,,,oct-nov,oct-dec,,,
Eucalyptus latifolia,Eucalyptus,latifolia,,perennial,tree,e,10,,s,lanceolate,90-160,56-100,,,,,sep-feb,may-sep,winged seed,,
Eucalyptus miniata,Eucalyptus,miniata,,perennial,tree,e,30,,s,lanceolate,60-150,13-57,,,,,may-jul,sep-nov,,,
Eucalyptus nesophila,Eucalyptus,nesophila,,perennial,tree,e,35,,s,falcate,95-195,Sep-25,,,,,jun-jul,jul-sep,,,
Eucalyptus oligantha,Eucalyptus,oligantha,,perennial,tree,e,15,,s,deltoid,50-150,25-140,,,,,sep,ay,,,
Eucalyptus papuana,Eucalyptus,papuana,,perennial,tree,e,15,,s,lanceolate,601-60,Dec-48,,,,,jul-nov,aug-nov,,,
Eucalyptus patellaris,Eucalyptus,patellaris,,perennial,tree,e,14,,s,falcate,105-245,14-45,,,,,dec-feb,mar-sep,,,
Eucalyptus phoenicea,Eucalyptus,phoenicea,,perennial,tree,e,12,,s,lanceolate,65-145,Oct-35,,,,,may-aug,aug-nov,,,
Eucalyptus polycarpa,Eucalyptus,polycarpa,,perennial,tree,e,17,,s,falcate,75-170,Nov-26,,,,,mar-jul,jun-oct,winged seed,,
Eucalyptus porrecta,Eucalyptus,porrecta,,perennial,tree,e,8,,s,lanceolate,110-230,26-75,,,,,jan-mar,may-aug,,,
Eucalyptus ptychocarpa,Eucalyptus,ptychocarpa,,perennial,tree,e,12,,s,lanceolate,125-320,28-97,,,,,feb-jun,jun-nov,,,
Eucalyptus setosa,Eucalyptus,setosa,,perennial,tree,e,5,,s,lanceolate,37-150,20-92,,,,,ay,ay,winged seed,,
Eucalyptus tectifica,Eucalyptus,tectifica,,perennial,tree,d,12,,s,lanceolate,54-190,13-50,,,,,nov-dec,nov-dec,,,
Eucalyptus tetrodonta,Eucalyptus,tetrodonta,,perennial,tree,e,30,,s,falcate,75-250,Oct-53,,,,,jun-oct,sep-oct,,,
Eucalyptus tintinnans,Eucalyptus,tintinnans,,perennial,tree,d,12,,s,lanceolate,50-125,35-75,,,,,jul-aug,aug-oct,,,
Eucalyptus umbrawarrensis,Eucalyptus,umbrawarrensis,,perennial,tree,e,8,,s,lanceolate,40-110,Jun-32,,,,,jan-feb,feb-oct,,,
Leptospermum madidum subsp. Sativum,LEPTOSPERMUM,madidum,subsp. Sativum,perennial,tree,e,9,,s,linear,Aug-70,1-Jun,,,,,jul-oct,sep-nov,,,
Leptospermum ,LEPTOSPERMUM,,,perennial,tree,e,,,s,,,,,,,,,,,,
Lophostemon grandiflorus,Lophostemon,grandiflorus,,perennial,tree,e,11,,s,oblong,43-140,15-47,,,,,ay,ay,,,
Lophostemon lactifluus,Lophostemon,lactifluus,,perennial,tree,e,15,,s,elliptic,68-174,13-94,,,,,jul-nov,jul-nov,,,
Melaleuca acacioides,Melaleuca,acacioides,,perennial,tree,e,5,,s,oblanceolate,15-80,Apr-14,,,,,may-sep,aug-nov,,,
Melaleuca argentea,Melaleuca,argentea,,perennial,tree,e,20,,s,elliptic,60-130,Jun-22,,,,,jul-oct,ay,,,
Melaleuca cajuputi,Melaleuca,cajuputi,,perennial,tree,e,35,,s,elliptic,24-110,Jul-28,,,,,mar-oct,sep-dec,,,
Melaleuca dealbata,Melaleuca,dealbata,,perennial,tree,e,12,,s,elliptic,42-125,Dec-28,,,,,aug-oct,jul,,,
Melaleuca leucadendra,Melaleuca,leucadendra,,perennial,tree,e,30,,s,falcate,55-190,Jul-37,,,,,aug-may,ay,,,
Melaleuca nervosa,Melaleuca,nervosa,,perennial,tree,e,10,,s,oblanceolate,42-95,Jul-31,,,,,may-sep,jun-oct,,,
Melaleuca viridiflora,Melaleuca,viridiflora,,perennial,tree,e,16,,s,elliptic,55-170,Jul-50,,,,,feb-may,ay,,,
Myrtella retusa,Myrtella,retusa,,perennial,shrub,e,3,,s,oblanceolate,Oct-35,1.5-7,,4-4.5,,,dec-apr,feb-jul,,,
Osbornia octodonta,Osbornia,octodonta,,perennial,tree,e,6,,s,oblanceolate,31-52,14-21,,,,,jun-dec,feb,,,
Rhodamnia australis,Rhodamnia,australis,,perennial,tree,e,8,,s,lanceolate,48-105,23-59,,,,,dec-feb,feb-mar,,,
Syzygium angophoroides,Syzygium,angophoroides,,perennial,tree,e,20,,s,elliptic,60-120,20-45,,,,,jul-dec,nov-feb,,,
Syzygium armstrongii,Syzygium,armstrongii,,perennial,tree,e,25,,s,elliptic,75-135,19-36,,,,,sep-nov,jan,,,
Syzygium eucalyptoides,Syzygium,eucalyptoides,,perennial,tree,e,,,s,elliptic,40-185,8-165,,,,,,,,,
Syzygium eucalyptoides subsp. Bleeseri,Syzygium,eucalyptoides,subsp. Bleeseri,perennial,tree,e,10,,s,orbicular,40-150,35-165,,,,,jul-oct,nov-dec,,,
Syzygium eucalyptoides subsp. Eucalyptoides,Syzygium,eucalyptoides,subsp. Eucalyptoides,perennial,tree,e,6,,s,elliptic,70-185,Aug-24,,,,,jun-nov,dec-jan,,,
Syzygium fibrosum,Syzygium,fibrosum,,perennial,tree,e,15,,s,elliptic,70-100,26-55,,,,,mar-may,jul-oct,,,
Syzygium forte,Syzygium,forte,,perennial,tree,e,25,,s,oblanceolate,80-140,32-80,,,,,sep-dec,jan,,,
Syzygium minutuliflorum,Syzygium,minutuliflorum,,perennial,tree,e,20,,s,obovate,75-135,30-58,,,,,sep-nov,oct-jan,,,
Syzygium nervosum,Syzygium,nervosum,,perennial,tree,e,25,,s,elliptic,90-190,38-62,,,,,aug-nov,dec-feb,,,
Syzygium suborbiculare,Syzygium,suborbiculare,,perennial,tree,e,14,,s,elliptic,95-175,75-120,,,,,jul-oct,nov-dec,,,
Vertcordia cunninghamii,Vertcordia,cunninghamii,,perennial,shrub,e,4,,s,,Oct-15,0.5,,,,,jun-oct,jun-oct,,,
Vertcordia decussata,Vertcordia,decussata,,perennial,shrub,e,5,,s,,1.5-2.5,0.5,,,,,jul-nov,nov-dec,,,
Vertcordia verticillata,Vertcordia,verticillata,,perennial,shrub,e,6,,s,,Nov-30,0.5,,,,,jul-nov,dec-jan,,,
Xanthostemon eucalyptoides,Xanthostemon,eucalyptoides,,perennial,tree,e,18,,s,elliptic,65-132,32-68,,,,,apr-oct,aug-may,,,
Xanthostemon paradoxus,Xanthostemon,paradoxus,,perennial,tree,e,12,,s,elliptic,50-140,26-75,,,,,,,,,
Xanthostemon psidioides,Xanthostemon,psidioides,,perennial,tree,e,5,,,elliptic,50-150,20-65,,,,,feb-jun,ay,,,
Xanthostemon umbrosus,Xanthostemon,umbrosus,,perennial,tree,e,14,,,elliptic,45-85,25-40,,,,,mar,mar-jul,,,
