species,herbarium voucher,native to,voucher location,lat,long,alt,leaf type,stomatal distribution,habitat,woodiness,habit,Guard cell length,Total vein density (mm/mm2),leaf mass per unit area gm-2,total stomatal density (mm-2),adaxial stomatal density (mm-2),abaxial stomatal density (mm-2),dense hairs covering the stomata,tightly revolute leaves (1=linear leaves with revolute margins appressed to either midrib or other margin,deep longitudinal grooves etc (n=none;g=grooves;(g) grooves but stomata not restricted to grooves),Banksia-type pits,hakea-type pits,telopea-type papillae,lamina thickness (microns),epidermal width (microns),palisade width (microns),epidermal cell density,stomatal index,leaf area (cm2),adult leaf type,juvenile leaf type,leaf form,adaxial hypodermis,adaxial cuticle thickness (microns),ad papillae5,ad trichomes,ab hypo,ab cut thick,bundle sheath extensions,lignified margins,sclereids at vein endings,sclereids protruding from bundle sheaths,bundle sheaths 1= large parenchyma-like cells; 3=bundles sheaths surrounded by sclereids; 4= bundles embedded in a lignified core,crystals in mesophyll,hypodermal structures (0=no specialised structure; 1 = lignified adaxial hypodermis; 2 = lignified abaxial hypodermis; 3 = hypodermis of extension of bundle sheath extensions; 4=Orites milliganii upper type; 5 = Orites milliganii lower type; 6 = ideosclereids extending under adaxial hypodermis),compound midribs,ideosclereids (0=absent; 1=ordinary; 2= branched; 3=asterosclereids; 4=osteosclereids;5=dense clusters of sclereids),clade,group,veg type,"stomatal distribution (amphistomatic, hypostomatic or unevenly amphistomatic [=""functionally hypostomatic"")",site_name,leaf_lamina_division,leaf_compoundness,leaf_margin,leaf_shape
Grevillea velutinella,NA,NA,NA,NA,NA,NA,NA,NA,NA,woody,perennial,NA,NA,NA,NA,NA,NA,y,n,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Grevillea venusta,NA,NA,NA,NA,NA,NA,NA,NA,NA,woody,perennial,NA,NA,NA,NA,NA,NA,y,n,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,open,NA,NA,NA,NA,NA,NA
Grevillea versicolor,NA,NA,NA,NA,NA,NA,NA,NA,NA,woody,perennial,NA,NA,NA,NA,NA,NA,y,n,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,open,NA,NA,NA,NA,NA,NA
Grevillea vestita,NA,NA,NA,NA,NA,NA,NA,NA,NA,woody,perennial,NA,NA,NA,NA,NA,NA,y,n,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,open,hypo,NA,NA,NA,NA,NA
Grevillea victoriae,NA,NA,NA,NA,NA,NA,NA,NA,NA,woody,perennial,NA,NA,NA,NA,NA,NA,y,n,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,open,hypo,NA,NA,NA,NA,NA
Grevillea virgata,NA,NA,NA,NA,NA,NA,NA,NA,NA,woody,perennial,NA,NA,NA,NA,NA,NA,n,n,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,open,NA,NA,NA,NA,NA,NA
Grevillea viridiflava,NA,NA,NA,NA,NA,NA,NA,NA,NA,woody,perennial,NA,NA,NA,NA,NA,NA,y,n,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,open,NA,NA,NA,NA,NA,NA
Grevillea whiteana,NA,NA,NA,NA,NA,NA,NA,NA,NA,woody,perennial,NA,NA,NA,NA,NA,NA,y,y,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,open,NA,NA,NA,NA,NA,NA
Grevillea wickhamii,NA,NA,NA,NA,NA,NA,NA,NA,NA,woody,perennial,NA,NA,NA,NA,NA,NA,n,n,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Grevillea wilkinsonii,NA,NA,NA,NA,NA,NA,NA,NA,NA,woody,perennial,NA,NA,NA,NA,NA,NA,y,n,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,open,NA,NA,NA,NA,NA,NA
Grevillea williamsonii,NA,NA,NA,NA,NA,NA,NA,NA,NA,woody,perennial,NA,NA,NA,NA,NA,NA,n,n,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,open,NA,NA,NA,NA,NA,NA
Grevillea willisii,NA,NA,NA,NA,NA,NA,NA,NA,NA,woody,perennial,NA,NA,NA,NA,NA,NA,y,n,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,open,NA,NA,NA,NA,NA,NA
Grevillea wilsonii,NA,NA,NA,NA,NA,NA,NA,NA,NA,woody,perennial,NA,NA,NA,NA,NA,NA,y,y,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,open,NA,NA,NA,NA,NA,NA
Grevillea wiradjuri,NA,NA,NA,NA,NA,NA,NA,NA,NA,woody,perennial,NA,NA,NA,NA,NA,NA,y,y,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,open,NA,NA,NA,NA,NA,NA
Grevillea wittweri,NA,NA,NA,NA,NA,NA,NA,NA,NA,woody,perennial,NA,NA,NA,NA,NA,NA,y,y,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,open,NA,NA,NA,NA,NA,NA
Grevillea xiphoidea,NA,NA,NA,NA,NA,NA,NA,NA,NA,woody,perennial,NA,NA,NA,NA,NA,NA,y,n,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,open,NA,NA,NA,NA,NA,NA
Grevillea yorkrakinensis,NA,NA,NA,NA,NA,NA,NA,NA,NA,woody,perennial,NA,NA,NA,NA,NA,NA,y,y,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,open,NA,NA,NA,NA,NA,NA
Grevillea zygoloba,NA,NA,NA,NA,NA,NA,NA,NA,NA,woody,perennial,NA,NA,NA,NA,NA,NA,y,y,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,open,NA,NA,NA,NA,NA,NA
Hakea actites,NA,NA,NA,NA,NA,NA,NA,NA,NA,woody,perennial,NA,NA,NA,NA,NA,NA,n,n,n,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,A1,sericea,open,terete,NA,NA,NA,NA,NA
Hakea aculeata,NA,NA,NA,NA,NA,NA,NA,NA,NA,woody,perennial,NA,NA,NA,NA,NA,NA,n,n,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,open,NA,NA,NA,NA,NA,NA
Hakea acuminata,NA,NA,NA,NA,NA,NA,NA,NA,NA,woody,perennial,NA,NA,NA,NA,NA,NA,n,n,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,open,NA,NA,NA,NA,NA,NA
Hakea adnata,NA,NA,NA,NA,NA,NA,NA,NA,NA,woody,perennial,NA,NA,NA,NA,NA,NA,n,n,n,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,A2,obliqua,open,terete,NA,NA,NA,NA,NA
Hakea aenigma,NA,NA,NA,NA,NA,NA,NA,NA,NA,woody,perennial,NA,NA,NA,NA,NA,NA,n,n,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,open,NA,NA,NA,NA,NA,NA
Hakea ambigua,NA,NA,NA,NA,NA,NA,NA,NA,NA,woody,perennial,NA,NA,NA,NA,NA,NA,n,n,n,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,B2,undulata,open,amphi,NA,NA,NA,NA,NA
Hakea amplexicaulis,NA,NA,NA,NA,NA,NA,NA,NA,NA,woody,perennial,NA,NA,NA,NA,NA,NA,n,n,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,open,NA,NA,NA,NA,NA,NA
Hakea anadenia,NA,NA,NA,NA,NA,NA,NA,NA,NA,woody,perennial,NA,NA,NA,NA,NA,NA,n,n,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,open,NA,NA,NA,NA,NA,NA
Hakea arborescens,NA,NA,NA,NA,NA,NA,NA,NA,NA,woody,perennial,NA,NA,NA,NA,NA,NA,n,n,n,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,A2,pedunculata,open,terete,NA,NA,NA,NA,NA
Hakea archaeoides,NA,NA,NA,NA,NA,NA,NA,NA,NA,woody,perennial,NA,NA,NA,NA,NA,NA,n,n,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,open,NA,NA,NA,NA,NA,NA
Hakea auriculata,NA,NA,NA,NA,NA,NA,NA,NA,NA,woody,perennial,NA,NA,NA,NA,NA,NA,n,n,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,open,NA,NA,NA,NA,NA,NA
Hakea bakeriana,NA,NA,NA,NA,NA,NA,NA,NA,NA,woody,perennial,NA,NA,NA,NA,NA,NA,n,n,n,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,A1,verrucosa,open,terete,NA,NA,NA,NA,NA
Hakea baxteri,NA,NA,NA,NA,NA,NA,NA,NA,NA,woody,perennial,NA,NA,NA,NA,NA,NA,n,n,n,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,A2,ceratophylla,open,amphi,NA,NA,NA,NA,NA
Hakea bicornata,NA,NA,NA,NA,NA,NA,NA,NA,NA,woody,perennial,NA,NA,NA,NA,NA,NA,n,n,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,open,NA,NA,NA,NA,NA,NA
Hakea brachyptera,NA,NA,NA,NA,NA,NA,NA,NA,NA,woody,perennial,NA,NA,NA,NA,NA,NA,n,n,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,open,NA,NA,NA,NA,NA,NA
Hakea brownii,NA,NA,NA,NA,NA,NA,NA,NA,NA,woody,perennial,NA,NA,NA,NA,NA,NA,n,n,n,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,A2,ceratophylla,open,amphi,NA,NA,NA,NA,NA
Hakea bucculenta,NA,NA,NA,NA,NA,NA,NA,NA,NA,woody,perennial,NA,NA,NA,NA,NA,NA,n,n,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,open,NA,NA,NA,NA,NA,NA
Hakea candolleana,NA,NA,NA,NA,NA,NA,NA,NA,NA,woody,perennial,NA,NA,NA,NA,NA,NA,n,n,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,open,NA,NA,NA,NA,NA,NA
Hakea carinata,NA,NA,NA,NA,NA,NA,NA,NA,NA,woody,perennial,NA,NA,NA,NA,NA,NA,n,n,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,open,NA,NA,NA,NA,NA,NA
Hakea chordophylla,NA,NA,NA,NA,NA,NA,NA,NA,NA,woody,perennial,NA,NA,NA,NA,NA,NA,n,n,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,open,NA,NA,NA,NA,NA,NA
Hakea cinerea,NA,NA,NA,NA,NA,NA,NA,NA,NA,woody,perennial,NA,NA,NA,NA,NA,NA,n,n,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,open,NA,NA,NA,NA,NA,NA
Hakea circumalata,NA,NA,NA,NA,NA,NA,NA,NA,NA,woody,perennial,NA,NA,NA,NA,NA,NA,n,n,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,open,NA,NA,NA,NA,NA,NA
Hakea clavata,NA,NA,NA,NA,NA,NA,NA,NA,NA,woody,perennial,NA,NA,NA,NA,NA,NA,n,n,n,0,1,0,NA,NA,NA,NA,NA,NA,terete,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,A1,clavata,open,terete,NA,,NA,NA,terete
Hakea collina,NA,NA,NA,NA,NA,NA,NA,NA,NA,woody,perennial,NA,NA,NA,NA,NA,NA,n,n,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,open,NA,NA,NA,NA,NA,NA
Hakea commutata,NA,NA,NA,NA,NA,NA,NA,NA,NA,woody,perennial,NA,NA,NA,NA,NA,NA,n,n,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,open,NA,NA,NA,NA,NA,NA
Hakea conchifolia,NA,NA,NA,NA,NA,NA,NA,NA,NA,woody,perennial,NA,NA,NA,NA,NA,NA,n,n,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,open,NA,NA,NA,NA,NA,NA
Hakea constablei,NA,NA,NA,NA,NA,NA,NA,NA,NA,woody,perennial,NA,NA,NA,NA,NA,NA,n,n,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,open,NA,NA,NA,NA,NA,NA
Hakea corymbosa,NA,NA,NA,NA,NA,NA,NA,NA,NA,woody,perennial,NA,NA,NA,NA,NA,NA,n,n,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,open,NA,NA,NA,NA,NA,NA
Hakea costata,NA,NA,NA,NA,NA,NA,NA,NA,NA,woody,perennial,NA,NA,NA,NA,NA,NA,n,n,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,open,NA,NA,NA,NA,NA,NA
Hakea cristata,NA,NA,NA,NA,NA,NA,NA,NA,NA,woody,perennial,NA,NA,NA,NA,NA,NA,n,n,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,open,NA,NA,NA,NA,NA,NA
Hakea cyclocarpa,NA,NA,NA,NA,NA,NA,NA,NA,NA,woody,perennial,NA,NA,NA,NA,NA,NA,n,n,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,open,NA,NA,NA,NA,NA,NA
Hakea cycloptera,NA,NA,NA,NA,NA,NA,NA,NA,open,woody,perennial,NA,NA,NA,NA,NA,NA,n,n,n,0,1,0,NA,NA,NA,NA,NA,NA,terete,NA,terete,?,17,0,0,1,17,0,0,0,0,4,0,2,0,4,A1,strumosa,open,terete,open,,NA,NA,terete
Hakea cygna,NA,NA,NA,NA,NA,NA,NA,NA,NA,woody,perennial,NA,NA,NA,NA,NA,NA,n,n,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,open,NA,NA,NA,NA,NA,NA
Hakea dactyloides,NA,NA,NA,NA,NA,NA,NA,NA,NA,woody,perennial,NA,NA,NA,NA,NA,NA,n,n,n,0,1,0,NA,NA,NA,NA,NA,NA,"simple,entire",NA,amphistomatic,1,15,0,0,0,13,0,0,0,0,3,0,6,0,2,B2,undulata,open,amphi,NA,entire,simple,entire,NA
Hakea decurrens,NA,NA,NA,NA,NA,NA,NA,NA,NA,woody,perennial,NA,NA,NA,NA,NA,NA,n,n,n,0,1,0,NA,NA,NA,NA,NA,NA,terete,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,A1,sericea,open,terete,NA,,NA,NA,terete
Hakea denticulata,NA,NA,NA,NA,NA,NA,NA,NA,NA,woody,perennial,NA,NA,NA,NA,NA,NA,n,n,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,open,NA,NA,NA,NA,NA,NA
Hakea divaricata,NA,NA,NA,NA,NA,NA,NA,NA,NA,woody,perennial,NA,NA,NA,NA,NA,NA,n,n,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,open,NA,NA,NA,NA,NA,NA
Hakea dohertyi,NA,NA,NA,NA,NA,NA,NA,NA,NA,woody,perennial,NA,NA,NA,NA,NA,NA,n,n,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,open,NA,NA,NA,NA,NA,NA
Hakea drupacea,NA,NA,NA,NA,NA,NA,NA,NA,NA,woody,perennial,NA,NA,NA,NA,NA,NA,n,n,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,open,NA,NA,NA,NA,NA,NA
Hakea ednieana,NA,NA,NA,NA,NA,NA,NA,NA,NA,woody,perennial,NA,NA,NA,NA,NA,NA,n,n,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,open,NA,NA,NA,NA,NA,NA
Hakea eneabba,NA,NA,NA,NA,NA,NA,NA,NA,NA,woody,perennial,NA,NA,NA,NA,NA,NA,n,n,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,open,NA,NA,NA,NA,NA,NA
Hakea erecta,NA,NA,NA,NA,NA,NA,NA,NA,NA,woody,perennial,NA,NA,NA,NA,NA,NA,n,n,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,open,NA,NA,NA,NA,NA,NA
Hakea eryeana,NA,NA,NA,NA,NA,NA,NA,NA,NA,woody,perennial,NA,NA,NA,NA,NA,NA,n,n,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,open,NA,NA,NA,NA,NA,NA
Hakea falcata,NA,NA,NA,NA,NA,NA,NA,NA,NA,woody,perennial,NA,NA,NA,NA,NA,NA,n,n,n,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,B2,undulata,open,amphi,NA,NA,NA,NA,NA
Hakea ferruginea,NA,NA,NA,NA,NA,NA,NA,NA,NA,woody,perennial,NA,NA,NA,NA,NA,NA,n,n,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,open,NA,NA,NA,NA,NA,NA
Hakea florida,NA,NA,NA,NA,NA,NA,NA,NA,NA,woody,perennial,NA,NA,NA,NA,NA,NA,n,n,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,open,NA,NA,NA,NA,NA,NA
Hakea florulenta,NA,NA,NA,NA,NA,NA,NA,NA,NA,woody,perennial,NA,NA,NA,NA,NA,NA,n,n,n,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,A1,salicifolia,open,amphi,NA,NA,NA,NA,NA
Hakea fraseri,NA,NA,NA,NA,NA,NA,NA,NA,NA,woody,perennial,NA,NA,NA,NA,NA,NA,n,n,n,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,A2,lorea,open,terete,NA,NA,NA,NA,NA
Hakea gilbertii,NA,NA,NA,NA,NA,NA,NA,NA,NA,woody,perennial,NA,NA,NA,NA,NA,NA,n,n,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,open,NA,NA,NA,NA,NA,NA
Hakea grammatophylla,NA,NA,NA,NA,NA,NA,NA,NA,NA,woody,perennial,NA,NA,NA,NA,NA,NA,n,n,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,open,NA,NA,NA,NA,NA,NA
Hakea hastata,NA,NA,NA,NA,NA,NA,NA,NA,NA,woody,perennial,NA,NA,NA,NA,NA,NA,n,n,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,open,NA,NA,NA,NA,NA,NA
Hakea hookeriana,NA,NA,NA,NA,NA,NA,NA,NA,NA,woody,perennial,NA,NA,NA,NA,NA,NA,n,n,n,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,A2,ceratophylla,open,amphi,NA,NA,NA,NA,NA
Hakea horrida,NA,NA,NA,NA,NA,NA,NA,NA,NA,woody,perennial,NA,NA,NA,NA,NA,NA,n,n,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,open,NA,NA,NA,NA,NA,NA
Hakea ilicifolia,NA,NA,NA,NA,NA,NA,NA,NA,NA,woody,perennial,NA,NA,NA,NA,NA,NA,n,n,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,open,NA,NA,NA,NA,NA,NA
Hakea invaginata,NA,NA,NA,NA,NA,NA,NA,NA,NA,woody,perennial,NA,NA,NA,NA,NA,NA,n,n,g,0,1,0,NA,NA,NA,NA,NA,NA,terete,NA,terete,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,B2,ulicina,open,terete,NA,,NA,NA,terete
Hakea ivoryi,NA,NA,NA,NA,NA,NA,NA,NA,NA,woody,perennial,NA,NA,NA,NA,NA,NA,n,n,n,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,A2,lorea,open,terete,NA,NA,NA,NA,NA
Hakea kippistiana,NA,NA,NA,NA,NA,NA,NA,NA,NA,woody,perennial,NA,NA,NA,NA,NA,NA,n,n,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,open,NA,NA,NA,NA,NA,NA
