Species,family,Photosynthetic.pathway (confirmed using data from literature or TERN stable isotope analysis),Photosyntehtic.pathway (inferred from lineage),Photosynthetic pathway (combined),Source,Justification for inference based on lineage,Notes,longitude (deg),latitude (deg),site_name
Ptilotus gomphrenoides,Amaranthaceae,C3,NA,C3,TERN SIA;Sage et al 2007,NA,NA,117.7047278,-21.66288333,site_at_-21.663_deg_lat_117.705_deg_long
Ptilotus helipteroides,Amaranthaceae,C3,NA,C3,Sage et al 2007,NA,NA,NA,NA,no site data
Ptilotus holosericeus,Amaranthaceae,C3,NA,C3,Sage et al 2007,NA,NA,NA,NA,no site data
Ptilotus latifolius,Amaranthaceae,C3,NA,C3,Sage et al 2007,NA,NA,NA,NA,no site data
Ptilotus macrocephalus,Amaranthaceae,C3,NA,C3,Sage et al 2007,NA,NA,NA,NA,no site data
Ptilotus nobilis,Amaranthaceae,C3,NA,C3,TERN SIA,NA,NA,NA,NA,no site data
Ptilotus obovatus,Amaranthaceae,C3,NA,C3,Pate et al 1998; Sage et al 2007,NA,NA,NA,NA,no site data
Ptilotus obovatus,Amaranthaceae,C3,NA,C3,TRY,NA,NA,NA,NA,no site data
Ptilotus polystachyus,Amaranthaceae,C3,NA,C3,TERN SIA;Sage et al 2007,NA,NA,NA,NA,no site data
Ptilotus schwartzii,Amaranthaceae,C3,NA,C3,Sage et al 2007,NA,NA,NA,NA,no site data
Ptilotus seminudus,Amaranthaceae,U,C3,C3,Sage et al 2007,No evidence of a C4 species in this lineage in Australia; Other known species in this lineage (genus) are C3,NA,NA,NA,no site data
Ptilotus sessilifolius,Amaranthaceae,U,C3,C3,Sage et al 2007,No evidence of a C4 species in this lineage in Australia; Other known species in this lineage (genus) are C3,NA,NA,NA,no site data
Ptilotus spicatus,Amaranthaceae,U,C3,C3,Sage et al 2007,No evidence of a C4 species in this lineage in Australia; Other known species in this lineage (genus) are C3,NA,NA,NA,no site data
Ptilotus whitei,Amaranthaceae,U,C3,C3,Sage et al 2007,No evidence of a C4 species in this lineage in Australia; Other known species in this lineage (genus) are C3,NA,NA,NA,no site data
Pultenaea acerosa,Fabaceae,U,C3,C3,Sage 2016 (and references therein); Watson and Dallwitz 1992 onwards,No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,NA,NA,NA,no site data
Pultenaea daphnoides,Fabaceae,C3,NA,C3,TRY,NA,NA,NA,NA,no site data
Pultenaea involucrata,Fabaceae,C3,NA,C3,TERN SIA,NA,NA,138.261275,-35.60826944,site_at_-35.608_deg_lat_138.261_deg_long
Pultenaea kraehenbuehlii,Fabaceae,U,C3,C3,Sage 2016 (and references therein); Watson and Dallwitz 1992 onwards,No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,NA,NA,NA,no site data
Pultenaea largiflorens,Fabaceae,C3,NA,C3,TRY,NA,NA,NA,NA,no site data
Pultenaea linophylla,Fabaceae,C3,NA,C3,TRY,NA,NA,NA,NA,no site data
Pultenaea prostrata,Fabaceae,U,C3,C3,Sage 2016 (and references therein); Watson and Dallwitz 1992 onwards,No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,NA,NA,NA,no site data
Pultenaea reticulata,Fabaceae,U,C3,C3,Sage 2016 (and references therein); Watson and Dallwitz 1992 onwards,No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,NA,NA,NA,no site data
Pultenaea scabra,Fabaceae,C3,NA,C3,TRY,NA,NA,NA,NA,no site data
Pultenaea tenella,Fabaceae,U,C3,C3,Sage 2016 (and references therein); Watson and Dallwitz 1992 onwards,No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,NA,NA,NA,no site data
Pultenaea tuberculata,Fabaceae,C3,NA,C3,TRY,NA,NA,NA,NA,no site data
Pycnosorus pleiocephalus,Asteraceae,C3,NA,C3,TERN SIA,NA,NA,130.4504778,-29.34649167,site_at_-29.346_deg_lat_130.45_deg_long
Quinetia urvillei,Asteraceae,C3,NA,C3,TERN SIA,NA,NA,117.687625,-34.40362778,site_at_-34.404_deg_lat_117.688_deg_long
Ranunculus graniticola,Ranunculaceae,C3,NA,C3,TRY,NA,NA,NA,NA,no site data
Ranunculus lappaceus,Ranunculaceae,C3,NA,C3,TRY,NA,NA,NA,NA,no site data
Ranunculus muelleri,Ranunculaceae,C3,NA,C3,TRY,NA,NA,NA,NA,no site data
Ranunculus victoriensis,Ranunculaceae,U,C3,C3,Sage 2016 (and references therein); Watson and Dallwitz 1992 onwards,No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,NA,NA,NA,no site data
Rapistrum rugosum,Brassicaceae,C3,NA,C3,TRY,NA,NA,NA,NA,no site data
Regelia inops,Myrtaceae,U,C3,C3,Sage 2016 (and references therein); Watson and Dallwitz 1992 onwards,No evidence of a C4 species in this lineage; Other known species in this lineage (family) are C3,NA,NA,NA,no site data
Reichardia tingitana,Asteraceae,C3,NA,C3,TRY,NA,NA,NA,NA,no site data
Rhagodia candolleana,Chenopodiaceae,C3,NA,C3,TERN SIA,NA,NA,NA,NA,no site data
Rhagodia crassifolia,Chenopodiaceae,C3,NA,C3,TERN SIA,NA,NA,NA,NA,no site data
Rhagodia drummondii,Chenopodiaceae,C3,NA,C3,TERN SIA,NA,NA,NA,NA,no site data
Rhagodia eremaea,Chenopodiaceae,C3,NA,C3,Pate et al 1998;TERN SIA,NA,NA,NA,NA,no site data
Rhagodia latifolia,Chenopodiaceae,C3,NA,C3,TERN SIA,NA,NA,NA,NA,no site data
Rhagodia parabolica,Chenopodiaceae,C3,NA,C3,TERN SIA,NA,NA,137.1972083,-32.98324722,site_at_-32.983_deg_lat_137.197_deg_long
Rhagodia preissii,Chenopodiaceae,C3,NA,C3,TERN SIA,NA,NA,NA,NA,no site data
Rhagodia spinescens,Chenopodiaceae,C3,NA,C3,TRY,NA,NA,NA,NA,no site data
Rhagodia ulicina,Chenopodiaceae,C3,NA,C3,TERN SIA,NA,NA,NA,NA,no site data
Rhodanthe anthemoides,Asteraceae,U,C3,C3,Photosynthetic Pathway of other species in genus; Sage 2016 (and references therein); Watson and Dallwitz 1992 onwards,No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,NA,NA,NA,no site data
Rhodanthe citrina,Asteraceae,C3,NA,C3,TERN SIA,NA,NA,115.9023917,-32.34424722,site_at_-32.344_deg_lat_115.902_deg_long
Rhodanthe corymbiflora,Asteraceae,C3,NA,C3,TERN SIA,NA,NA,141.6973686,-31.08023472,site_at_-31.08_deg_lat_141.697_deg_long
Rhodanthe diffusa,Asteraceae,C3,NA,C3,TERN SIA,NA,NA,145.7085583,-33.20680278,site_at_-33.207_deg_lat_145.709_deg_long
Rhodanthe floribunda,Asteraceae,C3,NA,C3,TERN SIA,NA,NA,141.6780775,-31.02531611,site_at_-31.025_deg_lat_141.678_deg_long
Rhodanthe haigii,Asteraceae,C3,NA,C3,TERN SIA,NA,NA,127.6902083,-30.01226389,site_at_-30.012_deg_lat_127.69_deg_long
Rhodanthe microglossa,Asteraceae,C3,NA,C3,TERN SIA,NA,NA,141.6973686,-31.08023472,site_at_-31.08_deg_lat_141.697_deg_long
Rhodanthe moschata,Asteraceae,C3,NA,C3,TERN SIA,NA,NA,NA,NA,no site data
Rhodanthe pygmaea,Asteraceae,C3,NA,C3,TERN SIA,NA,NA,NA,NA,no site data
Rhodanthe rubella,Asteraceae,U,C3,C3,Photosynthetic Pathway of other species in genus;Sage 2016 (and references therein),Photosynthetic Pathway of other species in genus,NA,NA,NA,no site data
Rhodanthe stricta,Asteraceae,C3,NA,C3,TERN SIA,NA,NA,141.6973686,-31.08023472,site_at_-31.08_deg_lat_141.697_deg_long
Rhodanthe tietkensii,Asteraceae,C3,NA,C3,TERN SIA,NA,NA,133.4679222,-24.12430278,site_at_-24.124_deg_lat_133.468_deg_long
Rhodanthe uniflora,Asteraceae,C3,NA,C3,TERN SIA,NA,NA,136.4283806,-28.43342778,site_at_-28.433_deg_lat_136.428_deg_long
Rhyncharrhena linearis,Apocynaceae,C3,NA,C3,TERN SIA,NA,NA,NA,NA,no site data
Rhynchosia minima,Fabaceae,C3,NA,C3,TRY,NA,NA,NA,NA,no site data
Rhynchospora exserta,Cyperaceae,C4,NA,C4,TERN SIA,NA,NA,134.420675,-14.04786389,site_at_-14.048_deg_lat_134.421_deg_long
Rhynchospora longisetis,Cyperaceae,C4,NA,C4,TRY,NA,NA,NA,NA,no site data
Richea continentis,Eriaceae,U,C3,C3,Sage 2016 (and references therein); Watson and Dallwitz 1992 onwards,No evidence of a C4 species in this lineage; Other known species in this lineage (family) are C3,NA,NA,NA,no site data
Rosa canina,Rosaceae,C3,NA,C3,TRY,NA,NA,NA,NA,no site data
Rostraria cristata,Poaceae,C3,NA,C3,TRY,NA,NA,NA,NA,no site data
Rostraria pumila,Poaceae,C3,NA,C3,TERN SIA,NA,NA,141.6973686,-31.08023472,site_at_-31.08_deg_lat_141.697_deg_long
Rostraria pumila,Poaceae,C3,NA,C3,TERN SIA,NA,NA,141.6780775,-31.02531611,site_at_-31.025_deg_lat_141.678_deg_long
Rubus anglocandicans,Rosaceae,U,C3,C3,Sage 2016 (and references therein); Watson and Dallwitz 1992 onwards,No evidence of a C4 species in this lineage; Other known species in this lineage (family) are C3,NA,NA,NA,no site data
Rubus laudatus,Rosaceae,U,C3,C3,Sage 2016 (and references therein); Watson and Dallwitz 1992 onwards,No evidence of a C4 species in this lineage; Other known species in this lineage (family) are C3,NA,NA,NA,no site data
Rutidosis helichrysoides,Asteraceae,U,C3,C3,Photosynthetic Pathway of other species in genus;Sage 2016 (and references therein),Photosynthetic Pathway of other species in genus,NA,NA,NA,no site data
Rytidosperma caespitosum,Poaceae,C3,NA,C3,TRY,NA,NA,NA,NA,no site data
Rytidosperma erianthum,Poaceae,C3,NA,C3,TERN SIA,NA,NA,138.6790056,-35.08308056,site_at_-35.083_deg_lat_138.679_deg_long
Rytidosperma geniculatum,Poaceae,C3,NA,C3,TERN SIA,NA,NA,139.0381472,-34.92716667,site_at_-34.927_deg_lat_139.038_deg_long
Rytidosperma nudiflorum,Poaceae,U,C3,C3,Photosynthetic Pathway of other species in genus; Sage 2016 (and references therein); Watson and Dallwitz 1992 onwards,NA,NA,NA,NA,no site data
Rytidosperma oreophilum,Poaceae,U,C3,C3,Photosynthetic Pathway of other species in genus; Sage 2016 (and references therein); Watson and Dallwitz 1992 onwards,NA,NA,NA,NA,no site data
Rytidosperma pallidum,Poaceae,C3,NA,C3,TERN SIA,NA,NA,150.1397194,-33.32936667,site_at_-33.329_deg_lat_150.14_deg_long
Rytidosperma pilosum,Poaceae,C3,NA,C3,TERN SIA,NA,NA,138.78705,-34.88775556,site_at_-34.888_deg_lat_138.787_deg_long
Rytidosperma racemosum,Poaceae,C3,NA,C3,TRY,NA,NA,NA,NA,no site data
Rytidosperma setaceum,Poaceae,C3,NA,C3,TERN SIA,NA,NA,141.6973686,-31.08023472,site_at_-31.08_deg_lat_141.697_deg_long
Sacciolepis myosuroides,Poaceae,C3,NA,C3,TERN SIA,NA,NA,137.1579611,-17.35489722,site_at_-17.355_deg_lat_137.158_deg_long
Salix cinerea,Salicaceae,C3,NA,C3,TRY,NA,NA,NA,NA,no site data
Salsola australis,Chenopodiaceae,C4,NA,C4,TRY,NA,NA,NA,NA,no site data
Salsola kali,Chenopodiaceae,C4,NA,C4,TRY,NA,Also found in Pate et al 1998,NA,NA,no site data
Salsola tragus,Chenopodiaceae,C4,NA,C4,TRY,NA,NA,NA,NA,no site data
Salvia verbenaca,Lamiaceae,C3,NA,C3,TRY,NA,NA,NA,NA,no site data
Salvia verbenacea,Lamiaceae,U,C3,C3,Sage 2016 (and references therein); Watson and Dallwitz 1992 onwards,No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,NA,NA,NA,no site data
Santalum acuminatum,Santalaceae,C3,NA,C3,TRY,NA,NA,NA,NA,no site data
Santalum lanceolatum,Santalaceae,C3,NA,C3,TRY,Pate et al 1998,NA,NA,NA,no site data
Santalum spicatum,Santalaceae,C3,NA,C3,TRY,NA,NA,NA,NA,no site data
Sarcozona praecox,Aizoaceae,C3,NA,C3,TERN SIA,NA,NA,141.4337544,-31.89335056,site_at_-31.893_deg_lat_141.434_deg_long
Sarga plumosum,Poaceae,C4,NA,C4,TERN SIA,NA,NA,144.1695861,-19.40990833,site_at_-19.41_deg_lat_144.17_deg_long
Sarga timorense,Poaceae,C4,NA,C4,TERN SIA,NA,NA,140.7870389,-18.23883889,site_at_-18.239_deg_lat_140.787_deg_long
Scabiosa atropurpurea,Caprifoliaceae,C3,NA,C3,TRY,NA,NA,NA,NA,no site data
Scaevola albida,Goodeniaceae,C3,NA,C3,TERN SIA,NA,NA,NA,NA,no site data
Scaevola amblyanthera,Goodeniaceae,U,C3,C3,Sage 2016 (and references therein); Watson and Dallwitz 1992 onwards,No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,NA,NA,NA,no site data
Scaevola browniana,Goodeniaceae,U,C3,C3,Sage 2016 (and references therein); Watson and Dallwitz 1992 onwards,No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,NA,NA,NA,no site data
Scaevola crassifolia,Goodeniaceae,U,C3,C3,Sage 2016 (and references therein); Watson and Dallwitz 1992 onwards,No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,NA,NA,NA,no site data
Scaevola depauperata,Goodeniaceae,U,C3,C3,Sage 2016 (and references therein); Watson and Dallwitz 1992 onwards,No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,NA,NA,NA,no site data
Scaevola humilis,Goodeniaceae,U,C3,C3,Sage 2016 (and references therein); Watson and Dallwitz 1992 onwards,No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,NA,NA,NA,no site data
Scaevola parvibarbata,Goodeniaceae,C3,NA,C3,TERN SIA,NA,NA,136.2748111,-25.25326667,site_at_-25.253_deg_lat_136.275_deg_long
Scaevola parviflora,Goodeniaceae,U,C3,C3,Sage 2016 (and references therein); Watson and Dallwitz 1992 onwards,No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,NA,NA,NA,no site data
Scaevola parvifolia,Goodeniaceae,U,C3,C3,Sage 2016 (and references therein); Watson and Dallwitz 1992 onwards,No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,NA,NA,NA,no site data
Scaevola ramosissima,Goodeniaceae,U,C3,C3,Sage 2016 (and references therein); Watson and Dallwitz 1992 onwards,No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,NA,NA,NA,no site data
Scaevola restiacea,Goodeniaceae,U,C3,C3,Sage 2016 (and references therein); Watson and Dallwitz 1992 onwards,No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,NA,NA,NA,no site data
Scaevola spinescens,Goodeniaceae,C3,NA,C3,TERN SIA,NA,NA,138.226025,-23.29418889,site_at_-23.294_deg_lat_138.226_deg_long
Schismus barbatus,Poaceae,C3,NA,C3,TRY,NA,NA,NA,NA,no site data
Schizachyrium fragile,Poaceae,C3,NA,C3,TERN SIA,NA,NA,132.2943639,-13.54561111,site_at_-13.546_deg_lat_132.294_deg_long
Schizachyrium pachyarthron,Poaceae,C4,NA,C4,TERN SIA,NA,NA,134.3866778,-14.12585556,site_at_-14.126_deg_lat_134.387_deg_long
Schizachyrium pseudeulalia,Poaceae,C4,NA,C4,TERN SIA,NA,NA,132.2700917,-13.55729167,site_at_-13.557_deg_lat_132.27_deg_long
Schoenia ayersii,Asteraceae,C3,NA,C3,TERN SIA,NA,NA,127.0719278,-29.47343611,site_at_-29.473_deg_lat_127.072_deg_long
Schoenus apogon,Cyperaceae,C3,NA,C3,TRY,NA,NA,NA,NA,no site data
Schoenus brevisetis,Cyperaceae,C3,NA,C3,TERN SIA,NA,NA,119.1580222,-32.87458889,site_at_-32.875_deg_lat_119.158_deg_long
Schoenus caespititius,Cyperaceae,C3,NA,C3,TERN SIA,NA,NA,117.687625,-34.40362778,site_at_-34.404_deg_lat_117.688_deg_long
Schoenus calcatus,Cyperaceae,U,C3,C3,Bruhl and Wilson 2007,No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,NA,NA,NA,no site data
Schoenus clandestinus,Cyperaceae,U,C3,C3,Bruhl and Wilson 2007,No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,NA,NA,NA,no site data
Schoenus curvifolius,Cyperaceae,C3,NA,C3,TRY,NA,NA,NA,NA,no site data
Schoenus ericetorum,Cyperaceae,C3,NA,C3,TRY,NA,NA,NA,NA,no site data
Schoenus hexandrus,Cyperaceae,C3,NA,C3,TERN SIA,NA,NA,NA,NA,no site data
Schoenus imberbis,Cyperaceae,C3,NA,C3,TRY,NA,NA,NA,NA,no site data
Schoenus melanostachys,Cyperaceae,C3,NA,C3,TRY,NA,NA,NA,NA,no site data
Schoenus nanus,Cyperaceae,U,C3,C3,Bruhl and Wilson 2007,No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,NA,NA,NA,no site data
Schoenus pleiostemoneus,Cyperaceae,U,C3,C3,Bruhl and Wilson 2007,No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,NA,NA,NA,no site data
Schoenus subaphyllus,Cyperaceae,C3,NA,C3,TRY,NA,NA,NA,NA,no site data
Schoenus sublateralis,Cyperaceae,C3,NA,C3,TERN SIA,NA,NA,117.1554361,-34.61917222,site_at_-34.619_deg_lat_117.155_deg_long
Scholtzia involucrata,Myrtaceae,C3,NA,C3,TRY,NA,NA,NA,NA,no site data
Scleranthus biflorus,Caryophyllaceae,C3,NA,C3,TRY,NA,NA,NA,NA,no site data
Scleranthus brockiei,Caryophyllaceae,U,C3,C3,Sage 2016 (and references therein),No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,NA,NA,NA,no site data
Scleranthus fasciculatus,Caryophyllaceae,U,C3,C3,Sage 2016 (and references therein),No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,NA,NA,NA,no site data
Scleranthus pungens,Caryophyllaceae,C3,NA,C3,TERN SIA,NA,NA,138.5673306,-31.32773611,site_at_-31.328_deg_lat_138.567_deg_long
Scleranthus singuliflorus,Caryophyllaceae,C3,NA,C3,TRY,NA,NA,NA,NA,no site data
Scleria brownii,Cyperaceae,C3,NA,C3,TRY,NA,NA,NA,NA,no site data
Scleria rugosa,Cyperaceae,C3,NA,C3,TRY,NA,NA,NA,NA,no site data
Scleria sphacelata,Cyperaceae,C3,NA,C3,TRY,NA,NA,NA,NA,no site data
Sclerolaena articulata,Chenopodiaceae,C3,NA,C3,TERN SIA,NA,NA,NA,NA,no site data
Sclerolaena bicornis,Chenopodiaceae,C3,NA,C3,TERN SIA,NA,NA,NA,NA,no site data
Sclerolaena brachyptera,Chenopodiaceae,C3,NA,C3,TRY,NA,NA,NA,NA,no site data
Sclerolaena brevifolia,Chenopodiaceae,C3,NA,C3,TERN SIA,NA,NA,NA,NA,no site data
Sclerolaena calcarata,Chenopodiaceae,C3,NA,C3,TERN SIA,NA,NA,NA,NA,no site data
Sclerolaena constricta,Chenopodiaceae,C3,NA,C3,TERN SIA,NA,NA,NA,NA,no site data
Sclerolaena convexula,Chenopodiaceae,C3,NA,C3,TERN SIA,NA,NA,NA,NA,no site data
Sclerolaena cornishiana,Chenopodiaceae,C3,NA,C3,TERN SIA,NA,NA,NA,NA,no site data
Sclerolaena costata,Chenopodiaceae,C3,NA,C3,TERN SIA,NA,NA,NA,NA,no site data
Sclerolaena cuneata,Chenopodiaceae,C3,NA,C3,TERN SIA,NA,NA,NA,NA,no site data
Sclerolaena decurrens,Chenopodiaceae,C3,NA,C3,TERN SIA,NA,NA,NA,NA,no site data
Sclerolaena densiflora,Chenopodiaceae,C3,NA,C3,TERN SIA,NA,NA,NA,NA,no site data
Sclerolaena deserticola,Chenopodiaceae,C3,NA,C3,TERN SIA,NA,NA,NA,NA,no site data
Sclerolaena diacantha,Chenopodiaceae,C3,NA,C3,TERN SIA,NA,NA,NA,NA,no site data
Sclerolaena divaricata,Chenopodiaceae,C3,NA,C3,TRY,NA,NA,NA,NA,no site data
Sclerolaena drummondii,Chenopodiaceae,C3,NA,C3,TERN SIA,NA,NA,NA,NA,no site data
Sclerolaena eriacantha,Chenopodiaceae,C3,NA,C3,TERN SIA,NA,NA,NA,NA,no site data
Sclerolaena fontinalis,Chenopodiaceae,C3,NA,C3,TERN SIA,NA,NA,NA,NA,no site data
Sclerolaena fusiformis,Chenopodiaceae,U,C3,C3,Photosynthetic Pathway of other species in genus; Sage 2016 (and references therein); Watson and Dallwitz 1992 onwards,No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,NA,NA,NA,no site data
Sclerolaena glabra,Chenopodiaceae,C3,NA,C3,TERN SIA,NA,NA,NA,NA,no site data
Sclerolaena holtiana,Chenopodiaceae,C3,NA,C3,TERN SIA,NA,NA,NA,NA,no site data
Sclerolaena intricata,Chenopodiaceae,U,C3,C3,Photosynthetic Pathway of other species in genus; Sage 2016 (and references therein); Watson and Dallwitz 1992 onwards,No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,NA,NA,NA,no site data
Sclerolaena johnsonii,Chenopodiaceae,C3,NA,C3,TERN SIA,NA,NA,NA,NA,no site data
Sclerolaena lanicuspis,Chenopodiaceae,C3,NA,C3,TERN SIA,NA,NA,141.9404978,-31.84495778,site_at_-31.845_deg_lat_141.94_deg_long
Sclerolaena limbata,Chenopodiaceae,C3,NA,C3,TERN SIA,NA,NA,NA,NA,no site data
Sclerolaena longicuspis,Chenopodiaceae,C3,NA,C3,TERN SIA,NA,NA,141.7823089,-31.88420833,site_at_-31.884_deg_lat_141.782_deg_long
Sclerolaena muricata,Chenopodiaceae,C3,NA,C3,TRY,NA,NA,NA,NA,no site data
Sclerolaena obliquicuspis,Chenopodiaceae,C3,NA,C3,TERN SIA,NA,NA,141.7003097,-31.07671806,site_at_-31.077_deg_lat_141.7_deg_long
Sclerolaena parallelicuspis,Chenopodiaceae,U,C3,C3,Photosynthetic Pathway of other species in genus; Sage 2016 (and references therein); Watson and Dallwitz 1992 onwards,No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,NA,NA,NA,no site data
Sclerolaena parviflora,Chenopodiaceae,C3,NA,C3,TERN SIA,NA,NA,NA,NA,no site data
Sclerolaena patenticuspis,Chenopodiaceae,C3,NA,C3,TERN SIA,NA,NA,141.52881,-31.88592167,site_at_-31.886_deg_lat_141.529_deg_long
Sclerolaena stelligera,Chenopodiaceae,C3,NA,C3,TRY,NA,NA,NA,NA,no site data
Sclerolaena tetracuspis,Chenopodiaceae,U,C3,C3,Photosynthetic Pathway of other species in genus; Sage 2016 (and references therein); Watson and Dallwitz 1992 onwards,No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,NA,NA,NA,no site data
Sclerolaena tricuspis,Chenopodiaceae,C3,NA,C3,TRY,NA,NA,NA,NA,no site data
Sclerolaena uniflora,Chenopodiaceae,C3,NA,C3,TERN SIA,NA,NA,NA,NA,no site data
Sclerolaena ventricosa,Chenopodiaceae,C3,NA,C3,TERN SIA,NA,NA,NA,NA,no site data
Sehima nervosum,Poaceae,C4,NA,C4,TRY,NA,NA,NA,NA,no site data
Senecio anethifolius,Asteraceae,C3,NA,C3,TERN SIA,NA,NA,138.5795583,-30.76085556,site_at_-30.761_deg_lat_138.58_deg_long
Senecio cunninghamii,Asteraceae,C3,NA,C3,TERN SIA,NA,CAM confirmed in this genus (Watson and Dallwitz 1992); more detailed physiological testing could help provide more detail,141.5914625,-31.33115333,site_at_-31.331_deg_lat_141.591_deg_long
Senecio dolichocephalus,Asteraceae,C3,NA,C3,TERN SIA,NA,CAM confirmed in this genus (Watson and Dallwitz 1992); more detailed physiological testing could help provide more detail,138.646998,-34.97365,site_at_-34.974_deg_lat_138.647_deg_long
Senecio glossanthus,Asteraceae,C3,NA,C3,TRY,NA,CAM confirmed in this genus (Watson and Dallwitz 1992); more detailed physiological testing could help provide more detail,NA,NA,no site data
Senecio gregorii,Asteraceae,C3,NA,C3,TERN SIA,NA,CAM confirmed in this genus (Watson and Dallwitz 1992); more detailed physiological testing could help provide more detail,133.4084889,-23.95909444,site_at_-23.959_deg_lat_133.408_deg_long
Senecio lanibracteus,Asteraceae,C3,NA,C3,TERN SIA,NA,CAM confirmed in this genus (Watson and Dallwitz 1992); more detailed physiological testing could help provide more detail,141.9480675,-31.84727889,site_at_-31.847_deg_lat_141.948_deg_long
Senecio magnificus,Asteraceae,C3,NA,C3,TRY,NA,CAM confirmed in this genus (Watson and Dallwitz 1992); more detailed physiological testing could help provide more detail,NA,NA,no site data
Senecio phelleus,Asteraceae,C3,NA,C3,TERN SIA,NA,CAM confirmed in this genus (Watson and Dallwitz 1992); more detailed physiological testing could help provide more detail,138.78705,-34.88775556,site_at_-34.888_deg_lat_138.787_deg_long
Senecio picridioides,Asteraceae,C3,NA,C3,TERN SIA,NA,CAM confirmed in this genus (Watson and Dallwitz 1992); more detailed physiological testing could help provide more detail,138.6790056,-35.08308056,site_at_-35.083_deg_lat_138.679_deg_long
Senecio pterophorus,Asteraceae,C3,NA,C3,TERN SIA,NA,CAM confirmed in this genus (Watson and Dallwitz 1992); more detailed physiological testing could help provide more detail,NA,NA,no site data
Senecio quadridentatus,Asteraceae,C3,NA,C3,TRY,NA,CAM confirmed in this genus (Watson and Dallwitz 1992); more detailed physiological testing could help provide more detail,NA,NA,no site data
Senecio runcinifolius,Asteraceae,C3,NA,C3,TRY,NA,CAM confirmed in this genus (Watson and Dallwitz 1992); more detailed physiological testing could help provide more detail,NA,NA,no site data
Senecio spanomerus,Asteraceae,C3,NA,C3,TERN SIA,NA,CAM confirmed in this genus (Watson and Dallwitz 1992); more detailed physiological testing could help provide more detail,NA,NA,no site data
Senna artemisioides,Fabaceae,C3,NA,C3,TRY,NA,NA,NA,NA,no site data
Senna artemisioides,Fabaceae,C3,NA,C3,TRY,NA,NA,NA,NA,no site data
Senna cardiosperma,Fabaceae,U,C3,C3,Sage 2016 (and references therein); Watson and Dallwitz 1992 onwards,No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,NA,NA,NA,no site data
Senna charlesiana,Fabaceae,C3,NA,C3,TRY,NA,NA,NA,NA,no site data
Senna glutinosa,Fabaceae,C3,NA,C3,TRY,NA,NA,NA,NA,no site data
Senna hamersleyensis,Fabaceae,U,C3,C3,Sage 2016 (and references therein); Watson and Dallwitz 1992 onwards,No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,NA,NA,NA,no site data
Senna notabilis,Fabaceae,C3,NA,C3,TRY,NA,NA,NA,NA,no site data
Senna phyllodinea,Fabaceae,U,C3,C3,Sage 2016 (and references therein); Watson and Dallwitz 1992 onwards,No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,NA,NA,NA,no site data
Senna pleurocarpa,Fabaceae,C3,NA,C3,TRY,NA,NA,NA,NA,no site data
Senna stowardii,Fabaceae,U,C3,C3,Sage 2016 (and references therein); Watson and Dallwitz 1992 onwards,No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,NA,NA,NA,no site data
Seringia nephrosperma,Malvaceae,U,C3,C3,Sage 2016 (and references therein); Watson and Dallwitz 1992 onwards,No evidence of a C4 species in this lineage; Other known species in this lineage (family) are C3,NA,NA,NA,no site data
Sesbania cannabina,Fabaceae,C3,NA,C3,TRY,NA,NA,NA,NA,no site data
Sesuvium portulacastrum,Aizoaceae,C3,NA,C3,TRY,NA,NA,NA,NA,no site data
Setaria apiculata,Poaceae,C4,NA,C4,TERN SIA,NA,NA,135.4060694,-15.80912222,site_at_-15.809_deg_lat_135.406_deg_long
