species,herbarium voucher,native to,voucher location,lat,long,alt,leaf type,stomatal distribution,habitat,woodiness,habit,Guard cell length,Total vein density (mm/mm2),leaf mass per unit area gm-2,total stomatal density (mm-2),adaxial stomatal density (mm-2),adaxial stomatal density (mm-2),dense hairs covering the stomata,tightly revolute leaves (1=linear leaves with revolute margins appressed to either midrib or other margin,deep longitudinal grooves etc (n=none;g=grooves;(g) grooves but stomata not restricted to grooves),Banksia-type pits,hakea-type pits,telopea-type papillae,lamina thickness (microns),epidermal width (microns),palisade width (microns),epidermal cell density,stomatal index,leaf area (cm2),adult leaf type,juvenile leaf type,leaf form,adaxial hypodermis,adaxial cuticle thickness (microns),ad papillae5,ad trichomes,ab hypo,ab cut thick,bundle sheath extensions,lignified margins,sclereids at vein endings,sclereids protruding from bundle sheaths,bundle sheaths 1= large parenchyma-like cells; 3=bundles sheaths surrounded by sclereids; 4= bundles embedded in a lignified core,crystals in mesophyll,hypodermal structures (0=no specialised structure; 1 = lignified adaxial hypodermis; 2 = lignified abaxial hypodermis; 3 = hypodermis of extension of bundle sheath extensions; 4=Orites milliganii upper type; 5 = Orites milliganii lower type; 6 = ideosclereids extending under adaxial hypodermis),compound midribs,ideosclereids (0=absent; 1=ordinary; 2= branched; 3=asterosclereids; 4=osteosclereids;5=dense clusters of sclereids),clade,group,veg type,"stomatal distribution (amphistomatic, hypostomatic or unevenly amphistomatic [=""functionally hypostomatic"")"
Banksia armata,,swWA,,,,,,hypostomatic,"shrublands, most 400-600mm, up to 800mm ",woody,perennial,,,,,,,y,n,n,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,open,hypo
Banksia audax,,swWA,,,,,,hypostomatic,"shrublands, 250-300mm",woody,perennial,33,,,,,,y,n,n,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,open,hypo
Banksia baueri,,swWA,,,,,,hypostomatic,"shrublands, 350-650mm",woody,perennial,28.9,,,,,,y,n,n,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,open,hypo
Banksia benthamiana,,swWA,,,,,,hypostomatic,"shrublands, 300mm",woody,perennial,30.1,,,,,,y,n,n,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,open,hypo
Banksia blechnifolia,,swWA,,,,,,hypostomatic,"shrublands, 400mm",woody,perennial,43.3,,,,,,y,n,n,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,open,hypo
Banksia brownii,,swWA,,,,,,hypostomatic,"woodlands, 600-800mm",woody,perennial,32.8,,,,,,y,n,n,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,open,hypo
Banksia caleyi,,swWA,,,,,,hypostomatic,"shrublands, 550-600mm",woody,perennial,28.8,,,,,,y,n,n,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,open,hypo
Banksia calophylla,,swWA,,,,,,hypostomatic,"shrublands, 600-1000mm",woody,perennial,32,,,,,,y,n,n,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,open,hypo
Banksia dryandroides,HO528960,swWA,"Cultivated.  University of Tasmania Latitude: 42° 54’ 20” S, longitude: 147° 19’ 55” E. ","42° 54' 20"" S","147° 19' 55"" E. ",,,hypostomatic,"woodland, shrubland, 700-800mm",woody,perennial,32,,308.3487909,,,,y,n,n,0,0,0,243,26.4,14.2,,,8.548112,,,hypostomatic,1,7,0,0,0,2,0,0,0,0,0,0,"1,3",1,0,,,open,hypo
Banksia elderiana,,swWA,,,,,,hypostomatic,"shrublands, 200-350mm",woody,perennial,33.1,,,,,,y,n,n,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,open,hypo
Banksia falcata,,swWA,,,,,,hypostomatic,"shrublands, 400-600mm",woody,perennial,29.2,,,,,,y,n,n,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,open,hypo
Banksia foliolata,,swWA,,,,,,hypostomatic,"shrublands, 400-500mm",woody,perennial,30.9,,,,,,y,n,n,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,open,hypo
Banksia goodii,,swWA,,,,,,hypostomatic,"woodlands, 800mm",woody,perennial,29.1,,,,,,y,n,n,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,open,hypo
Banksia grandis,,swWA,,,,,,hypostomatic,"woodland, shrubland",woody,perennial,31.9,11.9362794,220.3,170.0295,,170.0295,y,n,n,0,0,0,345,22.0168198,18.18,,,72.64,,,hypostomatic,,,,,,,,,,,,,,,,,,open,hypo
Banksia grossa,,swWA,,,,,,hypostomatic,"shrublands, 550-600mm",woody,perennial,36,,,,,,y,y,n,0,0,0,,,,,,,,,hypostomatic,,,,,0,,,0,,,,,,,,,,open,hypo
Banksia heliantha,,swWA,,,,,,hypostomatic,shrublands,woody,perennial,30.4,,,,,,y,n,n,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,open,hypo
Banksia incana,,swWA,,,,,,hypostomatic,"woodland, shrubland, 600-900mm",woody,perennial,36.2,,,,,,y,y,n,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,open,hypo
Banksia laevigata,,swWA,,,,,,hypostomatic,"shrublands, 300-600mm",woody,perennial,36.6,,,,,,y,n,n,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,open,hypo
Banksia lanata,,swWA,,,,,,hypostomatic,"shrublands, 500-600mm",woody,perennial,32,,,,,,y,y,n,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,open,hypo
Banksia laricina,,swWA,,,,,,hypostomatic,"woodlands, 700mm",woody,perennial,28.3,,,,,,y,y,n,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,open,hypo
Banksia lemanniana,HO528953,swWA,"Cultivated.  University of Tasmania Latitude: 42° 54’ 20” S, longitude: 147° 19’ 55” E. ","42° 54' 20"" S","147° 19' 55"" E. ",,,hypostomatic,"woodland, shrubland, 500-600mm",woody,perennial,34.6,14.44299,293.6609778,,,,y,n,n,1,0,0,595,,,,,25.1889102,,,hypostomatic,1,14,0,0,1,10,1,0,0,0,3,0,"1,2,3",2,0,,,open,hypo
Banksia leptophylla,,swWA,,,,,,hypostomatic,"heathlands, 350-700mm",woody,perennial,29.6,,,,,,y,y,n,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,open,hypo
Banksia lullfitzii,,swWA,,,,,,hypostomatic,"heathlands, 250-350mm",woody,perennial,31.4,,,,,,y,n,n,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,open,hypo
Banksia media,,swWA,,,,,,hypostomatic,"woodland, shrubland, 300-600mm",woody,perennial,30.7,,,,,,y,n,n,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,open,hypo
Banksia meisneri,,swWA,,,,,,hypostomatic,"woodland, shrubland, 500-900mm",woody,perennial,27.8,,,,,,y,y,n,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,open,hypo
Banksia micrantha,,swWA,,,,,,hypostomatic,"heathlands, 550-600mm",woody,perennial,31.7,,,,,,y,y,n,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,open,hypo
Banksia nana,,swWA,,,,,,hypostomatic,"shrublands, 500-600mm",woody,perennial,28.1,,,,,,y,n,n,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,open,hypo
Banksia nutans,,swWA,,,,,,hypostomatic,"woodland, shrubland, 350-800mm",woody,perennial,34.4,,,,,,y,y,n,0,0,0,,,,,,,,,hypostomatic,,,,,0,,,0,,,,,,,,,,open,hypo
Banksia occidentalis,,swWA,,,,,,hypostomatic,"swampy woodland, heaths, 350-800mm",woody,perennial,32.7,,,,,,y,n,n,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,open,hypo
Banksia oreophila,,swWA,,,,,,hypostomatic,"shrublands, 500-600mm",woody,perennial,26,,,,,,y,n,n,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,open,hypo
Banksia petiolaris,,swWA,,,,,,hypostomatic,"heathlands, 350-400mm",woody,perennial,38.1,,,,,,y,n,n,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,open,hypo
Banksia pilostylis,,swWA,,,,,,hypostomatic,"woodland, shrubland, 300-400mm",woody,perennial,27.7,,,,,,y,n,n,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,open,hypo
Banksia praemorsa,,swWA,,,,,,hypostomatic,"heathlands, 800mm",woody,perennial,34.3,,,,,,y,n,n,1,0,0,,,,,,,,,hypostomatic,1,10,0,0,1,8,1,0,0,0,3,0,"1,2,3",2,0,,,open,hypo
Banksia pulchella,,swWA,,,,,,hypostomatic,"shrublands, 350-500mm",woody,perennial,34,,,,,,y,y,n,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,open,hypo
Banksia scabrella,,swWA,,,,,,hypostomatic,"heathlands, 450mm",woody,perennial,31.1,,,,,,y,y,n,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,open,hypo
Banksia seminuda,,swWA,,,,,,hypostomatic,"woodlands, 900-1300mm",woody,perennial,33.1,,,,,,y,n,n,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,open,hypo
Banksia seneciifolia,,swWA,,,,,,hypostomatic,"shrublands, 400-500mm",woody,perennial,33.5,,,,,,y,n,n,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,open,hypo
Banksia serratuloides,,swWA,,,,,,hypostomatic,"shrublands, 500-600mm",woody,perennial,25.7,,,,,,y,n,n,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,open,hypo
Banksia sessilis,,swWA,,,,,,hypostomatic,"shrublands, 600-1200mm",woody,perennial,26.6,,,,,,y,n,n,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,open,hypo
Banksia shuttleworthiana,,swWA,,,,,,hypostomatic,"shrublands, 400-500mm",woody,perennial,30.7,,,,,,y,n,n,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,open,hypo
Banksia solandri,,swWA,,,,,,hypostomatic,"woodland, shrubland",woody,perennial,28.3,,,,,,y,n,n,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,open,hypo
Banksia sphaerocarpa,,swWA,,,,,,hypostomatic,"woodland, shrubland, 350-450mm",woody,perennial,28.1,,,,,,y,y,n,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,open,hypo
Banksia squarrosa,,swWA,,,,,,hypostomatic,"shrublands, 600-800mm",woody,perennial,30.1,,,,,,y,n,n,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,open,hypo
Banksia telmatiaea,,swWA,,,,,,hypostomatic,"swampy woodlands, 600-900mm",woody,perennial,26.6,,,,,,y,y,n,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,open,hypo
Banksia tricuspis,,swWA,,,,,,hypostomatic,"shrublands, 600mm",woody,perennial,34.7,,,,,,y,n,n,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,open,hypo
Banksia verticillata,,swWA,,,,,,hypostomatic,"shrublands, 800-1000mm",woody,perennial,33.4,,,,,,y,n,n,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,open,hypo
Banksia violacea,,swWA,,,,,,hypostomatic,"shrublands, 300-500mm",woody,perennial,29.6,,,,,,y,y,n,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,open,hypo
Agastachys odorata,HO528999,Tas,15km E of Rosebery on Murchison Highway,-41.781959,145.581605,300,"simple, entire",hypostomatic,open sedge to rainforest,woody,perennial,62.5,3.404224105,273.3,46.142,,46.142,n,n,n,0,0,0,724,39.6534279,40.436,,,3.832,"simple, entire",,hypostomatic,0,15,0,0,0,10,0,0,0,0,1,0,0,0,0,,,both,hypo
Persoonia gunnii,,Tas,,,,,"simple, entire",amphistomatic,"alpine heath, wet sclerophyll",woody,perennial,65.2,,,,,,n,n,n,0,0,0,930,,,,,,"simple, entire",,amphistomatic,0,4,0,0,0,4,0,0,0,0,1,0,0,0,0,,,open,amphi
Persoonia moscalii,,Tas,,,,,"simple, entire",amphistomatic,alpine heath,woody,perennial,71.5,,,,,,n,n,n,0,0,0,,,,,,,"simple, entire",,,,,,,,,,,,,,,,,,,,open,amphi
Persoonia muelleri,HO528978,Tas,"Ben Ridge Road, NE Tasmania",-41.365273,147.632955,,"simple, entire",amphistomatic,rainforest to scrub,woody,perennial,80.5,2.286287543,269.357,44.01220984,16.68204728,27.33016256,n,n,n,0,0,0,713.75,64.35929202,48.182,,,1.91511535,"simple, entire",,amphistomatic,0,6,1,0,0,3,0,0,0,0,1,0,0,0,0,,,open,amphi
Bellendena montana,HO529000,Tas,"Mt Wellington, just below summit",-42.901119,147.234374,1150,"simple, shallow lobes distally",hypostomatic,alpine heath,woody,perennial,51.2,4.971095399,229.22,127.5220926,,127.5220926,n,n,n,0,0,0,638,31.78950919,32.758,,,1.174499,"simple, shallow lobes distally",,amphistomatic,0,8,1,0,0,7,0,0,1,0,0,0,0,0,0,,,open,uneven amphi
Cenarrhenes nitida,HO528998,Tas,"Mt Read, Tasmania, near summit",-41.931958,145.80077,1130,"simple, toothed",hypostomatic,rainforest,woody,perennial,33.1,4.665090387,225.97,210.1753,,210.1753,n,n,n,0,0,0,629,27.83338953,30.36,,,7.5358,"simple, toothed",,hypostomatic,1,4,0,0,0,3,0,0,0,0,1,0,1,0,0,,,both,hypo
Orites milliganii,HO527837,Tas,"Mt Read, Tasmania, near summit",41°50'S,145°32'E,1000,"simple, toothed",hypostomatic,montane,woody,perennial,50.26,5.299707581,299.6,78.79605,,78.79605,n,n,n,0,0,0,620,20.82057188,20.769,,,2.608929,"simple, toothed",,hypostomatic,1,15,0,0,1,12,0,0,0,0,1,0,"4,5",0,0,,,open,hypo
Orites acicularis,HO528986,Tas,"Mt Wellington, below summit",-42.901119,147.234374,1150,"simple,entire",hypostomatic,montane,woody,perennial,45,,605.5,,,59.00830553,n,n,n,0,0,0,1455,,,,,0.3231,"simple,entire",,terete,?,?,?,?,1,12,1,0,0,0,2,0,5,0,0,,,open,terete
Orites revolutus,,Tas,,,,,"simple,entire",hypostomatic,montane,woody,perennial,30.97,,,,,,y,y,n,0,0,0,492,,,,,,"simple,entire",,hypostomatic,1,12,0,0,0,6,0,0,0,0,2,0,1,0,0,,,open,hypo
Orites diversifolius,HO528985,Tas,"Pipeline Track, SW of ‘The Springs’, Mt Wellington",-42.898619,147.234374,,"simple,toothed",hypostomatic,rainforest to montane heath,woody,perennial,23.78,5.507198169,380.9,304.6361,,304.6361,n,n,n,0,0,1,612,16.49842842,22.005,,,2.876156,"simple,toothed",,hypostomatic,1,12,0,0,0,4,0,0,0,0,1,0,1,1,5,,,both,hypo
Hakea epiglottis,,Tas,,,,,terete,amphistomatic,"wet heath, woodland",woody,perennial,37.86,,,,,,n,n,n,0,1,0,,,,,,,terete,,,,,,,,,,,,,,,,,,A2,rostrata,open,terete
Conospermum hookeri,HO528942,tas,"Sleepy Bay, Freycinet National Park",-42.131937,148.31629,,,,open forest,woody,perennial,28,,162.3935696,,,,y,n,n,0,0,0,495,25.9,17.31,,,0.225457839,"simple,entire",,amphistomatic,0,3,1,1,0,3,0,0,0,0,3,0,0,0,0,,,open,amphi
Grevillea australis,,tas,,,,,,,,woody,perennial,27,,237.2626519,,,304.6361102,y,y,n,0,0,0,501,,,,,0.1900847,"simple,entire",,hypostomatic,0,22,0,0,0,2,0,0,0,0,2,0,0,0,0,,,open,hypo
Lomatia polymorpha,HO528988,Tas,"South East Cape track, 1km from Cockle Creek. South West National Park",-43.613905,146.859392,,,hypostomatic,"sclerophyll forest, woodland",woody,perennial,32,8.948859,292.8,,,152.3180551,n,n,n,0,0,1,491,,,,,3.53,,,hypostomatic,0,18,0,0,0,7,0,0,0,1,0,0,0,0,0,,,both,hypo
Lomatia tasmanica,,Tas,,,,,,hypostomatic,forest,woody,perennial,39.2,,,,,,n,n,n,0,0,0,431,,,,,,,,hypostomatic,0,10,0,0,0,5,0,0,0,1,0,0,0,0,0,,,closed,hypo
Lomatia tinctoria,HO528987,Tas,"South East Cape track, 1km from Cockle Creek. South West National Park",-43.613905,146.859392,,,hypostomatic,"sclerophyll forest, woodland",woody,perennial,38.2,4.8298,243.9,160.5834,,160.5834,n,n,n,0,0,0,324.75,31.11161094,21.779,,,10.1,,,hypostomatic,0,17,0,0,0,7,0,0,0,1,0,0,0,0,0,,,open,hypo
Telopea truncata,HO528973,Tas,10km NE of Queenstown,-42.831963,145.914117,,,hypostomatic,"sclerophyll, montane rainforest",woody,perennial,27.79,4.425,225.8,128.96,,128.96,n,n,n,0,0,1,640.66,27.59087943,20.688,,,4.8549,,,hypostomatic,0,7,1,0,0,3,0,0,0,0,1,0,0,0,2,,,both,hypo
Conospermum mitchellii,,Vic,,,,,"simple, entire",amphistomatic,heathland to woodland,woody,perennial,26.76,,,,,,n,n,n,0,0,0,,,,,,,"simple, entire",,,,,,,,,,,,,,,,,,,,open,amphi
Grevillea chrysophaea,,Vic,,,,,"simple, entire",hypostomatic,open woodlands,woody,perennial,30.97,,,,,,y,n,n,0,0,0,,,,,,,"simple, entire",,,,,,,,,,,,,,,,,,,,open,hypo
Grevillea confertifolia,,Vic,,,,,"simple, entire",hypostomatic,woodlands,woody,perennial,,,,,,,y,n,,,,,,,,,,,"simple, entire",,,,,,,,,,,,,,,,,,,,open,hypo
Grevillea dimorpha,,Vic,,,,,"simple, entire",amphistomatic,heathy woodlands,woody,perennial,34.01,,,,,,y,n,n,0,0,0,,,,,,,"simple, entire",,,,,,,,,,,,,,,,,,,,open,amphi
Grevillea barklyana,,Vic,,,,,"simple, lobed, entire",hypostomatic,wet sclerophyll,woody,perennial,,,,,,,y,n,,,,,,,,,,,"simple, lobed, entire",,,,,,,,,,,,,,,,,,,,open,hypo
Grevillea floripendula,,Vic,,,,,"simple, pinnatipartite",hypostomatic,dry sclerophyll,woody,perennial,30.09,,,,,,n,n,n,0,0,0,,,,,,,"simple, pinnatipartite",,,,,,,,,,,,,,,,,,,,open,hypo
Banksia saxicola,HO528957,Vic,"Cultivated.  University of Tasmania Latitude: 42° 54’ 20” S, longitude: 147° 19’ 55” E. ","42° 54' 20"" S","147° 19' 55"" E. ",,,hypostomatic,"sclerophyll woodlands, 700-800mm",woody,perennial,27.9,10.292,331.38,,,,y,n,n,0,0,0,345,,,,,9.238,,,hypostomatic,1,7,0,0,0,2,1,0,0,0,3,0,"1,3",1,0,,,open,hypo
Grevillea alpina,,"Vic, NSW",,,,,"simple, entire",hypostomatic,"open woodlands, heath",woody,perennial,27.98,,,,,,y,n,n,0,0,0,,,,,,,"simple, entire",,,,,,,,,,,,,,,,,,,,open,hypo
Orites lancifolius,,"Vic, NSW",,,,,"simple,entire",hypostomatic,montane,woody,perennial,34.21,,,,,,n,n,n,0,0,0,357,,,,,,"simple,entire",,hypostomatic,1,11,0,0,0,6,1,0,0,0,0,0,1,1,0,,,open,hypo
Banksia canei,,"Vic, NSW",,,,,,hypostomatic,"montane woodland, heath, 800-1200mm",woody,perennial,32.4,,,,,,y,n,n,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,open,hypo
Telopea oreades,,"Vic, seNSW",,,,,,hypostomatic,"wet sclerophyll forest, rainforest",woody,perennial,37.1,,,,,,n,n,n,0,0,0,,,,,,,,,hypostomatic,0,8,0,0,0,4,0,0,0,0,1,0,0,0,2,,,open,hypo
Stenocarpus cunninghamii,,"WA, NT",,,,,"simple,entire",amphistomatic,woodland,woody,perennial,34.7,,,,,,n,n,n,0,0,0,,,,,,,"simple,entire",,,,,,,,,,,,,,,,,,,,open,amphi
Banksia dentata,,"WA, NT, Qld, PNG, Aru",,,,,,hypostomatic,"swampy woodlands, 800-1300mm",woody,perennial,28,,,,,,y,n,n,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,open,hypo
Hakea minyma,,"WA, NT, SA",,,,,flat entire,amphistomatic,dry country,woody,perennial,33.97,,,,,,n,n,n,0,1,0,,,,,,,flat entire,,,,,,,,,,,,,,,,,,B2,multilineata,open,amphi
Hakea francisiana,,"WA, SA",,,,,entire,amphistomatic,dry woodland,woody,perennial,26.51,,,,,,n,n,n,0,1,0,645,,,,,,entire,,amphistomatic,0,15,0,0,0,13,1,0,0,0,3,0,0,0,2,B2,multilineata,open,amphi
Grevillea huegelii,,"WA, SA, NSW, Vic",,,,,"simple, usually pinnatipartite",hypostomatic,"woodlands, heathlands",woody,perennial,23.98,,,,,,y,y,n,0,0,0,,,,,,,"simple, usually pinnatipartite",,,,,,,,,,,,,,,,,,,,open,hypo
Grevillea striata,,"WA, SA, NT, NSW, Qld",,,,,"simple, entire",hypostomatic,dry woodlands,woody,perennial,32.81,,,,,,y,n,g,0,0,0,,,,,,,"simple, entire",,hypostomatic,0,8,0,0,0,5,1,0,0,0,1,0,1,0,0,,,open,hypo
Hakea leucoptera,,"WA, SA, NT, NSW, Qld",,,,,terete,amphistomatic,dry open country,woody,perennial,31,,,,,,n,n,n,0,1,0,,,,,,,terete,,,,,,,,,,,,,,,,,,A1,sericea,open,terete
Hollandaea Devil's thumb,,,,,,,simple,hypostomatic,rainforest,woody,perennial,31.25,,,,,,n,n,n,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hakea lissosperma,HO528966,Tas,"The Springs, Mt Wellington",-42.913897,147.245485,,simple terete,amphistomatic,"wet forests, open woodlands",woody,perennial,48,,769.23,,,,n,n,n,0,1,0,1685,,,,,0.845,terete,,terete,?,22,0,0,0,22,0,0,0,0,4,0,6,0,4,A1,sericea,open,terete
Banksia prolata,,,,,,,"simple, pinnatifid or toothed",hypostomatic,"shrublands, 500-600mm",woody,perennial,27.7,,,,,,y,n,n,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,open,hypo
Helicia ferruginiflora,,,,,,,"simple, toothed",hypostomatic,rainforest,woody,perennial,26.25,,,,,,y,n,n,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,closed,hypo
Grevillea agrifolia,,,,,,,"simple, toothed to lobed or entire",?probably amphistomatic,open woodlands,woody,perennial,31.14,,,,,,n,n,n,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adenanthos apiculatus,,,,,,,,,,woody,perennial,,,,,,,n,n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,open,
Adenanthos cacomorphus,,,,,,,,,,woody,perennial,,,,,,,y,n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,open,
Adenanthos dobagii,,,,,,,,,,woody,perennial,,,,,,,y,n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,open,
Adenanthos dobsonii,,,,,,,,,,woody,perennial,,,,,,,y,n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,open,
Adenanthos ellipticus,,,,,,,,,,woody,perennial,,,,,,,n,n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,open,
Adenanthos eyrei,,,,,,,,,,woody,perennial,,,,,,,y,n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,open,
Adenanthos filifolius,,,,,,,,,,woody,perennial,,,,,,,n,n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,open,
Adenanthos flavidiflorus,,,,,,,,,,woody,perennial,,,,,,,y,n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,open,
Adenanthos glabrescens,,,,,,,,,,woody,perennial,,,,,,,n,n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,open,
Adenanthos gracilipes,,,,,,,,,,woody,perennial,,,,,,,n,n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,open,
Adenanthos ileticos,,,,,,,,,,woody,perennial,,,,,,,n,n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,open,
Adenanthos labillardierei,,,,,,,,,,woody,perennial,,,,,,,n,n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,open,
Adenanthos linearis,,,,,,,,,,woody,perennial,,,,,,,n,n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,open,
Adenanthos macropodianus,,,,,,,,,,woody,perennial,,,,,,,y,n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,open,
Adenanthos oreophilus,,,,,,,,,,woody,perennial,,,,,,,n,n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,open,
Adenanthos pungens,,,,,,,,,,woody,perennial,,,,,,,n,n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,open,
Adenanthos stictus,,,,,,,,,,woody,perennial,,,,,,,n,n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,open,
Adenanthos velutinus,,,,,,,,,,woody,perennial,,,,,,,n,n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,open,
Banksia alliacea,,,,,,,,,,woody,perennial,,,,,,,y,n,n,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,open,
Banksia brunnea,,,,,,,,,,woody,perennial,,,,,,,y,n,n,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,open,
Banksia catoglypta,,,,,,,,,,woody,perennial,,,,,,,y,n,n,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,open,
Banksia chamaephyton,,,,,,,,,,woody,perennial,,,,,,,y,n,n,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,open,
Banksia columnaris,,,,,,,,,,woody,perennial,,,,,,,y,n,n,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,open,
Banksia corvijuga,,,,,,,,,,woody,perennial,,,,,,,y,n,n,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,open,
Banksia cypholoba,,,,,,,,,,woody,perennial,,,,,,,y,n,n,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,open,
Banksia dallanneyi,,,,,,,,,,woody,perennial,,,,,,,y,n,n,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,open,
Banksia echinata,,,,,,,,,,woody,perennial,,,,,,,y,n,n,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,open,
Banksia epica,,,,,,,,,,woody,perennial,,,,,,,y,n,n,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,open,
Banksia erythrocephala,,,,,,,,,,woody,perennial,,,,,,,y,n,n,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,open,
Banksia fasciculata,,,,,,,,,,woody,perennial,,,,,,,y,n,n,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,open,
Banksia fililoba,,,,,,,,,,woody,perennial,,,,,,,y,n,n,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,open,
Banksia foliosissima,,,,,,,,,,woody,perennial,,,,,,,y,n,n,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,open,
Banksia formosa,,,,,,,,,,woody,perennial,,,,,,,y,n,n,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,open,
Banksia fuscobractea,,,,,,,,,,woody,perennial,,,,,,,y,n,n,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,open,
Banksia gardneri,,,,,,,,,,woody,perennial,,,,,,,y,n,n,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,open,
Banksia glaucifolia,,,,,,,,,,woody,perennial,,,,,,,y,n,n,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,open,
Banksia hirta,,,,,,,,,,woody,perennial,,,,,,,y,n,n,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,open,
Banksia horrida,,,,,,,,,,woody,perennial,,,,,,,y,n,n,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,open,
Banksia idiogenes,,,,,,,,,,woody,perennial,,,,,,,y,n,n,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,open,
