taxon_name,growth_form_icons,plant_growth_form,growth_habit,parasitic,life_history,regen_strategy,growth_medium,sex_type
Lophospermum erubescens,climber_vine_herbaceous,climber_vine,,,,,,
Lophostemon confertus,shrub tree,,,,,,,
Lophostemon grandiflorus subsp. riparius,shrub tree,,,,,,,
Lophostemon lactifluus,shrub tree,,,,,,,
Lophostemon suaveolens,tree,,,,,,,
Ludwigia hyssopifolia,herb shrub,shrub,,,,,,
Ludwigia octovalvis,herb shrub,,,,,,,
Luffa aegyptiaca,climber_vine_herbaceous,climber_vine,,,,,,
Lunasia amara,herb shrub,,,,,,,
Luvunga monophylla,shrub climber_vine,climber_vine,scrambling,,,,,
Lycianthes shanesii,shrub tree,tree,,,,,,
Lysiana maritima,,shrub,,stem_parasitic,,,,
Lysiana spathulata,,shrub,,stem_parasitic,,,,
Lysiana subfalcata,,shrub,,stem_parasitic,,,,
Macaranga dallachyana,shrub tree,tree shrub,,,,,,
Macaranga inamoena,shrub tree,,,,,,,
Macaranga involucrata var. mallotoides,shrub tree,,,,,,,
Macaranga polyadenia,shrub tree,,,,,,,
Macaranga subdentata,shrub tree,,,,,,,
Macaranga tanarius,shrub tree,,,,,,,
Macfadyena unguiscati,climber_vine,tree,,,,,,
Mackinlaya confusa,herb shrub,,,,,,,
Mackinlaya macrosciadea,herb shrub,,,,,,,
Maclura cochinchinensis,shrub climber_vine,climber_vine,,,,,,
Macropteranthes fitzalanii,shrub tree,tree shrub,,,,,,
Macropteranthes leiocaulis,shrub tree,tree shrub,prostrate,,,,,
Macropteranthes montana,shrub tree,tree,,,,,,
Macroptilium atropurpureum,climber_vine_herbaceous,climber_vine,,,,,,
Macrotyloma axillare,climber_vine_herbaceous,climber_vine,,,,,,
Macrotyloma uniflorum,climber_vine_herbaceous,climber_vine,,,,,,
Maesa dependens,shrub climber_vine,tree climber_vine,,,,,,
Maesa haplobotrys,herb shrub,,,,,,,
Mallotus claoxyloides,shrub,tree,,,,,,
Mallotus discolor,shrub tree,tree shrub,,,,,,
Mallotus dispersus,shrub tree,,,,,,,
Mallotus ficifolius,shrub,,,,,,,
Mallotus mollissimus,shrub tree,,,,,,,
Mallotus nesophilus,shrub tree,tree,,,,,,
Mallotus paniculatus,shrub tree,tree,,,,,,
Mallotus philippensis,shrub tree,tree,,,,,,
Mallotus polyadenos,shrub tree,,,,,,,
Mallotus repandus,climber_vine,climber_vine,,,,,,
Mallotus resinosus,shrub,tree,,,,,,
Mallotus surculosus,shrub tree,,,,,,,
Malvastrum americanum,herb shrub,,,,,,,
Malvastrum chillagoense,herb shrub,,,,,,,
Mammea touriga,tree,,,,,,,
Mangifera indica,tree,,,,,,,
Manihot glaziovii,shrub tree,tree shrub,,,,,,
Manilkara kauki,tree,tree,,,,,,
Maniltoa lenticellata,tree,,,,,,,
Maranthes corymbosa,tree,,,,,,,
Margaritaria dubiumtraceyi,shrub tree,tree,,,,,,
Margaritaria indica,tree,,,,,,,
Marsdenia connivens,climber_vine_herbaceous,climber_vine,,,,,,
Marsdenia cymulosa,climber_vine,climber_vine,,,,,,
Marsdenia geminata,climber_vine,climber_vine,,,,,,
Marsdenia glandulifera,climber_vine_herbaceous,climber_vine,,,,,,
Marsdenia hemiptera,climber_vine_herbaceous,climber_vine,,,,,,
Marsdenia jensenii,climber_vine_herbaceous,climber_vine,,,,,,
Marsdenia longipedicellata,climber_vine,climber_vine,,,,,,
Marsdenia micradenia,climber_vine_herbaceous,climber_vine,,,,,,
Marsdenia microlepis,climber_vine_herbaceous,climber_vine,,,,,,
Marsdenia paludicola,climber_vine_herbaceous,climber_vine,,,,,,
Marsdenia pleiadenia,climber_vine,climber_vine,,,,,,
Marsdenia rostrata,climber_vine,climber_vine,,,,,,
Marsdenia straminea,climber_vine,climber_vine,,,,,,
Marsdenia tricholepis,climber_vine,climber_vine,,,,,,
Marsdenia velutina,climber_vine,climber_vine,,,,,,
Marsdenia viridiflora,climber_vine_herbaceous,climber_vine,,,,,,
Martynia annua,herb shrub,,,,,,,
Mecardonia procumbens,herb,herb,prostrate erect,,ephemeral,,,
Medicosma fareana,shrub tree,,,,,,,
Medicosma glandulosa,shrub tree,,,,,,,
Medicosma heterophylla,tree,,,,,,,
Medicosma mulgraveana,shrub tree,tree,,,,,,
Medicosma obovata,shrub tree,tree shrub,,,,,,
Medicosma riparia,shrub,tree,,,,,,
Medicosma sessiliflora,herb shrub tree,,,,,,,
Medinilla ballsheadleyi,shrub climber_vine,tree climber_vine,,,,,,
Megahertzia amplexicaulis,shrub tree,,,,,,,
Meiogyne bidwillii,shrub tree,tree shrub,,,,,,
Meiogyne cylindrocarpa,shrub tree,tree,,,,,,
Meiogyne heteropetala,shrub tree,tree,,,,,,
Meiogyne hirsuta,shrub,,,,,,,
Meiogyne trichocarpa,shrub tree,tree,,,,,,
Meiogyne verrucosa,shrub,,,,,,,
Meistera dallachyi,herb shrub,,,,,,,
Melaleuca argentea,tree,tree,,,,,,
Melaleuca bracteata,shrub tree,tree,,,,,,
Melaleuca dealbata,tree,,,,,,,
Melaleuca leucadendra,tree,,,,,,,
Melaleuca recurva,herb shrub tree,tree,,,,,,
Melaleuca viminalis,shrub tree,tree shrub,,,,,,
Melaleuca viridiflora,shrub tree,,,,,,,
Melastoma cyanoides,herb shrub,,,,,,,
Melastoma malabathricum subsp. malabathricum,herb shrub,,,,,,,
Melhania brachycarpa,shrub,,,,,,,
Melhania oblongifolia,herb shrub,,,,,,,
Melia azedarach,tree,,,,,,,
Melicope affinis,shrub tree,,,,,,,
Melicope bonwickii,tree,,,,,,,
Melicope broadbentiana,herb shrub tree,tree,,,,,,
Melicope elleryana,tree,,,,,,,
Melicope fellii,tree,tree,,,,,,
Melicope jonesii,shrub tree,,,,,,,
Melicope peninsularis,shrub tree,tree,,,,,,
Melicope rubra,shrub tree,tree,,,,,,
Melicope vitiflora,tree,tree,,,,,,
Melicope xanthoxyloides,shrub tree,tree,,,,,,
Melochia umbellata,shrub tree,tree,,,,,,
Melodinus acutiflorus,climber_vine,climber_vine,,,,,,
Melodinus australis,climber_vine,climber_vine,,,,,,
Melodinus baccellianus,climber_vine,climber_vine,,,,,,
Melodinus forbesii,climber_vine,climber_vine,,,,,,
Memecylon hylandii,shrub tree,,,,,,,
Memecylon pauciflorum,shrub tree,,,,,,,
Merremia gemella,climber_vine_herbaceous,climber_vine,,,,,,
Merremia hederacea,climber_vine_herbaceous,climber_vine,,,,,,
Mesosphaerum pectinatum,herb shrub,,,,,,,
Mesosphaerum suaveolens,herb shrub,,,,,,,
Mesua larnachiana,shrub tree,tree,,,,,,
Mesua sp  boonjee a k.irvine 1218,shrub tree,,,,,,,
Mezoneuron erythrocarpum,climber_vine,climber_vine,,,,,,
Mezoneuron hymenocarpum,shrub climber_vine,climber_vine,,,,,,
Mezoneuron nitens,climber_vine,climber_vine_woody shrub,sprawling,,,,,
Mezoneuron scortechinii,climber_vine,climber_vine,,,,,,
Miconia calvescens,shrub tree,tree,,,,,,
Miconia nervosa,shrub,shrub,scrambling,,,,,
Micromelum minutum,shrub tree,tree,,,,,,
Microstachys chamaelea,herb shrub,,,,,,,
Mikania micrantha,climber_vine,climber_vine,,,,,,
Miliusa brahei,tree,,,,,,,
Miliusa horsfieldii,tree,,,,,,,
Miliusa traceyi,shrub tree,,,,,,,
Mimosa pudica,herb shrub,,,,,,,
Mimusops elengi,tree,,,,,,,
Mirabilis jalapa,herb shrub,,,,,,,
Mischarytera lautereriana,tree,,,,,,,
Mischarytera macrobotrys,tree,,,,,,,
Mischarytera megaphylla,tree,tree,,,,,,
Mischocarpus anodontus,tree,tree shrub,,,,,,
Mischocarpus exangulatus,shrub tree,,,,,,,
Mischocarpus grandissimus,tree,,,,,,,
Mischocarpus lachnocarpus,herb shrub tree,,,,,,,
Mischocarpus macrocarpus,tree,tree,,,,,,
Mischocarpus montanus,shrub tree,,,,,,,
Mischocarpus pyriformis subsp. pyriformis,tree,,,,,,,
Mischocarpus stipitatus,tree,tree,,,,,,
Mitracarpus hirtus,herb,herb,,,annual,,,
Mitrantia bilocularis,tree,,,,,,,
Mitrasacme oasena,herb,herb,erect,,,,,
Mitrasacme paludosa,herb,herb,prostrate procumbent,,annual perennial,,,
Mitrasacme polymorpha,herb,,erect,,perennial,,,
Mitrasacme pygmaea,herb,herb,erect,,annual,,,
Mitrella tiwiensis,shrub climber_vine,climber_liana shrub,scrambling,,,,,
Mitrephora diversifolia,tree,tree,,,,,,
Molineria capitulata,herb shrub,,,,,,,
Momordica charantia,climber_vine_herbaceous,climber_vine,,,,,,
Momordica cochinchinensis,climber_vine,climber_vine,,,,,,
Monococcus echinophorus,shrub,shrub,erect,,,,,
Monoon australe,tree,,,,,,,
Monoon michaelii,tree,,,,,,,
Monoon patinatum,tree,,,,,,,
Montanoa hibiscifolia,shrub,,,,,,,
Morinda bracteata var. celebica,shrub,tree,,,,,,
Morinda citrifolia,shrub tree,,,,,,,
Moringa oleifera,shrub tree,tree,,,,,,
Motherwellia haplosciadea,climber_vine,climber_vine,,,,,,
Mucuna diabolica subsp. kenneallyi,climber_vine,climber_vine,,,,,,
Mucuna gigantea subsp. gigantea,climber_vine,climber_vine,,,,,,
Muehlenbeckia zippelii,climber_vine_herbaceous,climber_vine,,,,,,
Muellerargia timorensis,climber_vine_herbaceous,climber_vine,,,,,,
Mullerochloa moreheadiana,climber_vine,climber_vine,,,,,,
Murraya paniculata,herb shrub tree,tree,,,,,,
Musa banksii,herb  shrub tree,,,,,,,
Musa jackeyi,herb  shrub tree,,,,,,,
Musgravea heterophylla,tree,,,,,,,
Musgravea stenostachya,tree,,,,,,,
Myoporum montanum,herb shrub,,,,,,,
Myristica globosa subsp. muelleri,tree,tree,,,,,,
Myristica insipida,tree,,,,,,,
Myristica lancifolia subsp. australiana,tree,tree,,,,,,
Myrsine achradifolia,shrub tree,,,,,,,
Myrsine benthamiana,shrub tree,tree,,,,,,
Myrsine crassifolia,shrub,shrub,,,,,,
Myrsine kimberleyensis,herb shrub,tree,,,,,,
Myrsine maculata,shrub,,,,,,,
Myrsine oreophila,shrub tree,tree shrub,,,,,,
Myrsine porosa,shrub tree,,,,,,,
Myrsine rubiginosa,herb shrub,tree,,,,,,
Myrsine serpenticola,shrub tree,tree shrub,,,,,,
Myrsine smithii,herb shrub,,,,,,,
Myrsine subsessilis subsp. cryptostemon,herb shrub,,,,,,,
Myrsine urceolata,herb shrub,tree,,,,,,
Myrsine variabilis,shrub tree,tree,,,,,,
Nauclea orientalis,tree,,,,,,,
Neisosperma kilneri,shrub tree,tree shrub,,,,,,
Neisosperma poweri,shrub tree,,,,,,,
Neoalsomitra capricornica,climber_vine_herbaceous,,,,,,,
Neoalsomitra clavigera,climber_vine,climber_vine,,,,,,
Neofabricia myrtifolia,herb shrub tree,,,,,,,
Neolamarckia cadamba,tree,,,,,,,
Neolitsea brassii,shrub tree,,,,,,,
Neolitsea dealbata,shrub tree,,,,,,,
Neololeba atra,shrub,,,,,,,
Neonauclea glabra,tree,,,,,,,
Neonotonia wightii,climber_vine,climber_vine,,,,,,
Neorites kevedianus,tree,,,,,,,
Neoroepera banksii,herb shrub,,,,,,,
Neoroepera buxifolia,shrub,shrub,,,,,,
Neosepicaea jucunda,climber_vine,climber_vine,,,,,,
Neosepicaea viticoides,climber_vine,climber_vine,,,,,,
Neostrearia fleckeri,shrub tree,,,,,,,
Nepenthes mirabilis,herb climber_vine_herbaceous,climber_vine,,,,,,
Nicandra physalodes,herb shrub,,,,,,,
Nicotiana forsteri,herb shrub,,,,,,,
Nicotiana tabacum,herb shrub,,,,,,,
Nicotiana wuttkei,herb,herb,erect,,annual,,,
Niemeyera discolor,tree,,,,,,,
Niemeyera prunifera,shrub tree,,,,,,,
Noahdendron nicholasii,tree,tree,,,,,,
Normanbya normanbyi,tree,palm,,,,,,
Notelaea microcarpa,tree,tree,,,,,,
Notelaea sp  elcho island c r.dunlop 7597,shrub tree,,,,,,,
Nothocnide repanda,shrub climber_vine,climber_vine,,,,,,
Nothorites megacarpus,tree,,,,,,,
Notothixos cornifolius,,,,,,,,
Notothixos leiophyllus,,,,,,,,
Notothixos subaureus,,,,,,,,
Ochna serrulata,herb shrub,,,,,,,
Ochrosia elliptica,shrub,tree,,,,,,
Ochrosia minima,shrub,,,,,,,
Odontonema tubaeforme,shrub,,,,,,,
Olax imbricata,climber_vine,climber_vine,,,,,,
Olax pendula,shrub,tree,,,,,,
Oldenlandia biflora,herb,herb,prostrate decumbent,,annual,,,
Oldenlandia galioides,herb,,prostrate,,annual,,,
Oldenlandia polyclada,herb,,spreading,,perennial,,,
Olea paniculata,tree,,,,,,,
Olearia canescens,shrub,,,,,,,
Omphalea celata,shrub tree,tree,,,,,,
Omphalea papuana,climber_vine,climber_vine,,,,,,
Omphalea queenslandiae,climber_vine,climber_vine,,,,,,
Operculina riedeliana,climber_vine,climber_vine,,,,,,
Ophiorrhiza australiana subsp. australiana,herb shrub,,,,,,,
Ophiorrhiza australiana subsp. heterostyla,herb shrub,shrub,,,,,,
Opilia amentacea,shrub climber_vine,climber_vine,,,,,,
Opisthiolepis heterophylla,tree,,,,,,,
Oplismenus burmanni,,,prostrate,,annual,,,
Oplismenus compositus,,,,,perennial,,,
Oplismenus hirtellus,,,trailing,,perennial,,,
Oplismenus mollis,,,prostrate scandent,,,,,
Opuntia stricta,herb shrub,shrub herb,sprawling,,,,,
Opuntia tomentosa,herb shrub,tree shrub,,,,,,
Oraniopsis appendiculata,tree,palm,,,,,,
Orites excelsus,shrub tree,,,,,,,
Ormosia ormondii,tree,,,,,,,
Orthosiphon aristatus,herb shrub,herb,erect spreading,,,,,
Osbeckia australiana,herb shrub,,,,,,,
Ostrearia australiana,shrub tree,tree,,,,,,
Ottochloa nodosa,,,,,perennial,,,
Owenia venosa,tree,tree,,,,,,
Oxalis chnoodes,herb,herb,decumbent,,,,,
Oxalis corniculata,herb,,,,short_lived_perennial annual,,,
Oxera splendida,climber_vine,climber_vine,,,,,,
Ozothamnus cassinioides,shrub,,,,,,,
Ozothamnus diosmifolius,herb shrub,shrub,,,,,,
Pachygone ovata,climber_vine,climber_vine,,,,,,
Pachyrhizus erosus,shrub climber_vine_herbaceous,climber_vine,,,,,,
Palaquium galactoxylon,tree,,,,,,,
Palmeria coriacea,climber_vine,climber_vine,,,,,,
Palmeria hypotephra,climber_vine,climber_vine,,,,,,
Palmeria scandens,climber_vine,climber_vine,,,,,,
Pandanus conicus,shrub tree,tree,spreading,,,,,
Pandanus cookii,tree,tree,,,,,,
Pandanus dammannii,tree,tree,,,,,,
Pandanus gemmifer,tree,tree,erect,,,,,
Pandanus oblatus,tree,tree,,,,,,
Pandanus solmslaubachii,tree,tree,,,,,,
Pandanus sp. russell river,tree,tree,,,,,,
Pandanus tectorius,shrub tree,tree,,,,,,
Pandanus zea,tree,tree,,,,,,
Pandorea jasminoides,climber_vine,climber_vine_woody,,,,,,
Pandorea nervosa,climber_vine,climber_vine,,,,,,
Pandorea pandorana,climber_vine,climber_vine,,,,,,
Panicum chillagoanum,,,tufted erect,,annual,,,
Panicum incomtum,,,,,perennial,,,
Panicum mindanaense,herb,,tufted,,annual perennial,,,
Panicum trichoides,,,erect decumbent,,annual,,,
Paphia meiniana,shrub climber_vine,tree climber_vine,,,,,epiphyte,
Parapachygone longifolia,climber_vine,climber_vine,,,,,,
Pararchidendron pruinosum,tree,,,,,,,
Parinari nonda,shrub tree,,,,,,,
Parkinsonia aculeata,shrub,tree,spreading,,,,,
Parmentiera aculeata,shrub tree,,,,,,,
Parsonsia alboflavescens,climber_vine_herbaceous,,,,,,,
Parsonsia bartlensis,climber_vine_herbaceous,climber_vine,,,,,,
Parsonsia blakeana,climber_vine_herbaceous,climber_vine,,,,,,
Parsonsia densivestita,climber_vine_herbaceous,climber_vine,,,,,,
Parsonsia eucalyptophylla,climber_vine,climber_vine_woody,,,,,,
Parsonsia ferruginea,climber_vine,climber_vine,,,,,,
Parsonsia grayana,climber_vine_herbaceous,climber_vine,,,,,,
Parsonsia lanceolata,climber_vine_herbaceous,climber_vine,,,,,,
Parsonsia langiana,climber_vine_herbaceous,climber_vine,,,,,,
Parsonsia larcomensis,climber_vine,climber,prostrate,,,,,
Parsonsia latifolia,climber_vine,climber_vine,,,,,,
Parsonsia lenticellata,climber_vine_herbaceous,climber_vine,,,,,,
Parsonsia longipetiolata,climber_vine,climber_vine,,,,,,
Parsonsia plaesiophylla,climber_vine,climber_vine,,,,,,
Parsonsia rotata,climber_vine_herbaceous,climber_vine,,,,,,
Parsonsia straminea,climber_vine,climber_vine,,,,,,
Parsonsia velutina,climber_vine_herbaceous,climber_vine,,,,,,
Parsonsia ventricosa,climber_vine,climber,twining,,,,,
Parsonsia wildensis,climber_vine_herbaceous,climber_vine,,,,,,
Parsonsia wongabelensis,climber_vine,climber_vine,,,,,,
Paspalum conjugatum,,,,,perennial,,,
Paspalum dilatatum,,,,,perennial,rhizome,,
Paspalum paniculatum,shrub,,,,,,,
Paspalum scrobiculatum,,,tufted erect decumbent,,perennial,,,
Passiflora aurantia var. aurantia,climber_vine_herbaceous,climber_vine,,,,,,
Passiflora aurantioides,climber_vine,climber_liana,,,,,,
Passiflora edulis,climber_vine,climber_vine,,,,,,
Passiflora foetida,climber_vine_herbaceous,climber_vine,,,,,,
Passiflora herbertiana,climber_vine_herbaceous,climber_vine,,,,,,
Passiflora kuranda,climber_vine,climber_vine,,,,,,
Passiflora suberosa,climber_vine_herbaceous,climber_vine,,,,,,
Passiflora subpeltata,climber_vine_herbaceous,climber_vine,,,,,,
Pavetta australiensis,herb shrub,,,,,,,
Pavetta brownii var. brownii,herb shrub,,,,,,,
Pavetta granitica,herb shrub,,,,,,,
Pavetta kimberleyana,herb shrub tree,,,,,,,
Pavetta muelleri,shrub tree,tree shrub,,,,,,
Pavonia calycina,herb shrub,,,,,,,
Peltophorum pterocarpum,shrub tree,,,,,,,
Pemphis acidula,shrub,,,,,,,
Pendressia wardellii,shrub tree,,,,,,,
Pennantia cunninghamii,tree,,,,,,,
Peperomia bellendenkerensis,epiphyte herb,herb,,,,,,
Peperomia blanda var. floribunda,epiphyte herb,herb,erect decumbent,,,,,
Peperomia enervis,epiphyte herb,herb,,,,,,
Peperomia hunteriana,epiphyte herb,herb,,,,,,
Peperomia pellucida,epiphyte herb,herb,,,,,,
Peperomia tetraphylla,epiphyte herb,herb,,,,,,
Peripentadenia mearsii,tree,tree,,,,,,
Peripentadenia phelpsii,tree,tree,,,,,,
Peristrophe brassii,herb,herb,erect,,,,,
Perotis rara,,,,,short_lived_perennial annual,,,
Perrottetia arborescens,shrub tree,,,,,,,
Persea americana,shrub tree,,,,,,,
Persicaria hydropiper,herb shrub,,,,,,,
Persicaria orientalis,herb shrub,,,,,,,
Persoonia amaliae,shrub tree,tree shrub,erect,,,,,
Petalostigma banksii,shrub,tree,,,,,,
Petraeovitex multiflora,climber_vine,climber_vine,,,,,,
Phacellothrix cladochaeta,herb,herb,erect decumbent,,annual,,,
Phaius australis,herb shrub,,,,,,,
Phaleria biflora,herb shrub tree,,,,,,,
Phaleria chermsideana,shrub tree,tree,,,,,,
Phaleria clerodendron,shrub tree,tree,,,,,,
Phaleria octandra,herb shrub,,,,,,,
Phebalium longifolium,herb shrub,,,,,,,
Philydrum lanuginosum,herb,aquatic_herb,tufted,,,rhizome,aquatic,
Phragmites karka,,,,,perennial,rhizome,,
Phylacium bracteosum,climber_vine_herbaceous,climber_vine,,,,,,
Phyllanthera grayi,climber_vine,climber_vine,,,,,,
Phyllanthus brassii,herb shrub,,,,,,,
Phyllanthus clamboides,shrub tree,,,,,,,
Phyllanthus cuscutiflorus,shrub tree,,,,,,,
Phyllanthus gunnii,herb shrub,shrub,,,,,,
Phyllanthus hypospodius,herb shrub,,,,,,,
Phyllanthus lamprophyllus,herb shrub,,,,,,,
Phyllanthus microcladus,shrub,shrub,,,,,,
Phyllanthus novaehollandiae,shrub climber_vine,tree climber_vine,,,,,,
Phyllanthus praelongipes,shrub tree,,,,,,,
Phyllanthus subcrenulatus,herb shrub,shrub,,,,,,
Phyllanthus tenellus,herb shrub,,,,,,,
Physalis angulata,herb shrub,,,,,,,
Physalis peruviana,herb shrub,shrub,,,,,,
Phytolacca octandra,herb shrub,,,,,,,
Pilidiostigma papuanum,herb shrub,tree,,,,,,
Pilidiostigma tetramerum,herb shrub,tree,,,,,,
Pilidiostigma tropicum,shrub tree,,,,,,,
Pimelea aquilonia,herb shrub,,,,,,,
Pimelea chlorina,herb shrub,,,,,,,
Pimelea latifolia subsp. altior,herb shrub,subshrub shrub,,,,,,
Pimelea latifolia subsp. latifolia,herb shrub,,,,,,,
Pimelea linifolia,herb shrub,,,,,,,
Pimelea sericostachya,herb shrub,,,,,,,
Pimelodendron amboinicum,tree,,,,,,,
Piper caninum,climber_vine_herbaceous,climber_vine,,,,,,
Piper fungiforme,climber_vine_herbaceous,climber_vine,,,,,,
Piper hederaceum var. hederaceum,climber_vine,climber_vine,,,,,,
Piper hederaceum var. longiorispicum,climber_vine,climber_vine,,,,,,
Piper interruptum,climber_vine_herbaceous,climber_vine,,,,,,
Piper macropiper,climber_vine,climber_vine,,,,,,
Piper mestonii,climber_vine,climber_vine,,,,,,
Piper umbellatum,herb shrub,,,,,,,
Pipturus argenteus,shrub tree climber_vine_herbaceous,,,,,,,
Pisonia aculeata,climber_vine,climber_vine,,,,,,
Pisonia grandis,shrub tree,tree,,,,,,
Pisonia umbellifera,tree,tree,,,,,,
Pitaviaster haplophyllus,shrub tree,,,,,,,
Pittosporum angustifolium,shrub tree,tree shrub,,,,,,
Pittosporum ferrugineum,shrub tree,tree,,,,,,
Pittosporum moluccanum,shrub,tree shrub,,,,,,
Pittosporum revolutum,shrub,tree,,,,,,
Pittosporum rubiginosum,shrub,,,,,,,
Pittosporum spinescens,shrub tree,tree,,,,,,
Pittosporum trilobum,shrub tree,tree,,,,,,
Pittosporum venulosum,shrub tree,tree,,,,,,
Pittosporum wingii,shrub tree,,,,,,,
Pityrodia salviifolia,herb shrub,,,,,,,
Placospermum coriaceum,tree,,,,,,,
Planchonella asterocarpon,tree,,,,,,,
Planchonella chartacea,tree,,,,,,,
Planchonella cotinifolia var. cotinifolia,tree,tree,,,,,,
Planchonella cotinifolia var. pubescens,shrub tree,tree,,,,,,
Planchonella euphlebia,tree,,,,,,,
Planchonella myrsinifolia subsp. myrsinifolia,shrub tree,,,,,,,
Planchonella myrsinodendron,tree,,,,,,,
Planchonella obovata,shrub tree,,,,,,,
Planchonella pohlmaniana var. pohlmaniana,tree,,,,,,,
Planchonella xylocarpa,tree,,,,,,,
Planchonia careya,shrub tree,tree,,,,,,
Planchonia rupestris,tree,tree,,,,,,
Plantago lanceolata,herb,herb,,,annual biennial,,,
Plantago major,herb,herb,erect,,perennial,,,
Platostoma longicorne,herb,,,,,,,
Pleiogynium timoriense,tree,tree,,,,,,
Pleioluma brownlessiana,shrub tree,,,,,,,
Pleioluma ferruginea,shrub tree,tree shrub,,,,,,
Pleioluma laurifolia,tree,tree,,,,,,
Pleioluma macrocarpa,tree,,,,,,,
Pleioluma papyracea,tree,,,,,,,
Pleioluma pilosa,tree,tree,,,,,,
Pleioluma queenslandica,tree,,,,,,,
Pleioluma singuliflora,shrub tree,,,,,,,
Pleioluma xerocarpa,tree,,,,,,,
Pleogyne australis,climber_vine_herbaceous,climber_woody,twining,,,,,
Pleomele angustifolia,shrub tree,,,,,,,
Pleuranthodium racemigerum,herb shrub,,,,,,,
Pleurostylia opposita,shrub tree,tree,,,,,,
Plumbago zeylanica,herb shrub,,,,,,,
Podocarpus dispermus,shrub tree,,,,,,,
Podocarpus elatus,tree,,,,,,,
Podocarpus grayae,tree,,,,,,,
Podocarpus smithii,tree,,,,,,,
Pogonatherum crinitum,,,trailing,,,,,
Pollia crispata,herb,herb,,,perennial,,,
Pollia macrophylla,herb shrub,herb,,,,,terrestrial,
Polyalthia fruticosa,shrub,,,,,,,
Polyalthia hispida,shrub tree,tree,,,,,,
Polyalthia johnsonii,shrub,shrub,,,,,,
Polyalthia submontana subsp. sessiliflora,shrub,,,,,,,
Polyalthia submontana subsp. submontana,shrub tree,,,,,,,
Polyalthia xanthocarpa,shrub,,,,,,,
Polygala paniculata,herb,herb,,,annual,,,
Polyosma alangiacea,tree,,,,,,,
Polyosma hirsuta,shrub tree,,,,,,,
Polyosma reducta,tree,,,,,,,
Polyosma rhytophloia,shrub tree,,,,,,,
Polyosma rigidiuscula,herb shrub tree,,,,,,,
Polyosma sp  mt bellenden ker b.hyland 2524rfk,tree,,,,,,,
Polyosma sp  mt lewis b.hyland 25241rfk,tree,,,,,,,
Polyscias australiana,shrub tree,tree,,,,,,
Polyscias bellendenkerensis,shrub tree,tree,,,,,,
Polyscias elegans,shrub tree,,,,,,,
Polyscias macgillivrayi,shrub,,,,,,,
Polyscias mollis,shrub tree,tree,,,,,,
Polyscias murrayi,tree,tree,,,,,,
Polyscias nodosa,tree,tree,,,,,,
Polyscias purpurea,shrub,,,,,,,
Polyscias spectabilis,tree,tree,,,,,,
Polyscias willmottii,shrub tree,,,,,,,
Polyscias zippeliana,shrub,shrub,,,,,,
Pomaderris argyrophylla,herb shrub,,,,,,,
Pongamia pinnata var. minor,tree,tree,erect,,,,,
Pongamia pinnata var. pinnata,tree,tree,,,,,,
Poranthera microphylla,herb,,open compact,,annual,,,
Portulaca pilosa,herb,herb,prostrate,,annual perennial,,,
Pothos brassii,climber_vine_herbaceous,climber_vine,,,,,,
Pothos longipes,climber_vine_herbaceous,climber_vine,,,,,,
Pouzolzia zeylanica,herb shrub,,,,,,,
Praxelis clematidea,herb shrub,,,,,,,
Premna acuminata,herb shrub tree,tree,,,,,,
Premna dallachyana,shrub tree,tree,,,,,,
Premna hylandiana,tree,,,,,,,
Premna limbata,climber_vine,climber_vine,,,,,,
Premna odorata,shrub tree,tree,,,,,,
Premna serratifolia,herb shrub tree,,,,,,,
Procris pedunculata,herb,shrub,erect decumbent,,,,epiphyte,monoecious
Proiphys amboinensis,herb shrub,,,,,,,
Proiphys infundibularis,herb,herb,,,,,,
Prumnopitys amara,tree,tree,,,,,,
Prumnopitys ladei,tree,,,,,,,
Prunus brachystachya,shrub tree,,,,,,,
Prunus turneriana,tree,,,,,,,
Pseudelephantopus spicatus,herb shrub,,,,,,,
Pseuderanthemum variabile,herb,herb,,,,,,
Pseudovanilla foliata,epiphyte climber_vine_herbaceous,climber_vine,,,,,,
Pseudoweinmannia apetala,shrub tree,tree,,,,,,
Pseuduvaria froggattii,shrub tree,tree,,,,,,
Pseuduvaria hylandii,shrub tree,,,,,,,
Pseuduvaria mulgraveana var. glabrescens,shrub tree,,,,,,,
Pseuduvaria mulgraveana var. mulgraveana,shrub,,,,,,,
Pseuduvaria villosa,shrub,,,,,,,
Psidium cattleyanum,shrub tree,tree,,,,,,
Psidium guajava,shrub tree,tree,,,,,,
Psychotria coelosperma,climber_vine_herbaceous,climber_vine,,,,,,
Psychotria dallachiana,herb shrub,tree,,,,,,
Psychotria daphnoides var. angustifolia,herb shrub,,,,,,,
Psychotria fitzalanii,shrub tree,,,,,,,
Psychotria hebecarpa,shrub,subshrub shrub,prostrate erect,,,,,
Psychotria loniceroides,herb shrub,,,,,,,
Psychotria nesophila,shrub tree,tree,,,,,,
Psychotria poliostemma,herb shrub,,,,,,,
Psychotria sp  danbulla s t.blake 15262,herb shrub,,,,,,,
Psychotria sp  mt lewis v k.moriarty 2445,herb shrub,,,,,,,
Psychotria sp  pinnacle rock b.gray 6555,herb shrub,,,,,,,
Psychotria sp  shute harbour l j.webb 7916,shrub,tree shrub,,,,,,
Psychotria sp  utchee creek h.flecker ngnc5313,herb shrub,tree,,,,,,
